cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch,umap_1,umap_2,scraw_reconstruction_weight
0,0,8,acinar,acinar,human1,9.67861,18.54146,0.8200136423110962
1,1,8,acinar,acinar,human1,9.358569,18.496496,1.1724987030029297
2,2,8,acinar,acinar,human1,9.518382,17.79785,0.716318666934967
3,3,8,acinar,acinar,human1,9.358475,18.6413,1.4410862922668457
4,4,8,acinar,acinar,human1,8.9289055,19.113163,0.8865333795547485
5,5,8,acinar,acinar,human1,9.37096,18.467407,0.919107973575592
6,6,10,beta,beta,human1,-9.194395,11.199978,0.8856710195541382
7,7,8,acinar,acinar,human1,9.371144,18.884693,1.01738178730011
8,8,8,acinar,acinar,human1,9.1952095,19.482843,1.0536607503890991
9,9,8,acinar,acinar,human1,8.4423,18.305428,0.7952309846878052
10,10,8,acinar,acinar,human1,9.228676,18.100634,0.8401635885238647
11,11,8,acinar,acinar,human1,9.288213,17.490967,1.0603690147399902
12,12,4,delta,delta,human1,3.3837044,11.563905,0.7527269124984741
13,13,4,delta,delta,human1,2.7685816,11.245357,0.8715705871582031
14,14,10,beta,beta,human1,-8.867161,11.292762,0.9033297896385192
15,15,5,activated_stellate,activated_stellate,human1,-9.796456,21.849586,1.7936686277389526
16,16,10,beta,beta,human1,-9.918379,12.678213,0.8093584179878235
17,17,8,acinar,acinar,human1,9.55557,17.833755,0.8131930232048035
18,18,11,ductal,t_cell,human1,12.119584,7.839478,1.0444406270980835
19,19,10,beta,beta,human1,-8.3872795,11.360552,0.5726287961006165
20,20,10,beta,beta,human1,-8.722115,13.16283,0.5331980586051941
21,21,3,alpha,alpha,human1,-6.1484804,-2.4036496,0.449999988079071
22,22,10,ductal,beta,human1,-8.203779,12.286841,2.071782350540161
23,23,10,beta,beta,human1,-7.4912343,12.133612,0.6052340269088745
24,24,4,delta,delta,human1,3.402873,11.050025,0.864596426486969
25,25,3,alpha,alpha,human1,-5.492629,-3.1581197,0.4941782653331756
26,26,10,beta,beta,human1,-9.78501,11.54507,0.5441243648529053
27,27,8,acinar,acinar,human1,9.315352,18.750446,1.3541371822357178
28,28,8,acinar,acinar,human1,9.453344,17.572859,1.3727744817733765
29,29,10,beta,beta,human1,-7.6117287,13.130402,0.5438815951347351
30,30,4,delta,delta,human1,2.8722265,11.067296,0.7934063673019409
31,31,4,delta,delta,human1,3.3216102,10.83851,0.9535477757453918
32,32,4,delta,delta,human1,3.001955,10.492891,0.8127273321151733
33,33,4,delta,delta,human1,3.0055234,11.5484495,0.7250615954399109
34,34,10,beta,beta,human1,-9.229703,11.794396,0.6757124066352844
35,35,8,acinar,acinar,human1,8.568129,18.532927,0.6651818156242371
36,36,10,beta,beta,human1,-8.84626,12.920585,0.7546284794807434
37,37,10,beta,beta,human1,-10.04773,11.882112,0.8407878875732422
38,38,10,beta,beta,human1,-9.8574915,12.290437,0.9905359745025636
39,39,4,delta,delta,human1,3.1159291,11.609775,0.816022515296936
40,40,5,activated_stellate,activated_stellate,human1,-9.91435,21.856792,1.713511347770691
41,41,10,beta,beta,human1,-6.497556,11.879337,0.5466958284378052
42,42,4,delta,delta,human1,3.2949586,11.54429,0.9816197752952576
43,43,5,activated_stellate,activated_stellate,human1,-9.308867,21.958637,1.4536380767822266
44,44,5,activated_stellate,activated_stellate,human1,-9.652359,21.635527,1.9572374820709229
45,45,5,activated_stellate,activated_stellate,human1,-9.757191,21.958027,1.7271366119384766
46,46,8,acinar,acinar,human1,8.834927,18.841421,0.7827733159065247
47,47,5,activated_stellate,activated_stellate,human1,-9.383124,21.902832,1.790290594100952
48,48,4,delta,delta,human1,2.5332744,10.810374,0.998740255832672
49,49,10,beta,beta,human1,-6.9115653,11.284392,0.6205472946166992
50,50,4,delta,delta,human1,3.3192573,11.561985,0.903173327445984
51,51,10,beta,beta,human1,-8.92373,12.370315,0.7638236880302429
52,52,8,acinar,acinar,human1,8.550016,18.45011,0.6917538642883301
53,53,10,beta,beta,human1,-6.1532345,11.78108,0.683686375617981
54,54,10,beta,beta,human1,-10.101816,12.304704,0.6839308142662048
55,55,5,activated_stellate,activated_stellate,human1,-9.405095,21.874609,1.521905541419983
56,56,10,beta,beta,human1,-7.39365,13.3033,0.8085666298866272
57,57,10,beta,beta,human1,-7.8612547,11.478565,0.5766910314559937
58,58,10,beta,beta,human1,-9.288039,11.981843,0.634448766708374
59,59,10,beta,beta,human1,-8.027612,11.843838,1.257260799407959
60,60,2,ductal,ductal,human1,-2.489946,23.686907,1.1183382272720337
61,61,3,alpha,alpha,human1,-5.7411656,-2.7933474,0.5197798013687134
62,62,10,beta,beta,human1,-7.800965,11.459017,1.0988916158676147
63,63,2,ductal,ductal,human1,-2.660453,23.293509,1.6427966356277466
64,64,10,ductal,beta,human1,-8.230591,12.301755,2.630362272262573
65,65,8,acinar,acinar,human1,8.940781,17.240082,0.7001509070396423
66,66,3,alpha,alpha,human1,-5.858284,-1.1885765,0.4695757031440735
67,67,10,beta,beta,human1,-8.135534,12.411097,1.0795742273330688
68,68,4,delta,delta,human1,3.3699367,10.390496,0.8159298300743103
69,69,3,alpha,alpha,human1,-5.388459,-1.7593912,0.449999988079071
