cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,15.533832550048828,-0.7093248963356018,4,human1_lib1.final_cell_0001-0,acinar,acinar,human1,0.8200136423110962
1,16.14769172668457,-1.8048279285430908,4,human1_lib1.final_cell_0002-0,acinar,acinar,human1,1.1724987030029297
2,15.15005874633789,0.3158389031887054,4,human1_lib1.final_cell_0003-0,acinar,acinar,human1,0.716318666934967
3,16.05389976501465,-1.7525979280471802,4,human1_lib1.final_cell_0004-0,acinar,acinar,human1,1.4410862922668457
4,15.589384078979492,-0.620197594165802,4,human1_lib1.final_cell_0005-0,acinar,acinar,human1,0.8865333795547485
5,15.418607711791992,-0.5942440629005432,4,human1_lib1.final_cell_0006-0,acinar,acinar,human1,0.919107973575592
6,5.2933759689331055,10.48875904083252,14,human1_lib1.final_cell_0007-0,beta,beta,human1,0.8856710195541382
7,15.021063804626465,0.1259624809026718,4,human1_lib1.final_cell_0008-0,acinar,acinar,human1,1.01738178730011
8,15.680083274841309,-0.5925881862640381,4,human1_lib1.final_cell_0009-0,acinar,acinar,human1,1.0536607503890991
9,16.100427627563477,-0.9028441309928894,4,human1_lib1.final_cell_0010-0,acinar,acinar,human1,0.7952309846878052
10,15.483646392822266,-0.6900861263275146,4,human1_lib1.final_cell_0011-0,acinar,acinar,human1,0.8401635885238647
11,15.030413627624512,0.0850311741232872,4,human1_lib1.final_cell_0012-0,acinar,acinar,human1,1.0603690147399902
12,7.470436096191406,-10.408163070678713,13,human1_lib1.final_cell_0013-0,delta,delta,human1,0.7527269124984741
13,6.289036273956299,-11.10312557220459,13,human1_lib1.final_cell_0014-0,delta,delta,human1,0.8715705871582031
14,7.274284839630127,6.982890129089356,14,human1_lib1.final_cell_0015-0,beta,beta,human1,0.9033297896385192
15,2.936854362487793,19.51700210571289,1,human1_lib1.final_cell_0016-0,activated_stellate,activated_stellate,human1,1.7936686277389526
16,6.6919846534729,1.7833858728408811,14,human1_lib1.final_cell_0017-0,beta,beta,human1,0.8093584179878235
17,15.67291259765625,-0.5681860446929932,4,human1_lib1.final_cell_0018-0,acinar,acinar,human1,0.8131930232048035
18,-6.83564567565918,-8.128901481628418,9,human1_lib1.final_cell_0019-0,ductal,ductal,human1,1.0444406270980835
19,7.228945255279541,7.99952507019043,14,human1_lib1.final_cell_0020-0,beta,beta,human1,0.5726287961006165
20,7.118418216705322,8.38630485534668,14,human1_lib1.final_cell_0021-0,beta,beta,human1,0.5331980586051941
21,-6.501856803894043,5.0927019119262695,12,human1_lib1.final_cell_0022-0,alpha,alpha,human1,0.449999988079071
22,-7.784134387969971,-8.324625968933105,9,human1_lib1.final_cell_0023-0,ductal,ductal,human1,2.071782350540161
23,7.728657722473144,4.676893711090088,14,human1_lib1.final_cell_0024-0,beta,beta,human1,0.6052340269088745
24,7.142867565155029,-10.773483276367188,13,human1_lib1.final_cell_0025-0,delta,delta,human1,0.864596426486969
25,-8.332381248474121,3.969082832336426,12,human1_lib1.final_cell_0026-0,alpha,alpha,human1,0.4941782653331756
26,7.681743144989014,6.084178924560547,14,human1_lib1.final_cell_0027-0,beta,beta,human1,0.5441243648529053
27,16.340679168701172,-0.9613487720489502,4,human1_lib1.final_cell_0028-0,acinar,acinar,human1,1.3541371822357178
28,15.394989013671877,-0.6209210753440857,4,human1_lib1.final_cell_0029-0,acinar,acinar,human1,1.3727744817733765
29,7.50260591506958,6.758181095123291,14,human1_lib1.final_cell_0030-0,beta,beta,human1,0.5438815951347351
30,6.14792013168335,-9.926908493041992,13,human1_lib1.final_cell_0031-0,delta,delta,human1,0.7934063673019409
31,6.210218906402588,-9.217463493347168,13,human1_lib1.final_cell_0032-0,delta,delta,human1,0.9535477757453918
32,6.657341957092285,-9.32627296447754,13,human1_lib1.final_cell_0033-0,delta,delta,human1,0.8127273321151733
33,6.743931293487549,-10.379356384277344,13,human1_lib1.final_cell_0034-0,delta,delta,human1,0.7250615954399109
34,7.614527702331543,7.1590256690979,14,human1_lib1.final_cell_0035-0,beta,beta,human1,0.6757124066352844
35,15.969268798828123,0.1420325636863708,4,human1_lib1.final_cell_0036-0,acinar,acinar,human1,0.6651818156242371
36,7.08287239074707,8.262513160705566,14,human1_lib1.final_cell_0037-0,beta,beta,human1,0.7546284794807434
37,6.723123550415039,1.930220127105713,14,human1_lib1.final_cell_0038-0,beta,beta,human1,0.8407878875732422
38,6.7435808181762695,8.058140754699707,14,human1_lib1.final_cell_0039-0,beta,beta,human1,0.9905359745025636
39,6.280741214752197,-10.991618156433104,13,human1_lib1.final_cell_0040-0,delta,delta,human1,0.816022515296936
