predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
6,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm1,15.744532,5.9795895,0,0.6596702337265015
1,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,5.7390366,-1.5202653,1,0.388006716966629
1,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,6.9096875,2.8905816,2,0.5708611011505127
1,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,6.9206915,2.8957832,3,0.4895757138729095
1,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,10.124307,0.7635116,4,0.4991974830627441
1,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm2,11.414876,1.2887732,5,0.7913784980773926
1,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,8.574684,0.37607488,6,0.3845422863960266
2,Leydig,Donor2_scRNA-seq_rep1,Leydig,-3.1803262,-1.2886273,7,1.5082550048828125
8,Myoid,Donor2_scRNA-seq_rep1,Myoid,-5.1572814,-6.3147593,8,1.6106846332550049
1,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,4.1156154,-0.28917122,9,0.5071122646331787
6,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm1,15.665369,6.270665,10,0.7103890180587769
1,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,7.705208,-0.51763207,11,0.4353455305099487
6,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm1,15.594779,6.0291176,12,0.5914576053619385
3,Macrophage,Donor2_scRNA-seq_rep1,Macrophage,4.307462,-7.2180715,13,1.1408445835113523
3,Macrophage,Donor2_scRNA-seq_rep1,Macrophage,5.2601805,-6.753644,14,1.2622478008270264
1,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,7.5449243,-1.2676541,15,0.4326962828636169
1,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,5.753688,-1.22818,16,0.4122855365276336
5,Round_spermatid,Donor2_scRNA-seq_rep1,Round_spermatid,14.047126,9.107047,17,0.6679776906967163
12,Elongated_spermatid,Donor2_scRNA-seq_rep1,Elongated_spermatid,11.952244,1.59869,18,0.9471663236618042
2,Leydig,Donor2_scRNA-seq_rep1,Leydig,-4.1246133,-2.1120915,19,1.376002550125122
8,Myoid,Donor2_scRNA-seq_rep1,Myoid,-4.641296,-5.0421786,20,1.5821682214736938
2,Sperm1,Donor2_scRNA-seq_rep1,Leydig,-1.5323566,-2.041072,21,1.7615069150924685
7,Endothelial,Donor2_scRNA-seq_rep1,Endothelial,1.4875121,-12.72285,22,1.102742075920105
7,Endothelial,Donor2_scRNA-seq_rep1,Endothelial,0.45532918,-11.880848,23,1.012763261795044
8,Myoid,Donor2_scRNA-seq_rep1,Myoid,-4.4806542,-4.698626,24,2.14084529876709
12,Elongated_spermatid,Donor2_scRNA-seq_rep1,Elongated_spermatid,12.928845,2.5586886,25,1.671919584274292
12,Sperm1,Donor2_scRNA-seq_rep1,Elongated_spermatid,6.883208,3.975516,26,0.6416918039321899
8,Myoid,Donor2_scRNA-seq_rep1,Myoid,-4.468791,-4.6704836,27,2.532145738601685
4,Early_spermatocyte,Donor2_scRNA-seq_rep1,Early_spermatocyte,-3.2162457,9.239819,28,0.7338000535964966
1,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,7.374265,-0.36212265,29,0.4028121829032898
0,SSC,Donor2_scRNA-seq_rep1,SSC,-0.08752767,17.59793,30,0.8104297518730164
4,Early_spermatocyte,Donor2_scRNA-seq_rep1,Early_spermatocyte,-2.263713,7.218019,31,1.4265159368515017
6,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm1,15.658556,6.749922,32,0.6032679080963135
6,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm1,15.914198,5.906435,33,0.7173527479171753
12,Elongated_spermatid,Donor2_scRNA-seq_rep1,Elongated_spermatid,13.186643,2.7270653,34,1.1844522953033447
5,Round_spermatid,Donor2_scRNA-seq_rep1,Round_spermatid,15.2936325,8.778925,35,0.6269826889038086
0,SSC,Donor2_scRNA-seq_rep1,SSC,0.02303188,17.113626,36,1.104528546333313
3,Macrophage,Donor2_scRNA-seq_rep1,Macrophage,4.5797095,-7.5273204,37,1.0763732194900513
2,Leydig,Donor2_scRNA-seq_rep1,Leydig,-3.3702269,-0.16578801,38,0.9601670503616332
1,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,7.899306,0.06676212,39,0.4025730192661285
10,Sperm2,Donor2_scRNA-seq_rep1,Spermatogonia,6.8591547,4.2516418,40,1.7211030721664429
1,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,8.548014,-0.5850971,41,0.3845422863960266
3,Macrophage,Donor2_scRNA-seq_rep1,Macrophage,3.869885,-7.61023,42,1.0935231447219849
3,Macrophage,Donor2_scRNA-seq_rep1,Macrophage,3.8009412,-7.3709393,43,1.1759201288223269
1,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,5.951385,-0.34925595,44,0.4546155631542206
12,Early_spermatocyte,Donor2_scRNA-seq_rep1,Elongated_spermatid,14.615311,3.0691438,45,2.9748592376708984
6,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm1,15.695155,6.0177255,46,0.6775228381156921
5,Round_spermatid,Donor2_scRNA-seq_rep1,Round_spermatid,15.178933,8.802796,47,0.7462964057922363
3,Macrophage,Donor2_scRNA-seq_rep1,Macrophage,3.9095078,-7.454799,48,1.187333106994629
12,Elongated_spermatid,Donor2_scRNA-seq_rep1,Elongated_spermatid,15.026611,4.0623655,49,0.7854760885238647
1,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,8.701418,0.034364674,50,0.3978549242019653
0,SSC,Donor2_scRNA-seq_rep1,SSC,0.36290553,19.585339,51,1.3030729293823242
5,Round_spermatid,Donor2_scRNA-seq_rep1,Round_spermatid,15.279028,8.777566,52,0.9670093059539796
8,Myoid,Donor2_scRNA-seq_rep1,Myoid,-4.540503,-4.8057814,53,1.859251618385315
8,Myoid,Donor2_scRNA-seq_rep1,Myoid,-5.104204,-6.2266517,54,1.5216444730758667
5,Round_spermatid,Donor2_scRNA-seq_rep1,Round_spermatid,15.007199,8.860436,55,0.7006528973579407
1,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,8.475775,-0.4069437,56,0.3845422863960266
