predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
1,DB3b,M1Fovea1,DB3b,17.574461,-1.0894443,0,1.4766569137573242
2,FMB,M1Fovea1,FMB,20.477766,11.429534,1,0.6714979410171509
0,IMB,M1Fovea1,IMB,10.985566,15.4390335,2,0.8220933079719543
4,DB5*,M1Fovea1,DB5*,4.3437033,-1.4578396,3,0.9915083646774292
5,DB4,M1Fovea1,DB4,14.822246,-4.3820033,4,1.0385915040969849
0,IMB,M1Fovea1,IMB,10.828701,15.208137,5,0.7389467358589172
0,IMB,M1Fovea1,IMB,11.300922,15.602263,6,0.512382447719574
2,FMB,M1Fovea1,FMB,20.031717,10.872832,7,0.7700017094612122
2,FMB,M1Fovea1,FMB,20.468111,10.727471,8,0.7094637155532837
5,DB4,M1Fovea1,DB4,14.79979,-4.184646,9,1.4608087539672852
0,IMB,M1Fovea1,IMB,11.390257,15.750864,10,0.6248489618301392
0,IMB,M1Fovea1,IMB,11.0101595,15.670277,11,0.4198250472545624
0,IMB,M1Fovea1,IMB,10.96659,15.582485,12,0.4061691164970398
2,FMB,M1Fovea1,FMB,20.158451,10.821636,13,0.5438662767410278
2,FMB,M1Fovea1,FMB,20.059254,10.666275,14,0.7274380922317505
2,FMB,M1Fovea1,FMB,20.03996,11.288994,15,1.3448362350463867
5,DB4,M1Fovea1,DB4,14.791445,-4.2629514,16,1.12060546875
5,DB4,M1Fovea1,DB4,14.887495,-4.1513515,17,1.0638079643249512
1,DB2,M1Fovea1,DB3b,16.040388,0.5273411,18,1.859645247459412
0,IMB,M1Fovea1,IMB,11.320962,15.574713,19,0.385497897863388
2,FMB,M1Fovea1,FMB,19.854939,11.089609,20,0.6303620338439941
6,DB1,M1Fovea1,DB1,5.3869767,21.658955,21,0.8652696013450623
4,DB5*,M1Fovea1,DB5*,4.312289,-1.5413377,22,0.7427141666412354
5,DB4,M1Fovea1,DB4,14.8519335,-4.2014194,23,0.882059633731842
7,BB/GB*,M1Fovea1,BB/GB*,9.610682,20.287518,24,1.9999327659606931
0,IMB,M1Fovea1,IMB,11.139946,15.699418,25,0.4662714302539825
0,IMB,M1Fovea1,IMB,11.194713,15.215537,26,0.5931205749511719
1,DB2,M1Fovea1,DB3b,16.118042,0.42687923,27,0.6695963144302368
2,FMB,M1Fovea1,FMB,19.91967,11.207702,28,0.8869666457176208
2,FMB,M1Fovea1,FMB,19.911377,11.363963,29,0.7949179410934448
0,IMB,M1Fovea1,IMB,11.538219,15.385315,30,0.8379029035568237
2,FMB,M1Fovea1,FMB,19.920933,11.185128,31,0.9480822086334229
2,FMB,M1Fovea1,FMB,20.398531,10.927821,32,1.0674490928649902
3,RB,M1Fovea1,RB,-0.48182228,4.6757,33,1.3432353734970093
0,IMB,M1Fovea1,IMB,11.092167,15.672275,34,0.7104496359825134
1,DB2,M1Fovea1,DB3b,16.098108,0.49447066,35,0.7869571447372437
2,FMB,M1Fovea1,FMB,20.194721,11.13722,36,1.243027687072754
2,FMB,M1Fovea1,FMB,20.370499,11.475898,37,0.8781816959381104
1,DB3b,M1Fovea1,DB3b,17.579584,-1.1002123,38,0.7644933462142944
0,IMB,M1Fovea1,IMB,10.928993,15.041595,39,0.6256677508354187
1,DB3b,M1Fovea1,DB3b,17.69718,-1.2366526,40,1.31805419921875
0,IMB,M1Fovea1,IMB,11.427203,15.460951,41,0.4119552373886108
2,FMB,M1Fovea1,FMB,20.365387,11.370993,42,0.5063872933387756
7,BB/GB*,M1Fovea1,BB/GB*,10.11957,21.299042,43,0.7125977277755737
0,IMB,M1Fovea1,IMB,11.009352,15.160687,44,0.3862845301628113
5,DB4,M1Fovea1,DB4,14.65177,-4.134065,45,0.9882742166519164
0,IMB,M1Fovea1,IMB,11.143971,15.5775585,46,0.3858073949813843
1,DB3b,M1Fovea1,DB3b,17.68154,-1.1564463,47,0.6095057129859924
2,FMB,M1Fovea1,FMB,20.382597,10.981052,48,0.844541609287262
0,IMB,M1Fovea1,IMB,11.036553,15.674336,49,0.4005234241485595
6,DB1,M1Fovea1,DB1,5.3800244,21.715414,50,1.0486736297607422
2,FMB,M1Fovea1,FMB,20.091629,10.927132,51,0.933107614517212
0,IMB,M1Fovea1,IMB,11.222985,15.47702,52,0.423325777053833
2,FMB,M1Fovea1,FMB,19.811504,11.28693,53,0.7302212715148926
1,DB2,M1Fovea1,DB3b,16.222752,0.99875754,54,1.2656646966934204
2,FMB,M1Fovea1,FMB,20.57205,11.125549,55,0.9066269993782043
2,FMB,M1Fovea1,FMB,20.145103,10.682378,56,0.8286394476890564
1,DB2,M1Fovea1,DB3b,17.887253,4.2750425,57,0.6929479241371155
1,DB3b,M1Fovea1,DB3b,17.731981,-1.3109163,58,0.7385058999061584
5,DB4,M1Fovea1,DB4,14.73939,-4.1612573,59,1.683344841003418
6,DB1,M1Fovea1,DB1,5.4217625,21.623404,60,1.1048433780670166
1,DB2,M1Fovea1,DB3b,16.044376,0.5172536,61,0.9108701944351196
4,DB5*,M1Fovea1,DB5*,4.265221,-1.6307575,62,0.7421878576278687
0,IMB,M1Fovea1,IMB,11.075857,14.927872,63,0.4025826454162597
10,DB6,M1Fovea1,DB6,18.552149,17.247086,64,1.8159183263778689
3,RB,M1Fovea1,RB,-0.5518248,4.6643953,65,0.8738083243370056
2,FMB,M1Fovea1,FMB,20.017906,10.941975,66,0.7523708343505859
2,FMB,M1Fovea1,FMB,20.27079,10.934769,67,0.7579892873764038
6,DB1,M1Fovea1,DB1,5.274321,21.77448,68,0.8277899026870728
4,DB5*,M1Fovea1,DB5*,3.9848459,-1.7334037,69,1.2463043928146362
0,IMB,M1Fovea1,IMB,11.278405,15.582887,70,0.4945605993270874
2,FMB,M1Fovea1,FMB,20.06732,10.594968,71,0.731421947479248
0,IMB,M1Fovea1,IMB,11.104996,15.741956,72,0.5176862478256226
3,RB,M1Fovea1,RB,-0.46221432,4.6871076,73,0.939961850643158
2,FMB,M1Fovea1,FMB,20.14672,10.762996,74,0.9888529181480408
1,DB2,M1Fovea1,DB3b,16.058836,0.56013465,75,0.6807218194007874
2,FMB,M1Fovea1,FMB,20.581686,10.7458315,76,0.7293316721916199
1,DB2,M1Fovea1,DB3b,16.097218,0.4989825,77,0.7227401733398438
0,IMB,M1Fovea1,IMB,11.179242,15.598295,78,0.3845422863960266
5,DB4,M1Fovea1,DB4,14.782364,-4.1832795,79,1.0743181705474854
2,FMB,M1Fovea1,FMB,19.77553,11.069239,80,1.0978552103042605
0,IMB,M1Fovea1,IMB,10.885885,15.095233,81,0.6006059050559998
1,DB2,M1Fovea1,DB3b,16.14766,0.44505626,82,0.9301822781562804
6,OFFx,M1Fovea1,DB1,10.869501,18.532768,83,2.5434160232543945
0,IMB,M1Fovea1,IMB,11.214359,15.736871,84,0.4589514434337616
0,IMB,M1Fovea1,IMB,11.132216,15.737578,85,0.5779072046279907
5,DB4,M1Fovea1,DB4,14.801739,-4.3768144,86,0.9217841625213624
0,IMB,M1Fovea1,IMB,10.970265,15.397539,87,0.7948089241981506
2,FMB,M1Fovea1,FMB,19.783604,10.996658,88,0.6613373756408691
2,FMB,M1Fovea1,FMB,20.457748,10.908197,89,1.1556776762008667
5,DB4,M1Fovea1,DB4,14.658682,-4.189593,90,1.0796842575073242
0,IMB,M1Fovea1,IMB,11.304506,15.38109,91,0.4190414547920227
0,IMB,M1Fovea1,IMB,11.27403,15.362901,92,0.3845422863960266
2,FMB,M1Fovea1,FMB,20.318308,11.364509,93,0.9980149865150452
0,IMB,M1Fovea1,IMB,11.46633,15.258257,94,0.3901544213294983
2,FMB,M1Fovea1,FMB,19.931227,11.2577715,95,0.7641937136650085
10,DB6,M1Fovea1,DB6,18.599276,17.33541,96,1.6196305751800537
0,IMB,M1Fovea1,IMB,10.918456,15.413369,97,0.557651937007904
4,DB5*,M1Fovea1,DB5*,4.2811556,-1.5285118,98,1.0717475414276123
0,IMB,M1Fovea1,IMB,11.380088,15.449125,99,0.4295499324798584
5,DB4,M1Fovea1,DB4,14.75638,-4.2326174,100,1.0937066078186035
2,FMB,M1Fovea1,FMB,19.955515,10.8633585,101,0.6714149117469788
2,FMB,M1Fovea1,FMB,20.283567,10.657263,102,1.0028302669525146
4,DB5*,M1Fovea1,DB5*,4.201262,-1.7399594,103,0.7112930417060852
6,DB1,M1Fovea1,DB1,5.2442155,21.64282,104,1.0259790420532229
1,DB2,M1Fovea1,DB3b,16.12126,0.458334,105,0.7034437656402588
0,IMB,M1Fovea1,IMB,11.018931,15.450809,106,0.9602162837982178
0,IMB,M1Fovea1,IMB,11.043833,15.841939,107,0.9219164252281188
2,FMB,M1Fovea1,FMB,20.30704,10.913028,108,0.9603543877601624
1,DB2,M1Fovea1,DB3b,16.218155,0.7485899,109,0.8633131384849548
1,DB2,M1Fovea1,DB3b,16.081202,0.47834235,110,0.9121452569961548
2,FMB,M1Fovea1,FMB,20.391884,11.436776,111,0.6801822185516357
0,IMB,M1Fovea1,IMB,11.41457,15.352772,112,0.4007583558559418
2,FMB,M1Fovea1,FMB,20.10541,11.545195,113,0.5548239946365356
0,IMB,M1Fovea1,IMB,11.459623,15.577245,114,0.7310730218887329
2,FMB,M1Fovea1,FMB,19.755922,11.037054,115,0.7220194339752197
0,IMB,M1Fovea1,IMB,10.6355095,15.595572,116,0.3845422863960266
0,IMB,M1Fovea1,IMB,11.374369,15.100048,117,0.7097357511520386
2,FMB,M1Fovea1,FMB,20.289562,11.045057,118,0.6233553886413574
5,DB4,M1Fovea1,DB4,14.853751,-4.3302,119,1.1077003479003906
4,DB5*,M1Fovea1,DB5*,4.0987725,-1.608227,120,0.7890030741691589
1,DB3b,M1Fovea1,DB3b,17.703249,-1.3321893,121,1.07232928276062
2,FMB,M1Fovea1,FMB,19.775671,11.220543,122,0.6745036840438843
6,DB1,M1Fovea1,DB1,5.329053,21.62944,123,1.522505760192871
1,DB2,M1Fovea1,DB3b,16.09132,0.48291618,124,0.8585776090621948
1,DB2,M1Fovea1,DB3b,15.961601,0.45480445,125,1.2205164432525637
4,DB5*,M1Fovea1,DB5*,4.171301,-1.6194876,126,1.1661852598190308
2,FMB,M1Fovea1,FMB,19.921116,10.810489,127,0.6653974056243896
1,DB2,M1Fovea1,DB3b,16.090721,0.4876118,128,0.7674483060836792
2,FMB,M1Fovea1,FMB,20.488735,11.294579,129,0.8075364232063293
7,BB/GB*,M1Fovea1,BB/GB*,10.068085,21.314074,130,0.6811397671699524
3,RB,M1Fovea1,RB,-0.41721147,4.774503,131,1.446682095527649
1,DB3b,M1Fovea1,DB3b,17.705029,-1.3239009,132,0.7767987251281738
6,OFFx,M1Fovea1,DB1,10.906806,18.561604,133,3.1946239471435547
1,DB3b,M1Fovea1,DB3b,17.719496,-1.3202243,134,1.1771419048309326
2,FMB,M1Fovea1,FMB,19.904537,10.867074,135,0.6675108671188354
4,DB5*,M1Fovea1,DB5*,4.2403045,-1.5591338,136,0.9910925030708312
2,FMB,M1Fovea1,FMB,20.462254,11.419238,137,0.6723933815956116
2,FMB,M1Fovea1,FMB,19.945688,11.166804,138,0.946649432182312
0,IMB,M1Fovea1,IMB,11.120269,15.648728,139,0.9806246161460876
2,FMB,M1Fovea1,FMB,19.80894,11.082176,140,0.800389289855957
6,DB1,M1Fovea1,DB1,5.4227624,21.651804,141,1.3511879444122314
1,DB3b,M1Fovea1,DB3b,17.677069,-1.2924011,142,0.593381941318512
0,IMB,M1Fovea1,IMB,11.277576,15.761015,143,0.3876082003116607
2,FMB,M1Fovea1,FMB,20.113337,11.2496805,144,0.6123575568199158
0,IMB,M1Fovea1,IMB,11.15073,15.203258,145,1.0730962753295898
2,FMB,M1Fovea1,FMB,20.344463,11.296869,146,0.8073260188102722
5,DB4,M1Fovea1,DB4,14.880907,-4.1012383,147,1.4515767097473145
3,RB,M1Fovea1,RB,-0.23444353,4.930093,148,0.8433318734169006
1,DB3b,M1Fovea1,DB3b,17.689024,-1.2384526,149,0.7213611602783203
5,DB4,M1Fovea1,DB4,14.926224,-4.410838,150,1.5823248624801636
0,IMB,M1Fovea1,IMB,11.033161,15.103566,151,0.3924620747566223
1,DB3b,M1Fovea1,DB3b,17.643332,-1.2020348,152,0.5632049441337585
1,DB2,M1Fovea1,DB3b,16.061516,0.5357416,153,0.9055917263031006
1,DB3b,M1Fovea1,DB3b,17.728529,-1.2968283,154,0.8084920048713684
0,IMB,M1Fovea1,IMB,11.034084,15.3500395,155,0.3845422863960266
1,DB3b,M1Fovea1,DB3b,17.694262,-1.209754,156,0.7610628008842468
2,FMB,M1Fovea1,FMB,20.643936,11.137802,157,0.6138791441917419
0,IMB,M1Fovea1,IMB,11.056681,15.316666,158,0.4203868806362152
10,DB6,M1Fovea1,DB6,18.528833,17.244318,159,1.9497653245925903
