cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
bbag094_zeisel_cell_00001,unknown,unknown,5,6,8.79209,5.739956,0,3.0590591430664062
bbag094_zeisel_cell_00002,1,1,3,1,-1.1246461,-7.3488507,1,1.123892307281494
bbag094_zeisel_cell_00003,1,1,3,1,-1.2251525,-7.439456,2,0.9837443232536316
bbag094_zeisel_cell_00004,1,1,3,1,-1.0519209,-7.2764606,3,1.643536925315857
bbag094_zeisel_cell_00005,1,1,3,1,-1.1897794,-7.413263,4,1.2413737773895264
bbag094_zeisel_cell_00006,1,1,3,1,-1.2234919,-7.4167914,5,1.090116024017334
bbag094_zeisel_cell_00007,1,1,3,1,-1.2584412,-7.476954,6,1.541007161140442
bbag094_zeisel_cell_00008,1,1,3,1,-1.197264,-7.416009,7,1.045740008354187
bbag094_zeisel_cell_00009,1,1,3,1,-1.1657292,-7.369052,8,1.2213668823242188
bbag094_zeisel_cell_00010,1,1,3,1,-1.190817,-7.400667,9,1.446796417236328
bbag094_zeisel_cell_00011,1,1,3,1,-1.1627295,-7.369468,10,1.0423201322555542
bbag094_zeisel_cell_00012,1,1,3,1,-0.81792873,-7.2420206,11,1.2541903257369995
bbag094_zeisel_cell_00013,1,1,7,8,-0.079165906,-2.06161,12,1.5373095273971558
bbag094_zeisel_cell_00014,1,1,7,8,-0.12078632,-2.063069,13,1.4586032629013062
bbag094_zeisel_cell_00015,1,1,7,8,-0.072976686,-2.0786672,14,2.079357624053955
bbag094_zeisel_cell_00016,1,1,7,8,-0.13831434,-2.0150216,15,1.6551836729049685
bbag094_zeisel_cell_00017,1,1,7,8,-0.056196112,-2.111274,16,1.5489071607589722
bbag094_zeisel_cell_00018,1,1,7,8,-0.06430194,-2.1345956,17,1.7758216857910156
bbag094_zeisel_cell_00019,1,1,7,8,-0.11390036,-2.1018622,18,1.9509806632995603
bbag094_zeisel_cell_00020,1,1,7,8,-0.03782473,-2.0150664,19,2.0504612922668457
bbag094_zeisel_cell_00021,1,1,3,1,-1.9601793,-5.602098,20,1.0005872249603271
bbag094_zeisel_cell_00022,1,1,3,1,-1.972855,-5.591075,21,1.003839373588562
bbag094_zeisel_cell_00023,1,1,3,1,-2.022925,-5.631193,22,1.1438277959823608
bbag094_zeisel_cell_00024,1,1,3,1,-2.312031,-6.1309695,23,1.11873197555542
bbag094_zeisel_cell_00025,1,1,3,1,-2.32903,-5.9973793,24,0.904599130153656
bbag094_zeisel_cell_00026,1,1,3,1,-2.3041446,-5.9148808,25,1.186985731124878
bbag094_zeisel_cell_00027,1,1,3,1,-2.4077458,-6.2118597,26,1.021336317062378
bbag094_zeisel_cell_00028,1,1,3,1,-2.388663,-5.9569373,27,1.2670129537582395
bbag094_zeisel_cell_00029,1,1,3,1,-2.2619088,-5.9145894,28,0.9508160352706908
bbag094_zeisel_cell_00030,1,1,3,1,-2.4163976,-5.925616,29,1.1257705688476562
bbag094_zeisel_cell_00031,1,1,3,1,-2.3482518,-5.8713064,30,1.0400986671447754
bbag094_zeisel_cell_00032,1,1,3,1,-2.223118,-5.783835,31,0.9921159148216248
bbag094_zeisel_cell_00033,1,1,3,1,-2.3950741,-6.061142,32,0.9925581216812134
bbag094_zeisel_cell_00034,1,1,3,1,-2.3517542,-6.0534954,33,0.7808264493942261
bbag094_zeisel_cell_00035,1,1,3,1,-2.3023808,-5.7796206,34,1.0169038772583008
bbag094_zeisel_cell_00036,1,1,3,1,-2.3529139,-5.907492,35,0.902140736579895
bbag094_zeisel_cell_00037,1,1,3,1,-2.3841147,-5.947172,36,0.9595917463302612
bbag094_zeisel_cell_00038,1,1,3,1,-2.228409,-5.887484,37,0.8719852566719055
bbag094_zeisel_cell_00039,1,1,3,1,-2.3473556,-5.963816,38,0.8662610650062561
bbag094_zeisel_cell_00040,1,1,3,1,-2.3549542,-6.2683616,39,1.188857078552246
bbag094_zeisel_cell_00041,1,1,3,1,-2.368485,-6.280274,40,1.0159817934036257
bbag094_zeisel_cell_00042,1,1,3,1,-2.15889,-6.4585404,41,0.9322909116744996
bbag094_zeisel_cell_00043,1,1,3,1,-2.2661066,-6.484848,42,0.986664652824402
bbag094_zeisel_cell_00044,1,1,3,1,-2.1524487,-6.585135,43,0.9549872279167176
bbag094_zeisel_cell_00045,1,1,3,1,-2.2838454,-6.021769,44,0.9067134261131288
bbag094_zeisel_cell_00046,1,1,3,1,-2.0658648,-6.6040287,45,0.9316190481185912
bbag094_zeisel_cell_00047,1,1,3,1,-0.8099648,-7.0694084,46,0.8190536499023438
bbag094_zeisel_cell_00048,1,1,3,1,-0.1352992,-6.839493,47,0.9978810548782348
bbag094_zeisel_cell_00049,1,1,3,1,-0.4235692,-6.929144,48,0.9625416994094848
bbag094_zeisel_cell_00050,1,1,3,1,0.026238997,-6.895794,49,0.9321288466453552
bbag094_zeisel_cell_00051,1,1,3,1,-0.076476574,-7.00115,50,0.8699144721031189
bbag094_zeisel_cell_00052,1,1,3,1,-0.09729689,-6.7654133,51,0.8249256610870361
bbag094_zeisel_cell_00053,1,1,3,1,-0.9723168,-7.261739,52,0.9185099601745604
bbag094_zeisel_cell_00054,1,1,3,1,-0.023330357,-7.0274115,53,0.8038550019264221
bbag094_zeisel_cell_00055,1,1,3,1,-0.40268907,-7.201886,54,0.9522616863250732
bbag094_zeisel_cell_00056,1,1,3,1,-0.47289565,-6.955855,55,0.8799720406532288
bbag094_zeisel_cell_00057,1,1,3,1,-0.14677955,-7.110722,56,0.9964482188224792
bbag094_zeisel_cell_00058,1,1,3,1,0.04309006,-6.9614353,57,0.8184670805931091
bbag094_zeisel_cell_00059,1,1,3,1,-0.43424752,-7.0206704,58,0.9936712980270386
bbag094_zeisel_cell_00060,1,1,3,1,-0.44117644,-7.02141,59,1.014841079711914
bbag094_zeisel_cell_00061,1,1,3,1,-0.50279695,-7.0305867,60,1.5549482107162476
bbag094_zeisel_cell_00062,1,1,3,1,-0.49300197,-6.9595323,61,1.393654704093933
bbag094_zeisel_cell_00063,1,1,3,1,-0.74328166,-7.140045,62,1.1000839471817017
bbag094_zeisel_cell_00064,1,1,3,1,-0.4476766,-6.997958,63,1.7942893505096436
bbag094_zeisel_cell_00065,1,1,3,1,-0.46349058,-7.0651298,64,1.0532138347625732
bbag094_zeisel_cell_00066,1,1,3,1,-0.4532043,-7.0229015,65,1.4354289770126345
bbag094_zeisel_cell_00067,1,1,3,1,-0.48339882,-7.0457487,66,0.8388391137123108
bbag094_zeisel_cell_00068,1,1,3,1,-0.500039,-6.9978905,67,1.2105427980422974
bbag094_zeisel_cell_00069,1,1,3,1,-0.2387471,-6.970462,68,1.0829142332077026
bbag094_zeisel_cell_00070,1,1,3,1,0.050546,-7.092884,69,1.0156372785568235
bbag094_zeisel_cell_00071,1,1,3,1,-0.021943346,-6.9775395,70,0.9592838287353516
bbag094_zeisel_cell_00072,1,1,3,1,-0.5867785,-7.025552,71,1.0455236434936523
bbag094_zeisel_cell_00073,1,1,3,1,-0.5032724,-7.044999,72,0.9871671795845032
bbag094_zeisel_cell_00074,1,1,3,1,-0.96976143,-6.9863467,73,1.0910154581069946
bbag094_zeisel_cell_00075,1,1,3,1,-2.212596,-6.5370054,74,1.4673186540603638
bbag094_zeisel_cell_00076,1,1,3,1,-2.1251497,-6.618673,75,0.8931676745414734
bbag094_zeisel_cell_00077,1,1,3,1,-2.143499,-6.616308,76,0.896510660648346
bbag094_zeisel_cell_00078,1,1,3,1,-2.107854,-6.6291437,77,0.9135100841522216
bbag094_zeisel_cell_00079,1,1,3,1,-2.2034454,-6.576448,78,0.8899993896484375
bbag094_zeisel_cell_00080,1,1,3,1,-2.1556592,-6.577505,79,0.776783287525177
bbag094_zeisel_cell_00081,1,1,3,1,-2.048725,-6.6525774,80,0.8320988416671753
bbag094_zeisel_cell_00082,1,1,3,1,-2.1435752,-6.5616417,81,0.8852041363716125
bbag094_zeisel_cell_00083,1,1,3,1,-2.1415353,-6.6045756,82,0.878177285194397
bbag094_zeisel_cell_00084,1,1,3,1,-2.1846404,-6.597195,83,0.9398356080055236
bbag094_zeisel_cell_00085,1,1,3,1,-2.1639404,-6.5713215,84,1.0619893074035645
bbag094_zeisel_cell_00086,1,1,3,1,-2.1330984,-6.524311,85,0.9282947778701782
bbag094_zeisel_cell_00087,1,1,3,1,-2.1601942,-6.552132,86,1.2358427047729492
bbag094_zeisel_cell_00088,1,1,3,1,-2.1563046,-6.6216116,87,0.8670601844787598
bbag094_zeisel_cell_00089,1,1,3,1,-2.1680827,-6.584842,88,1.059356451034546
bbag094_zeisel_cell_00090,1,1,3,1,-2.1794126,-6.5661135,89,0.8711298108100891
bbag094_zeisel_cell_00091,1,1,3,1,-2.1803162,-6.58382,90,0.9198563098907472
bbag094_zeisel_cell_00092,1,1,3,1,-2.2002451,-6.4333677,91,0.8666840195655823
bbag094_zeisel_cell_00093,1,1,3,1,-2.3366766,-6.3691683,92,1.3609613180160522
bbag094_zeisel_cell_00094,1,1,3,1,-2.1483405,-6.541942,93,0.9641864895820618
