dataset,dataset_key,method,method_display,output_png,status,source,n_cells,embedding,Correct,Error normal,Error rare,Error ultrarare
Human testis GSE112013,gse112013_human_testis_raw_counts,scRAW (trial_0017),scRAW,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scraw_trial0017.png,copied_stage_final_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scRAW_stable_generalist_trial_0017_default_v_3_hdbscan_scibe_seed42/stage_umaps/gse112013_human_testis_raw_counts/umaps_batch/4_EndTraining.png,,,,,,
Human testis GSE112013,gse112013_human_testis_raw_counts,scRAW (best per dataset),scRAW finetune,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scraw_finetune.png,missing_or_failed: /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_scibe_rerun_20260402_164112/scraw/best_per_dataset/trial_0047/gse112013_human_testis_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,,,,,,,
Human testis GSE112013,gse112013_human_testis_raw_counts,scNAME,scNAME,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scname.png,copied_existing_scrbenchmark_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/scrbenchmark/gse112013_human_testis_raw_counts/figures/umap_comparison_scname.png,,,,,,
Human testis GSE112013,gse112013_human_testis_raw_counts,scMAE,scMAE,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scmae.png,copied_existing_scrbenchmark_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/scrbenchmark/gse112013_human_testis_raw_counts/figures/umap_comparison_sc_mae.png,,,,,,
Human testis GSE112013,gse112013_human_testis_raw_counts,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__harmony.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/harmony/results/labels/per_cell_harmony_res_0.4.csv,6490.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/harmony/results/embeddings/embedding_harmony.npy,4740.0,1660.0,88.0,2.0
Human testis GSE112013,gse112013_human_testis_raw_counts,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__combat.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/combat/results/labels/per_cell_combat_res_0.2.csv,6490.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/combat/results/embeddings/embedding_combat.npy,4166.0,1952.0,344.0,28.0
Human testis GSE112013,gse112013_human_testis_raw_counts,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scanorama.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/scanorama/results/labels/per_cell_scanorama_res_0.2.csv,6490.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/scanorama/results/embeddings/embedding_scanorama.npy,3650.0,2455.0,381.0,4.0
Human testis GSE112013,gse112013_human_testis_raw_counts,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__desc.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/desc/results/labels/per_cell_desc_res_0.2.csv,6490.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/desc/results/embeddings/embedding_desc_res_0.2.npy,5321.0,1039.0,102.0,28.0
Human testis GSE112013,gse112013_human_testis_raw_counts,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__pca_leiden.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv,6490.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/pca_leiden/results/embeddings/embedding_pca_leiden.npy,4638.0,1661.0,163.0,28.0
Human testis GSE112013,gse112013_human_testis_raw_counts,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scvi.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/gse112013_human_testis_raw_counts/results/labels/per_cell_scvi_res_0.4.csv,6490.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/gse112013_human_testis_raw_counts/results/embeddings/embedding_scvi.npy,4706.0,1702.0,54.0,28.0
