metric,rank_in_plot,family,source_method,method_display,mean,median,n_values,datasets
ARI,1,scRAW,scRAW (trial_0017),scRAW,0.6579155994039932,0.6467455815985468,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
ARI,2,Rare Specific,scAIDE,scAIDE,0.7092582319906124,0.7449662931415897,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
ARI,3,Méthodes généralistes,scMAE,scMAE,0.6860442994215712,0.7307156397564818,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
ARI,4,Correction batch,DESC,DESC,0.6243141894160218,0.684219306080659,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
ACC,1,scRAW,scRAW (trial_0017),scRAW,0.740715105823325,0.7317944684183324,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
ACC,2,Rare Specific,scAIDE,scAIDE,0.7576656639911703,0.7409891339445994,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
ACC,3,Méthodes généralistes,scMAE,scMAE,0.7391630364808313,0.7375878204440312,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
ACC,4,Correction batch,Harmony,Harmony,0.7267969368870886,0.7198466605335192,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
RareACC,1,scRAW,scRAW (trial_0017),scRAW,0.6358607432585514,0.6444679054054054,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
RareACC,2,Rare Specific,CellSIUS,CellSIUS,0.5960987599245814,0.6184471875609281,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
RareACC,3,Méthodes généralistes,scvi,scVI,0.6371723222137278,0.7708496217341172,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
RareACC,4,Correction batch,Harmony,Harmony,0.590197089311001,0.6057301293900185,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
UltraRareACC,1,scRAW,scRAW (trial_0017),scRAW,0.6408203282554717,0.6802721088435374,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow
UltraRareACC,2,Rare Specific,scCAD,scCAD,0.6710571263361625,0.6666666666666666,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow
UltraRareACC,3,Méthodes généralistes,pca_leiden,PCA+Leiden,0.4178385438113906,0.5555555555555556,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow
UltraRareACC,4,Correction batch,Scanorama,Scanorama,0.5745519597932459,0.7542372881355932,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow
Batch correction,1,scRAW,scRAW (trial_0017),scRAW,0.671397766034884,0.6834405307926832,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
Batch correction,2,Rare Specific,DeepScena,DeepScena,0.6246760182335662,0.6237301223216238,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
Batch correction,3,Méthodes généralistes,scvi,scVI,0.7343218110962382,0.729150439646714,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
Batch correction,4,Correction batch,Harmony,Harmony,0.68968109354309,0.7313214287072889,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver
