metric,family,source_method,method_display,mean,std,n_values,datasets,na_datasets,rank_after_global_sort
ARI,Rare Specific,scAIDE,scAIDE,0.7092582319906124,0.1915685182599105,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,1
ARI,Méthodes généralistes,scMAE,scMAE,0.6860442994215712,0.1745014469070192,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,2
ARI,scRAW,scRAW,scRAW,0.6579155994039932,0.23611258707557026,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,3
ARI,Correction batch,DESC,DESC,0.6243141894160218,0.22418147525552137,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,4
ARI,Correction batch,Harmony,Harmony,0.6213070160342374,0.2227948079800915,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,5
ARI,Méthodes généralistes,scNAME,scNAME,0.6160999425610424,0.12157136803087036,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,6
ARI,Méthodes généralistes,scvi,scVI,0.6090311196574908,0.2037573917100526,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,7
ARI,Correction batch,ComBat,ComBat,0.5516802034657113,0.29209267096311586,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,8
ARI,Rare Specific,CellSIUS,CellSIUS,0.5326782011454534,0.1470709862489548,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,9
ARI,Rare Specific,DeepScena,DeepScena,0.47701536058891514,0.2590531096192811,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,10
ACC,Rare Specific,scAIDE,scAIDE,0.7576656639911703,0.14963232141438335,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,1
ACC,scRAW,scRAW,scRAW,0.740715105823325,0.16928368244505304,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,2
ACC,Méthodes généralistes,scMAE,scMAE,0.7391630364808313,0.13799907576619597,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,3
ACC,Méthodes généralistes,scvi,scVI,0.7283974857748325,0.16036376110509257,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,4
ACC,Correction batch,Harmony,Harmony,0.7267969368870886,0.15392524654921547,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,5
ACC,Correction batch,DESC,DESC,0.7084007751052701,0.18955307196153548,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,6
ACC,Méthodes généralistes,scNAME,scNAME,0.7050519458860273,0.11426003195687283,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,7
ACC,Correction batch,ComBat,ComBat,0.6672527180989711,0.20090292896134346,8,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow; Tabula Muris liver,,8
