mode_key,mode,algorithm_key,Methode,cell_type,error_rate,support_mean,support_min,support_max
inductive,Inductif,sc_mae,scMAE,t_cell,1.0,1.0,1.0,1.0
inductive,Inductif,sc_mae,scMAE,schwann,0.0,1.0,1.0,1.0
inductive,Inductif,sc_mae,scMAE,epsilon,1.0,1.0,1.0,1.0
inductive,Inductif,sc_mae,scMAE,mast,0.0,1.0,1.0,1.0
inductive,Inductif,sc_mae,scMAE,macrophage,0.0,10.0,10.0,10.0
inductive,Inductif,sc_mae,scMAE,quiescent_stellate,0.19999999999999996,5.0,5.0,5.0
inductive,Inductif,sc_mae,scMAE,endothelial,0.0,7.0,7.0,7.0
inductive,Inductif,sc_mae,scMAE,gamma,0.9841269841269842,63.0,63.0,63.0
inductive,Inductif,sc_mae,scMAE,activated_stellate,0.15384615384615385,52.0,52.0,52.0
inductive,Inductif,sc_mae,scMAE,delta,0.00990099009900991,101.0,101.0,101.0
inductive,Inductif,sc_mae,scMAE,acinar,0.5,2.0,2.0,2.0
inductive,Inductif,sc_mae,scMAE,ductal,0.3821428571428571,280.0,280.0,280.0
inductive,Inductif,sc_mae,scMAE,alpha,0.221830985915493,284.0,284.0,284.0
inductive,Inductif,sc_mae,scMAE,beta,0.016161616161616155,495.0,495.0,495.0
inductive,Inductif,scdeepcluster,scDeepCluster,t_cell,1.0,1.0,1.0,1.0
inductive,Inductif,scdeepcluster,scDeepCluster,schwann,0.0,1.0,1.0,1.0
inductive,Inductif,scdeepcluster,scDeepCluster,epsilon,1.0,1.0,1.0,1.0
inductive,Inductif,scdeepcluster,scDeepCluster,mast,1.0,1.0,1.0,1.0
inductive,Inductif,scdeepcluster,scDeepCluster,macrophage,0.0,10.0,10.0,10.0
inductive,Inductif,scdeepcluster,scDeepCluster,quiescent_stellate,0.19999999999999996,5.0,5.0,5.0
inductive,Inductif,scdeepcluster,scDeepCluster,endothelial,0.0,7.0,7.0,7.0
inductive,Inductif,scdeepcluster,scDeepCluster,gamma,1.0,63.0,63.0,63.0
inductive,Inductif,scdeepcluster,scDeepCluster,activated_stellate,0.42307692307692313,52.0,52.0,52.0
inductive,Inductif,scdeepcluster,scDeepCluster,delta,0.02970297029702973,101.0,101.0,101.0
inductive,Inductif,scdeepcluster,scDeepCluster,acinar,0.5,2.0,2.0,2.0
inductive,Inductif,scdeepcluster,scDeepCluster,ductal,0.5714285714285714,280.0,280.0,280.0
inductive,Inductif,scdeepcluster,scDeepCluster,alpha,0.37676056338028174,284.0,284.0,284.0
inductive,Inductif,scdeepcluster,scDeepCluster,beta,0.37777777777777777,495.0,495.0,495.0
inductive,Inductif,scname,scNAME,t_cell,0.0,1.0,1.0,1.0
inductive,Inductif,scname,scNAME,schwann,1.0,1.0,1.0,1.0
inductive,Inductif,scname,scNAME,epsilon,1.0,1.0,1.0,1.0
inductive,Inductif,scname,scNAME,mast,1.0,1.0,1.0,1.0
inductive,Inductif,scname,scNAME,macrophage,0.0,10.0,10.0,10.0
inductive,Inductif,scname,scNAME,quiescent_stellate,0.19999999999999996,5.0,5.0,5.0
inductive,Inductif,scname,scNAME,endothelial,0.0,7.0,7.0,7.0
inductive,Inductif,scname,scNAME,gamma,0.0,63.0,63.0,63.0
inductive,Inductif,scname,scNAME,activated_stellate,0.0,52.0,52.0,52.0
inductive,Inductif,scname,scNAME,delta,0.00990099009900991,101.0,101.0,101.0
inductive,Inductif,scname,scNAME,acinar,0.0,2.0,2.0,2.0
