mode_key,mode,algorithm_key,Methode,NMI,ARI,ACC,BalancedACC,F1Macro,RareACC,UltraRareACC,BatchCorrection,n_eval,n_rare_cells,n_ultrarare_cells,min_class_support
inductive,Inductif,pca_kmeans,PCA+KMeans,0.7420942235088482,0.540567760435247,0.6118241929210424,0.5815941680197466,0.5485225273618767,0.6450617283950617,0.5,0.5773622444238237,1714.0,216.0,22.0,2.0
inductive,Inductif,pca_leiden,PCA+Leiden,0.8136282401983067,0.7536131263206571,0.8150525087514585,0.48801092726636136,0.42497362070561895,0.39197530864197533,0.5,0.5785291322315782,1714.0,216.0,22.0,2.0
inductive,Inductif,sc_mae,scMAE,0.8534372915798478,0.7949660632308228,0.7423181641384676,0.6898170398856237,0.6731112741598949,0.6466049382716049,0.7575757575757577,0.5265579975840012,1714.0,216.0,22.0,2.0
inductive,Inductif,scdeepcluster,scDeepCluster,0.8537893653415365,0.7948666549901181,0.7819914430182808,0.6552956040179576,0.6648504805277216,0.8549382716049383,0.48484848484848486,0.6016130331968585,1714.0,216.0,22.0,2.0
inductive,Inductif,scname,scNAME,0.8268164963578889,0.7065183286342971,0.7203422792687671,0.6090147254261323,0.6209040819097631,0.7839506172839507,0.45454545454545453,0.6041440278326807,1714.0,216.0,22.0,2.0
transductive,Transductif,pca_kmeans,PCA+KMeans,0.8022118424030159,0.7868486907886365,0.8013381569222391,0.599165762500219,0.5817883446684188,0.5246457178065311,0.6327683615819208,0.5056161065931732,8569.0,1082.0,118.0,7.0
transductive,Transductif,pca_leiden,PCA+Leiden,0.8554646856774788,0.8658819312186309,0.8753646866612207,0.5045206748790606,0.4510470816084908,0.4639556377079482,0.46610169491525416,0.504533567394163,8569.0,1082.0,118.0,7.0
transductive,Transductif,sc_mae,scMAE,0.8152525970006238,0.7701011474468133,0.7311238184152176,0.6029412585169898,0.6175432468639172,0.6118299445471349,0.6864406779661016,0.4965833644073405,8569.0,1082.0,118.0,7.0
transductive,Transductif,scdeepcluster,scDeepCluster,0.8415201054517008,0.7881789059777599,0.7704516279612558,0.6099054250643028,0.601594630223672,0.8564386937769563,0.3389830508474576,0.5298322307617049,8569.0,1082.0,118.0,7.0
transductive,Transductif,scname,scNAME,0.8457186504222763,0.7504368822621067,0.7603376512234021,0.6126562325254015,0.624181260809578,0.8955637707948244,0.4435028248587571,0.514250159357403,8569.0,1082.0,118.0,7.0
