mode_key,mode,algorithm_key,Methode,NMI,ARI,ACC,BalancedACC,F1Macro,RareACC,UltraRareACC,n_eval,n_rare_cells,n_ultrarare_cells,min_class_support
inductive,Inductif,pca_kmeans,PCA+KMeans,0.5960171921340633,0.37071885667250104,0.50293542074364,0.4960786509459011,0.45060989692390957,0.5609756097560976,0.7272727272727273,1022.0,123.0,22.0,1.0
inductive,Inductif,pca_leiden,PCA+Leiden,0.6333267887295925,0.3669705323589447,0.43855185909980426,0.42347107152262015,0.41691750603558686,0.5772357723577236,0.2818181818181818,1022.0,123.0,22.0,1.0
inductive,Inductif,sc_mae,scMAE,0.6739640855584152,0.4352690977430934,0.5258317025440313,0.4415263640310923,0.4494330489755042,0.5089430894308944,0.32727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,scdeepcluster,scDeepCluster,0.6885420534696689,0.4388485481762143,0.5428571428571429,0.5222070895959467,0.5268449276652026,0.7723577235772358,0.38181818181818183,1022.0,123.0,22.0,1.0
inductive,Inductif,scname,scNAME,0.6875107291534795,0.4593170990239095,0.5592954990215264,0.44014485122469604,0.44106372776643604,0.5024390243902439,0.23636363636363633,1022.0,123.0,22.0,1.0
inductive,Inductif,simple_autoencoder,Simple AE,0.6166855600852512,0.396654076844945,0.5041095890410958,0.4651052094654414,0.4283076010176773,0.5577235772357724,0.5727272727272728,1022.0,123.0,22.0,1.0
transductive,Transductif,pca_kmeans,PCA+KMeans,0.6638871790775568,0.5463320385512829,0.6265763348537698,0.49157603893638513,0.4843749619450003,0.5976284584980237,0.4518918918918919,14908.0,1771.0,185.0,7.0
transductive,Transductif,pca_leiden,PCA+Leiden,0.6649882661447668,0.4772646683582914,0.5565602361148377,0.45459817700599425,0.4439599736640944,0.5957086391869001,0.4756756756756757,14908.0,1771.0,185.0,7.0
transductive,Transductif,sc_mae,scMAE,0.6859397667929926,0.5335061837865436,0.6318486718540381,0.5514692784646815,0.5115775039576511,0.5489553924336533,0.7016216216216217,14908.0,1771.0,185.0,7.0
transductive,Transductif,scdeepcluster,scDeepCluster,0.7039320744715133,0.4486009566155694,0.5295680171719882,0.5354321642276576,0.544834198295647,0.8042913608130998,0.5524324324324323,14908.0,1771.0,185.0,7.0
transductive,Transductif,scname,scNAME,0.7034605019901095,0.5069636508969266,0.5839415079152133,0.4693775183231573,0.45196300790564087,0.5313382269904009,0.4486486486486487,14908.0,1771.0,185.0,7.0
transductive,Transductif,simple_autoencoder,Simple AE,0.6701328992590849,0.49810892747978197,0.5671317413469279,0.497800928250023,0.48106136761047613,0.6661773009599097,0.4864864864864865,14908.0,1771.0,185.0,7.0
