metric,dataset,scraw,scname,sc_mae,scdeepcluster,scaide,scvi
ARI,Baron pancreas,0.9102019141574615,0.65918596579025,0.86354440190575,0.70252336110975,0.8316535083017994,0.5484769503090078
ARI,BBAG094 spleen,0.894023652669759,0.669368710262,0.5645200476,0.416966362408,0.9429487906132052,0.0034684983110352
ARI,Human testis,0.5806911015922525,0.5749009897390001,0.5926663163970001,0.597235094094,0.5671277593250602,0.6319154684524306
ARI,Kang PBMC,0.7076056076962203,0.699435451969,0.634159180111,0.4577942827915,0.694106344911839,0.5671736277200957
ARI,Macaque retina,0.8012020529623045,0.463179138327,0.9538133624875,0.6450939068020001,0.8076257331702935,0.9206102773078744
ARI,Pancreas 4 batches,0.8255501920709855,0.7140136135805,0.688458603616,0.5528077494785,0.7543780550995317,0.31529685160811083
ACC,Baron pancreas,0.9079098586080343,0.72381267293825,0.843665451115,0.7260541326745,0.8302476351158481,0.6043318690001933
ACC,BBAG094 spleen,0.9177086362314626,0.858679848793,0.772317534167,0.597557429485,0.943297470194824,0.3634777551613841
ACC,Human testis,0.6686376762035031,0.6659874995249999,0.678487974467,0.7482902085945,0.684204693694036,0.7816453892625099
ACC,Kang PBMC,0.7977244056095598,0.7262921026565,0.706013753018,0.5913033635685,0.7099492678471921,0.6974858367902916
ACC,Macaque retina,0.8129560924958956,0.645764687624,0.971875540078,0.706443237686,0.7849291104666714,0.9379135648073722
ACC,Pancreas 4 batches,0.850658494548452,0.7805158675645,0.7670353070475,0.6838180194579999,0.8242406549351184,0.5663927362649714
Rare ACC,Baron pancreas,0.7343516667995749,0.7618144886105,0.62371579994425,0.74537529321775,0.7068913923238503,0.7191736298707886
Rare ACC,BBAG094 spleen,0.971153846153846,0.884615384615,0.807692307692,0.817307692308,0.7980769230769231,0.2307692307692307
Rare ACC,Human testis,0.9170731707317072,0.9232803507809999,0.93865442587,0.91108522883,0.9118251575774183,0.9105645382296519
Rare ACC,Kang PBMC,0.2691117582817619,0.311066618129,0.16336002912300002,0.3360939206408,0.4113578449217328,0.655533309064434
Rare ACC,Macaque retina,0.7404052936311001,0.560959470637,0.8715880893300001,0.5626137303555,0.522870140612076,0.862944582299421
Rare ACC,Pancreas 4 batches,0.8789887088856161,0.705645557192,0.8730486008835,0.35395189003455,0.8551791850760923,0.4502700049091801
Balanced Rare ACC,Baron pancreas,0.6615515771526002,0.5160491118654482,0.5755463077424927,0.5367105291262366,0.6209017915024415,0.39709626964008
Balanced Rare ACC,BBAG094 spleen,0.963095238095238,0.7761904761904761,0.5,0.525,0.494047619047619,0.1428571428571428
Balanced Rare ACC,Human testis,0.938052398989899,0.7952877964426878,0.9340121884958841,0.786623023715415,0.9147271734907605,0.7496710405134317
Balanced Rare ACC,Kang PBMC,0.4042339774047091,0.24016430723747795,0.2191197691197691,0.3459349593495935,0.3958572592718934,0.5700466200466201
Balanced Rare ACC,Macaque retina,0.700609986714269,0.4255923787053736,0.7604190323194733,0.47515700980926767,0.375896257226784,0.7488395919028337
Balanced Rare ACC,Pancreas 4 batches,0.5233670634920635,0.4134356261022927,0.4697231040564374,0.26603703703703707,0.4872222222222222,0.2613244569757728
Ultra Rare ACC,Baron pancreas,0.7369727047146402,0.58959588798325,0.60336169207125,0.61382636181025,0.7221434479498995,0.4280766276734018
Ultra Rare ACC,BBAG094 spleen,0.95,0.6,0.0,0.05,0.0,0.0
Ultra Rare ACC,Human testis,1.0,0.35,0.875,0.35,0.875,0.2
Ultra Rare ACC,Kang PBMC,0.9,0.0,0.4,0.5,0.3,0.2
Ultra Rare ACC,Macaque retina,0.7653688524590163,0.2540983606555,0.4426229508195,0.4262295081965,0.22950819672131145,0.36577868852459017
Ultra Rare ACC,Pancreas 4 batches,0.38636363636363635,0.3863636363635,0.340909090909,0.05,0.29545454545454547,0.19545454545454544
