method,method_display,metric,metric_label,mean_value,std_value,n_datasets,sem_value
scRAW (default),scRAW (default),ARI,ARI,0.6312716730163858,0.24171041924000536,8,0.08545753826402556
scRAW (stable_generalist),scRAW (trial 0017),ARI,ARI,0.6579155994039932,0.23611258707557026,8,0.08347840572231745
scRAW (best per dataset),scRAW (best per dataset),ARI,ARI,0.6905315235080661,0.1841607043384985,8,0.06511064143292156
scNAME,scNAME,ARI,ARI,0.6160999425610424,0.12157136803087037,8,0.042981969366376944
scMAE,scMAE,ARI,ARI,0.6860442994215712,0.17450144690701921,8,0.061695578217408786
Harmony,Harmony,ARI,ARI,0.6213070160342374,0.22279480798009146,8,0.0787698597679387
ComBat,ComBat,ARI,ARI,0.5516802034657113,0.29209267096311586,8,0.1032703541864551
Scanorama,Scanorama,ARI,ARI,0.5213421556296265,0.1568918738978137,8,0.055469653973104376
DESC,DESC,ARI,ARI,0.6243141894160219,0.22418147525552137,8,0.07926012068479169
pca_leiden,PCA+Leiden,ARI,ARI,0.5617810111730835,0.14575225592811103,8,0.05153120427000224
scvi,scVI,ARI,ARI,0.6090311196574908,0.20375739171005267,8,0.07203911669753092
scRAW (default),scRAW (default),BalancedACC,Balanced Acc,0.6355192912071133,0.23071279083841598,8,0.08156928945415876
scRAW (stable_generalist),scRAW (trial 0017),BalancedACC,Balanced Acc,0.6759937324899512,0.1839717964430893,8,0.0650438524059898
scRAW (best per dataset),scRAW (best per dataset),BalancedACC,Balanced Acc,0.66083128469629,0.17877035491606322,8,0.06320486511813707
scNAME,scNAME,BalancedACC,Balanced Acc,0.6289199535419496,0.1443150388829009,8,0.051023071310649745
scMAE,scMAE,BalancedACC,Balanced Acc,0.6477854156556789,0.10038669773235984,8,0.03549205735373792
Harmony,Harmony,BalancedACC,Balanced Acc,0.6718590674508937,0.17437093070247806,8,0.06164943377076589
ComBat,ComBat,BalancedACC,Balanced Acc,0.6064901197370972,0.2627728870035676,8,0.09290424515609452
Scanorama,Scanorama,BalancedACC,Balanced Acc,0.5901531487703898,0.1158381126952804,8,0.04095495750334213
DESC,DESC,BalancedACC,Balanced Acc,0.5909463897888452,0.16182788301510848,8,0.057214796732523256
pca_leiden,PCA+Leiden,BalancedACC,Balanced Acc,0.6409437003576616,0.12206880019493971,8,0.043157838194573805
scvi,scVI,BalancedACC,Balanced Acc,0.6682506578464908,0.17040254647260278,8,0.06024639807111661
scRAW (default),scRAW (default),Batch correction,Batch correction,0.667165209444369,0.14439164887188927,8,0.0510501570320099
scRAW (stable_generalist),scRAW (trial 0017),Batch correction,Batch correction,0.6713977660348841,0.14232992984721404,8,0.050321229280385314
scRAW (best per dataset),scRAW (best per dataset),Batch correction,Batch correction,0.7387474229754815,0.2142879875413921,4,0.10714399377069606
scNAME,scNAME,Batch correction,Batch correction,0.532788785069919,0.1195586805894905,8,0.04227037689727259
scMAE,scMAE,Batch correction,Batch correction,0.5909968856017066,0.17218057348593024,8,0.06087502555024497
Harmony,Harmony,Batch correction,Batch correction,0.68968109354309,0.1911440236442993,8,0.0675796176510829
ComBat,ComBat,Batch correction,Batch correction,0.6002236776691243,0.2451422097830259,8,0.0866708594463164
Scanorama,Scanorama,Batch correction,Batch correction,0.580233721691123,0.17641701004687552,8,0.06237283206040048
DESC,DESC,Batch correction,Batch correction,0.61465439761204,0.1612340674334873,8,0.05700485122025398
pca_leiden,PCA+Leiden,Batch correction,Batch correction,0.6119255972754176,0.14975848597634786,8,0.052947620487053024
scvi,scVI,Batch correction,Batch correction,0.7343218110962381,0.16386287732138063,8,0.057934275869343785
scRAW (default),scRAW (default),RareACC,Rare Acc,0.5722818386752239,0.4098184647997426,8,0.1448927077576792
scRAW (stable_generalist),scRAW (trial 0017),RareACC,Rare Acc,0.6358607432585514,0.30521877283082255,8,0.10791113200705549
scRAW (best per dataset),scRAW (best per dataset),RareACC,Rare Acc,0.583466996151548,0.33470921507104767,8,0.11833757785118218
scNAME,scNAME,RareACC,Rare Acc,0.6080600206909406,0.34086430330209344,8,0.12051373016466917
scMAE,scMAE,RareACC,Rare Acc,0.5798247808197858,0.29158346348845554,8,0.1030903221572735
Harmony,Harmony,RareACC,Rare Acc,0.590197089311001,0.35170044197305583,8,0.12434488373272681
ComBat,ComBat,RareACC,Rare Acc,0.519383088983615,0.37827608960538434,8,0.13374079406034867
Scanorama,Scanorama,RareACC,Rare Acc,0.47348746031445516,0.2614929385567537,8,0.09245171504293888
DESC,DESC,RareACC,Rare Acc,0.5520560359921862,0.37550078110606233,8,0.13275957433047103
pca_leiden,PCA+Leiden,RareACC,Rare Acc,0.6036654000316154,0.3481766332916197,8,0.12309902922560305
scvi,scVI,RareACC,Rare Acc,0.6371723222137279,0.3440600229569539,8,0.12164358768403066
