dataset,dataset_key,method,method_display,ARI,BalancedACC,RareACC,Batch correction,result_row_id,trial_id,selected_final_method,source_type,prediction_status,has_prediction_table
BBAG094 Zeisel,bbag094_zeisel,scRAW (default),scRAW (default),0.3797317199711546,0.5687472451980897,0.7135135135135136,0.3833499430842696,TR206R_0001,,hdbscan_final,single_seed_seed60_stage_umaps_rerun,ok,True
BBAG094 Zeisel,bbag094_zeisel,scRAW (trial_0017),scRAW (trial 0017),0.4301883295024661,0.5695202861675058,0.6108108108108108,0.4000360971162749,TR206R_0018,trial_0017,leiden_target10_final,single_seed_generalist_trial_0017,missing,False
BBAG094 Zeisel,bbag094_zeisel,scRAW (best per dataset),scRAW (best per dataset),0.742705253370915,0.7228827418079924,0.7891891891891892,0.4181204355813527,REPORT_BEST_0006,trial_0011,,report_stage1_best_per_dataset,classwise_report_source,False
BBAG094 Zeisel,bbag094_zeisel,scNAME,scNAME,0.6446862569069801,0.7507558898946757,0.8756756756756757,0.3819747280121182,TR206R_0010,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
BBAG094 Zeisel,bbag094_zeisel,scMAE,scMAE,0.6915778760086706,0.7488154918637718,0.772972972972973,0.4079239860378605,TR206R_0011,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
BBAG094 Zeisel,bbag094_zeisel,Harmony,Harmony,0.3877432473485119,0.4941708484208739,0.4,0.2541259979715826,TR206R_0012,,,baseline_completion_key04_completion_20260330_111233,ok,True
BBAG094 Zeisel,bbag094_zeisel,ComBat,ComBat,0.0,0.1,0.0,0.0578811186339024,TR206R_0013,,,baseline_completion_key04_completion_20260330_111233,ok,True
BBAG094 Zeisel,bbag094_zeisel,Scanorama,Scanorama,0.6323066051146811,0.6489228730178531,0.4864864864864865,0.3780963795935355,TR206R_0014,,,baseline_completion_key04_completion_20260330_111233,ok,True
BBAG094 Zeisel,bbag094_zeisel,DESC,DESC,0.7522691340613057,0.6647736723949901,0.4972972972972973,0.2916884237332118,TR206R_0015,,,baseline_completion_key04_completion_20260330_111233,ok,True
BBAG094 Zeisel,bbag094_zeisel,pca_leiden,PCA+Leiden,0.6323066051146811,0.6489228730178531,0.4864864864864865,0.3791070589542258,TR206R_0019,pca_leiden,,,missing,False
BBAG094 Zeisel,bbag094_zeisel,scvi,scVI,0.5133594314543674,0.6478258705197553,0.6270270270270271,0.4423447401311677,TR206R_0238,,,scvi_article_baseline,ok,True
BBAG094 spleen,bbag094_spleen,scRAW (default),scRAW (default),0.8305026735354846,0.8212046532112399,0.8192934782608695,0.7639039931100219,TR206R_0020,,hdbscan_final,single_seed_seed60_stage_umaps_rerun,ok,True
BBAG094 spleen,bbag094_spleen,scRAW (trial_0017),scRAW (trial 0017),0.8700744463231944,0.7309318547414984,0.5285326086956522,0.7909291345199329,TR206R_0037,trial_0017,leiden_target5_final,single_seed_generalist_trial_0017,missing,False
BBAG094 spleen,bbag094_spleen,scRAW (best per dataset),scRAW (best per dataset),0.7628594160294304,0.7163846268808484,0.5135869565217391,,REPORT_BEST_0007,trial_0046,,report_stage1_best_per_dataset,classwise_report_source,False
BBAG094 spleen,bbag094_spleen,scNAME,scNAME,0.6891157731172967,0.888179813188874,0.9130434782608696,0.6748795138601138,TR206R_0029,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
BBAG094 spleen,bbag094_spleen,scMAE,scMAE,0.9195723061274058,0.717873800852001,0.7092391304347826,0.5508830288905475,TR206R_0030,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
BBAG094 spleen,bbag094_spleen,Harmony,Harmony,0.5179008566834543,0.8313097042299045,0.9904891304347826,0.8111773863951631,TR206R_0031,,,baseline_completion_key04_completion_20260330_111233,ok,True
BBAG094 spleen,bbag094_spleen,ComBat,ComBat,0.5799446467814835,0.8403386751616477,0.9782608695652174,0.7778388996631098,TR206R_0032,,,baseline_completion_key04_completion_20260330_111233,ok,True
BBAG094 spleen,bbag094_spleen,Scanorama,Scanorama,0.4483547162442923,0.7656708987548877,0.7989130434782609,0.5136106612659674,TR206R_0033,,,baseline_completion_key04_completion_20260330_111233,ok,True
BBAG094 spleen,bbag094_spleen,DESC,DESC,0.3361022083228794,0.5870449558549969,0.9334239130434784,0.5420230178008654,TR206R_0034,,,baseline_completion_key04_completion_20260330_111233,ok,True
BBAG094 spleen,bbag094_spleen,pca_leiden,PCA+Leiden,0.4329535845203762,0.8100642576344373,0.9918478260869564,0.5542372781112341,TR206R_0038,pca_leiden,,,missing,False
BBAG094 spleen,bbag094_spleen,scvi,scVI,0.5720050774011771,0.9125143151551725,0.9334239130434784,0.8365897766791757,TR206R_0239,,,scvi_article_baseline,ok,True
Baron human pancreas,baron_human_pancreas,scRAW (default),scRAW (default),0.8868876015915355,0.9093277456007366,0.9390018484288356,0.667782543082711,TR206R_0039,,hdbscan_final,single_seed_scraw_repo_default_40seeds_deep2_seed60,ok,True
Baron human pancreas,baron_human_pancreas,scRAW (trial_0017),scRAW (trial 0017),0.9158965181979905,0.8702221194567779,0.8955637707948244,0.5749552605057935,TR206R_0056,trial_0017,leiden_target14_final,single_seed_generalist_trial_0017,missing,False
Baron human pancreas,baron_human_pancreas,scRAW (best per dataset),scRAW (best per dataset),0.9484638833164296,0.8178647356775014,0.8234750462107209,,REPORT_BEST_0008,trial_0001,,report_stage1_best_per_dataset,classwise_report_source,False
Baron human pancreas,baron_human_pancreas,scNAME,scNAME,0.708049479745054,0.6055116704019524,0.8927911275415896,0.493452522405769,TR206R_0048,,,scrbenchmark_historical_baron_crossalgo_seed42_metrics,ok,True
Baron human pancreas,baron_human_pancreas,scMAE,scMAE,0.7698534035042929,0.6077221631109196,0.6155268022181146,0.4983273460197106,TR206R_0049,,,scrbenchmark_historical_baron_crossalgo_seed42_metrics,ok,True
Baron human pancreas,baron_human_pancreas,Harmony,Harmony,0.8506457118079013,0.7545993782092808,0.8114602587800369,0.7365166477963205,TR206R_0050,,,baseline_completion_key04_completion_20260330_111233,ok,True
Baron human pancreas,baron_human_pancreas,ComBat,ComBat,0.6534719573482087,0.7105226460943281,0.8123844731977818,0.565611491307011,TR206R_0051,,,baseline_completion_key04_completion_20260330_111233,ok,True
Baron human pancreas,baron_human_pancreas,Scanorama,Scanorama,0.620705451463,0.6877896007074608,0.7384473197781886,0.53044876637796,TR206R_0052,,,baseline_completion_key04_completion_20260330_111233,ok,True
Baron human pancreas,baron_human_pancreas,DESC,DESC,0.9182154796884484,0.6222480414812186,0.7763401109057301,0.6966085416564778,TR206R_0053,,,baseline_completion_key04_completion_20260330_111233,ok,True
Baron human pancreas,baron_human_pancreas,pca_leiden,PCA+Leiden,0.6657082726176691,0.7162766791066312,0.8123844731977818,0.5484810301653094,TR206R_0057,pca_leiden,,,missing,False
Baron human pancreas,baron_human_pancreas,scvi,scVI,0.6211343823250206,0.6271309826707803,0.9177449168207024,0.6295033373683816,TR206R_0240,,,scvi_article_baseline,ok,True
Human testis GSE112013,gse112013_human_testis_raw_counts,scRAW (default),scRAW (default),0.4842238411591126,0.7019543050413355,0.922996878251821,0.7430167960382565,TR206R_0058,,hdbscan_final,single_seed_seed60_stage_umaps_rerun,ok,True
Human testis GSE112013,gse112013_human_testis_raw_counts,scRAW (trial_0017),scRAW (trial 0017),0.6107002323051303,0.7963247792238903,0.9667013527575442,0.7303536766041685,TR206R_0075,trial_0017,leiden_target13_final,single_seed_generalist_trial_0017,missing,False
Human testis GSE112013,gse112013_human_testis_raw_counts,scRAW (best per dataset),scRAW (best per dataset),0.6012473824405237,0.751510768938332,0.9490114464099896,,REPORT_BEST_0001,trial_0047,,report_stage1_best_per_dataset,classwise_report_source,False
Human testis GSE112013,gse112013_human_testis_raw_counts,scNAME,scNAME,0.6310878412219612,0.7232561936980036,0.8345473465140478,0.6788287964074947,TR206R_0067,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
Human testis GSE112013,gse112013_human_testis_raw_counts,scMAE,scMAE,0.651134476247592,0.731676946453528,0.8470343392299687,0.6988296443165273,TR206R_0068,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
Human testis GSE112013,gse112013_human_testis_raw_counts,Harmony,Harmony,0.6523338776655068,0.8132452063547618,0.9063475546305932,0.7969653197013047,TR206R_0069,,,baseline_completion_key04_completion_20260330_111233,ok,True
Human testis GSE112013,gse112013_human_testis_raw_counts,ComBat,ComBat,0.5689312456945296,0.6193556486257177,0.6129032258064516,0.5622311952565553,TR206R_0070,,,baseline_completion_key04_completion_20260330_111233,ok,True
Human testis GSE112013,gse112013_human_testis_raw_counts,Scanorama,Scanorama,0.4705710682053854,0.6288233483812332,0.5993756503642039,0.6343596589136683,TR206R_0071,,,baseline_completion_key04_completion_20260330_111233,ok,True
Human testis GSE112013,gse112013_human_testis_raw_counts,DESC,DESC,0.668399343098342,0.7924594091474122,0.8647242455775234,0.7784449378644452,TR206R_0072,,,baseline_completion_key04_completion_20260330_111233,ok,True
Human testis GSE112013,gse112013_human_testis_raw_counts,pca_leiden,PCA+Leiden,0.6263413988607033,0.7589806035619334,0.9209157127991676,0.6622977291899567,TR206R_0076,pca_leiden,,,missing,False
Human testis GSE112013,gse112013_human_testis_raw_counts,scvi,scVI,0.5938167523297926,0.747900678920652,0.9146722164412072,0.7754604613797713,TR206R_0241,,,scvi_article_baseline,ok,True
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,scRAW (default),scRAW (default),0.5633272640306458,0.3686033168687582,0.0,0.6679089911854729,TR206R_0077,,hdbscan_final,single_seed_seed60_stage_umaps_rerun,ok,True
