dataset,dataset_key,reference_method,finetune_method,n_metrics_available,mean_delta_available,n_metrics_better,include_finetune,ARI_scraw,ARI_finetune,ARI_delta,BalancedACC_scraw,BalancedACC_finetune,BalancedACC_delta,RareACC_scraw,RareACC_finetune,RareACC_delta,Batch correction_scraw,Batch correction_finetune,Batch correction_delta
BBAG094 Zeisel,bbag094_zeisel,scRAW (stable_generalist),scRAW (best per dataset),4,0.1655855240880979,4,True,0.4301883295024661,0.742705253370915,0.31251692386844887,0.5695202861675058,0.7228827418079924,0.15336245564048656,0.6108108108108108,0.7891891891891892,0.17837837837837844,0.4000360971162749,0.4181204355813527,0.018084338465077787
BBAG094 spleen,bbag094_spleen,scRAW (stable_generalist),scRAW (best per dataset),3,-0.04556930344277569,0,False,0.8700744463231944,0.7628594160294304,-0.107215030293764,0.7309318547414984,0.7163846268808484,-0.014547227860649992,0.5285326086956522,0.5135869565217391,-0.014945652173913082,0.7909291345199329,,
Baron human pancreas,baron_human_pancreas,scRAW (stable_generalist),scRAW (best per dataset),3,-0.03062624774831361,1,False,0.9158965181979905,0.9484638833164296,0.03256736511843916,0.8702221194567779,0.8178647356775014,-0.052357383779276456,0.8955637707948244,0.8234750462107209,-0.07208872458410354,0.5749552605057935,,
Human testis GSE112013,gse112013_human_testis_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),3,-0.02398558883257318,0,False,0.6107002323051303,0.6012473824405237,-0.009452849864606594,0.7963247792238903,0.751510768938332,-0.044814010285558314,0.9667013527575442,0.9490114464099896,-0.01768990634755463,0.7303536766041685,,
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),4,-0.005940285932361844,2,False,0.5459843343891061,0.6379772407063429,0.09199290631723678,0.5641141790530496,0.5538759196364093,-0.01023825941664036,0.678125,0.415625,-0.26249999999999996,0.6843171205513716,0.8413013299213278,0.15698420936995616
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),3,-0.06804918197829335,0,False,0.9244654129213528,0.8239553047227518,-0.10051010819860096,0.914858085822702,0.8553625622778421,-0.059495523544859874,0.957920792079208,0.9137788778877888,-0.04414191419141922,0.6374791031394675,,
Pancreas,pancreas_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),0,,0,False,,,,,,,,,,,,
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,scRAW (stable_generalist),scRAW (best per dataset),0,,0,False,,,,,,,,,,,,
Paul15 bone marrow,paul15_bone_marrow_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),4,0.03200330359265907,3,True,0.2832245907007426,0.3240185365807878,0.0407939458800452,0.3697830604541274,0.3077849904166553,-0.0619980700374721,0.1263616557734204,0.1285403050108932,0.002178649237472796,0.6825639410339949,0.8296026303245853,0.14703868929059039
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),0,,0,False,,,,,,,,,,,,
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),0,,0,False,,,,,,,,,,,,
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),0,,0,False,,,,,,,,,,,,
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),4,-0.05597515724205771,1,False,0.6827909308919632,0.6830251708973476,0.0002342400053844118,0.5921954950000582,0.5609839319347395,-0.031211563065318693,0.3228699551569506,0.1345291479820627,-0.1883408071748879,0.8705477948080688,0.8659652960746601,-0.0045824987334086575
