cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch,umap_1,umap_2,scraw_reconstruction_weight
0,0,5,acinar,acinar,human1,-2.4142816,12.960817,0.8200136423110962
1,1,5,acinar,acinar,human1,-3.511591,15.637107,1.1724987030029297
2,2,5,acinar,acinar,human1,-1.0370808,12.528871,0.716318666934967
3,3,5,acinar,acinar,human1,-3.4897425,15.639704,1.4410862922668457
4,4,5,acinar,acinar,human1,-0.6213792,13.2531185,0.8865333795547485
5,5,5,acinar,acinar,human1,-2.5160265,13.136788,0.919107973575592
6,6,4,beta,beta,human1,10.758279,-1.7175657,0.8856710195541382
7,7,5,acinar,acinar,human1,-2.4521444,13.048487,1.01738178730011
8,8,5,acinar,acinar,human1,-3.0991714,15.5680065,1.0536607503890991
9,9,5,acinar,acinar,human1,-2.5570579,13.153363,0.7952309846878052
10,10,5,acinar,acinar,human1,-2.6191776,13.314822,0.8401635885238647
11,11,5,acinar,acinar,human1,-2.0198429,12.403199,1.0603690147399902
12,12,8,delta,delta,human1,6.7818813,4.179509,0.7527269124984741
13,13,8,delta,delta,human1,7.274021,5.2362022,0.8715705871582031
14,14,4,beta,beta,human1,9.675817,0.2881267,0.9033297896385192
15,15,3,activated_stellate,activated_stellate,human1,-11.409091,0.87215793,1.7936686277389526
16,16,4,beta,beta,human1,9.666792,-2.0883949,0.8093584179878235
17,17,5,acinar,acinar,human1,-2.360237,14.349331,0.8131930232048035
18,18,9,ductal,ductal,human1,-1.3044889,19.523916,1.0444406270980835
19,19,4,beta,beta,human1,10.16313,-1.8270909,0.5726287961006165
20,20,4,beta,beta,human1,10.440217,-1.8726479,0.5331980586051941
21,21,0,alpha,alpha,human1,9.558783,8.764276,0.449999988079071
22,22,9,ductal,ductal,human1,-2.996205,18.143904,2.071782350540161
23,23,4,beta,beta,human1,11.21695,-3.0176778,0.6052340269088745
24,24,8,delta,delta,human1,7.314644,4.6354537,0.864596426486969
25,25,0,alpha,alpha,human1,11.01326,9.669576,0.4941782653331756
26,26,4,beta,beta,human1,9.432221,-2.7502372,0.5441243648529053
27,27,5,acinar,acinar,human1,-2.7333262,15.882715,1.3541371822357178
28,28,5,acinar,acinar,human1,-2.0438704,12.417072,1.3727744817733765
29,29,4,beta,beta,human1,11.033718,-3.0372481,0.5438815951347351
30,30,8,delta,delta,human1,6.5362577,5.1218495,0.7934063673019409
31,31,8,delta,delta,human1,7.311521,4.9080544,0.9535477757453918
32,32,8,delta,delta,human1,6.5238523,4.3257446,0.8127273321151733
33,33,8,delta,delta,human1,6.6187334,4.463671,0.7250615954399109
34,34,4,beta,beta,human1,8.858478,-1.2590349,0.6757124066352844
35,35,5,acinar,acinar,human1,-1.4694791,13.470127,0.6651818156242371
36,36,4,beta,beta,human1,10.766793,-3.416017,0.7546284794807434
37,37,4,beta,beta,human1,10.817195,-2.4963784,0.8407878875732422
38,38,4,beta,beta,human1,9.512302,0.75248754,0.9905359745025636
39,39,8,delta,delta,human1,6.431515,4.4912453,0.816022515296936
40,40,3,activated_stellate,activated_stellate,human1,-11.903117,1.034783,1.713511347770691
41,41,4,beta,beta,human1,10.700985,-3.3795998,0.5466958284378052
42,42,8,delta,delta,human1,7.034116,4.9157257,0.9816197752952576
43,43,3,activated_stellate,activated_stellate,human1,-11.665721,0.9293295,1.4536380767822266
44,44,6,activated_stellate,schwann,human1,-11.10869,0.6553279,1.9572374820709229
45,45,3,activated_stellate,activated_stellate,human1,-11.52406,0.70352334,1.7271366119384766
46,46,5,acinar,acinar,human1,-2.1811123,13.805206,0.7827733159065247
47,47,3,activated_stellate,activated_stellate,human1,-12.103923,1.1923544,1.790290594100952
48,48,8,delta,delta,human1,6.5175824,5.0691915,0.998740255832672
49,49,4,beta,beta,human1,10.089559,-2.461583,0.6205472946166992
50,50,8,delta,delta,human1,7.0621543,4.9322467,0.903173327445984
51,51,4,beta,beta,human1,10.943414,-3.1644144,0.7638236880302429
52,52,5,acinar,acinar,human1,-1.5457699,13.476246,0.6917538642883301
53,53,4,beta,beta,human1,10.492054,-1.8912836,0.683686375617981
54,54,4,beta,beta,human1,9.842265,-1.2443413,0.6839308142662048
55,55,3,activated_stellate,activated_stellate,human1,-11.772355,1.2158141,1.521905541419983
56,56,4,beta,beta,human1,10.728058,-3.2817187,0.8085666298866272
57,57,4,beta,beta,human1,10.50119,-2.2199566,0.5766910314559937
58,58,4,beta,beta,human1,9.085847,-0.6673966,0.634448766708374
59,59,8,beta,delta,human1,8.79864,1.1320195,1.257260799407959
60,60,9,ductal,ductal,human1,-2.6125636,19.750498,1.1183382272720337
61,61,0,alpha,alpha,human1,12.338041,10.66375,0.5197798013687134
62,62,8,beta,delta,human1,8.79227,1.2145432,1.0988916158676147
63,63,9,ductal,ductal,human1,-1.8083712,19.803158,1.6427966356277466
64,64,8,ductal,delta,human1,-3.112009,18.121988,2.630362272262573
65,65,5,acinar,acinar,human1,-2.1784198,12.779956,0.7001509070396423
66,66,0,alpha,alpha,human1,9.818207,9.893048,0.4695757031440735
67,67,4,beta,beta,human1,9.713966,-2.289306,1.0795742273330688
68,68,8,delta,delta,human1,6.7750363,4.6769342,0.8159298300743103
69,69,0,alpha,alpha,human1,9.312635,9.262082,0.449999988079071
70,70,4,beta,beta,human1,8.848607,1.1086129,1.1674054861068726
71,71,4,beta,beta,human1,9.085933,-0.41994396,1.0225207805633545
72,72,4,beta,beta,human1,8.1143675,-0.95668584,0.6346282362937927
73,73,8,delta,delta,human1,7.150083,5.6251264,1.1029205322265625
74,74,4,beta,beta,human1,8.550289,-1.5361142,0.7483839988708496
75,75,4,beta,beta,human1,10.586617,-2.4378633,0.7928645014762878
76,76,8,delta,delta,human1,6.422477,4.4770064,1.0581035614013672
77,77,4,beta,beta,human1,9.729356,-1.8091819,1.3205825090408323
78,78,4,beta,beta,human1,9.643348,-2.5142226,0.6362199783325195
79,79,4,beta,beta,human1,10.285983,-1.7428939,0.6724403500556946
80,80,4,beta,beta,human1,9.283668,-0.98672587,0.7556906342506409
81,81,4,beta,beta,human1,9.457974,-1.4334522,0.8110617399215698
82,82,4,beta,beta,human1,10.794905,-3.3505936,0.6888071894645691
83,83,5,acinar,acinar,human1,-2.394233,12.989189,0.8047484159469604
84,84,3,activated_stellate,activated_stellate,human1,-11.614787,0.8454986,1.5242862701416016
85,85,8,delta,delta,human1,7.0684466,4.5332165,0.7249497175216675
86,86,8,delta,delta,human1,7.25879,4.433864,0.7069399952888489
87,87,4,beta,beta,human1,11.89339,-3.47901,0.6312235593795776
88,88,4,beta,beta,human1,9.146828,1.0941089,1.1527013778686523
89,89,4,beta,beta,human1,9.817339,-2.073102,0.7316355109214783
90,90,4,beta,beta,human1,12.252891,-3.1073823,0.7239780426025391
91,91,4,beta,beta,human1,10.920938,-3.037328,0.6634870171546936
92,92,4,beta,beta,human1,9.004925,-1.8122952,0.7646790742874146
93,93,4,beta,beta,human1,9.637168,-1.1304662,1.0301569700241089
94,94,4,beta,beta,human1,10.690093,-2.5205233,0.7501150369644165
95,95,8,beta,delta,human1,8.519356,1.3688704,1.4917877912521362
96,96,4,beta,beta,human1,10.02953,-2.5387797,1.005265474319458
97,97,8,delta,delta,human1,6.7028327,5.244138,0.9540913105010986
98,98,8,delta,delta,human1,6.4845686,5.6554976,0.929763674736023
99,99,4,beta,beta,human1,10.006519,-2.7560256,0.5913417339324951
100,100,8,delta,delta,human1,6.807728,4.1299977,0.8374493718147278
101,101,0,alpha,alpha,human1,8.966995,9.836757,0.4543926417827606
102,102,0,alpha,alpha,human1,12.444244,10.54503,0.5114198327064514
103,103,8,delta,delta,human1,6.838129,4.3284645,0.742260754108429
104,104,4,beta,beta,human1,9.548748,-2.4924247,0.6039228439331055
