cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
A10_B000767_B009945_S10.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",3.139524,4.606373,0,1.1629490852355957
A10_D045313_B009942_S10.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.847999,10.033457,1,0.615229606628418
A11_B000767_B009945_S11.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-12.278791,15.097679,2,2.040419816970825
A11_B001247_B009941_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,hepatocyte,-12.680173,10.001676,3,0.8905880451202393
A11_B002688_B009944_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.035112,9.85794,4,0.546958863735199
A11_D045313_B009942_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.103148,8.057058,5,0.6503084897994995
A12_B000767_B009945_S12.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",3.0265212,4.5371284,6,0.7714836597442627
A12_B002688_B009944_S12.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-9.4798975,7.872791,7,0.9103731513023376
A12_D045313_B009942_S12.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.799906,9.614652,8,0.6386933922767639
A13_B002681_B009943_S13.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.618738,7.424546,9,0.4190481901168823
A13_B002688_B009944_S13.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-10.372253,12.948876,10,0.9160423874855042
A13_D045313_B009942_S13.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.814583,9.362036,11,0.6001989245414734
A14_B001247_B009941_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.040432,10.097032,12,0.5294036865234375
A14_B002688_B009944_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-15.002933,9.4227085,13,0.5810506343841553
A14_D045313_B009942_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.822008,9.620927,14,0.8335148692131042
A15_B000767_B009945_S15.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",3.03282,4.543563,15,0.8979852199554443
A15_B001247_B009941_S15.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.956968,10.167444,16,0.7438143491744995
A15_B002681_B009943_S15.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-9.572338,7.877883,17,0.3845422863960266
A15_D045313_B009942_S15.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-12.930773,15.398368,18,2.002776622772217
A16_B000767_B009945_S16.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,-12.75028,20.931177,19,1.7678337097167969
A16_B001247_B009941_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.091234,10.353121,20,1.507758855819702
A16_B002688_B009944_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.053545,8.553026,21,0.9387325644493104
A16_D045313_B009942_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.855944,9.57033,22,0.6177024841308594
A17_B000767_B009945_S17.mm10-plus-4-0,single_batch,"CD4-positive, alpha-beta T cell",2,mature NK T cell,-11.381733,20.256527,23,1.846224665641785
A17_B001247_B009941_S17.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.053387,10.121333,24,1.6683146953582764
A17_B002688_B009944_S17.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.935142,7.44176,25,0.3845422863960266
A17_D045313_B009942_S17.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.054703,8.738018,26,0.5760840773582458
A18_B001247_B009941_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.038935,10.486529,27,1.834643006324768
A18_B002681_B009943_S18.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-9.484577,7.5741396,28,0.3872880637645721
A18_B002688_B009944_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.219368,9.525659,29,0.4518012702465057
A18_D045313_B009942_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.234844,8.153103,30,0.8019832968711853
A19_B000767_B009945_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,hepatocyte,-12.250855,10.568383,31,2.068922758102417
A19_B001247_B009941_S19.mm10-plus-4-0,single_batch,myeloid leukocyte,3,Kupffer cell,-10.989231,13.783478,32,2.390716552734375
A19_B002688_B009944_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.406622,8.841551,33,0.5662937760353088
A19_D045313_B009942_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.94472,8.892835,34,0.5065565705299377
A1_B000767_B009945_S1.mm10-plus-4-0,single_batch,NK cell,2,mature NK T cell,-13.567164,22.148205,35,1.3212071657180786
A1_B001247_B009941_S1.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-10.598923,13.210784,36,1.928677201271057
A1_D045313_B009942_S1.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.396762,9.193244,37,0.3954906761646271
A20_B000767_B009945_S20.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",3.132582,4.5195794,38,0.8858674764633179
A20_B001247_B009941_S20.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-13.087669,14.921031,39,2.271519660949707
A20_B002688_B009944_S20.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-13.391241,15.330835,40,1.4255350828170776
A20_D045313_B009942_S20.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.97403,9.990343,41,0.4866734445095062
A21_B000767_B009945_S21.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.635788,10.178341,42,0.6090636849403381
A21_B001247_B009941_S21.mm10-plus-4-0,single_batch,B cell,4,B cell,8.697207,-7.0383244,43,0.7637484073638916
A21_B002681_B009943_S21.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.573075,7.3873606,44,0.6135259866714478
A21_B002688_B009944_S21.mm10-plus-4-0,single_batch,NK cell,2,mature NK T cell,-13.088185,21.676193,45,2.1139512062072754
A21_D045313_B009942_S21.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.561691,10.312717,46,0.4760552942752838
A22_B000767_B009945_S22.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",2.946056,4.5306683,47,0.8861294984817505
A22_B001247_B009941_S22.mm10-plus-4-0,single_batch,B cell,5,"CD8-positive, alpha-beta T cell",1.647794,4.728415,48,1.716149926185608
A22_B002681_B009943_S22.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-10.635409,8.995192,49,0.4282796680927276
A2_B000767_B009945_S2.mm10-plus-4-0,single_batch,NK cell,2,mature NK T cell,-13.538483,22.117617,50,1.3564188480377195
A2_B001247_B009941_S2.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,-12.211301,21.134178,51,1.7786678075790403
A2_B002681_B009943_S2.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-9.220873,7.44889,52,0.4238642156124115
A2_D045313_B009942_S2.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.324013,9.333894,53,0.3884667456150055
A3_B000767_B009945_S3.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,-12.587963,20.908154,54,1.6768673658370972
A3_B001247_B009941_S3.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-10.13136,13.489975,55,1.0415245294570925
A3_B002681_B009943_S3.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,hepatocyte,-12.160694,9.728716,56,1.0173630714416504
A3_D045313_B009942_S3.mm10-plus-4-0,single_batch,B cell,4,B cell,8.936504,-6.7725677,57,0.8882293701171875
A4_B000767_B009945_S4.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-12.618846,15.293246,58,1.5883989334106443
A5_B000767_B009945_S5.mm10-plus-4-0,single_batch,NK cell,2,mature NK T cell,-13.622587,22.19197,59,1.5229562520980835
A5_B001247_B009941_S5.mm10-plus-4-0,single_batch,T cell,2,mature NK T cell,-12.238579,21.116364,60,1.5692609548568726
A5_D045313_B009942_S5.mm10-plus-4-0,single_batch,B cell,4,B cell,8.84273,-6.527049,61,0.9301689267158508
A6_B000767_B009945_S6.mm10-plus-4-0,single_batch,B cell,4,B cell,9.326077,-7.310684,62,0.9351544976234436
A6_B002681_B009943_S6.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-10.542377,12.28805,63,1.2529940605163574
A6_D045313_B009942_S6.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.224152,9.578191,64,0.5258973240852356
A7_B001247_B009941_S7.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-10.422754,12.434726,65,1.0248314142227173
A7_B002688_B009944_S7.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-11.366453,14.019034,66,1.9085055589675903
A7_D045313_B009942_S7.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-7.99664,9.074989,67,0.5668253898620605
A8_D045313_B009942_S8.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.588596,9.962448,68,0.5519092679023743
A9_B000767_B009945_S9.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.964195,9.45894,69,0.7849423885345459
A9_D045313_B009942_S9.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.021672,8.971898,70,0.4073282480239868
B10_B000767_B009945_S34.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-15.451801,10.038711,71,0.8946101069450378
B10_B002681_B009943_S34.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-9.774062,7.95624,72,0.3845422863960266
B10_B002688_B009944_S34.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-15.944065,8.571827,73,1.5898224115371704
B10_D045313_B009942_S34.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.729067,8.664218,74,0.3845422863960266
B11_B000767_B009945_S35.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,-12.950536,21.275637,75,2.3670008182525635
B11_B002681_B009943_S35.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.960018,8.12735,76,0.4905312061309814
B12_B000767_B009945_S36.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",3.031386,4.5373926,77,0.7872083783149719
B12_B002688_B009944_S36.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.42654,9.729728,78,0.5123811960220337
B12_D045313_B009942_S36.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-10.35748,12.68573,79,1.2667124271392822
B13_B001247_B009941_S37.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.968224,10.456731,80,0.8872197270393372
B13_B002681_B009943_S37.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.627652,7.5892076,81,0.3892927765846252
B13_D045313_B009942_S37.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.13608,8.0403595,82,0.9038536548614502
B14_B001247_B009941_S38.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.797829,10.281763,83,0.5856702327728271
B14_B002681_B009943_S38.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.332178,7.2530475,84,0.5066863894462585
B14_B002688_B009944_S38.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.89671,8.164233,85,0.5915793180465698
B14_D045313_B009942_S38.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-12.459402,15.582937,86,2.530064821243286
B15_B000767_B009945_S39.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,-12.162736,20.426985,87,1.3416295051574707
B15_B001247_B009941_S39.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.059486,10.38556,88,0.7906022071838379
B15_B002688_B009944_S39.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.054226,8.006737,89,0.7259711623191833
B15_D045313_B009942_S39.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-9.551765,8.578609,90,0.53047114610672
B16_B001247_B009941_S40.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.233215,10.654858,91,2.271519660949707
B16_B002688_B009944_S40.mm10-plus-4-0,single_batch,neutrophil,9,neutrophil,-16.798203,14.130895,92,3.917675495147705
B16_D045313_B009942_S40.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.159098,9.805887,93,0.5273413062095642
B17_B001247_B009941_S41.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.195078,10.496952,94,2.228041648864746
B17_B002681_B009943_S41.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.756308,7.3846326,95,0.3881017565727234
