cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,-5.187798500061035,0.3428226113319397,5,A10_B000767_B009945_S10.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,1.1629490852355957
1,-2.244859457015991,-0.7530316710472107,5,A10_D045313_B009942_S10.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.615229606628418
2,9.53989601135254,-12.955580711364746,4,A11_B000767_B009945_S11.mm10-plus-4-0,myeloid leukocyte,myeloid leukocyte,single_batch,2.040419816970825
3,9.154868125915527,0.3114423751831054,9,A11_B001247_B009941_S11.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.8905880451202393
4,10.003777503967283,-0.6028447151184082,9,A11_B002688_B009944_S11.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.546958863735199
5,10.765825271606444,-2.215299129486084,9,A11_D045313_B009942_S11.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.6503084897994995
6,-1.5070078372955322,-1.712390661239624,5,A12_B000767_B009945_S12.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.7714836597442627
7,-4.376031398773193,-1.6026959419250488,5,A12_B002688_B009944_S12.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.9103731513023376
8,9.330448150634766,-1.8919849395751955,9,A12_D045313_B009942_S12.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.6386933922767639
9,-3.314570665359497,0.1342131495475769,5,A13_B002681_B009943_S13.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.4190481901168823
10,4.12312650680542,8.90670108795166,7,A13_B002688_B009944_S13.mm10-plus-4-0,Kupffer cell,Kupffer cell,single_batch,0.9160423874855042
11,9.584878921508787,0.7380744218826294,9,A13_D045313_B009942_S13.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.6001989245414734
12,9.911174774169922,-0.3661338686943054,9,A14_B001247_B009941_S14.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.5294036865234375
13,12.393999099731444,-0.986144483089447,9,A14_B002688_B009944_S14.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.5810506343841553
14,12.667510986328123,-1.828404188156128,9,A14_D045313_B009942_S14.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.8335148692131042
15,-1.266873478889465,-1.932137370109558,5,A15_B000767_B009945_S15.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.8979852199554443
16,10.95566177368164,-1.6817948818206787,9,A15_B001247_B009941_S15.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.7438143491744995
17,-2.5178258419036865,-1.183156967163086,5,A15_B002681_B009943_S15.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.3845422863960266
18,9.119454383850098,-12.017672538757324,4,A15_D045313_B009942_S15.mm10-plus-4-0,myeloid leukocyte,myeloid leukocyte,single_batch,2.002776622772217
19,-6.27159309387207,13.098697662353516,1,A16_B000767_B009945_S16.mm10-plus-4-0,mature NK T cell,mature NK T cell,single_batch,1.7678337097167969
20,8.894213676452637,-2.065661191940308,9,A16_B001247_B009941_S16.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,1.507758855819702
21,9.506245613098145,-2.0722458362579346,9,A16_B002688_B009944_S16.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.9387325644493104
22,11.45272159576416,-2.048394203186035,9,A16_D045313_B009942_S16.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.6177024841308594
23,-5.704383850097656,13.862142562866213,1,A17_B000767_B009945_S17.mm10-plus-4-0,"CD4-positive, alpha-beta T cell",mature NK T cell,single_batch,1.846224665641785
24,10.576476097106934,-2.333327293395996,9,A17_B001247_B009941_S17.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,1.6683146953582764
25,-3.42922043800354,-0.165960893034935,5,A17_B002688_B009944_S17.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.3845422863960266
26,8.95400333404541,-2.048586368560791,9,A17_D045313_B009942_S17.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.5760840773582458
