cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
human1_lib1.final_cell_0001-0,human1,acinar,4,Unmatched_4,2.6456068,-11.056608,0,0.9714178442955016
human1_lib1.final_cell_0002-0,human1,acinar,4,Unmatched_4,2.9082448,-9.654717,1,0.928289532661438
human1_lib1.final_cell_0003-0,human1,acinar,11,Unmatched_11,-6.897238,10.078191,2,0.8360571265220642
human1_lib1.final_cell_0004-0,human1,acinar,4,Unmatched_4,3.0766299,-10.160241,3,1.3489404916763306
human1_lib1.final_cell_0005-0,human1,acinar,4,Unmatched_4,2.6746125,-9.526003,4,1.027095079421997
human1_lib1.final_cell_0006-0,human1,acinar,16,Unmatched_16,6.1426606,-15.646502,5,0.9881423711776732
human1_lib1.final_cell_0007-0,human1,beta,15,Unmatched_15,12.455517,4.522157,6,0.4047490358352661
human1_lib1.final_cell_0008-0,human1,acinar,11,Unmatched_11,-6.8607554,9.978846,7,0.8613643050193787
human1_lib1.final_cell_0009-0,human1,acinar,4,Unmatched_4,2.6477442,-9.098318,8,1.0129859447479248
human1_lib1.final_cell_0010-0,human1,acinar,6,acinar,-9.730326,6.402868,9,0.7983218431472778
human1_lib1.final_cell_0011-0,human1,acinar,4,Unmatched_4,2.657939,-9.579995,10,0.9012791514396667
human1_lib1.final_cell_0012-0,human1,acinar,16,Unmatched_16,6.1375957,-15.650885,11,1.0999648571014404
human1_lib1.final_cell_0013-0,human1,delta,3,delta,-13.437094,-10.350676,12,0.3970616161823272
human1_lib1.final_cell_0014-0,human1,delta,3,delta,-13.793049,-10.651289,13,0.3845422863960266
human1_lib1.final_cell_0015-0,human1,beta,7,Unmatched_7,18.783012,-0.7491809,14,0.7921956777572632
human1_lib1.final_cell_0016-0,human1,activated_stellate,9,activated_stellate,12.399591,10.1946745,15,1.705127477645874
human1_lib1.final_cell_0017-0,human1,beta,1,beta,-5.4139676,1.6869138,16,0.4789070785045624
human1_lib1.final_cell_0018-0,human1,acinar,6,acinar,-11.073281,6.734208,17,0.9628588557243348
human1_lib1.final_cell_0019-0,human1,ductal,19,Unmatched_19,-10.115612,16.50826,18,1.6165125370025637
human1_lib1.final_cell_0020-0,human1,beta,1,beta,-5.991948,2.4741707,19,0.9652663469314576
human1_lib1.final_cell_0021-0,human1,beta,1,beta,-4.0482717,2.182375,20,0.4429643750190735
human1_lib1.final_cell_0022-0,human1,alpha,0,alpha,2.897812,-1.145033,21,0.6101475954055786
human1_lib1.final_cell_0023-0,human1,ductal,2,ductal,-6.7596025,19.83144,22,1.4703165292739868
human1_lib1.final_cell_0024-0,human1,beta,24,Unmatched_24,9.652267,-10.297524,23,0.3858529031276703
human1_lib1.final_cell_0025-0,human1,delta,3,delta,-13.380906,-10.063123,24,0.4819028377532959
human1_lib1.final_cell_0026-0,human1,alpha,0,alpha,3.7091727,-1.0887687,25,0.6580755114555359
human1_lib1.final_cell_0027-0,human1,beta,1,beta,-5.9182353,1.6673626,26,0.3845422863960266
human1_lib1.final_cell_0028-0,human1,acinar,6,acinar,-9.811561,6.4528522,27,0.9920681715011596
human1_lib1.final_cell_0029-0,human1,acinar,11,Unmatched_11,-6.8062687,9.934436,28,1.3900232315063477
human1_lib1.final_cell_0030-0,human1,beta,1,beta,-5.333926,3.4452949,29,0.3845422863960266
human1_lib1.final_cell_0031-0,human1,delta,3,delta,-14.43663,-11.564926,30,0.7155451774597168
human1_lib1.final_cell_0032-0,human1,delta,3,delta,-13.487548,-9.662597,31,0.4858134686946869
human1_lib1.final_cell_0033-0,human1,delta,3,delta,-12.951883,-10.707283,32,0.3845422863960266
human1_lib1.final_cell_0034-0,human1,delta,3,delta,-12.618458,-9.056973,33,0.3990702331066131
human1_lib1.final_cell_0035-0,human1,beta,24,Unmatched_24,9.650335,-10.296072,34,0.4871121644973755
human1_lib1.final_cell_0036-0,human1,acinar,6,acinar,-9.767101,6.426048,35,1.1412845849990845
human1_lib1.final_cell_0037-0,human1,beta,1,beta,-4.841326,3.3453603,36,0.3845422863960266
human1_lib1.final_cell_0038-0,human1,beta,1,beta,-4.216818,2.6164734,37,0.5771340131759644
human1_lib1.final_cell_0039-0,human1,beta,7,Unmatched_7,18.53788,-0.59317076,38,0.8009699583053589
human1_lib1.final_cell_0040-0,human1,delta,3,delta,-13.130547,-9.518645,39,0.4980095326900482
human1_lib1.final_cell_0041-0,human1,activated_stellate,9,activated_stellate,12.745384,10.488628,40,1.6621499061584473
human1_lib1.final_cell_0042-0,human1,beta,1,beta,-4.012175,2.0839298,41,0.3845422863960266
human1_lib1.final_cell_0043-0,human1,delta,3,delta,-13.259934,-9.527461,42,0.3845422863960266
human1_lib1.final_cell_0044-0,human1,activated_stellate,9,activated_stellate,12.635316,10.434885,43,1.4609625339508057
human1_lib1.final_cell_0045-0,human1,activated_stellate,9,activated_stellate,12.143294,10.0784025,44,1.8185222148895264
human1_lib1.final_cell_0046-0,human1,activated_stellate,9,activated_stellate,13.107477,10.161806,45,1.5784080028533936
human1_lib1.final_cell_0047-0,human1,acinar,4,Unmatched_4,-9.684061,6.0982285,46,0.8718141913414001
human1_lib1.final_cell_0048-0,human1,activated_stellate,9,activated_stellate,13.16479,10.00308,47,1.5304367542266846
human1_lib1.final_cell_0049-0,human1,delta,3,delta,-13.121638,-9.506598,48,0.3845422863960266
human1_lib1.final_cell_0050-0,human1,beta,1,beta,-5.7198067,2.6024191,49,0.3845422863960266
human1_lib1.final_cell_0051-0,human1,delta,3,delta,-12.99504,-9.580288,50,0.5391892194747925
human1_lib1.final_cell_0052-0,human1,beta,1,beta,-4.767589,4.408067,51,0.3845422863960266
human1_lib1.final_cell_0053-0,human1,acinar,6,acinar,-9.656671,6.4406643,52,1.1300190687179563
human1_lib1.final_cell_0054-0,human1,beta,1,beta,-6.0485926,2.8953047,53,0.7863317728042603
human1_lib1.final_cell_0055-0,human1,beta,1,beta,-3.2633817,4.880093,54,0.4426243901252746
human1_lib1.final_cell_0056-0,human1,activated_stellate,9,activated_stellate,12.719175,10.478147,55,1.6052457094192505
human1_lib1.final_cell_0057-0,human1,beta,1,beta,-4.7431216,4.4113355,56,0.5069729685783386
human1_lib1.final_cell_0058-0,human1,beta,1,beta,-3.5553236,3.3823988,57,0.5321881175041199
human1_lib1.final_cell_0059-0,human1,beta,1,beta,-3.245048,5.548671,58,0.5167956352233887
human1_lib1.final_cell_0060-0,human1,beta,7,Unmatched_7,18.29635,-0.57377166,59,0.7202191948890686
human1_lib1.final_cell_0061-0,human1,ductal,2,ductal,-6.383299,18.452225,60,1.5663597583770752
human1_lib1.final_cell_0062-0,human1,alpha,0,alpha,5.6346364,-0.9746314,61,0.5789958238601685
human1_lib1.final_cell_0063-0,human1,beta,7,Unmatched_7,18.737968,-0.7158657,62,0.6442668437957764
human1_lib1.final_cell_0064-0,human1,ductal,19,Unmatched_19,-10.159811,16.547174,63,2.0497941970825195
human1_lib1.final_cell_0065-0,human1,ductal,17,Unmatched_17,17.284945,9.337857,64,2.240983009338379
human1_lib1.final_cell_0066-0,human1,acinar,4,Unmatched_4,2.657838,-11.031865,65,0.873452365398407
human1_lib1.final_cell_0067-0,human1,alpha,0,alpha,4.884453,-0.14809257,66,0.6518683433532715
human1_lib1.final_cell_0068-0,human1,beta,1,beta,-3.4335163,3.4751742,67,0.4093794226646423
human1_lib1.final_cell_0069-0,human1,delta,3,delta,-12.368187,-9.400982,68,0.4079460203647613
human1_lib1.final_cell_0070-0,human1,alpha,0,alpha,4.5093555,-2.4132442,69,0.6481142640113831
human1_lib1.final_cell_0071-0,human1,beta,7,Unmatched_7,14.454267,-1.8037919,70,0.6689666509628296
human1_lib1.final_cell_0072-0,human1,beta,7,Unmatched_7,18.496777,-0.5272373,71,0.729046642780304
human1_lib1.final_cell_0073-0,human1,beta,7,Unmatched_7,18.372541,-0.49285153,72,0.6453590989112854
human1_lib1.final_cell_0074-0,human1,delta,3,delta,-14.436752,-11.565106,73,1.303847312927246
human1_lib1.final_cell_0075-0,human1,beta,5,Unmatched_5,-6.016459,-0.63406354,74,0.4638182520866394
human1_lib1.final_cell_0076-0,human1,beta,1,beta,-4.734018,4.394333,75,0.5545840859413147
human1_lib1.final_cell_0077-0,human1,delta,3,delta,-13.082785,-10.3460245,76,1.0310416221618652
human1_lib1.final_cell_0078-0,human1,beta,1,beta,-4.674348,3.4806128,77,0.6979889869689941
human1_lib1.final_cell_0079-0,human1,beta,1,beta,-4.828047,3.4452329,78,0.3845422863960266
human1_lib1.final_cell_0080-0,human1,beta,5,Unmatched_5,-5.7853336,-0.3251613,79,0.5439367890357971
human1_lib1.final_cell_0081-0,human1,beta,15,Unmatched_15,12.4527855,4.5254445,80,0.4431606829166412
human1_lib1.final_cell_0082-0,human1,beta,1,beta,-4.271062,2.8937206,81,0.3845422863960266
human1_lib1.final_cell_0083-0,human1,beta,1,beta,-4.7460055,4.3977633,82,0.4170623123645782
human1_lib1.final_cell_0084-0,human1,acinar,4,Unmatched_4,2.8152225,-9.9507885,83,0.9347803592681884
human1_lib1.final_cell_0085-0,human1,activated_stellate,9,activated_stellate,12.707648,10.216681,84,1.596125602722168
human1_lib1.final_cell_0086-0,human1,delta,3,delta,-13.557025,-9.826657,85,0.4145906865596771
human1_lib1.final_cell_0087-0,human1,delta,3,delta,-13.548985,-9.772445,86,0.3981080949306488
human1_lib1.final_cell_0088-0,human1,beta,1,beta,-5.3303404,3.4091606,87,0.4240047335624695
human1_lib1.final_cell_0089-0,human1,beta,7,Unmatched_7,14.479007,-1.7969654,88,0.5754522681236267
human1_lib1.final_cell_0090-0,human1,beta,1,beta,-4.0439453,2.1283765,89,0.4928096830844879
human1_lib1.final_cell_0091-0,human1,beta,1,beta,-3.9206462,2.9669907,90,0.4730621874332428
human1_lib1.final_cell_0092-0,human1,beta,15,Unmatched_15,12.482119,4.579125,91,0.3845422863960266
human1_lib1.final_cell_0093-0,human1,beta,5,Unmatched_5,-5.732969,-0.66971385,92,0.5651965141296387
human1_lib1.final_cell_0094-0,human1,beta,1,beta,-4.242868,3.928102,93,0.462486207485199
human1_lib1.final_cell_0095-0,human1,beta,15,Unmatched_15,12.289217,4.3982344,94,0.7018015384674072
human1_lib1.final_cell_0096-0,human1,beta,7,Unmatched_7,14.8851795,-1.7560203,95,0.7773785591125488
human1_lib1.final_cell_0097-0,human1,beta,1,beta,-3.246065,5.6072745,96,0.5621834993362427
human1_lib1.final_cell_0098-0,human1,delta,3,delta,-13.660407,-8.645751,97,0.550608217716217
human1_lib1.final_cell_0099-0,human1,delta,3,delta,-12.381814,-9.464701,98,0.6373005509376526
human1_lib1.final_cell_0100-0,human1,beta,1,beta,-5.5312943,2.6112022,99,0.3845422863960266
human1_lib1.final_cell_0101-0,human1,delta,3,delta,-13.160092,-10.343309,100,0.592452883720398
human1_lib1.final_cell_0102-0,human1,alpha,0,alpha,3.906831,0.5623393,101,0.8755214214324951
human1_lib1.final_cell_0103-0,human1,alpha,0,alpha,4.3997993,-1.3608781,102,0.8885367512702942
human1_lib1.final_cell_0104-0,human1,delta,3,delta,-12.640675,-9.076928,103,0.3845422863960266
human1_lib1.final_cell_0105-0,human1,beta,1,beta,-4.4925966,3.1825478,104,0.435200572013855
human1_lib1.final_cell_0106-0,human1,beta,1,beta,-4.2171783,2.6155527,105,0.3933337032794952
human1_lib1.final_cell_0107-0,human1,beta,7,Unmatched_7,14.460016,-1.8757777,106,1.300873041152954
human1_lib1.final_cell_0108-0,human1,beta,1,beta,-4.233963,1.9842072,107,0.3908323645591736
human1_lib1.final_cell_0109-0,human1,acinar,11,Unmatched_11,-7.0799584,9.306936,108,1.0562007427215576
human1_lib1.final_cell_0110-0,human1,delta,3,delta,-13.0473585,-9.885374,109,0.6393961906433105
human1_lib1.final_cell_0111-0,human1,beta,1,beta,-5.2747126,2.6204784,110,0.6588385105133057
human1_lib1.final_cell_0112-0,human1,beta,7,Unmatched_7,14.4749565,-1.8789778,111,0.74482262134552
human1_lib1.final_cell_0113-0,human1,delta,3,delta,-13.161408,-9.485505,112,0.4239105880260467
human1_lib1.final_cell_0114-0,human1,beta,1,beta,-3.4728658,3.4871113,113,0.5978574752807617
human1_lib1.final_cell_0115-0,human1,beta,1,beta,-3.5648823,3.3714924,114,0.5923497676849365
human1_lib1.final_cell_0116-0,human1,beta,1,beta,-4.2158446,1.976987,115,0.3845422863960266
human1_lib1.final_cell_0117-0,human1,delta,3,delta,-13.289553,-9.003177,116,0.4984748363494873
human1_lib1.final_cell_0118-0,human1,beta,7,Unmatched_7,14.950461,-1.7309202,117,0.3902829587459564
human1_lib1.final_cell_0119-0,human1,delta,3,delta,-13.284807,-10.340172,118,0.4192501604557037
human1_lib1.final_cell_0120-0,human1,beta,15,Unmatched_15,12.36066,4.8892794,119,0.3845422863960266
human1_lib1.final_cell_0121-0,human1,beta,1,beta,-3.7638752,3.5005267,120,0.7590821385383606
human1_lib1.final_cell_0122-0,human1,beta,15,Unmatched_15,12.330285,4.4427924,121,0.5008149147033691
human1_lib1.final_cell_0123-0,human1,epsilon,3,delta,-12.854126,-10.767952,122,0.3845422863960266
human1_lib1.final_cell_0124-0,human1,beta,1,beta,-5.273681,2.628095,123,0.424099862575531
human1_lib1.final_cell_0125-0,human1,beta,1,beta,-6.267862,2.0050523,124,0.5822436809539795
human1_lib1.final_cell_0126-0,human1,beta,1,beta,-3.6806679,3.0803206,125,0.408204048871994
human1_lib1.final_cell_0127-0,human1,delta,0,alpha,3.4852068,-0.013988944,126,1.35442316532135
human1_lib1.final_cell_0128-0,human1,beta,7,Unmatched_7,18.413403,-0.4331062,127,0.8909814953804016
human1_lib1.final_cell_0129-0,human1,delta,3,delta,-12.746341,-9.333756,128,0.3845422863960266
human1_lib1.final_cell_0130-0,human1,beta,1,beta,-5.5445943,1.8894866,129,0.3920319974422455
human1_lib1.final_cell_0131-0,human1,alpha,0,alpha,3.5856936,-1.2149138,130,0.6216465830802917
