cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
bbag094_zeisel_cell_00001,unknown,unknown,2,6,-21.570173,19.575577,0,3.0590591430664062
bbag094_zeisel_cell_00002,1,1,4,1,8.329606,9.135042,1,1.123892307281494
bbag094_zeisel_cell_00003,1,1,4,1,8.321388,9.125951,2,0.9837443232536316
bbag094_zeisel_cell_00004,1,1,4,1,8.373313,9.129829,3,1.643536925315857
bbag094_zeisel_cell_00005,1,1,4,1,8.310454,9.131405,4,1.2413737773895264
bbag094_zeisel_cell_00006,1,1,4,1,8.35073,9.152084,5,1.090116024017334
bbag094_zeisel_cell_00007,1,1,4,1,8.3179245,9.133501,6,1.541007161140442
bbag094_zeisel_cell_00008,1,1,4,1,8.301182,9.1199255,7,1.045740008354187
bbag094_zeisel_cell_00009,1,1,4,1,8.485093,9.174108,8,1.2213668823242188
bbag094_zeisel_cell_00010,1,1,4,1,8.320496,9.156173,9,1.446796417236328
bbag094_zeisel_cell_00011,1,1,4,1,8.316766,9.163061,10,1.0423201322555542
bbag094_zeisel_cell_00012,1,1,4,1,8.374491,9.1637535,11,1.2541903257369995
bbag094_zeisel_cell_00013,1,1,4,1,11.2742195,12.91727,12,1.5373095273971558
bbag094_zeisel_cell_00014,1,1,4,1,11.235495,12.856788,13,1.4586032629013062
bbag094_zeisel_cell_00015,1,1,4,1,11.31327,12.966815,14,2.079357624053955
bbag094_zeisel_cell_00016,1,1,4,1,11.310516,12.962748,15,1.6551836729049685
bbag094_zeisel_cell_00017,1,1,4,1,11.297494,12.950746,16,1.5489071607589722
bbag094_zeisel_cell_00018,1,1,4,1,11.301818,12.954311,17,1.7758216857910156
bbag094_zeisel_cell_00019,1,1,4,1,11.33801,12.991065,18,1.9509806632995603
bbag094_zeisel_cell_00020,1,1,4,1,11.164521,12.7555685,19,2.0504612922668457
bbag094_zeisel_cell_00021,1,1,4,1,10.767842,11.397536,20,1.0005872249603271
bbag094_zeisel_cell_00022,1,1,4,1,10.771905,11.35689,21,1.003839373588562
bbag094_zeisel_cell_00023,1,1,4,1,10.775216,11.31371,22,1.1438277959823608
bbag094_zeisel_cell_00024,1,1,4,1,10.469272,10.496159,23,1.11873197555542
bbag094_zeisel_cell_00025,1,1,4,1,10.525345,10.651693,24,0.904599130153656
bbag094_zeisel_cell_00026,1,1,4,1,10.6086,10.875771,25,1.186985731124878
bbag094_zeisel_cell_00027,1,1,4,1,10.4730425,10.559258,26,1.021336317062378
bbag094_zeisel_cell_00028,1,1,4,1,10.466936,10.557653,27,1.2670129537582395
bbag094_zeisel_cell_00029,1,1,4,1,10.597847,10.69096,28,0.9508160352706908
bbag094_zeisel_cell_00030,1,1,4,1,10.510141,10.628165,29,1.1257705688476562
bbag094_zeisel_cell_00031,1,1,4,1,10.665783,10.89745,30,1.0400986671447754
bbag094_zeisel_cell_00032,1,1,4,1,10.637382,11.185239,31,0.9921159148216248
bbag094_zeisel_cell_00033,1,1,4,1,10.502757,10.608589,32,0.9925581216812134
bbag094_zeisel_cell_00034,1,1,4,1,10.543965,10.630496,33,0.7808264493942261
bbag094_zeisel_cell_00035,1,1,4,1,10.648695,10.851479,34,1.0169038772583008
bbag094_zeisel_cell_00036,1,1,4,1,10.609981,10.80804,35,0.902140736579895
bbag094_zeisel_cell_00037,1,1,4,1,10.521236,10.685655,36,0.9595917463302612
bbag094_zeisel_cell_00038,1,1,4,1,10.661307,10.749727,37,0.8719852566719055
bbag094_zeisel_cell_00039,1,1,4,1,10.575744,10.681531,38,0.8662610650062561
bbag094_zeisel_cell_00040,1,1,4,1,10.3141165,10.347992,39,1.188857078552246
bbag094_zeisel_cell_00041,1,1,4,1,10.069646,9.9455185,40,1.0159817934036257
bbag094_zeisel_cell_00042,1,1,4,1,9.950668,9.829056,41,0.9322909116744996
bbag094_zeisel_cell_00043,1,1,4,1,9.949734,9.825869,42,0.986664652824402
bbag094_zeisel_cell_00044,1,1,4,1,9.910425,9.779274,43,0.9549872279167176
bbag094_zeisel_cell_00045,1,1,4,1,10.006268,9.930521,44,0.9067134261131288
bbag094_zeisel_cell_00046,1,1,4,1,9.641351,9.43746,45,0.9316190481185912
bbag094_zeisel_cell_00047,1,1,4,1,9.606597,9.243662,46,0.8190536499023438
bbag094_zeisel_cell_00048,1,1,4,1,9.513496,8.067455,47,0.9978810548782348
bbag094_zeisel_cell_00049,1,1,4,1,9.644639,9.164411,48,0.9625416994094848
bbag094_zeisel_cell_00050,1,1,4,1,9.552144,8.602192,49,0.9321288466453552
bbag094_zeisel_cell_00051,1,1,4,1,9.508057,8.407484,50,0.8699144721031189
bbag094_zeisel_cell_00052,1,1,4,1,9.574986,8.175385,51,0.8249256610870361
bbag094_zeisel_cell_00053,1,1,4,1,9.6216345,8.896083,52,0.9185099601745604
bbag094_zeisel_cell_00054,1,1,4,1,9.534385,8.152522,53,0.8038550019264221
bbag094_zeisel_cell_00055,1,1,4,1,9.659312,8.876378,54,0.9522616863250732
bbag094_zeisel_cell_00056,1,1,4,1,9.514166,9.15007,55,0.8799720406532288
bbag094_zeisel_cell_00057,1,1,4,1,9.63959,8.744683,56,0.9964482188224792
bbag094_zeisel_cell_00058,1,1,4,1,9.601664,8.633338,57,0.8184670805931091
bbag094_zeisel_cell_00059,1,1,4,1,8.996267,9.173855,58,0.9936712980270386
bbag094_zeisel_cell_00060,1,1,4,1,9.121215,8.873378,59,1.014841079711914
bbag094_zeisel_cell_00061,1,1,4,1,8.968892,9.199803,60,1.5549482107162476
bbag094_zeisel_cell_00062,1,1,4,1,8.897861,9.175392,61,1.393654704093933
bbag094_zeisel_cell_00063,1,1,4,1,8.871818,9.187049,62,1.1000839471817017
bbag094_zeisel_cell_00064,1,1,4,1,8.982342,9.155203,63,1.7942893505096436
bbag094_zeisel_cell_00065,1,1,4,1,8.963282,9.171509,64,1.0532138347625732
bbag094_zeisel_cell_00066,1,1,4,1,8.860573,9.152972,65,1.4354289770126345
bbag094_zeisel_cell_00067,1,1,4,1,8.951705,9.186327,66,0.8388391137123108
bbag094_zeisel_cell_00068,1,1,4,1,9.002036,9.157958,67,1.2105427980422974
bbag094_zeisel_cell_00069,1,1,4,1,9.504461,8.219233,68,1.0829142332077026
bbag094_zeisel_cell_00070,1,1,4,1,9.598503,8.455821,69,1.0156372785568235
bbag094_zeisel_cell_00071,1,1,4,1,9.536158,8.2544365,70,0.9592838287353516
bbag094_zeisel_cell_00072,1,1,4,1,8.996569,9.165867,71,1.0455236434936523
bbag094_zeisel_cell_00073,1,1,4,1,9.206247,9.254069,72,0.9871671795845032
bbag094_zeisel_cell_00074,1,1,4,1,9.132729,9.311284,73,1.0910154581069946
bbag094_zeisel_cell_00075,1,1,4,1,9.982456,9.899722,74,1.4673186540603638
bbag094_zeisel_cell_00076,1,1,4,1,9.972062,9.881471,75,0.8931676745414734
bbag094_zeisel_cell_00077,1,1,4,1,9.88398,9.777263,76,0.896510660648346
bbag094_zeisel_cell_00078,1,1,4,1,9.843225,9.772779,77,0.9135100841522216
bbag094_zeisel_cell_00079,1,1,4,1,9.9864,9.901346,78,0.8899993896484375
bbag094_zeisel_cell_00080,1,1,4,1,9.93229,9.832046,79,0.776783287525177
bbag094_zeisel_cell_00081,1,1,4,1,9.860423,9.739761,80,0.8320988416671753
bbag094_zeisel_cell_00082,1,1,4,1,9.970333,9.893848,81,0.8852041363716125
bbag094_zeisel_cell_00083,1,1,4,1,9.943486,9.841656,82,0.878177285194397
bbag094_zeisel_cell_00084,1,1,4,1,10.06632,9.978048,83,0.9398356080055236
bbag094_zeisel_cell_00085,1,1,4,1,10.060958,9.958654,84,1.0619893074035645
bbag094_zeisel_cell_00086,1,1,4,1,10.045356,9.985933,85,0.9282947778701782
bbag094_zeisel_cell_00087,1,1,4,1,10.101792,10.0357485,86,1.2358427047729492
bbag094_zeisel_cell_00088,1,1,4,1,10.076518,9.998746,87,0.8670601844787598
bbag094_zeisel_cell_00089,1,1,4,1,9.935649,9.849214,88,1.059356451034546
bbag094_zeisel_cell_00090,1,1,4,1,10.018956,9.938357,89,0.8711298108100891
bbag094_zeisel_cell_00091,1,1,4,1,10.178332,10.15697,90,0.9198563098907472
bbag094_zeisel_cell_00092,1,1,4,1,10.251089,10.219795,91,0.8666840195655823
bbag094_zeisel_cell_00093,1,1,4,1,10.310061,10.320825,92,1.3609613180160522
bbag094_zeisel_cell_00094,1,1,4,1,10.158781,10.101898,93,0.9641864895820618
bbag094_zeisel_cell_00095,1,1,4,1,10.552468,10.6294565,94,0.956897795200348
bbag094_zeisel_cell_00096,1,1,4,1,10.430493,10.521431,95,1.3936933279037476
bbag094_zeisel_cell_00097,1,1,4,1,10.225071,10.230412,96,1.496932029724121
bbag094_zeisel_cell_00098,1,1,4,1,10.398667,10.399224,97,0.9518578052520752
bbag094_zeisel_cell_00099,1,1,4,1,11.146464,12.740029,98,1.9189600944519043
bbag094_zeisel_cell_00100,1,1,4,1,11.27783,12.924934,99,1.8663731813430784
bbag094_zeisel_cell_00101,1,1,4,1,11.297019,12.945588,100,2.125306367874145
bbag094_zeisel_cell_00102,1,1,4,1,11.237156,12.885794,101,2.02292799949646
bbag094_zeisel_cell_00103,1,1,4,1,11.220256,12.861714,102,1.9984519481658936
bbag094_zeisel_cell_00104,1,1,4,1,11.302744,12.957331,103,2.1031839847564697
bbag094_zeisel_cell_00105,1,1,4,1,11.252645,12.911557,104,2.006086826324463
bbag094_zeisel_cell_00106,1,1,4,1,11.179582,12.816501,105,2.0098578929901123
bbag094_zeisel_cell_00107,1,1,4,1,11.225708,12.873,106,1.9310969114303589
bbag094_zeisel_cell_00108,1,1,4,1,11.248838,12.892637,107,1.9922839403152464
bbag094_zeisel_cell_00109,1,1,9,8,-1.9189584,15.708694,108,2.938446521759033
bbag094_zeisel_cell_00110,1,1,4,1,11.29454,12.950219,109,1.8566166162490845
bbag094_zeisel_cell_00111,1,1,4,1,11.255291,12.900606,110,1.9354194402694704
bbag094_zeisel_cell_00112,1,1,4,1,11.224758,12.836031,111,1.5210069417953491
bbag094_zeisel_cell_00113,1,1,4,1,11.20996,12.835058,112,1.6362675428390503
bbag094_zeisel_cell_00114,1,1,4,1,11.267032,12.920148,113,1.6976503133773804
bbag094_zeisel_cell_00115,1,1,4,1,11.187074,12.7944145,114,1.4936774969100952
bbag094_zeisel_cell_00116,1,1,4,1,11.206195,12.83718,115,1.412533402442932
bbag094_zeisel_cell_00117,1,1,1,4,-15.859936,16.259277,116,2.0568175315856934
bbag094_zeisel_cell_00118,1,1,4,1,11.320731,12.970769,117,1.5745645761489868
bbag094_zeisel_cell_00119,1,1,4,1,11.151566,12.715494,118,1.6855674982070925
bbag094_zeisel_cell_00120,1,1,4,1,11.139408,12.734853,119,1.718733310699463
bbag094_zeisel_cell_00121,1,1,4,1,11.263707,12.906352,120,1.9115796089172363
bbag094_zeisel_cell_00122,1,1,4,1,11.301194,12.956616,121,1.482154130935669
bbag094_zeisel_cell_00123,1,1,4,1,11.379246,13.035932,122,1.7956836223602295
bbag094_zeisel_cell_00124,1,1,4,1,11.237228,12.859825,123,1.4968385696411133
bbag094_zeisel_cell_00125,1,1,4,1,11.362379,13.017519,124,1.9430221319198608
bbag094_zeisel_cell_00126,1,1,4,1,11.239255,12.876439,125,1.6209430694580078
bbag094_zeisel_cell_00127,1,1,4,1,11.320401,12.96895,126,2.1031839847564697
bbag094_zeisel_cell_00128,1,1,4,1,11.013356,12.563771,127,1.6279244422912598
bbag094_zeisel_cell_00129,1,1,4,1,11.232964,12.863773,128,1.5176180601119995
bbag094_zeisel_cell_00130,1,1,4,1,10.767558,11.649718,129,1.4598286151885986
bbag094_zeisel_cell_00131,1,1,5,7,-15.920695,20.51567,130,1.3766920566558838
bbag094_zeisel_cell_00132,1,1,4,1,10.77258,11.321747,131,1.23413348197937
bbag094_zeisel_cell_00133,1,1,4,1,10.810623,11.783406,132,1.4648027420043943
bbag094_zeisel_cell_00134,1,1,4,1,10.832187,11.761981,133,1.429039716720581
bbag094_zeisel_cell_00135,1,1,2,6,10.549951,11.180669,134,1.3650178909301758
bbag094_zeisel_cell_00136,1,1,4,1,10.770209,11.533276,135,1.8340319395065308
bbag094_zeisel_cell_00137,1,1,4,1,10.745372,11.542586,136,1.4143850803375244
bbag094_zeisel_cell_00138,1,1,4,1,10.782921,11.55941,137,1.1309539079666138
bbag094_zeisel_cell_00139,1,1,4,1,10.756105,11.507967,138,1.1241211891174316
bbag094_zeisel_cell_00140,1,1,4,1,10.786504,11.371548,139,1.050678253173828
bbag094_zeisel_cell_00141,1,1,4,1,10.699627,10.987924,140,1.985356092453003
bbag094_zeisel_cell_00142,1,1,1,4,10.7192,11.528158,141,1.85511326789856
bbag094_zeisel_cell_00143,1,1,4,1,8.375834,9.181229,142,0.8070445656776428
bbag094_zeisel_cell_00144,1,1,4,1,10.698017,11.492121,143,1.1764428615570068
bbag094_zeisel_cell_00145,1,1,4,1,10.734302,11.524472,144,1.1422135829925537
bbag094_zeisel_cell_00146,1,1,4,1,10.5703335,10.747736,145,1.5228934288024902
