predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
3,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm1,-3.985159,6.3685975,0,0.6596702337265015
2,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,12.965819,10.753925,1,0.388006716966629
2,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,11.406664,9.93599,2,0.5708611011505127
2,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,11.53579,9.890355,3,0.4895757138729095
2,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,12.904663,9.226988,4,0.4991974830627441
2,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm2,11.85255,8.755,5,0.7913784980773926
2,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,12.284727,10.687899,6,0.3845422863960266
11,Leydig,Donor2_scRNA-seq_rep1,Leydig,2.3321316,-0.23489194,7,1.5082550048828125
0,Myoid,Donor2_scRNA-seq_rep1,Myoid,-0.034827214,-11.037864,8,1.6106846332550049
2,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,12.265857,8.704882,9,0.5071122646331787
3,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm1,-3.833616,6.219237,10,0.7103890180587769
2,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,12.862853,10.471662,11,0.4353455305099487
3,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm1,-4.238798,6.0371423,12,0.5914576053619385
7,Macrophage,Donor2_scRNA-seq_rep1,Macrophage,-3.920979,-3.82079,13,1.1408445835113523
7,Macrophage,Donor2_scRNA-seq_rep1,Macrophage,-3.7671087,-3.6807754,14,1.2622478008270264
2,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,13.096898,9.24658,15,0.4326962828636169
2,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,13.763751,8.857445,16,0.4122855365276336
9,Round_spermatid,Donor2_scRNA-seq_rep1,Round_spermatid,19.575594,0.12561901,17,0.6679776906967163
6,Elongated_spermatid,Donor2_scRNA-seq_rep1,Elongated_spermatid,-0.77867377,12.943341,18,0.9471663236618042
11,Leydig,Donor2_scRNA-seq_rep1,Leydig,2.563487,-0.47269297,19,1.376002550125122
0,Myoid,Donor2_scRNA-seq_rep1,Myoid,-0.0036386438,-11.119991,20,1.5821682214736938
2,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,11.813148,9.539673,21,1.7615069150924685
8,Endothelial,Donor2_scRNA-seq_rep1,Endothelial,11.675099,-8.636447,22,1.102742075920105
8,Endothelial,Donor2_scRNA-seq_rep1,Endothelial,11.521236,-8.174955,23,1.012763261795044
11,Myoid,Donor2_scRNA-seq_rep1,Leydig,2.5369775,-0.46040058,24,2.14084529876709
6,Elongated_spermatid,Donor2_scRNA-seq_rep1,Elongated_spermatid,-0.32603738,13.36968,25,1.671919584274292
2,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,12.320107,10.381732,26,0.6416918039321899
11,Myoid,Donor2_scRNA-seq_rep1,Leydig,2.2447338,-0.4850926,27,2.532145738601685
5,Early_spermatocyte,Donor2_scRNA-seq_rep1,Early_spermatocyte,-14.731371,7.155451,28,0.7338000535964966
2,Sperm2,Donor2_scRNA-seq_rep1,Sperm2,11.174918,10.014753,29,0.4028121829032898
1,SSC,Donor2_scRNA-seq_rep1,SSC,-10.515592,-2.9979937,30,0.8104297518730164
5,Early_spermatocyte,Donor2_scRNA-seq_rep1,Early_spermatocyte,-14.395066,7.202219,31,1.4265159368515017
3,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm1,-4.3333693,6.1339226,32,0.6032679080963135
3,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm1,-4.0599437,6.2481465,33,0.7173527479171753
2,Elongated_spermatid,Donor2_scRNA-seq_rep1,Sperm2,13.041256,10.584068,34,1.1844522953033447
9,Round_spermatid,Donor2_scRNA-seq_rep1,Round_spermatid,20.088678,-0.10169507,35,0.6269826889038086
1,SSC,Donor2_scRNA-seq_rep1,SSC,-10.529201,-2.8555064,36,1.104528546333313
7,Macrophage,Donor2_scRNA-seq_rep1,Macrophage,-3.300452,-3.3426943,37,1.0763732194900513
11,Leydig,Donor2_scRNA-seq_rep1,Leydig,3.0084188,0.1947097,38,0.9601670503616332
2,Sperm1,Donor2_scRNA-seq_rep1,Sperm2,12.194245,8.832854,39,0.4025730192661285
