cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,-13.504220962524414,-2.639946699142456,0,W31105,7MEP,7MEP,single_batch,0.8805757761001587
1,-2.2568140029907227,-6.228457927703857,3,W31106,15Mo,14Mo,single_batch,0.8005107641220093
2,10.917677879333496,-3.042074918746948,2,W31107,3Ery,3Ery,single_batch,0.9162594079971312
3,-3.563863754272461,8.378705978393555,4,W31108,15Mo,16Neu,single_batch,1.5644587278366089
4,12.94566249847412,-2.35090708732605,2,W31109,3Ery,3Ery,single_batch,0.7156978845596313
5,-4.552096366882324,7.50929069519043,4,W31110,15Mo,16Neu,single_batch,1.3745357990264893
6,13.422788619995115,-3.137779951095581,2,W31111,4Ery,3Ery,single_batch,0.8800175786018372
7,-13.948807716369627,-1.5203492641448977,0,W31113,2Ery,7MEP,single_batch,1.6441582441329956
8,10.104984283447266,-3.601395845413208,2,W31114,3Ery,3Ery,single_batch,1.6707574129104614
9,3.2429399490356445,3.664208173751831,5,W31115,2Ery,5Ery,single_batch,0.7262600660324097
10,2.912708282470703,3.351234674453736,5,W31116,2Ery,5Ery,single_batch,0.711112380027771
11,-2.841554880142212,19.59978675842285,1,W31117,17Neu,10GMP,single_batch,1.1597810983657837
12,-3.010175943374634,-4.986435413360596,3,W31118,14Mo,14Mo,single_batch,0.717006504535675
13,-1.3546301126480105,17.639711380004883,1,W31119,13Baso,10GMP,single_batch,0.6713036894798279
14,2.4205708503723145,4.25446891784668,5,W31120,3Ery,5Ery,single_batch,0.807770848274231
15,-14.155695915222168,-2.2613110542297363,0,W31121,7MEP,7MEP,single_batch,1.0759141445159912
16,11.057976722717283,-3.3248419761657715,2,W31122,3Ery,3Ery,single_batch,0.963287353515625
17,2.8463971614837646,2.632352352142334,5,W31123,3Ery,5Ery,single_batch,0.7634353041648865
18,16.541675567626953,8.109892845153809,6,W31124,2Ery,2Ery,single_batch,1.126794695854187
19,-11.619040489196776,-4.601318836212158,0,W31125,8Mk,7MEP,single_batch,1.9605720043182373
20,5.794005870819092,7.253767967224121,5,W31126,3Ery,5Ery,single_batch,1.008517146110535
21,-1.7136967182159424,16.553972244262695,1,W31127,9GMP,10GMP,single_batch,1.567166447639465
22,-11.880247116088867,-4.18791389465332,0,W31128,8Mk,7MEP,single_batch,1.6114331483840942
23,-3.3902904987335205,17.671031951904297,1,W31129,10GMP,10GMP,single_batch,0.8577512502670288
24,-0.1383849680423736,17.757062911987305,1,W31130,15Mo,10GMP,single_batch,0.9068087339401244
25,-5.264811038970947,6.660857200622559,4,W31131,16Neu,16Neu,single_batch,0.95908385515213
26,2.668295860290528,2.490262985229492,5,W31132,4Ery,5Ery,single_batch,0.7272450923919678
27,-2.1589696407318115,18.21898078918457,1,W31133,13Baso,10GMP,single_batch,0.8844754695892334
28,-3.113421440124512,18.865238189697266,1,W31134,17Neu,10GMP,single_batch,1.4518486261367798
29,13.050579071044922,-2.3601186275482178,2,W31136,3Ery,3Ery,single_batch,0.7977144122123718
30,2.604924201965332,3.866526126861572,5,W31137,2Ery,5Ery,single_batch,0.6668222546577454
31,12.32779026031494,-3.2326531410217285,2,W31138,3Ery,3Ery,single_batch,1.1589863300323486
32,4.298675060272217,5.60620641708374,5,W31139,5Ery,5Ery,single_batch,0.6649419665336609
33,5.599549293518066,7.239580631256103,5,W31140,3Ery,5Ery,single_batch,1.131696701049805
34,-0.8718207478523254,16.818803787231445,1,W31141,13Baso,10GMP,single_batch,0.7035702466964722
35,16.34100914001465,8.375528335571289,6,W31142,1Ery,2Ery,single_batch,1.9677064418792725
36,10.221091270446776,-3.208303689956665,2,W31143,3Ery,3Ery,single_batch,1.139961004257202
37,12.402050018310549,-3.2483131885528564,2,W31144,6Ery,3Ery,single_batch,0.9297738075256348
38,-0.982865035533905,18.78299903869629,1,W31145,15Mo,10GMP,single_batch,0.9748445749282836
39,5.610511779785156,6.355549335479736,5,W31146,3Ery,5Ery,single_batch,0.6255022883415222
40,2.2688934803009038,3.4385480880737305,5,W31147,3Ery,5Ery,single_batch,0.8573838472366333
41,-3.3624870777130127,-5.487100124359131,3,W31148,14Mo,14Mo,single_batch,0.7460975646972656
42,8.116044998168945,-9.326200485229492,7,W31149,19Lymph,19Lymph,single_batch,2.595523834228516
43,-2.4102983474731445,18.46013069152832,1,W31150,12Baso,10GMP,single_batch,0.9324617981910706
44,10.814075469970703,-2.9967598915100098,2,W31151,3Ery,3Ery,single_batch,0.965106964111328
45,-1.6151340007781982,-7.276947975158691,3,W31152,14Mo,14Mo,single_batch,0.8218165636062622
46,6.2878618240356445,7.005659103393555,5,W31153,6Ery,5Ery,single_batch,1.0422184467315674
47,14.065213203430176,-2.936630964279175,2,W31154,4Ery,3Ery,single_batch,0.7487584352493286
48,-14.398307800292969,-3.3266406059265137,0,W31155,7MEP,7MEP,single_batch,2.1452016830444336
49,18.20977783203125,4.794562816619873,6,W31156,2Ery,2Ery,single_batch,0.8586075305938721
50,-2.096719980239868,16.877899169921875,1,W31157,13Baso,10GMP,single_batch,1.0685791969299316
51,-4.7897257804870605,7.467045307159424,4,W31158,14Mo,16Neu,single_batch,0.8255376219749451
52,4.833532810211182,7.235918045043945,5,W31159,6Ery,5Ery,single_batch,1.2698137760162354
53,-3.5975773334503174,18.112537384033203,1,W31160,18Eos,10GMP,single_batch,1.4315457344055176
54,2.4955310821533203,4.245728969573975,5,W31161,4Ery,5Ery,single_batch,1.046425461769104
55,3.83022141456604,3.835799217224121,5,W31162,3Ery,5Ery,single_batch,0.5994926691055298
56,3.7370078563690186,3.8285439014434814,5,W31163,3Ery,5Ery,single_batch,0.6394763588905334
57,-2.204913377761841,-5.789183139801025,3,W31164,14Mo,14Mo,single_batch,0.5930439829826355
58,17.784603118896484,5.348365783691406,6,W31165,2Ery,2Ery,single_batch,0.862958550453186
59,-0.8357542157173157,-5.3206939697265625,3,W31166,13Baso,14Mo,single_batch,0.6298144459724426
60,17.762048721313477,5.388250350952148,6,W31167,2Ery,2Ery,single_batch,0.934917449951172
61,-3.529249906539917,-7.041116237640381,3,W31168,13Baso,14Mo,single_batch,1.566347360610962
62,-0.4293225109577179,17.122526168823242,1,W31169,13Baso,10GMP,single_batch,0.8329395651817322
63,-3.471730232238769,-6.023986339569092,3,W31170,14Mo,14Mo,single_batch,1.0044667720794678
64,-14.11319637298584,-3.0083603858947754,0,W31171,7MEP,7MEP,single_batch,0.9454752206802368
65,10.087255477905272,-3.620956897735596,2,W31172,7MEP,3Ery,single_batch,2.4089062213897705
66,-14.329379081726074,-3.1538355350494385,0,W31173,7MEP,7MEP,single_batch,1.2213103771209717
67,-1.7982165813446045,16.729623794555664,1,W31174,10GMP,10GMP,single_batch,0.8355689644813538
68,-2.310655117034912,19.44845390319824,1,W31175,12Baso,10GMP,single_batch,1.0220476388931274
69,4.487751483917236,7.04805850982666,5,W31176,6Ery,5Ery,single_batch,1.698859930038452
70,5.932750225067139,6.17288875579834,5,W31177,5Ery,5Ery,single_batch,0.6151979565620422
71,4.952198028564453,6.004045009613037,5,W31178,5Ery,5Ery,single_batch,0.6196181774139404
72,-4.908210754394531,7.441505908966064,4,W31179,14Mo,16Neu,single_batch,0.9435657262802124
73,3.7067770957946777,3.798552989959717,5,W31180,4Ery,5Ery,single_batch,0.6023454070091248
74,-5.746063232421875,7.427953243255615,4,W31181,16Neu,16Neu,single_batch,0.6393954753875732
75,-4.880044937133789,7.870360374450684,4,W31182,16Neu,16Neu,single_batch,0.820305347442627
76,12.787226676940918,-2.955064058303833,2,W31183,3Ery,3Ery,single_batch,0.6048137545585632
77,2.940894365310669,3.5987329483032227,5,W31184,2Ery,5Ery,single_batch,0.821348249912262
78,6.172486782073975,5.182849407196045,5,W31185,6Ery,5Ery,single_batch,0.590248167514801
79,-0.1941663026809692,16.626264572143555,1,W31186,13Baso,10GMP,single_batch,1.035654067993164
80,-1.5642651319503784,17.27663230895996,1,W31187,13Baso,10GMP,single_batch,0.6535032391548157
81,-2.192647933959961,17.441064834594727,1,W31188,10GMP,10GMP,single_batch,0.7239184379577637
82,-5.289219379425049,6.597066402435303,4,W31189,14Mo,16Neu,single_batch,0.7995785474777222
83,4.554481983184815,4.111850738525391,5,W31190,5Ery,5Ery,single_batch,0.5738287568092346
84,-13.511722564697266,-3.2191953659057617,0,W31191,7MEP,7MEP,single_batch,1.002310037612915
85,-13.557021141052246,-3.3316752910614014,0,W31192,7MEP,7MEP,single_batch,1.0300674438476562
86,6.045125961303711,5.890626430511475,5,W31193,5Ery,5Ery,single_batch,0.608435869216919
87,4.548707962036133,6.856283664703369,5,W31194,6Ery,5Ery,single_batch,1.3392736911773682
88,17.799570083618164,5.315001010894775,6,W31195,2Ery,2Ery,single_batch,0.817608118057251
89,-2.190548896789551,18.377779006958008,1,W31196,10GMP,10GMP,single_batch,1.483912229537964
90,-1.3005223274230957,18.08450698852539,1,W31197,10GMP,10GMP,single_batch,1.0880248546600342
91,3.757566213607788,3.3382742404937744,5,W31198,2Ery,5Ery,single_batch,0.5718743801116943
92,-14.35948085784912,-3.190149068832397,0,W31199,7MEP,7MEP,single_batch,1.8390610218048096
93,4.736961841583252,7.177201271057129,5,W31200,6Ery,5Ery,single_batch,1.0184879302978516
94,-12.96231460571289,-2.0465540885925293,0,W31201,7MEP,7MEP,single_batch,0.8508400917053223
95,-2.07141661643982,-4.52211332321167,3,W31202,14Mo,14Mo,single_batch,0.7511257529258728
96,-1.278661847114563,-4.833124160766602,3,W31203,16Neu,14Mo,single_batch,0.7391790151596069
97,-1.899037718772888,16.34041404724121,1,W31204,10GMP,10GMP,single_batch,1.012600660324097
98,3.846624374389648,4.198939800262451,5,W31205,3Ery,5Ery,single_batch,0.6533200740814209
99,11.752313613891602,-3.039904832839966,2,W31206,3Ery,3Ery,single_batch,0.7401643991470337
100,-2.20021653175354,-6.612052440643311,3,W31207,13Baso,14Mo,single_batch,0.6926850080490112
101,16.75389862060547,7.657363414764404,6,W31209,1Ery,2Ery,single_batch,1.6269662380218506
102,-1.0337811708450315,-5.120720863342285,3,W31210,14Mo,14Mo,single_batch,0.8451710939407349
103,-1.4213459491729736,-6.847927093505859,3,W31211,15Mo,14Mo,single_batch,1.1771204471588137
104,4.731134414672852,4.205602645874023,5,W31212,2Ery,5Ery,single_batch,0.5396299362182617
105,4.722403526306152,6.184144020080566,5,W31213,5Ery,5Ery,single_batch,0.7442629337310791
106,17.13319969177246,6.694503307342529,6,W31214,2Ery,2Ery,single_batch,0.9684303998947144
107,4.634449481964111,5.2906599044799805,5,W31215,5Ery,5Ery,single_batch,0.5641230940818787
108,11.500590324401855,-3.2254037857055664,2,W31217,3Ery,3Ery,single_batch,0.6545574069023132
109,-1.2910923957824707,-5.275423049926758,3,W31218,14Mo,14Mo,single_batch,0.713670015335083
110,-1.5411887168884275,16.22645378112793,1,W31219,10GMP,10GMP,single_batch,1.510550618171692
111,17.134050369262695,6.688997745513916,6,W31220,2Ery,2Ery,single_batch,0.717012882232666
112,-14.339251518249512,-2.7725512981414795,0,W31221,7MEP,7MEP,single_batch,1.2619071006774902
113,5.8929362297058105,6.711058139801025,5,W31222,4Ery,5Ery,single_batch,0.8236329555511475
114,-1.855136156082153,16.883453369140625,1,W31223,9GMP,10GMP,single_batch,1.5805095434188845
115,-13.510661125183104,-3.370572328567505,0,W31224,7MEP,7MEP,single_batch,1.2580124139785769
116,18.142070770263672,4.869394302368164,6,W31225,3Ery,2Ery,single_batch,1.050359129905701
117,-6.017621994018555,7.679727077484131,4,W31226,16Neu,16Neu,single_batch,1.0793485641479492
118,7.326269626617432,-10.354633331298828,8,W31227,11DC,11DC,single_batch,2.630985975265503
119,7.811174392700195,-9.68521213531494,7,W31228,10GMP,19Lymph,single_batch,3.4357717037200928
120,13.621793746948242,-2.989170789718628,2,W31229,6Ery,3Ery,single_batch,1.1517884731292725
121,4.801855564117432,5.750766277313232,5,W31230,3Ery,5Ery,single_batch,0.725058913230896
122,16.360342025756836,8.353368759155273,6,W31231,2Ery,2Ery,single_batch,1.5521152019500732
123,3.5970749855041504,3.4652271270751958,5,W31232,5Ery,5Ery,single_batch,0.6728973984718323
124,16.576887130737305,8.02278995513916,6,W31233,2Ery,2Ery,single_batch,1.5808653831481934
125,2.6047582626342773,2.364229202270508,5,W31234,2Ery,5Ery,single_batch,0.7780030965805054
126,4.023630142211914,5.505224227905273,5,W31236,5Ery,5Ery,single_batch,1.0557184219360352
127,-0.4492215514183044,-6.375380039215088,3,W31237,14Mo,14Mo,single_batch,0.7241411805152893
128,6.034142971038818,7.037986755371094,5,W31238,5Ery,5Ery,single_batch,0.8500366806983948
129,-1.291581153869629,-5.5523295402526855,3,W31239,14Mo,14Mo,single_batch,0.5969794392585754
130,14.24814510345459,-2.868403911590576,2,W31240,3Ery,3Ery,single_batch,0.8490689396858215
131,2.5097289085388184,2.3181843757629395,5,W31241,2Ery,5Ery,single_batch,1.2695428133010864
132,-6.151156902313232,7.614542484283447,4,W31242,16Neu,16Neu,single_batch,0.9316227436065674
