predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
4,acinar,human1,acinar,6.5650024,-7.913211,0,0.9714178442955016
4,acinar,human1,acinar,6.9258695,-8.498624,1,0.928289532661438
4,acinar,human1,acinar,6.4991064,-9.156503,2,0.8360571265220642
4,acinar,human1,acinar,6.585318,-7.989082,3,1.3489404916763306
4,acinar,human1,acinar,7.1610093,-7.5366826,4,1.027095079421997
4,acinar,human1,acinar,6.4366865,-8.096345,5,0.9881423711776732
10,beta,human1,beta,-8.7592,4.038684,6,0.4047490358352661
4,acinar,human1,acinar,6.239279,-8.330319,7,0.8613643050193787
4,acinar,human1,acinar,7.126454,-7.631632,8,1.0129859447479248
4,acinar,human1,acinar,6.1928535,-8.351066,9,0.7983218431472778
4,acinar,human1,acinar,6.9316387,-8.912135,10,0.9012791514396667
4,acinar,human1,acinar,6.8000803,-9.513024,11,1.0999648571014404
13,delta,human1,delta,-2.121759,13.42275,12,0.3970616161823272
13,delta,human1,delta,-1.6747578,13.141194,13,0.3845422863960266
10,beta,human1,beta,-8.593667,3.3759398,14,0.7921956777572632
6,activated_stellate,human1,activated_stellate,7.541602,10.816527,15,1.705127477645874
10,beta,human1,beta,-6.9489956,3.5448387,16,0.4789070785045624
4,acinar,human1,acinar,7.4534545,-8.583814,17,0.9628588557243348
2,ductal,human1,schwann,15.968912,-4.853297,18,1.6165125370025637
10,beta,human1,beta,-7.334085,3.938199,19,0.9652663469314576
10,beta,human1,beta,-8.9914875,2.9546077,20,0.4429643750190735
11,alpha,human1,alpha,5.151073,2.2515538,21,0.6101475954055786
7,ductal,human1,epsilon,-2.4250994,-9.770137,22,1.4703165292739868
10,beta,human1,beta,-9.919719,3.7774203,23,0.3858529031276703
13,delta,human1,delta,-1.6850708,13.303226,24,0.4819028377532959
3,alpha,human1,mast,12.503334,15.773545,25,0.6580755114555359
10,beta,human1,beta,-7.568267,4.4516473,26,0.3845422863960266
4,acinar,human1,acinar,7.275922,-8.017979,27,0.9920681715011596
4,acinar,human1,acinar,7.326165,-9.007636,28,1.3900232315063477
10,beta,human1,beta,-9.026674,4.1065893,29,0.3845422863960266
13,delta,human1,delta,-1.5384012,12.805991,30,0.7155451774597168
13,delta,human1,delta,-2.251386,13.279668,31,0.4858134686946869
13,delta,human1,delta,-2.073755,13.262487,32,0.3845422863960266
13,delta,human1,delta,-1.731145,13.088348,33,0.3990702331066131
10,beta,human1,beta,-8.391672,4.5271745,34,0.4871121644973755
4,acinar,human1,acinar,6.2294383,-8.641938,35,1.1412845849990845
10,beta,human1,beta,-8.284319,4.1986847,36,0.3845422863960266
10,beta,human1,beta,-7.455388,3.7398424,37,0.5771340131759644
10,beta,human1,beta,-7.0348396,4.001998,38,0.8009699583053589
13,delta,human1,delta,-1.3673788,12.534618,39,0.4980095326900482
6,activated_stellate,human1,activated_stellate,7.5572233,10.2888975,40,1.6621499061584473
10,beta,human1,beta,-10.771324,3.5705545,41,0.3845422863960266
13,delta,human1,delta,-1.9926553,12.930943,42,0.3845422863960266
6,activated_stellate,human1,activated_stellate,7.5480137,10.777177,43,1.4609625339508057
6,activated_stellate,human1,activated_stellate,7.592898,10.507594,44,1.8185222148895264
6,activated_stellate,human1,activated_stellate,7.584964,10.454598,45,1.5784080028533936
4,acinar,human1,acinar,7.140916,-7.997855,46,0.8718141913414001
6,activated_stellate,human1,activated_stellate,7.822479,10.111706,47,1.5304367542266846
13,delta,human1,delta,-1.7196097,13.563649,48,0.3845422863960266
10,beta,human1,beta,-10.491477,3.2535017,49,0.3845422863960266
13,delta,human1,delta,-1.997656,13.030355,50,0.5391892194747925
10,beta,human1,beta,-7.951038,3.8294756,51,0.3845422863960266
4,acinar,human1,acinar,6.411781,-9.022759,52,1.1300190687179563
10,beta,human1,beta,-10.794809,4.4197392,53,0.7863317728042603
10,beta,human1,beta,-6.942221,4.1930113,54,0.4426243901252746
6,activated_stellate,human1,activated_stellate,7.789018,10.029089,55,1.6052457094192505
10,beta,human1,beta,-8.983959,5.015767,56,0.5069729685783386
10,beta,human1,beta,-9.321856,4.978764,57,0.5321881175041199
10,beta,human1,beta,-8.26618,2.9167202,58,0.5167956352233887
10,beta,human1,beta,-8.756759,2.6287353,59,0.7202191948890686
12,ductal,human1,ductal,14.540449,5.991959,60,1.5663597583770752
11,alpha,human1,alpha,5.6330004,2.1491642,61,0.5789958238601685
10,beta,human1,beta,-8.985273,3.5126374,62,0.6442668437957764
12,ductal,human1,ductal,14.166634,5.3795094,63,2.0497941970825195
7,ductal,human1,epsilon,-2.4782403,-9.738955,64,2.240983009338379
4,acinar,human1,acinar,6.439439,-9.12811,65,0.873452365398407
11,alpha,human1,alpha,3.8540397,2.645354,66,0.6518683433532715
10,beta,human1,beta,-7.842349,3.7117987,67,0.4093794226646423
13,delta,human1,delta,-1.9279044,12.635509,68,0.4079460203647613
11,alpha,human1,alpha,4.785141,3.0906482,69,0.6481142640113831
10,beta,human1,beta,-9.114494,5.124311,70,0.6689666509628296
10,beta,human1,beta,-9.237124,4.7131295,71,0.729046642780304
10,beta,human1,beta,-8.268352,3.5558484,72,0.6453590989112854
13,delta,human1,delta,-1.8093762,12.745985,73,1.303847312927246
10,beta,human1,beta,-8.481265,2.80128,74,0.4638182520866394
10,beta,human1,beta,-8.644895,3.855672,75,0.5545840859413147
13,delta,human1,delta,-1.8986536,13.059022,76,1.0310416221618652
10,beta,human1,beta,-8.713282,3.538021,77,0.6979889869689941
10,beta,human1,beta,-8.1535015,3.94981,78,0.3845422863960266
10,beta,human1,beta,-9.185262,3.9306328,79,0.5439367890357971
10,beta,human1,beta,-10.505528,4.1032925,80,0.4431606829166412
10,beta,human1,beta,-7.5179596,4.290535,81,0.3845422863960266
10,beta,human1,beta,-9.858635,3.710029,82,0.4170623123645782
4,acinar,human1,acinar,6.8349524,-9.46473,83,0.9347803592681884
6,activated_stellate,human1,activated_stellate,7.542951,10.863453,84,1.596125602722168
13,delta,human1,delta,-2.0766017,13.56137,85,0.4145906865596771
13,delta,human1,delta,-2.1498666,13.5369425,86,0.3981080949306488
10,beta,human1,beta,-10.789509,3.9850624,87,0.4240047335624695
10,beta,human1,beta,-9.001966,3.4380417,88,0.5754522681236267
10,beta,human1,beta,-8.92611,3.8595474,89,0.4928096830844879
10,beta,human1,beta,-8.069388,2.7444417,90,0.4730621874332428
10,beta,human1,beta,-8.714975,3.254485,91,0.3845422863960266
10,beta,human1,beta,-8.834422,3.7672026,92,0.5651965141296387
10,beta,human1,beta,-8.311946,3.183118,93,0.462486207485199
10,beta,human1,beta,-7.6505065,3.5728385,94,0.7018015384674072
10,beta,human1,beta,-9.76604,3.0531735,95,0.7773785591125488
10,beta,human1,beta,-8.655441,3.165926,96,0.5621834993362427
13,delta,human1,delta,-1.4736886,13.331856,97,0.550608217716217
13,delta,human1,delta,-1.9821099,13.516724,98,0.6373005509376526
10,beta,human1,beta,-10.390652,3.5146751,99,0.3845422863960266
13,delta,human1,delta,-1.4842342,13.561612,100,0.592452883720398
11,alpha,human1,alpha,4.3683867,2.6616056,101,0.8755214214324951
11,alpha,human1,alpha,4.773732,3.3946323,102,0.8885367512702942
13,delta,human1,delta,-1.3625878,13.248467,103,0.3845422863960266
10,beta,human1,beta,-7.9228425,3.858172,104,0.435200572013855
10,beta,human1,beta,-9.127425,4.257581,105,0.3933337032794952
10,beta,human1,beta,-9.173263,4.134145,106,1.300873041152954
10,beta,human1,beta,-7.5526705,3.0794652,107,0.3908323645591736
4,acinar,human1,acinar,6.6705666,-8.842069,108,1.0562007427215576
13,delta,human1,delta,-1.6399813,13.937378,109,0.6393961906433105
10,beta,human1,beta,-7.1226153,3.7645197,110,0.6588385105133057
10,beta,human1,beta,-8.510248,4.662914,111,0.74482262134552
13,delta,human1,delta,-1.7417511,13.055793,112,0.4239105880260467
10,beta,human1,beta,-10.660937,3.3198245,113,0.5978574752807617
10,beta,human1,beta,-9.778024,4.29378,114,0.5923497676849365
10,beta,human1,beta,-7.178562,3.5058606,115,0.3845422863960266
13,delta,human1,delta,-2.0813174,13.047176,116,0.4984748363494873
