predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
0,B cell,3-M-8,B cell,-1.8963734,6.2677197,0,1.023486852645874
2,natural killer cell,3-M-8,natural killer cell,-14.971403,7.1593685,1,1.941217422485352
0,B cell,3-M-8,B cell,0.034239072,6.552817,2,0.6963678598403931
0,B cell,3-M-8,B cell,-1.4491372,5.620681,3,0.559109091758728
0,B cell,3-M-8,B cell,-1.058078,7.2364144,4,0.7347347736358643
0,B cell,3-M-8,B cell,-0.5537208,9.491351,5,0.7711923122406006
0,B cell,3-M-8,B cell,-3.4819605,7.590542,6,1.4854729175567627
4,T cell,3-M-8,T cell,-0.59697676,-8.759479,7,1.158543825149536
4,T cell,3-M-8,T cell,-1.832752,-8.923731,8,1.0289366245269775
3,B cell,3-M-8,dendritic cell,16.170408,4.037465,9,1.1613606214523315
0,B cell,3-M-8,B cell,-2.7663884,8.715893,10,0.7755292057991028
0,B cell,3-M-8,B cell,-1.4428898,5.726967,11,0.7411834001541138
1,macrophage,3-M-8,macrophage,8.545675,-0.44583088,12,1.7016618251800537
0,B cell,3-M-8,B cell,-2.050328,8.318459,13,0.4868114292621612
0,B cell,3-M-8,B cell,-3.4994113,7.905,14,0.8893125653266907
0,B cell,3-M-8,B cell,-3.0123258,7.4881597,15,1.289604902267456
0,B cell,3-M-8,B cell,-3.5179062,7.102967,16,0.5059396028518677
3,B cell,3-M-8,dendritic cell,16.205475,3.707187,17,0.4574189782142639
4,B cell,3-M-8,T cell,-0.33297983,-9.0027,18,2.426625490188598
4,T cell,3-M-8,T cell,1.0879135,-8.594668,19,0.5909874439239502
4,T cell,3-M-8,T cell,2.0442545,-8.4623995,20,1.7145047187805176
4,T cell,3-M-8,T cell,2.3664699,-8.910582,21,1.9283562898635864
0,B cell,3-M-8,B cell,0.3872701,6.7343674,22,0.8992120027542114
0,dendritic cell,3-M-8,B cell,0.5667237,11.496302,23,3.600733757019043
0,B cell,3-M-8,B cell,-0.50416756,7.4943647,24,0.5513540506362915
3,B cell,3-M-8,dendritic cell,16.247398,3.0348089,25,0.788469672203064
