cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
W31105,single_batch,7MEP,2,7MEP,8.351883,3.345621,0,0.8805757761001587
W31106,single_batch,15Mo,1,14Mo,3.9743598,-1.0819728,1,0.8005107641220093
W31107,single_batch,3Ery,0,2Ery,10.808293,11.278079,2,0.9162594079971312
W31108,single_batch,15Mo,3,16Neu,3.6163523,-2.7383099,3,1.5644587278366089
W31109,single_batch,3Ery,0,2Ery,11.110438,11.194463,4,0.7156978845596313
W31110,single_batch,15Mo,3,16Neu,4.709163,-1.8660489,5,1.3745357990264893
W31111,single_batch,4Ery,0,2Ery,10.206094,8.875528,6,0.8800175786018372
W31113,single_batch,2Ery,2,7MEP,8.876082,3.4830472,7,1.6441582441329956
W31114,single_batch,3Ery,0,2Ery,9.740374,8.801617,8,1.6707574129104614
W31115,single_batch,2Ery,0,2Ery,12.001204,10.001137,9,0.7262600660324097
W31116,single_batch,2Ery,0,2Ery,12.165775,10.18731,10,0.711112380027771
W31117,single_batch,17Neu,2,7MEP,7.4555993,1.7507493,11,1.1597810983657837
W31118,single_batch,14Mo,1,14Mo,3.7754314,-1.4870344,12,0.717006504535675
W31119,single_batch,13Baso,1,14Mo,5.131015,0.44012132,13,0.6713036894798279
W31120,single_batch,3Ery,0,2Ery,11.435274,10.302207,14,0.807770848274231
W31121,single_batch,7MEP,2,7MEP,8.636653,3.2587874,15,1.0759141445159912
W31122,single_batch,3Ery,0,2Ery,10.430853,10.508558,16,0.963287353515625
W31123,single_batch,3Ery,0,2Ery,11.6894655,10.408327,17,0.7634353041648865
W31124,single_batch,2Ery,0,2Ery,12.260243,10.824495,18,1.126794695854187
W31125,single_batch,8Mk,2,7MEP,6.894949,3.4593437,19,1.9605720043182373
W31126,single_batch,3Ery,0,2Ery,10.2196665,8.936874,20,1.008517146110535
W31127,single_batch,9GMP,1,14Mo,5.0908427,1.006316,21,1.567166447639465
