cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,6.122854709625244,5.406022071838379,4,W31105,7MEP,7MEP,single_batch,0.8805757761001587
1,-7.236117839813232,1.0431500673294067,2,W31106,15Mo,14Mo,single_batch,0.8005107641220093
2,12.01034164428711,-3.9874801635742183,5,W31107,3Ery,2Ery,single_batch,0.9162594079971312
3,-8.407565116882324,1.093980073928833,2,W31108,15Mo,14Mo,single_batch,1.5644587278366089
4,14.351556777954102,-3.241722345352173,5,W31109,3Ery,2Ery,single_batch,0.7156978845596313
5,-9.266080856323242,3.526785135269165,2,W31110,15Mo,14Mo,single_batch,1.3745357990264893
6,6.780556201934815,7.4379496574401855,4,W31111,4Ery,7MEP,single_batch,0.8800175786018372
7,5.225123405456543,-5.2625274658203125,5,W31113,2Ery,2Ery,single_batch,1.6441582441329956
8,6.022669315338135,6.779860496520996,4,W31114,3Ery,7MEP,single_batch,1.6707574129104614
9,11.861331939697266,-5.055438995361328,5,W31115,2Ery,2Ery,single_batch,0.7262600660324097
10,5.46696138381958,-5.676983833312988,5,W31116,2Ery,2Ery,single_batch,0.711112380027771
11,3.975929975509644,5.5173749923706055,4,W31117,17Neu,7MEP,single_batch,1.1597810983657837
12,-8.346894264221191,2.6595728397369385,2,W31118,14Mo,14Mo,single_batch,0.717006504535675
13,13.345236778259276,12.298877716064451,3,W31119,13Baso,10GMP,single_batch,0.6713036894798279
14,11.602763175964355,-4.60979700088501,5,W31120,3Ery,2Ery,single_batch,0.807770848274231
15,5.311527729034424,6.453439712524414,4,W31121,7MEP,7MEP,single_batch,1.0759141445159912
16,4.6321330070495605,-6.032537937164307,5,W31122,3Ery,2Ery,single_batch,0.963287353515625
17,11.794167518615724,-5.046715259552002,5,W31123,3Ery,2Ery,single_batch,0.7634353041648865
18,16.15534782409668,-3.1853814125061035,5,W31124,2Ery,2Ery,single_batch,1.126794695854187
19,9.866015434265137,13.717312812805176,3,W31125,8Mk,10GMP,single_batch,1.9605720043182373
