cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch,umap_1,umap_2,scraw_reconstruction_weight
0,0,0,acinar,acinar,human1,-2.27223,12.743845,0.8200136423110962
1,1,0,acinar,acinar,human1,-3.0762188,15.452477,1.1724987030029297
2,2,0,acinar,acinar,human1,-0.88963187,12.369317,0.716318666934967
3,3,0,acinar,acinar,human1,-3.0853016,15.553529,1.4410862922668457
4,4,0,acinar,acinar,human1,-0.66741264,13.114685,0.8865333795547485
5,5,0,acinar,acinar,human1,-2.3659194,12.843892,0.919107973575592
6,6,1,beta,beta,human1,10.139057,-1.8359101,0.8856710195541382
7,7,0,acinar,acinar,human1,-2.3499486,12.81321,1.01738178730011
8,8,0,acinar,acinar,human1,-2.5643296,15.3075485,1.0536607503890991
9,9,0,acinar,acinar,human1,-2.415025,12.907,0.7952309846878052
10,10,0,acinar,acinar,human1,-2.4719024,13.0373335,0.8401635885238647
11,11,0,acinar,acinar,human1,-1.9426744,12.190879,1.0603690147399902
12,12,2,delta,delta,human1,6.4430814,3.729016,0.7527269124984741
13,13,2,delta,delta,human1,7.0664372,4.8345785,0.8715705871582031
14,14,1,beta,beta,human1,9.125968,0.18945561,0.9033297896385192
15,15,3,activated_stellate,activated_stellate,human1,-8.526178,-0.8431731,1.7936686277389526
16,16,1,beta,beta,human1,9.165484,-2.2586482,0.8093584179878235
17,17,0,acinar,acinar,human1,-2.1371484,14.179361,0.8131930232048035
18,18,4,ductal,ductal,human1,-0.56041706,19.18455,1.0444406270980835
19,19,1,beta,beta,human1,9.672557,-1.868034,0.5726287961006165
20,20,1,beta,beta,human1,9.980083,-1.9110348,0.5331980586051941
21,21,5,alpha,alpha,human1,9.43081,8.08553,0.449999988079071
22,22,4,ductal,ductal,human1,-2.4970434,17.975626,2.071782350540161
23,23,1,beta,beta,human1,10.813383,-3.0232131,0.6052340269088745
24,24,2,delta,delta,human1,7.023045,4.190647,0.864596426486969
25,25,5,alpha,alpha,human1,11.006297,8.698695,0.4941782653331756
26,26,1,beta,beta,human1,8.997315,-2.8465886,0.5441243648529053
27,27,0,acinar,acinar,human1,-2.4116037,15.70396,1.3541371822357178
28,28,0,acinar,acinar,human1,-1.9138803,12.177583,1.3727744817733765
29,29,1,beta,beta,human1,10.572836,-2.9414995,0.5438815951347351
30,30,2,delta,delta,human1,6.2835693,4.664381,0.7934063673019409
31,31,2,delta,delta,human1,7.022279,4.48103,0.9535477757453918
32,32,2,delta,delta,human1,6.2262597,3.849063,0.8127273321151733
33,33,2,delta,delta,human1,6.316719,3.9704251,0.7250615954399109
34,34,1,beta,beta,human1,8.389609,-1.3955698,0.6757124066352844
35,35,0,acinar,acinar,human1,-1.210897,13.3201065,0.6651818156242371
36,36,1,beta,beta,human1,10.375627,-3.4615152,0.7546284794807434
37,37,1,beta,beta,human1,10.391091,-2.5687885,0.8407878875732422
38,38,1,beta,beta,human1,8.963509,0.61185956,0.9905359745025636
39,39,2,delta,delta,human1,6.138508,4.023574,0.816022515296936
40,40,3,activated_stellate,activated_stellate,human1,-9.089917,-0.7927849,1.713511347770691
41,41,1,beta,beta,human1,10.342997,-3.476307,0.5466958284378052
42,42,2,delta,delta,human1,6.7725954,4.476318,0.9816197752952576
43,43,3,activated_stellate,activated_stellate,human1,-8.769663,-0.8619523,1.4536380767822266
44,44,3,activated_stellate,activated_stellate,human1,-8.186261,-0.91980904,1.9572374820709229
45,45,3,activated_stellate,activated_stellate,human1,-8.601474,-1.0316603,1.7271366119384766
46,46,0,acinar,acinar,human1,-1.9392489,13.574751,0.7827733159065247
47,47,3,activated_stellate,activated_stellate,human1,-9.278684,-0.66861165,1.790290594100952
48,48,2,delta,delta,human1,6.2450843,4.5853868,0.998740255832672
49,49,1,beta,beta,human1,9.639071,-2.458033,0.6205472946166992
50,50,2,delta,delta,human1,6.7283483,4.4098516,0.903173327445984
51,51,1,beta,beta,human1,10.449832,-3.1409268,0.7638236880302429
52,52,0,acinar,acinar,human1,-1.3265455,13.301672,0.6917538642883301
53,53,1,beta,beta,human1,9.916973,-2.0163941,0.683686375617981
54,54,1,beta,beta,human1,9.30342,-1.4347278,0.6839308142662048
55,55,3,activated_stellate,activated_stellate,human1,-9.061253,-0.6128848,1.521905541419983
56,56,1,beta,beta,human1,10.24047,-3.2485323,0.8085666298866272
57,57,1,beta,beta,human1,9.975169,-2.3330107,0.5766910314559937
58,58,1,beta,beta,human1,8.564069,-0.7867509,0.634448766708374
59,59,1,beta,beta,human1,8.17115,1.0542909,1.257260799407959
60,60,4,ductal,ductal,human1,-1.8761039,19.496733,1.1183382272720337
61,61,5,alpha,alpha,human1,12.392432,9.43664,0.5197798013687134
62,62,1,beta,beta,human1,8.201258,1.0514638,1.0988916158676147
63,63,4,ductal,ductal,human1,-1.1930412,19.477879,1.6427966356277466
64,64,4,ductal,ductal,human1,-2.6242383,17.993382,2.630362272262573
65,65,0,acinar,acinar,human1,-2.015622,12.619686,0.7001509070396423
66,66,5,alpha,alpha,human1,9.816421,9.167601,0.4695757031440735
67,67,1,beta,beta,human1,9.285326,-2.379489,1.0795742273330688
68,68,2,delta,delta,human1,6.4741282,4.12643,0.8159298300743103
69,69,5,alpha,alpha,human1,9.2619505,8.617028,0.449999988079071
70,70,1,beta,beta,human1,8.289447,0.9120253,1.1674054861068726
71,71,1,beta,beta,human1,8.5303135,-0.5773522,1.0225207805633545
72,72,1,beta,beta,human1,7.612182,-1.0437546,0.6346282362937927
73,73,2,delta,delta,human1,6.960266,5.1670275,1.1029205322265625
74,74,1,beta,beta,human1,8.044549,-1.6631184,0.7483839988708496
75,75,1,beta,beta,human1,10.193445,-2.5626137,0.7928645014762878
76,76,2,delta,delta,human1,6.092777,4.043492,1.0581035614013672
77,77,1,beta,beta,human1,9.270659,-1.97601,1.3205825090408323
78,78,1,beta,beta,human1,9.212833,-2.6100776,0.6362199783325195
79,79,1,beta,beta,human1,9.899451,-1.8188757,0.6724403500556946
80,80,1,beta,beta,human1,8.832992,-1.1486436,0.7556906342506409
81,81,1,beta,beta,human1,8.87835,-1.5477028,0.8110617399215698
82,82,1,beta,beta,human1,10.378974,-3.4081793,0.6888071894645691
83,83,0,acinar,acinar,human1,-2.234925,12.775335,0.8047484159469604
84,84,3,activated_stellate,activated_stellate,human1,-8.672315,-0.9206472,1.5242862701416016
85,85,2,delta,delta,human1,6.779566,4.154605,0.7249497175216675
86,86,2,delta,delta,human1,7.012056,3.9821842,0.7069399952888489
87,87,1,beta,beta,human1,11.521811,-3.3902018,0.6312235593795776
88,88,1,beta,beta,human1,8.512675,1.0242724,1.1527013778686523
89,89,1,beta,beta,human1,9.285746,-2.2178175,0.7316355109214783
90,90,1,beta,beta,human1,11.90374,-2.9671874,0.7239780426025391
91,91,1,beta,beta,human1,10.43327,-2.9809184,0.6634870171546936
92,92,1,beta,beta,human1,8.55334,-1.9080529,0.7646790742874146
93,93,1,beta,beta,human1,9.1125145,-1.2698065,1.0301569700241089
94,94,1,beta,beta,human1,10.16485,-2.6114838,0.7501150369644165
95,95,1,beta,beta,human1,7.9058304,1.2318609,1.4917877912521362
96,96,1,beta,beta,human1,9.546209,-2.6367345,1.005265474319458
97,97,2,delta,delta,human1,6.4276404,4.8258204,0.9540913105010986
98,98,2,delta,delta,human1,6.2553673,5.229862,0.929763674736023
99,99,1,beta,beta,human1,9.523548,-2.711605,0.5913417339324951
100,100,2,delta,delta,human1,6.5439396,3.6862667,0.8374493718147278
101,101,5,alpha,alpha,human1,9.027252,9.2620325,0.4543926417827606
102,102,5,alpha,alpha,human1,12.470296,9.358547,0.5114198327064514
103,103,2,delta,delta,human1,6.5312896,3.8675652,0.742260754108429
104,104,1,beta,beta,human1,9.0827,-2.5676744,0.6039228439331055
105,105,1,beta,beta,human1,10.005286,-1.9478632,0.5142070651054382
106,106,1,beta,beta,human1,8.210397,1.0642768,1.2250075340270996
107,107,1,beta,beta,human1,10.499737,-2.9299672,0.5191917419433594
108,108,0,acinar,acinar,human1,-0.09053008,12.776137,0.735672652721405
109,109,2,delta,delta,human1,6.3199677,4.351375,1.22574782371521
110,110,1,beta,beta,human1,8.590078,-2.4519582,0.9098691940307616
111,111,1,beta,beta,human1,8.586749,-1.7051802,0.609656035900116
112,112,2,delta,delta,human1,6.753972,4.239874,0.864855170249939
113,113,1,beta,beta,human1,9.679538,-2.1938217,0.6990082859992981
114,114,1,beta,beta,human1,9.417479,-1.7913063,0.6131215691566467
115,115,1,beta,beta,human1,8.644055,-2.557768,0.5830574631690979
116,116,2,delta,delta,human1,6.6918073,4.536347,0.780005156993866
117,117,1,beta,beta,human1,9.449424,-2.2543027,0.641380250453949
118,118,2,delta,delta,human1,7.1069393,4.1346793,0.7534120678901672
119,119,1,beta,beta,human1,10.317917,-3.501176,0.6754701137542725
120,120,1,beta,beta,human1,9.236221,-2.6029375,0.5227452516555786
121,121,1,beta,beta,human1,9.887731,-1.0338881,0.6453946828842163
122,122,2,epsilon,delta,human1,6.35342,3.85508,1.172715187072754
123,123,1,beta,beta,human1,9.08704,-2.7564807,0.6994441151618958
124,124,1,beta,beta,human1,9.116431,-1.4865541,0.8841696381568909
125,125,1,beta,beta,human1,10.722198,-2.8280954,0.5953612327575684
126,126,5,delta,alpha,human1,8.063079,7.566561,0.8176059722900391
127,127,1,beta,beta,human1,8.386361,-0.583904,0.8022359013557434
128,128,2,delta,delta,human1,6.276277,3.7847838,0.6716198325157166
129,129,1,beta,beta,human1,9.146824,-2.6702945,0.5982916355133057
130,130,5,alpha,alpha,human1,10.814408,8.220805,0.4570163488388061
131,131,5,alpha,alpha,human1,8.7613325,9.447559,0.6247430443763733
132,132,1,beta,beta,human1,10.294443,-3.2882512,0.8666478991508484
133,133,0,acinar,acinar,human1,-1.6501737,12.094154,0.6616236567497253
134,134,5,alpha,alpha,human1,10.912035,9.631561,0.488847404718399
135,135,1,beta,beta,human1,9.11702,-1.9547595,1.618762731552124
136,136,1,beta,beta,human1,11.4671955,-3.3924925,0.6046506762504578
137,137,5,alpha,alpha,human1,10.915283,8.587415,0.4832328259944916
138,138,1,beta,beta,human1,9.745648,-3.0495598,0.5910406112670898
139,139,2,delta,delta,human1,7.081609,3.753576,0.8296985626220703
140,140,1,beta,beta,human1,8.256379,-0.035030533,0.8124275803565979
141,141,1,beta,beta,human1,9.590656,-2.8126235,0.5252875685691833
142,142,1,beta,beta,human1,8.489071,-1.8850722,0.5146700143814087
143,143,1,beta,beta,human1,8.214751,-0.8179628,0.9465471506118774
144,144,1,beta,beta,human1,10.183454,-2.7383156,0.5834466814994812
145,145,2,delta,delta,human1,6.6964035,4.14988,0.6689594984054565
146,146,1,beta,beta,human1,9.716037,-1.8812859,0.6520686745643616
147,147,4,ductal,ductal,human1,-1.2661391,19.283834,1.1663092374801636
148,148,4,ductal,ductal,human1,-1.2920203,18.794668,1.3254057168960571
