cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch,umap_1,umap_2,scraw_reconstruction_weight
0,0,9,acinar,acinar,human1,12.3205805,6.0623975,0.8200136423110962
1,1,9,acinar,acinar,human1,12.697315,5.491955,1.1724987030029297
2,2,9,acinar,acinar,human1,12.079076,6.483458,0.716318666934967
3,3,9,acinar,acinar,human1,12.700373,5.619883,1.4410862922668457
4,4,9,acinar,acinar,human1,12.466121,5.730855,0.8865333795547485
5,5,9,acinar,acinar,human1,12.111694,6.309357,0.919107973575592
6,6,1,beta,beta,human1,-5.351348,12.338513,0.8856710195541382
7,7,9,acinar,acinar,human1,12.044628,6.504553,1.01738178730011
8,8,9,acinar,acinar,human1,12.619742,5.548101,1.0536607503890991
9,9,9,acinar,acinar,human1,12.241652,6.015019,0.7952309846878052
10,10,9,acinar,acinar,human1,12.522133,5.715201,0.8401635885238647
11,11,9,acinar,acinar,human1,12.022835,6.502125,1.0603690147399902
12,12,12,delta,delta,human1,2.3426588,11.083168,0.7527269124984741
13,13,12,delta,delta,human1,2.1375027,10.784848,0.8715705871582031
14,14,1,beta,beta,human1,-1.9376249,11.972342,0.9033297896385192
15,15,13,activated_stellate,activated_stellate,human1,5.9183035,15.272355,1.7936686277389526
16,16,1,beta,beta,human1,-5.579316,11.762539,0.8093584179878235
17,17,9,acinar,acinar,human1,12.115189,6.4153585,0.8131930232048035
18,18,5,ductal,ductal,human1,13.082423,-7.3147383,1.0444406270980835
19,19,1,beta,beta,human1,-3.7524884,12.246416,0.5726287961006165
20,20,1,beta,beta,human1,-5.0123143,11.717227,0.5331980586051941
21,21,7,alpha,alpha,human1,-0.29269016,0.003992684,0.449999988079071
22,22,5,ductal,ductal,human1,12.795573,-7.256517,2.071782350540161
23,23,1,beta,beta,human1,-6.323176,11.8561535,0.6052340269088745
24,24,12,delta,delta,human1,2.4482021,11.126556,0.864596426486969
25,25,2,alpha,gamma,human1,-0.402023,-1.5155138,0.4941782653331756
26,26,1,beta,beta,human1,-4.3583174,12.176403,0.5441243648529053
27,27,9,acinar,acinar,human1,13.689618,6.1471567,1.3541371822357178
28,28,9,acinar,acinar,human1,12.123484,6.241212,1.3727744817733765
29,29,1,beta,beta,human1,-5.449966,12.444363,0.5438815951347351
30,30,12,delta,delta,human1,1.0812861,11.120189,0.7934063673019409
31,31,12,delta,delta,human1,1.5528398,10.858756,0.9535477757453918
32,32,12,delta,delta,human1,2.1354468,11.170232,0.8127273321151733
33,33,12,delta,delta,human1,1.5271494,11.376784,0.7250615954399109
34,34,1,beta,beta,human1,-3.6283333,12.340181,0.6757124066352844
35,35,9,acinar,acinar,human1,12.377947,6.1479187,0.6651818156242371
36,36,1,beta,beta,human1,-4.5631113,12.396003,0.7546284794807434
37,37,1,beta,beta,human1,-5.257854,12.373885,0.8407878875732422
38,38,1,beta,beta,human1,-2.617356,11.707707,0.9905359745025636
39,39,12,delta,delta,human1,1.9363391,11.349767,0.816022515296936
40,40,13,activated_stellate,activated_stellate,human1,5.9456797,15.608627,1.713511347770691
41,41,1,beta,beta,human1,-5.29797,12.367042,0.5466958284378052
42,42,12,delta,delta,human1,1.847539,11.316192,0.9816197752952576
43,43,13,activated_stellate,activated_stellate,human1,5.7188935,15.516206,1.4536380767822266
44,44,11,activated_stellate,schwann,human1,4.75129,15.533424,1.9572374820709229
