cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch,umap_1,umap_2,scraw_reconstruction_weight
0,0,4,acinar,acinar,human1,5.6177025,30.427942,0.8200136423110962
1,1,4,acinar,acinar,human1,5.8463607,30.894255,1.1724987030029297
2,2,4,acinar,acinar,human1,5.7249813,30.678503,0.716318666934967
3,3,4,acinar,acinar,human1,5.490063,30.130436,1.4410862922668457
4,4,4,acinar,acinar,human1,5.139746,28.797987,0.8865333795547485
5,5,4,acinar,acinar,human1,5.2665153,29.361588,0.919107973575592
6,6,9,beta,quiescent_stellate,human1,10.476056,20.754961,0.8856710195541382
7,7,4,acinar,acinar,human1,5.6846714,30.582605,1.01738178730011
8,8,10,acinar,epsilon,human1,5.6167026,27.362707,1.0536607503890991
9,9,4,acinar,acinar,human1,5.32287,29.721678,0.7952309846878052
10,10,4,acinar,acinar,human1,5.1799707,28.633749,0.8401635885238647
11,11,4,acinar,acinar,human1,5.7533107,30.72008,1.0603690147399902
12,12,2,delta,delta,human1,-13.262795,3.2261477,0.7527269124984741
13,13,2,delta,delta,human1,-13.282769,3.2098477,0.8715705871582031
14,14,9,beta,quiescent_stellate,human1,10.082513,20.234816,0.9033297896385192
15,15,0,activated_stellate,activated_stellate,human1,26.030067,8.513319,1.7936686277389526
16,16,9,beta,quiescent_stellate,human1,9.338519,19.984657,0.8093584179878235
17,17,4,acinar,acinar,human1,5.1527944,29.145988,0.8131930232048035
18,18,3,ductal,t_cell,human1,15.50326,-0.055456124,1.0444406270980835
19,19,3,beta,t_cell,human1,7.934036,20.58908,0.5726287961006165
20,20,9,beta,quiescent_stellate,human1,8.450747,20.58062,0.5331980586051941
21,21,1,alpha,alpha,human1,8.549686,-10.04921,0.449999988079071
22,22,3,ductal,t_cell,human1,5.397417,20.125738,2.071782350540161
23,23,9,beta,quiescent_stellate,human1,9.958068,20.43998,0.6052340269088745
24,24,2,delta,delta,human1,-12.833717,3.5434134,0.864596426486969
25,25,1,alpha,alpha,human1,12.871559,-12.457592,0.4941782653331756
26,26,9,beta,quiescent_stellate,human1,9.497608,20.52189,0.5441243648529053
27,27,10,acinar,epsilon,human1,12.477031,10.913346,1.3541371822357178
28,28,4,acinar,acinar,human1,5.473192,27.460938,1.3727744817733765
29,29,9,beta,quiescent_stellate,human1,8.605698,20.4751,0.5438815951347351
30,30,2,delta,delta,human1,-13.680913,2.882945,0.7934063673019409
31,31,2,delta,delta,human1,-12.0159025,4.146866,0.9535477757453918
32,32,2,delta,delta,human1,-12.124756,4.0723877,0.8127273321151733
33,33,2,delta,delta,human1,-12.263663,3.9751422,0.7250615954399109
34,34,9,beta,quiescent_stellate,human1,6.3111973,19.989584,0.6757124066352844
35,35,4,acinar,acinar,human1,5.4841566,27.413877,0.6651818156242371
36,36,9,beta,quiescent_stellate,human1,8.441129,20.34537,0.7546284794807434
37,37,9,beta,quiescent_stellate,human1,9.569503,20.117678,0.8407878875732422
38,38,9,beta,quiescent_stellate,human1,10.328499,20.469955,0.9905359745025636
39,39,2,delta,delta,human1,-12.525807,3.7777708,0.816022515296936
40,40,0,activated_stellate,activated_stellate,human1,26.34096,8.393483,1.713511347770691
41,41,9,beta,quiescent_stellate,human1,6.476701,20.018354,0.5466958284378052
42,42,2,delta,delta,human1,-11.190677,4.597337,0.9816197752952576
43,43,0,activated_stellate,activated_stellate,human1,25.530645,8.6489,1.4536380767822266
44,44,0,activated_stellate,activated_stellate,human1,25.744299,8.59814,1.9572374820709229
45,45,0,activated_stellate,activated_stellate,human1,25.807367,8.582852,1.7271366119384766
46,46,4,acinar,acinar,human1,6.076335,26.41754,0.7827733159065247
47,47,0,activated_stellate,activated_stellate,human1,26.432608,8.355339,1.790290594100952
48,48,2,delta,delta,human1,-13.293801,3.2010434,0.998740255832672
49,49,9,beta,quiescent_stellate,human1,5.925901,19.709747,0.6205472946166992
50,50,2,delta,delta,human1,-11.022697,4.6922007,0.903173327445984
51,51,9,beta,quiescent_stellate,human1,8.04677,19.77342,0.7638236880302429
52,52,4,acinar,acinar,human1,6.876838,25.287455,0.6917538642883301
53,53,9,beta,quiescent_stellate,human1,8.81304,20.142002,0.683686375617981
54,54,9,beta,quiescent_stellate,human1,10.21901,20.378906,0.6839308142662048
55,55,0,activated_stellate,activated_stellate,human1,25.60717,8.630478,1.521905541419983
