dataset,dataset_key,method,method_display,output_png,output_table,status,source,n_cells,n_weight_matched,weight_min,weight_median,weight_max
Human testis GSE112013,gse112013_human_testis_raw_counts,scRAW (stable_generalist),scRAW,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scraw_stable_generalist__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scraw_stable_generalist__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_stable_generalist_weight_exports_20260430/gse112013_human_testis_raw_counts/seed_42/results/per_cell/per_cell_scraw_run0.csv,6490.0,6490.0,0.3845422863960266,0.9340601861476898,4.804802894592285
Human testis GSE112013,gse112013_human_testis_raw_counts,scRAW (best per dataset),scRAW finetune,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scraw_finetune__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scraw_finetune__coords_with_stable_generalist_weights.csv,missing_or_failed: /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_scibe_rerun_20260402_164112/scraw/best_per_dataset/trial_0047/gse112013_human_testis_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,,,,,,
Human testis GSE112013,gse112013_human_testis_raw_counts,scNAME,scNAME,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scname__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scname__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/gse112013_human_testis_raw_counts/results/labels/labels_scname_run0.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/gse112013_human_testis_raw_counts/results/embeddings/embeddings_scname_run0.npy,6490.0,6490.0,0.3845422863960266,0.9340601861476898,4.804802894592285
Human testis GSE112013,gse112013_human_testis_raw_counts,scMAE,scMAE,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scmae__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scmae__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/gse112013_human_testis_raw_counts/results/labels/labels_sc_mae_run0.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/common8_scmae_scname_embeddings_20260430/scrbenchmark/gse112013_human_testis_raw_counts/results/embeddings/embeddings_sc_mae_run0.npy,6490.0,6490.0,0.3845422863960266,0.9340601861476898,4.804802894592285
Human testis GSE112013,gse112013_human_testis_raw_counts,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__harmony__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__harmony__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/harmony/results/labels/per_cell_harmony_res_0.4.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/harmony/results/embeddings/embedding_harmony.npy,6490.0,6490.0,0.3845422863960266,0.9340601861476898,4.804802894592285
Human testis GSE112013,gse112013_human_testis_raw_counts,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__combat__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__combat__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/combat/results/labels/per_cell_combat_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/combat/results/embeddings/embedding_combat.npy,6490.0,6490.0,0.3845422863960266,0.9340601861476898,4.804802894592285
Human testis GSE112013,gse112013_human_testis_raw_counts,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scanorama__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scanorama__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/scanorama/results/labels/per_cell_scanorama_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/scanorama/results/embeddings/embedding_scanorama.npy,6490.0,6490.0,0.3845422863960266,0.9340601861476898,4.804802894592285
Human testis GSE112013,gse112013_human_testis_raw_counts,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__desc__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__desc__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/desc/results/labels/per_cell_desc_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/desc/results/embeddings/embedding_desc_res_0.2.npy,6490.0,6490.0,0.3845422863960266,0.9340601861476898,4.804802894592285
Human testis GSE112013,gse112013_human_testis_raw_counts,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__pca_leiden__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__pca_leiden__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/gse112013_human_testis_raw_counts/pca_leiden/results/embeddings/embedding_pca_leiden.npy,6490.0,6490.0,0.3845422863960266,0.9340601861476898,4.804802894592285
Human testis GSE112013,gse112013_human_testis_raw_counts,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scvi__stable_generalist_weights.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/06_common8_stable_generalist_weights_reprojected/tables/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts__scvi__coords_with_stable_generalist_weights.csv,generated,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/gse112013_human_testis_raw_counts/results/labels/per_cell_scvi_res_0.4.csv | /data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/gse112013_human_testis_raw_counts/results/embeddings/embedding_scvi.npy,6490.0,6490.0,0.3845422863960266,0.9340601861476898,4.804802894592285
