predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
6,hepatocyte,single_batch,hepatocyte,1.4947311,-1.1900654,0,1.1629490852355957
6,hepatocyte,single_batch,hepatocyte,0.89342964,-1.7541686,1,0.615229606628418
7,myeloid leukocyte,single_batch,myeloid leukocyte,-14.842474,11.314806,2,2.040419816970825
6,endothelial cell of hepatic sinusoid,single_batch,hepatocyte,0.8770513,-1.3205456,3,0.8905880451202393
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-1.901906,17.13202,4,0.546958863735199
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.0171895,16.173384,5,0.6503084897994995
6,hepatocyte,single_batch,hepatocyte,1.4209884,-0.518565,6,0.7714836597442627
6,hepatocyte,single_batch,hepatocyte,1.5209312,-2.347183,7,0.9103731513023376
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.6924489,16.880293,8,0.6386933922767639
6,hepatocyte,single_batch,hepatocyte,2.110521,-1.7839106,9,0.4190481901168823
4,Kupffer cell,single_batch,Kupffer cell,-9.015103,-2.0187519,10,0.9160423874855042
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.2706287,16.310488,11,0.6001989245414734
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.953266,16.237469,12,0.5294036865234375
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.5056841,17.366514,13,0.5810506343841553
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-3.2449396,17.637327,14,0.8335148692131042
6,hepatocyte,single_batch,hepatocyte,2.0547576,-2.2980318,15,0.8979852199554443
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.3909981,16.324366,16,0.7438143491744995
6,hepatocyte,single_batch,hepatocyte,0.48186517,-2.0572646,17,0.3845422863960266
7,myeloid leukocyte,single_batch,myeloid leukocyte,-15.131982,11.152128,18,2.002776622772217
9,mature NK T cell,single_batch,mature NK T cell,17.19417,11.325575,19,1.7678337097167969
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.5881786,16.58746,20,1.507758855819702
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.7121809,17.379496,21,0.9387325644493104
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.4781103,17.064232,22,0.6177024841308594
2,"CD4-positive, alpha-beta T cell",single_batch,"CD8-positive, alpha-beta T cell",17.329195,-2.5142462,23,1.846224665641785
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.7684252,16.914904,24,1.6683146953582764
6,hepatocyte,single_batch,hepatocyte,2.2204547,-1.845463,25,0.3845422863960266
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.4526064,16.250969,26,0.5760840773582458
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.8114638,17.646057,27,1.834643006324768
6,hepatocyte,single_batch,hepatocyte,1.2375222,-0.47187543,28,0.3872880637645721
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.072639,16.734737,29,0.4518012702465057
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-1.800506,16.870333,30,0.8019832968711853
6,endothelial cell of hepatic sinusoid,single_batch,hepatocyte,-0.1302315,-1.3224427,31,2.068922758102417
0,myeloid leukocyte,single_batch,neutrophil,-4.272473,-14.498314,32,2.390716552734375
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.5346448,17.378078,33,0.5662937760353088
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-1.6771742,16.432772,34,0.5065565705299377
9,NK cell,single_batch,mature NK T cell,17.359407,11.338314,35,1.3212071657180786
4,Kupffer cell,single_batch,Kupffer cell,-8.296411,-1.7414384,36,1.928677201271057
6,hepatocyte,single_batch,hepatocyte,1.580441,-0.7103094,37,0.3954906761646271
6,hepatocyte,single_batch,hepatocyte,1.1277666,-0.5840227,38,0.8858674764633179
7,myeloid leukocyte,single_batch,myeloid leukocyte,-15.492179,11.630176,39,2.271519660949707
7,myeloid leukocyte,single_batch,myeloid leukocyte,-15.3040495,11.253334,40,1.4255350828170776
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-1.6750578,16.757982,41,0.4866734445095062
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-1.6315757,17.03378,42,0.6090636849403381
8,B cell,single_batch,B cell,8.893007,1.9544398,43,0.7637484073638916
6,hepatocyte,single_batch,hepatocyte,2.0737684,-1.8948021,44,0.6135259866714478
9,NK cell,single_batch,mature NK T cell,17.335363,10.79016,45,2.1139512062072754
5,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.233802,17.614119,46,0.4760552942752838
6,hepatocyte,single_batch,hepatocyte,0.75737554,-1.9976169,47,0.8861294984817505
8,B cell,single_batch,B cell,8.720597,1.5322278,48,1.716149926185608
6,hepatocyte,single_batch,hepatocyte,1.1576091,-2.3557537,49,0.4282796680927276
