cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
human1_lib1.final_cell_0001-0,human1,acinar,2,acinar,16.667524,15.722066,0,0.9714178442955016
human1_lib1.final_cell_0002-0,human1,acinar,2,acinar,18.054926,13.945486,1,0.928289532661438
human1_lib1.final_cell_0003-0,human1,acinar,2,acinar,17.920567,13.678985,2,0.8360571265220642
human1_lib1.final_cell_0004-0,human1,acinar,2,acinar,17.86184,14.724932,3,1.3489404916763306
human1_lib1.final_cell_0005-0,human1,acinar,2,acinar,18.07965,12.610767,4,1.027095079421997
human1_lib1.final_cell_0006-0,human1,acinar,2,acinar,16.437521,14.866639,5,0.9881423711776732
human1_lib1.final_cell_0007-0,human1,beta,0,beta,1.9355752,12.001344,6,0.4047490358352661
human1_lib1.final_cell_0008-0,human1,acinar,2,acinar,17.914553,12.572366,7,0.8613643050193787
human1_lib1.final_cell_0009-0,human1,acinar,2,acinar,17.691628,13.276242,8,1.0129859447479248
human1_lib1.final_cell_0010-0,human1,acinar,2,acinar,16.370968,15.960267,9,0.7983218431472778
human1_lib1.final_cell_0011-0,human1,acinar,2,acinar,16.373722,15.084458,10,0.9012791514396667
human1_lib1.final_cell_0012-0,human1,acinar,2,acinar,16.695847,14.528857,11,1.0999648571014404
human1_lib1.final_cell_0013-0,human1,delta,4,delta,-4.3035955,2.4353988,12,0.3970616161823272
human1_lib1.final_cell_0014-0,human1,delta,4,delta,-4.1506844,2.6590393,13,0.3845422863960266
human1_lib1.final_cell_0015-0,human1,beta,0,beta,-0.9709671,7.1712923,14,0.7921956777572632
human1_lib1.final_cell_0016-0,human1,activated_stellate,5,activated_stellate,11.562492,5.140202,15,1.705127477645874
human1_lib1.final_cell_0017-0,human1,beta,0,beta,-0.6684155,8.923567,16,0.4789070785045624
human1_lib1.final_cell_0018-0,human1,acinar,2,acinar,16.83201,15.700507,17,0.9628588557243348
human1_lib1.final_cell_0019-0,human1,ductal,3,ductal,18.198792,-0.90787655,18,1.6165125370025637
human1_lib1.final_cell_0020-0,human1,beta,0,beta,-0.88650113,11.277057,19,0.9652663469314576
human1_lib1.final_cell_0021-0,human1,beta,0,beta,-0.9586884,10.886733,20,0.4429643750190735
