cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
W31105,single_batch,7MEP,6,7MEP,-14.627861,2.3681278,0,0.8805757761001587
W31106,single_batch,15Mo,3,13Baso,-14.005891,7.913103,1,0.8005107641220093
W31107,single_batch,3Ery,0,2Ery,-7.545651,-2.067964,2,0.9162594079971312
W31108,single_batch,15Mo,3,13Baso,-12.40433,8.509597,3,1.5644587278366089
W31109,single_batch,3Ery,0,2Ery,-7.3937263,-1.703463,4,0.7156978845596313
W31110,single_batch,15Mo,1,10GMP,-13.125606,7.0234094,5,1.3745357990264893
W31111,single_batch,4Ery,4,5Ery,-9.684197,-1.2995435,6,0.8800175786018372
W31113,single_batch,2Ery,6,7MEP,-15.279593,2.351892,7,1.6441582441329956
W31114,single_batch,3Ery,8,3Ery,-9.528864,-1.652619,8,1.6707574129104614
W31115,single_batch,2Ery,0,2Ery,-8.026508,0.09192623,9,0.7262600660324097
W31116,single_batch,2Ery,4,5Ery,-8.745256,-0.41714388,10,0.711112380027771
W31117,single_batch,17Neu,1,10GMP,-13.138978,4.3372493,11,1.1597810983657837
W31118,single_batch,14Mo,3,13Baso,-13.30936,7.5379806,12,0.717006504535675
W31119,single_batch,13Baso,1,10GMP,-13.804497,5.6000023,13,0.6713036894798279
W31120,single_batch,3Ery,0,2Ery,-8.0941,-0.2773938,14,0.807770848274231
W31121,single_batch,7MEP,6,7MEP,-14.866662,2.3908668,15,1.0759141445159912
W31122,single_batch,3Ery,8,3Ery,-8.522325,-1.9425788,16,0.963287353515625
W31123,single_batch,3Ery,0,2Ery,-8.42547,-0.41482404,17,0.7634353041648865
W31124,single_batch,2Ery,0,2Ery,-7.090799,-0.29684067,18,1.126794695854187
W31125,single_batch,8Mk,9,8Mk,-14.679274,0.74993795,19,1.9605720043182373
W31126,single_batch,3Ery,4,5Ery,-10.649614,-0.36406186,20,1.008517146110535
W31127,single_batch,9GMP,1,10GMP,-13.351573,6.6013126,21,1.567166447639465
W31128,single_batch,8Mk,9,8Mk,-14.163967,0.90763617,22,1.6114331483840942
W31129,single_batch,10GMP,1,10GMP,-14.48138,3.9918494,23,0.8577512502670288
W31130,single_batch,15Mo,5,14Mo,-14.748294,5.7367034,24,0.9068087339401244
W31131,single_batch,16Neu,2,16Neu,-12.20736,7.3439517,25,0.95908385515213
W31132,single_batch,4Ery,0,2Ery,-8.723097,0.1941415,26,0.7272450923919678
W31133,single_batch,13Baso,1,10GMP,-13.301341,5.4679646,27,0.8844754695892334
W31134,single_batch,17Neu,1,10GMP,-13.425535,4.2250724,28,1.4518486261367798
W31136,single_batch,3Ery,0,2Ery,-7.602225,-1.6450799,29,0.7977144122123718
W31137,single_batch,2Ery,0,2Ery,-8.776054,-0.99799544,30,0.6668222546577454
W31138,single_batch,3Ery,4,5Ery,-9.1458,-1.6145833,31,1.1589863300323486
W31139,single_batch,5Ery,7,6Ery,-10.8664665,0.531846,32,0.6649419665336609
W31140,single_batch,3Ery,4,5Ery,-9.47388,-1.0672376,33,1.131696701049805
W31141,single_batch,13Baso,5,14Mo,-14.257092,6.3522997,34,0.7035702466964722
W31142,single_batch,1Ery,0,2Ery,-7.6784787,0.9416509,35,1.9677064418792725
W31143,single_batch,3Ery,0,2Ery,-7.2873883,-1.449133,36,1.139961004257202
W31144,single_batch,6Ery,4,5Ery,-9.900592,-1.0927005,37,0.9297738075256348
W31145,single_batch,15Mo,5,14Mo,-12.521277,6.5214624,38,0.9748445749282836
W31146,single_batch,3Ery,4,5Ery,-9.991265,0.07684393,39,0.6255022883415222
W31147,single_batch,3Ery,0,2Ery,-8.040908,-0.1845561,40,0.8573838472366333
W31148,single_batch,14Mo,3,13Baso,-13.649822,8.200852,41,0.7460975646972656
W31149,single_batch,19Lymph,11,19Lymph,-17.325878,1.9043978,42,2.595523834228516
W31150,single_batch,12Baso,1,10GMP,-13.387655,4.721162,43,0.9324617981910706
W31151,single_batch,3Ery,8,3Ery,-7.609333,-2.0371065,44,0.965106964111328
W31152,single_batch,14Mo,3,13Baso,-14.173025,8.155421,45,0.8218165636062622
W31153,single_batch,6Ery,4,5Ery,-9.751265,-0.9368977,46,1.0422184467315674
W31154,single_batch,4Ery,4,5Ery,-8.88398,-0.9483958,47,0.7487584352493286
W31155,single_batch,7MEP,6,7MEP,-14.863751,2.012979,48,2.1452016830444336
W31156,single_batch,2Ery,0,2Ery,-7.714833,-0.039456308,49,0.8586075305938721
W31157,single_batch,13Baso,1,10GMP,-14.197688,5.556108,50,1.0685791969299316
W31158,single_batch,14Mo,2,16Neu,-11.952397,7.8249855,51,0.8255376219749451
W31159,single_batch,6Ery,7,6Ery,-11.133145,0.070782036,52,1.2698137760162354
W31160,single_batch,18Eos,1,10GMP,-13.687506,4.705838,53,1.4315457344055176
W31161,single_batch,4Ery,4,5Ery,-8.657439,0.3393957,54,1.046425461769104
W31162,single_batch,3Ery,4,5Ery,-9.842625,-0.34352574,55,0.5994926691055298
W31163,single_batch,3Ery,4,5Ery,-9.631964,-1.0171838,56,0.6394763588905334
