predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
7,hepatocyte,single_batch,"CD4-positive, alpha-beta T cell",0.15654008,4.423891,0,1.1629490852355957
1,hepatocyte,single_batch,hepatocyte,2.622152,7.167884,1,0.615229606628418
5,myeloid leukocyte,single_batch,myeloid leukocyte,-6.0529456,7.404395,2,2.040419816970825
1,endothelial cell of hepatic sinusoid,single_batch,hepatocyte,-1.9723947,7.787191,3,0.8905880451202393
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-3.474838,9.336697,4,0.546958863735199
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-3.714188,11.239141,5,0.6503084897994995
1,hepatocyte,single_batch,hepatocyte,-0.26203373,4.762981,6,0.7714836597442627
1,hepatocyte,single_batch,hepatocyte,0.07971567,7.738071,7,0.9103731513023376
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-4.9939146,9.215782,8,0.6386933922767639
7,hepatocyte,single_batch,"CD4-positive, alpha-beta T cell",4.080232,9.363353,9,0.4190481901168823
4,Kupffer cell,single_batch,Kupffer cell,-3.251518,3.3921885,10,0.9160423874855042
1,endothelial cell of hepatic sinusoid,single_batch,hepatocyte,-2.0737398,8.243389,11,0.6001989245414734
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-3.4857032,9.166727,12,0.5294036865234375
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-2.3399417,9.0090275,13,0.5810506343841553
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-4.389358,9.177522,14,0.8335148692131042
1,hepatocyte,single_batch,hepatocyte,-0.461326,4.583025,15,0.8979852199554443
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-6.01582,8.637154,16,0.7438143491744995
1,hepatocyte,single_batch,hepatocyte,1.9914157,7.944518,17,0.3845422863960266
5,myeloid leukocyte,single_batch,myeloid leukocyte,-6.562095,6.853995,18,2.002776622772217
2,mature NK T cell,single_batch,mature NK T cell,-0.88403696,13.721527,19,1.7678337097167969
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-5.808208,8.832234,20,1.507758855819702
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-4.860715,8.960608,21,0.9387325644493104
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-4.1024723,10.322467,22,0.6177024841308594
2,"CD4-positive, alpha-beta T cell",single_batch,mature NK T cell,0.15770686,12.059957,23,1.846224665641785
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-5.788475,8.861732,24,1.6683146953582764
7,hepatocyte,single_batch,"CD4-positive, alpha-beta T cell",2.987767,8.770713,25,0.3845422863960266
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-3.4800391,11.143473,26,0.5760840773582458
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-4.85002,8.916265,27,1.834643006324768
7,hepatocyte,single_batch,"CD4-positive, alpha-beta T cell",2.728755,8.512405,28,0.3872880637645721
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-3.4131906,9.835056,29,0.4518012702465057
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-3.648011,11.120586,30,0.8019832968711853
1,endothelial cell of hepatic sinusoid,single_batch,hepatocyte,-2.377635,6.8566976,31,2.068922758102417
8,myeloid leukocyte,single_batch,T cell,-6.6445136,8.129789,32,2.390716552734375
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-3.6509542,10.517436,33,0.5662937760353088
3,endothelial cell of hepatic sinusoid,single_batch,endothelial cell of hepatic sinusoid,-3.795099,11.314075,34,0.5065565705299377
2,NK cell,single_batch,mature NK T cell,-4.726736,5.627532,35,1.3212071657180786
8,Kupffer cell,single_batch,T cell,-4.351841,3.5620365,36,1.928677201271057
