cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
human1_lib1.final_cell_0001-0,human1,acinar,2,acinar,2.846041,-15.026708,0,0.9714178442955016
human1_lib1.final_cell_0002-0,human1,acinar,2,acinar,2.5043392,-16.086264,1,0.928289532661438
human1_lib1.final_cell_0003-0,human1,acinar,2,acinar,3.5045395,-14.482534,2,0.8360571265220642
human1_lib1.final_cell_0004-0,human1,acinar,2,acinar,2.5957184,-15.891513,3,1.3489404916763306
human1_lib1.final_cell_0005-0,human1,acinar,2,acinar,3.0960126,-16.063833,4,1.027095079421997
human1_lib1.final_cell_0006-0,human1,acinar,2,acinar,3.736821,-15.061831,5,0.9881423711776732
human1_lib1.final_cell_0007-0,human1,beta,1,beta,2.978724,9.459238,6,0.4047490358352661
human1_lib1.final_cell_0008-0,human1,acinar,2,acinar,3.5360453,-14.597849,7,0.8613643050193787
human1_lib1.final_cell_0009-0,human1,acinar,2,acinar,3.1362321,-16.501316,8,1.0129859447479248
human1_lib1.final_cell_0010-0,human1,acinar,2,acinar,3.2232835,-15.639153,9,0.7983218431472778
human1_lib1.final_cell_0011-0,human1,acinar,2,acinar,3.0551648,-15.853028,10,0.9012791514396667
human1_lib1.final_cell_0012-0,human1,acinar,2,acinar,4.0384727,-14.479719,11,1.0999648571014404
human1_lib1.final_cell_0013-0,human1,delta,4,delta,9.762571,1.0983202,12,0.3970616161823272
human1_lib1.final_cell_0014-0,human1,delta,4,delta,9.076313,1.2955894,13,0.3845422863960266
human1_lib1.final_cell_0015-0,human1,beta,9,quiescent_stellate,4.550907,9.297365,14,0.7921956777572632
human1_lib1.final_cell_0016-0,human1,activated_stellate,5,activated_stellate,-14.286446,14.157516,15,1.705127477645874
human1_lib1.final_cell_0017-0,human1,beta,1,beta,2.6442206,8.381559,16,0.4789070785045624
human1_lib1.final_cell_0018-0,human1,acinar,2,acinar,3.8004198,-15.874934,17,0.9628588557243348
human1_lib1.final_cell_0019-0,human1,ductal,3,ductal,4.8981686,-20.055534,18,1.6165125370025637
human1_lib1.final_cell_0020-0,human1,beta,1,beta,3.133044,9.77533,19,0.9652663469314576
human1_lib1.final_cell_0021-0,human1,beta,1,beta,3.1968248,9.477031,20,0.4429643750190735
human1_lib1.final_cell_0022-0,human1,alpha,0,alpha,14.382184,9.452141,21,0.6101475954055786
human1_lib1.final_cell_0023-0,human1,ductal,3,ductal,5.3214326,-19.162851,22,1.4703165292739868
human1_lib1.final_cell_0024-0,human1,beta,1,beta,1.7733215,8.922297,23,0.3858529031276703
human1_lib1.final_cell_0025-0,human1,delta,4,delta,9.815656,1.1157988,24,0.4819028377532959
human1_lib1.final_cell_0026-0,human1,alpha,0,alpha,15.065233,10.105715,25,0.6580755114555359
human1_lib1.final_cell_0027-0,human1,beta,1,beta,2.840428,8.675203,26,0.3845422863960266
human1_lib1.final_cell_0028-0,human1,acinar,2,acinar,3.6296449,-16.563278,27,0.9920681715011596
human1_lib1.final_cell_0029-0,human1,acinar,2,acinar,2.8798952,-14.542235,28,1.3900232315063477
human1_lib1.final_cell_0030-0,human1,beta,1,beta,1.9453944,8.345133,29,0.3845422863960266
human1_lib1.final_cell_0031-0,human1,delta,4,delta,9.176595,1.5680835,30,0.7155451774597168
human1_lib1.final_cell_0032-0,human1,delta,4,delta,8.73624,1.1719683,31,0.4858134686946869
human1_lib1.final_cell_0033-0,human1,delta,4,delta,9.014515,0.8261141,32,0.3845422863960266
human1_lib1.final_cell_0034-0,human1,delta,4,delta,9.037112,0.72437894,33,0.3990702331066131
human1_lib1.final_cell_0035-0,human1,beta,1,beta,3.032104,8.753397,34,0.4871121644973755
human1_lib1.final_cell_0036-0,human1,acinar,2,acinar,3.23144,-16.04755,35,1.1412845849990845
human1_lib1.final_cell_0037-0,human1,beta,1,beta,2.4105854,9.51729,36,0.3845422863960266
human1_lib1.final_cell_0038-0,human1,beta,1,beta,2.4464748,8.643784,37,0.5771340131759644
human1_lib1.final_cell_0039-0,human1,beta,1,beta,4.321256,9.161075,38,0.8009699583053589
human1_lib1.final_cell_0040-0,human1,delta,4,delta,9.448008,1.1733502,39,0.4980095326900482
human1_lib1.final_cell_0041-0,human1,activated_stellate,5,activated_stellate,-14.206994,14.239635,40,1.6621499061584473
human1_lib1.final_cell_0042-0,human1,beta,1,beta,1.5740399,8.085289,41,0.3845422863960266
human1_lib1.final_cell_0043-0,human1,delta,4,delta,8.887017,0.9920794,42,0.3845422863960266
human1_lib1.final_cell_0044-0,human1,activated_stellate,5,activated_stellate,-14.220961,14.160131,43,1.4609625339508057
human1_lib1.final_cell_0045-0,human1,activated_stellate,5,activated_stellate,-14.160744,13.648768,44,1.8185222148895264
human1_lib1.final_cell_0046-0,human1,activated_stellate,5,activated_stellate,-14.2493,13.982956,45,1.5784080028533936
human1_lib1.final_cell_0047-0,human1,acinar,2,acinar,2.6317747,-15.664984,46,0.8718141913414001
human1_lib1.final_cell_0048-0,human1,activated_stellate,5,activated_stellate,-14.2583,14.369623,47,1.5304367542266846
human1_lib1.final_cell_0049-0,human1,delta,4,delta,9.37207,1.5761589,48,0.3845422863960266
human1_lib1.final_cell_0050-0,human1,beta,1,beta,2.1467998,8.625293,49,0.3845422863960266
human1_lib1.final_cell_0051-0,human1,delta,4,delta,8.602045,0.9695364,50,0.5391892194747925
human1_lib1.final_cell_0052-0,human1,beta,1,beta,1.6983036,8.488203,51,0.3845422863960266
human1_lib1.final_cell_0053-0,human1,acinar,2,acinar,3.0487173,-15.791054,52,1.1300190687179563
human1_lib1.final_cell_0054-0,human1,beta,1,beta,3.1130695,9.5506315,53,0.7863317728042603
human1_lib1.final_cell_0055-0,human1,beta,1,beta,3.5961022,9.0734625,54,0.4426243901252746
human1_lib1.final_cell_0056-0,human1,activated_stellate,5,activated_stellate,-14.270746,14.36389,55,1.6052457094192505
human1_lib1.final_cell_0057-0,human1,beta,1,beta,2.683195,9.65261,56,0.5069729685783386
human1_lib1.final_cell_0058-0,human1,beta,1,beta,2.6718848,9.488776,57,0.5321881175041199
human1_lib1.final_cell_0059-0,human1,beta,1,beta,3.578189,8.993462,58,0.5167956352233887
human1_lib1.final_cell_0060-0,human1,beta,9,quiescent_stellate,5.2542095,8.946048,59,0.7202191948890686
human1_lib1.final_cell_0061-0,human1,ductal,3,ductal,5.63072,-19.95159,60,1.5663597583770752
human1_lib1.final_cell_0062-0,human1,alpha,0,alpha,15.497854,10.142644,61,0.5789958238601685
human1_lib1.final_cell_0063-0,human1,beta,9,quiescent_stellate,5.3987436,9.114749,62,0.6442668437957764
