predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
9,acinar,human1,acinar,13.748697,7.1404405,0,0.9714178442955016
9,acinar,human1,acinar,13.178243,6.75879,1,0.928289532661438
9,acinar,human1,acinar,14.103349,7.5229187,2,0.8360571265220642
9,acinar,human1,acinar,13.24758,6.859075,3,1.3489404916763306
9,acinar,human1,acinar,13.484092,6.901241,4,1.027095079421997
9,acinar,human1,acinar,13.988452,7.341569,5,0.9881423711776732
1,beta,human1,beta,-6.27025,11.18413,6,0.4047490358352661
9,acinar,human1,acinar,14.127486,7.5294085,7,0.8613643050193787
9,acinar,human1,acinar,13.309108,6.814081,8,1.0129859447479248
9,acinar,human1,acinar,13.788743,7.088037,9,0.7983218431472778
9,acinar,human1,acinar,13.463705,6.888738,10,0.9012791514396667
9,acinar,human1,acinar,14.143179,7.57958,11,1.0999648571014404
12,delta,human1,delta,1.1904639,11.5776005,12,0.3970616161823272
12,delta,human1,delta,0.9659498,11.248447,13,0.3845422863960266
1,beta,human1,beta,-2.8182733,10.944362,14,0.7921956777572632
13,activated_stellate,human1,activated_stellate,5.2106643,14.071857,15,1.705127477645874
1,beta,human1,beta,-6.464866,10.59781,16,0.4789070785045624
9,acinar,human1,acinar,14.017161,7.4839225,17,0.9628588557243348
5,ductal,human1,ductal,13.536324,-7.381284,18,1.6165125370025637
1,beta,human1,beta,-4.629807,11.351331,19,0.9652663469314576
1,beta,human1,beta,-5.8311853,10.577662,20,0.4429643750190735
7,alpha,human1,alpha,2.4254832,0.14168276,21,0.6101475954055786
5,ductal,human1,ductal,13.242988,-7.275635,22,1.4703165292739868
1,beta,human1,beta,-7.1276183,10.559839,23,0.3858529031276703
12,delta,human1,delta,1.3433489,11.582535,24,0.4819028377532959
2,alpha,human1,gamma,3.474038,-1.0978864,25,0.6580755114555359
1,beta,human1,beta,-5.1603713,11.274315,26,0.3845422863960266
9,acinar,human1,acinar,12.472194,7.653465,27,0.9920681715011596
9,acinar,human1,acinar,13.983841,7.270649,28,1.3900232315063477
1,beta,human1,beta,-6.3994694,11.243542,29,0.3845422863960266
12,delta,human1,delta,-0.054345023,11.480184,30,0.7155451774597168
12,delta,human1,delta,0.44125533,11.30779,31,0.4858134686946869
12,delta,human1,delta,1.005607,11.594005,32,0.3845422863960266
12,delta,human1,delta,0.41378593,11.82007,33,0.3990702331066131
1,beta,human1,beta,-4.504273,11.32387,34,0.4871121644973755
9,acinar,human1,acinar,13.722126,7.2362595,35,1.1412845849990845
1,beta,human1,beta,-5.458343,11.379926,36,0.3845422863960266
1,beta,human1,beta,-6.1503797,11.283095,37,0.5771340131759644
1,beta,human1,beta,-3.4557178,10.66574,38,0.8009699583053589
12,delta,human1,delta,0.7341995,11.78116,39,0.4980095326900482
13,activated_stellate,human1,activated_stellate,5.300621,13.777416,40,1.6621499061584473
1,beta,human1,beta,-6.159385,11.253765,41,0.3845422863960266
12,delta,human1,delta,0.6785276,11.77368,42,0.3845422863960266
13,activated_stellate,human1,activated_stellate,5.047903,13.822601,43,1.4609625339508057
11,activated_stellate,human1,schwann,4.212989,13.740087,44,1.8185222148895264
13,activated_stellate,human1,activated_stellate,5.043862,13.817382,45,1.5784080028533936
9,acinar,human1,acinar,13.660847,6.871842,46,0.8718141913414001
13,activated_stellate,human1,activated_stellate,5.8017755,13.7581005,47,1.5304367542266846
12,delta,human1,delta,0.36925495,11.8452635,48,0.3845422863960266
1,beta,human1,beta,-6.564875,10.532926,49,0.3845422863960266
12,delta,human1,delta,0.050349608,11.476271,50,0.5391892194747925
1,beta,human1,beta,-5.492816,11.162023,51,0.3845422863960266
9,acinar,human1,acinar,13.67286,6.9212594,52,1.1300190687179563
1,beta,human1,beta,-4.383196,11.237512,53,0.7863317728042603
1,beta,human1,beta,-4.8892016,10.780206,54,0.4426243901252746
13,activated_stellate,human1,activated_stellate,5.2285976,13.756847,55,1.6052457094192505
1,beta,human1,beta,-6.135685,11.346212,56,0.5069729685783386
1,beta,human1,beta,-4.662949,10.781707,57,0.5321881175041199
1,beta,human1,beta,-5.0265183,10.954376,58,0.5167956352233887
1,beta,human1,beta,-2.6876426,11.016465,59,0.7202191948890686
4,ductal,human1,t_cell,12.731307,-7.1741614,60,1.5663597583770752
2,alpha,human1,gamma,3.0988004,-0.6059297,61,0.5789958238601685
1,beta,human1,beta,-2.6874185,11.012916,62,0.6442668437957764
5,ductal,human1,ductal,12.414195,-8.340343,63,2.0497941970825195
5,ductal,human1,ductal,13.167637,-7.3771777,64,2.240983009338379
9,acinar,human1,acinar,13.753868,7.0517454,65,0.873452365398407
7,alpha,human1,alpha,2.9352067,-0.03849023,66,0.6518683433532715
1,beta,human1,beta,-5.5244484,11.389986,67,0.4093794226646423
12,delta,human1,delta,0.29252067,11.756242,68,0.4079460203647613
7,alpha,human1,alpha,1.7205955,0.56349665,69,0.6481142640113831
1,beta,human1,beta,-2.8510158,10.931832,70,0.6689666509628296
1,beta,human1,beta,-2.800992,10.960969,71,0.729046642780304
1,beta,human1,beta,-4.4853196,10.948856,72,0.6453590989112854
12,delta,human1,delta,0.5242978,11.867299,73,1.303847312927246
1,beta,human1,beta,-6.0804405,11.726855,74,0.4638182520866394
1,beta,human1,beta,-5.3917007,10.957239,75,0.5545840859413147
12,delta,human1,delta,0.9493487,11.6403475,76,1.0310416221618652
1,beta,human1,beta,-6.1214185,10.746776,77,0.6979889869689941
1,beta,human1,beta,-5.4216776,11.509755,78,0.3845422863960266
1,beta,human1,beta,-5.1319823,11.687004,79,0.5439367890357971
1,beta,human1,beta,-5.847447,11.310279,80,0.4431606829166412
1,beta,human1,beta,-4.932618,10.830319,81,0.3845422863960266
1,beta,human1,beta,-6.9894137,10.733258,82,0.4170623123645782
9,acinar,human1,acinar,13.667347,6.843299,83,0.9347803592681884
13,activated_stellate,human1,activated_stellate,5.0255704,13.825489,84,1.596125602722168
