cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
human1_lib1.final_cell_0001-0,human1,acinar,1,acinar,9.815821,-0.99764,0,0.9714178442955016
human1_lib1.final_cell_0002-0,human1,acinar,1,acinar,9.474483,-2.7796926,1,0.928289532661438
human1_lib1.final_cell_0003-0,human1,acinar,1,acinar,10.836042,-2.24198,2,0.8360571265220642
human1_lib1.final_cell_0004-0,human1,acinar,1,acinar,10.327598,-2.1915212,3,1.3489404916763306
human1_lib1.final_cell_0005-0,human1,acinar,1,acinar,9.618733,-1.5923338,4,1.027095079421997
human1_lib1.final_cell_0006-0,human1,acinar,1,acinar,10.5805855,-2.519335,5,0.9881423711776732
human1_lib1.final_cell_0007-0,human1,beta,5,mast,8.627149,14.929472,6,0.4047490358352661
human1_lib1.final_cell_0008-0,human1,acinar,1,acinar,10.517151,-1.7503834,7,0.8613643050193787
human1_lib1.final_cell_0009-0,human1,acinar,1,acinar,9.776044,-1.5833774,8,1.0129859447479248
human1_lib1.final_cell_0010-0,human1,acinar,1,acinar,9.517528,-1.5711282,9,0.7983218431472778
human1_lib1.final_cell_0011-0,human1,acinar,1,acinar,9.486249,-1.4920151,10,0.9012791514396667
human1_lib1.final_cell_0012-0,human1,acinar,1,acinar,10.505454,-2.066812,11,1.0999648571014404
human1_lib1.final_cell_0013-0,human1,delta,6,delta,5.198971,5.226821,12,0.3970616161823272
human1_lib1.final_cell_0014-0,human1,delta,6,delta,4.555922,5.7307076,13,0.3845422863960266
human1_lib1.final_cell_0015-0,human1,beta,5,mast,10.028564,14.957977,14,0.7921956777572632
human1_lib1.final_cell_0016-0,human1,activated_stellate,8,activated_stellate,15.884566,4.5760913,15,1.705127477645874
human1_lib1.final_cell_0017-0,human1,beta,2,beta,7.35516,16.654152,16,0.4789070785045624
human1_lib1.final_cell_0018-0,human1,acinar,1,acinar,9.283748,-1.852121,17,0.9628588557243348
human1_lib1.final_cell_0019-0,human1,ductal,3,ductal,3.8325086,-3.1030169,18,1.6165125370025637
human1_lib1.final_cell_0020-0,human1,beta,4,epsilon,7.2746687,13.978116,19,0.9652663469314576
human1_lib1.final_cell_0021-0,human1,beta,2,beta,7.172835,15.941898,20,0.4429643750190735
human1_lib1.final_cell_0022-0,human1,alpha,0,alpha,-7.198918,7.5645137,21,0.6101475954055786
human1_lib1.final_cell_0023-0,human1,ductal,3,ductal,4.1966505,-2.422242,22,1.4703165292739868
human1_lib1.final_cell_0024-0,human1,beta,2,beta,6.633505,15.590023,23,0.3858529031276703
human1_lib1.final_cell_0025-0,human1,delta,6,delta,5.6163945,5.596083,24,0.4819028377532959
human1_lib1.final_cell_0026-0,human1,alpha,0,alpha,-7.6200013,8.020828,25,0.6580755114555359
human1_lib1.final_cell_0027-0,human1,beta,2,beta,6.815811,15.009878,26,0.3845422863960266
human1_lib1.final_cell_0028-0,human1,acinar,1,acinar,9.01187,-2.067464,27,0.9920681715011596
