cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,20.10783576965332,3.4608020782470703,8,bbag094_zeisel_cell_00001,unknown,2,unknown,3.0590591430664062
1,17.615188598632812,-0.020252214744687,4,bbag094_zeisel_cell_00002,1,1,1,1.123892307281494
2,17.51006507873535,-0.2508836984634399,4,bbag094_zeisel_cell_00003,1,1,1,0.9837443232536316
3,17.518503189086914,0.0809248313307762,4,bbag094_zeisel_cell_00004,1,1,1,1.643536925315857
4,17.484819412231445,0.0350396186113357,4,bbag094_zeisel_cell_00005,1,1,1,1.2413737773895264
5,17.886415481567383,-0.2798389494419098,4,bbag094_zeisel_cell_00006,1,1,1,1.090116024017334
6,17.334213256835938,-0.0273858476430177,4,bbag094_zeisel_cell_00007,1,1,1,1.541007161140442
7,18.12194061279297,-0.4928319752216339,4,bbag094_zeisel_cell_00008,1,1,1,1.045740008354187
8,17.640697479248047,0.0899760276079177,4,bbag094_zeisel_cell_00009,1,1,1,1.2213668823242188
9,18.3351993560791,-0.0684240981936454,4,bbag094_zeisel_cell_00010,1,1,1,1.446796417236328
10,18.49793243408203,-0.4381197690963745,4,bbag094_zeisel_cell_00011,1,1,1,1.0423201322555542
11,18.189462661743164,-0.1890232563018798,4,bbag094_zeisel_cell_00012,1,1,1,1.2541903257369995
12,18.94012260437012,0.7639619708061218,4,bbag094_zeisel_cell_00013,1,1,1,1.5373095273971558
13,19.0202751159668,0.5053721070289612,4,bbag094_zeisel_cell_00014,1,1,1,1.4586032629013062
14,18.7987117767334,0.870306134223938,4,bbag094_zeisel_cell_00015,1,1,1,2.079357624053955
15,18.841949462890625,0.6945164799690247,4,bbag094_zeisel_cell_00016,1,1,1,1.6551836729049685
16,18.89298248291016,0.7864332795143127,4,bbag094_zeisel_cell_00017,1,1,1,1.5489071607589722
17,18.6143741607666,0.1075272783637046,4,bbag094_zeisel_cell_00018,1,1,1,1.7758216857910156
18,18.76612091064453,0.8047303557395935,4,bbag094_zeisel_cell_00019,1,1,1,1.9509806632995603
19,19.76088523864746,1.244055151939392,4,bbag094_zeisel_cell_00020,1,1,1,2.0504612922668457
20,20.035717010498047,-0.7030788660049438,4,bbag094_zeisel_cell_00021,1,1,1,1.0005872249603271
21,20.086414337158203,-0.7188693881034851,4,bbag094_zeisel_cell_00022,1,1,1,1.003839373588562
22,20.03641700744629,0.2074354141950607,4,bbag094_zeisel_cell_00023,1,1,1,1.1438277959823608
23,19.8753604888916,-0.6964565515518188,4,bbag094_zeisel_cell_00024,1,1,1,1.11873197555542
24,20.016944885253903,-0.6958575248718262,4,bbag094_zeisel_cell_00025,1,1,1,0.904599130153656
25,20.03060340881348,0.1506016999483108,4,bbag094_zeisel_cell_00026,1,1,1,1.186985731124878
26,19.50306701660156,-1.2270102500915527,4,bbag094_zeisel_cell_00027,1,1,1,1.021336317062378
27,18.658138275146484,-0.3933720290660858,4,bbag094_zeisel_cell_00028,1,1,1,1.2670129537582395
28,20.009910583496094,-1.2586565017700195,4,bbag094_zeisel_cell_00029,1,1,1,0.9508160352706908
29,19.993202209472656,-0.611869215965271,4,bbag094_zeisel_cell_00030,1,1,1,1.1257705688476562
30,20.0415153503418,-0.4021301567554474,4,bbag094_zeisel_cell_00031,1,1,1,1.0400986671447754
31,19.38286018371582,-1.0798368453979492,4,bbag094_zeisel_cell_00032,1,1,1,0.9921159148216248
32,20.030014038085938,-1.1701525449752808,4,bbag094_zeisel_cell_00033,1,1,1,0.9925581216812134
33,20.010290145874023,-1.2987215518951416,4,bbag094_zeisel_cell_00034,1,1,1,0.7808264493942261
34,20.046083450317383,-0.1482129245996475,4,bbag094_zeisel_cell_00035,1,1,1,1.0169038772583008
35,19.9565544128418,-0.7152827382087708,4,bbag094_zeisel_cell_00036,1,1,1,0.902140736579895
36,19.979780197143555,-0.5207430124282837,4,bbag094_zeisel_cell_00037,1,1,1,0.9595917463302612
37,19.967998504638672,-1.362420678138733,4,bbag094_zeisel_cell_00038,1,1,1,0.8719852566719055
38,20.04785919189453,-1.2369365692138672,4,bbag094_zeisel_cell_00039,1,1,1,0.8662610650062561
39,19.31793785095215,-1.241561770439148,4,bbag094_zeisel_cell_00040,1,1,1,1.188857078552246
40,19.447105407714844,-1.2347886562347412,4,bbag094_zeisel_cell_00041,1,1,1,1.0159817934036257
41,18.781997680664062,-1.5417535305023191,4,bbag094_zeisel_cell_00042,1,1,1,0.9322909116744996
42,18.42098999023437,-1.3482632637023926,4,bbag094_zeisel_cell_00043,1,1,1,0.986664652824402
43,18.55340385437012,-0.6936644315719604,4,bbag094_zeisel_cell_00044,1,1,1,0.9549872279167176
44,19.39101791381836,-1.224358320236206,4,bbag094_zeisel_cell_00045,1,1,1,0.9067134261131288
45,18.67558479309082,-1.585843563079834,4,bbag094_zeisel_cell_00046,1,1,1,0.9316190481185912
46,19.23226928710937,-1.580071210861206,4,bbag094_zeisel_cell_00047,1,1,1,0.8190536499023438
47,19.02076530456543,-1.693711519241333,4,bbag094_zeisel_cell_00048,1,1,1,0.9978810548782348
48,19.00070571899414,-1.6683543920516968,4,bbag094_zeisel_cell_00049,1,1,1,0.9625416994094848
49,18.5087890625,-0.5464539527893066,4,bbag094_zeisel_cell_00050,1,1,1,0.9321288466453552
50,17.480426788330078,-0.1212487444281578,4,bbag094_zeisel_cell_00051,1,1,1,0.8699144721031189
51,19.231836318969727,-1.58126699924469,4,bbag094_zeisel_cell_00052,1,1,1,0.8249256610870361
52,18.52033233642578,-0.5223715305328369,4,bbag094_zeisel_cell_00053,1,1,1,0.9185099601745604
53,19.11089515686035,-1.5336135625839231,4,bbag094_zeisel_cell_00054,1,1,1,0.8038550019264221
54,18.899581909179688,-1.225430607795715,4,bbag094_zeisel_cell_00055,1,1,1,0.9522616863250732
55,18.455581665039062,-1.379711031913757,4,bbag094_zeisel_cell_00056,1,1,1,0.8799720406532288
56,17.836505889892578,-0.6285102367401123,4,bbag094_zeisel_cell_00057,1,1,1,0.9964482188224792
57,19.155494689941406,-1.440550446510315,4,bbag094_zeisel_cell_00058,1,1,1,0.8184670805931091
58,17.83448600769043,-0.2822825312614441,4,bbag094_zeisel_cell_00059,1,1,1,0.9936712980270386
59,17.830102920532227,-0.3380117118358612,4,bbag094_zeisel_cell_00060,1,1,1,1.014841079711914
60,17.59530258178711,0.1188841313123703,4,bbag094_zeisel_cell_00061,1,1,1,1.5549482107162476
61,17.40369415283203,-0.1387301087379455,4,bbag094_zeisel_cell_00062,1,1,1,1.393654704093933
62,17.519386291503906,0.0246928296983242,4,bbag094_zeisel_cell_00063,1,1,1,1.1000839471817017
63,17.37078094482422,0.0095697352662682,4,bbag094_zeisel_cell_00064,1,1,1,1.7942893505096436
64,17.89449691772461,-0.3946828246116638,4,bbag094_zeisel_cell_00065,1,1,1,1.0532138347625732
65,17.420148849487305,-0.1470396071672439,4,bbag094_zeisel_cell_00066,1,1,1,1.4354289770126345
66,17.587736129760742,-0.1116152107715606,4,bbag094_zeisel_cell_00067,1,1,1,0.8388391137123108
67,17.427812576293945,-0.0533492751419544,4,bbag094_zeisel_cell_00068,1,1,1,1.2105427980422974
68,17.565595626831055,-0.0315676182508468,4,bbag094_zeisel_cell_00069,1,1,1,1.0829142332077026
69,17.448213577270508,-0.1753184497356414,4,bbag094_zeisel_cell_00070,1,1,1,1.0156372785568235
70,17.42952537536621,-0.1170233115553855,4,bbag094_zeisel_cell_00071,1,1,1,0.9592838287353516
71,17.610782623291016,-0.0698253735899925,4,bbag094_zeisel_cell_00072,1,1,1,1.0455236434936523
72,18.04185676574707,-0.6808445453643799,4,bbag094_zeisel_cell_00073,1,1,1,0.9871671795845032
73,18.06522560119629,-0.9333232641220092,4,bbag094_zeisel_cell_00074,1,1,1,1.0910154581069946
74,18.309967041015625,-0.1169233471155166,4,bbag094_zeisel_cell_00075,1,1,1,1.4673186540603638
75,18.427194595336918,-1.4078631401062012,4,bbag094_zeisel_cell_00076,1,1,1,0.8931676745414734
76,18.40612030029297,-1.0206427574157717,4,bbag094_zeisel_cell_00077,1,1,1,0.896510660648346
77,18.03189849853516,-0.9154383540153505,4,bbag094_zeisel_cell_00078,1,1,1,0.9135100841522216
78,18.7627010345459,-1.1971428394317627,4,bbag094_zeisel_cell_00079,1,1,1,0.8899993896484375
79,19.08871078491211,-1.50534188747406,4,bbag094_zeisel_cell_00080,1,1,1,0.776783287525177
80,18.875905990600582,-1.2291111946105957,4,bbag094_zeisel_cell_00081,1,1,1,0.8320988416671753
81,19.21037483215332,-1.2594891786575315,4,bbag094_zeisel_cell_00082,1,1,1,0.8852041363716125
82,18.03873062133789,-0.8312438130378723,4,bbag094_zeisel_cell_00083,1,1,1,0.878177285194397
83,19.266748428344727,-1.2868424654006958,4,bbag094_zeisel_cell_00084,1,1,1,0.9398356080055236
84,19.15848922729492,-1.644248604774475,4,bbag094_zeisel_cell_00085,1,1,1,1.0619893074035645
85,19.22628402709961,-1.601833462715149,4,bbag094_zeisel_cell_00086,1,1,1,0.9282947778701782
86,19.30422019958496,-1.616543173789978,4,bbag094_zeisel_cell_00087,1,1,1,1.2358427047729492
87,19.189701080322266,-1.6140693426132202,4,bbag094_zeisel_cell_00088,1,1,1,0.8670601844787598
88,18.390932083129883,-0.4733070731163025,4,bbag094_zeisel_cell_00089,1,1,1,1.059356451034546
89,19.079328536987305,-1.660554051399231,4,bbag094_zeisel_cell_00090,1,1,1,0.8711298108100891
90,19.82471466064453,-0.8636170029640198,4,bbag094_zeisel_cell_00091,1,1,1,0.9198563098907472
91,19.659591674804688,-1.453211545944214,4,bbag094_zeisel_cell_00092,1,1,1,0.8666840195655823
92,18.546321868896484,-0.4846080839633941,4,bbag094_zeisel_cell_00093,1,1,1,1.3609613180160522
93,19.732051849365234,-1.5226892232894895,4,bbag094_zeisel_cell_00094,1,1,1,0.9641864895820618
94,20.008825302124023,-0.6178761720657349,4,bbag094_zeisel_cell_00095,1,1,1,0.956897795200348
95,19.908815383911133,-0.515328049659729,4,bbag094_zeisel_cell_00096,1,1,1,1.3936933279037476
96,17.669464111328125,0.1066301316022872,4,bbag094_zeisel_cell_00097,1,1,1,1.496932029724121
97,19.960649490356445,-1.35646390914917,4,bbag094_zeisel_cell_00098,1,1,1,0.9518578052520752
98,18.23628044128418,13.781326293945312,1,bbag094_zeisel_cell_00099,1,6,1,1.9189600944519043
99,18.97037696838379,0.9460158348083496,4,bbag094_zeisel_cell_00100,1,1,1,1.8663731813430784
100,18.486352920532227,0.9868435263633728,8,bbag094_zeisel_cell_00101,1,2,1,2.125306367874145
101,19.20264434814453,1.1551778316497805,4,bbag094_zeisel_cell_00102,1,1,1,2.02292799949646
102,18.243621826171875,13.785625457763672,1,bbag094_zeisel_cell_00103,1,6,1,1.9984519481658936
103,10.635017395019531,-8.078290939331055,3,bbag094_zeisel_cell_00104,1,7,1,2.1031839847564697
104,19.291244506835938,1.0873873233795166,4,bbag094_zeisel_cell_00105,1,1,1,2.006086826324463
105,18.229745864868164,13.792498588562012,1,bbag094_zeisel_cell_00106,1,6,1,2.0098578929901123
106,18.207426071166992,13.802608489990234,1,bbag094_zeisel_cell_00107,1,6,1,1.9310969114303589
107,18.20302963256836,13.799464225769045,1,bbag094_zeisel_cell_00108,1,6,1,1.9922839403152464
108,20.11167526245117,3.443833589553833,2,bbag094_zeisel_cell_00109,1,8,1,2.938446521759033
109,19.259780883789062,1.0551356077194214,4,bbag094_zeisel_cell_00110,1,1,1,1.8566166162490845
110,18.925254821777344,0.91384094953537,4,bbag094_zeisel_cell_00111,1,1,1,1.9354194402694704
111,18.88545608520508,0.7321209907531738,4,bbag094_zeisel_cell_00112,1,1,1,1.5210069417953491
112,19.380977630615234,0.9332290291786194,4,bbag094_zeisel_cell_00113,1,1,1,1.6362675428390503
113,18.809715270996094,0.8312859535217285,4,bbag094_zeisel_cell_00114,1,1,1,1.6976503133773804
114,19.044384002685547,0.789023756980896,4,bbag094_zeisel_cell_00115,1,1,1,1.4936774969100952
115,19.101526260375977,0.4067100882530212,4,bbag094_zeisel_cell_00116,1,1,1,1.412533402442932
116,20.27928733825684,0.9449946284294128,4,bbag094_zeisel_cell_00117,1,1,1,2.0568175315856934
117,18.798873901367188,-0.1361724883317947,4,bbag094_zeisel_cell_00118,1,1,1,1.5745645761489868
