cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
bbag094_zeisel_cell_00001,unknown,unknown,0,3,2.413988,1.0144072,0,3.0590591430664062
bbag094_zeisel_cell_00002,1,1,5,1,-2.6962974,4.350894,1,1.123892307281494
bbag094_zeisel_cell_00003,1,1,5,1,-2.7540996,4.1853724,2,0.9837443232536316
bbag094_zeisel_cell_00004,1,1,5,1,-2.62715,4.4127707,3,1.643536925315857
bbag094_zeisel_cell_00005,1,1,5,1,-2.7462697,4.2659492,4,1.2413737773895264
bbag094_zeisel_cell_00006,1,1,5,1,-2.7423913,4.036728,5,1.090116024017334
bbag094_zeisel_cell_00007,1,1,5,1,-2.6938145,3.9564908,6,1.541007161140442
bbag094_zeisel_cell_00008,1,1,5,1,-2.7165906,4.1870127,7,1.045740008354187
bbag094_zeisel_cell_00009,1,1,5,1,-1.8965911,3.4404461,8,1.2213668823242188
bbag094_zeisel_cell_00010,1,1,5,1,-2.6698706,3.9737484,9,1.446796417236328
bbag094_zeisel_cell_00011,1,1,5,1,-2.5802777,3.7513578,10,1.0423201322555542
bbag094_zeisel_cell_00012,1,1,5,1,-2.2384524,3.9240985,11,1.2541903257369995
bbag094_zeisel_cell_00013,1,1,9,Unmatched_9,-0.0036047038,3.2133303,12,1.5373095273971558
bbag094_zeisel_cell_00014,1,1,4,2,-2.0259144,1.0816112,13,1.4586032629013062
bbag094_zeisel_cell_00015,1,1,9,Unmatched_9,0.1028731,3.3932207,14,2.079357624053955
bbag094_zeisel_cell_00016,1,1,9,Unmatched_9,0.09643031,3.3670692,15,1.6551836729049685
bbag094_zeisel_cell_00017,1,1,9,Unmatched_9,0.070884936,3.3467562,16,1.5489071607589722
bbag094_zeisel_cell_00018,1,1,9,Unmatched_9,0.11275787,3.3920748,17,1.7758216857910156
bbag094_zeisel_cell_00019,1,1,9,Unmatched_9,0.11487691,3.381671,18,1.9509806632995603
bbag094_zeisel_cell_00020,1,1,1,4,-0.53637576,7.5637245,19,2.0504612922668457
bbag094_zeisel_cell_00021,1,1,5,1,-3.3067327,2.2245755,20,1.0005872249603271
bbag094_zeisel_cell_00022,1,1,5,1,-3.5926151,2.1313002,21,1.003839373588562
bbag094_zeisel_cell_00023,1,1,5,1,-3.5884163,2.1014168,22,1.1438277959823608
bbag094_zeisel_cell_00024,1,1,5,1,-3.5787795,2.951289,23,1.11873197555542
bbag094_zeisel_cell_00025,1,1,5,1,-3.79937,2.837388,24,0.904599130153656
bbag094_zeisel_cell_00026,1,1,5,1,-3.4582336,2.4393086,25,1.186985731124878
bbag094_zeisel_cell_00027,1,1,5,1,-3.712097,2.8964007,26,1.021336317062378
bbag094_zeisel_cell_00028,1,1,5,1,-3.7742598,2.5416965,27,1.2670129537582395
bbag094_zeisel_cell_00029,1,1,5,1,-3.7208092,2.4308295,28,0.9508160352706908
bbag094_zeisel_cell_00030,1,1,5,1,-3.8569539,2.4192364,29,1.1257705688476562
bbag094_zeisel_cell_00031,1,1,5,1,-3.8019965,2.4800904,30,1.0400986671447754
bbag094_zeisel_cell_00032,1,1,5,1,-2.9903607,2.5039253,31,0.9921159148216248
bbag094_zeisel_cell_00033,1,1,5,1,-3.759653,2.5569718,32,0.9925581216812134
bbag094_zeisel_cell_00034,1,1,5,1,-3.8318126,2.4271703,33,0.7808264493942261
bbag094_zeisel_cell_00035,1,1,5,1,-3.850533,2.4433506,34,1.0169038772583008
bbag094_zeisel_cell_00036,1,1,5,1,-3.8442698,2.4343145,35,0.902140736579895
bbag094_zeisel_cell_00037,1,1,5,1,-3.8433917,2.4905565,36,0.9595917463302612
bbag094_zeisel_cell_00038,1,1,5,1,-3.8384743,2.4471302,37,0.8719852566719055
bbag094_zeisel_cell_00039,1,1,5,1,-3.879421,2.4803576,38,0.8662610650062561
bbag094_zeisel_cell_00040,1,1,5,1,-3.1997128,3.3528492,39,1.188857078552246
bbag094_zeisel_cell_00041,1,1,5,1,-3.3470178,3.38615,40,1.0159817934036257
bbag094_zeisel_cell_00042,1,1,5,1,-3.1368778,3.7456462,41,0.9322909116744996
bbag094_zeisel_cell_00043,1,1,5,1,-3.1784527,3.650502,42,0.986664652824402
bbag094_zeisel_cell_00044,1,1,5,1,-3.1999059,3.640291,43,0.9549872279167176
bbag094_zeisel_cell_00045,1,1,5,1,-3.1735039,3.6792908,44,0.9067134261131288
bbag094_zeisel_cell_00046,1,1,5,1,-2.9221947,3.963821,45,0.9316190481185912
bbag094_zeisel_cell_00047,1,1,5,1,-2.8385262,4.111274,46,0.8190536499023438
bbag094_zeisel_cell_00048,1,1,5,1,-1.8104382,4.3763103,47,0.9978810548782348
bbag094_zeisel_cell_00049,1,1,5,1,-2.8577461,4.03046,48,0.9625416994094848
bbag094_zeisel_cell_00050,1,1,5,1,-2.5173407,4.025342,49,0.9321288466453552
bbag094_zeisel_cell_00051,1,1,5,1,-2.1186743,3.9833188,50,0.8699144721031189
bbag094_zeisel_cell_00052,1,1,5,1,-1.6307063,4.3772793,51,0.8249256610870361
bbag094_zeisel_cell_00053,1,1,5,1,-2.3459868,3.5591006,52,0.9185099601745604
bbag094_zeisel_cell_00054,1,1,5,1,-1.6266216,4.41477,53,0.8038550019264221
bbag094_zeisel_cell_00055,1,1,5,1,-1.6396137,3.3954875,54,0.9522616863250732
bbag094_zeisel_cell_00056,1,1,5,1,-2.8069472,4.240434,55,0.8799720406532288
bbag094_zeisel_cell_00057,1,1,5,1,-1.58988,3.423534,56,0.9964482188224792
bbag094_zeisel_cell_00058,1,1,5,1,-1.5584003,3.5509539,57,0.8184670805931091
bbag094_zeisel_cell_00059,1,1,5,1,-2.551089,4.4619064,58,0.9936712980270386
bbag094_zeisel_cell_00060,1,1,5,1,-1.681372,4.405999,59,1.014841079711914
bbag094_zeisel_cell_00061,1,1,5,1,-2.4969184,4.450581,60,1.5549482107162476
bbag094_zeisel_cell_00062,1,1,5,1,-2.580511,4.444011,61,1.393654704093933
bbag094_zeisel_cell_00063,1,1,5,1,-2.5920384,4.453328,62,1.1000839471817017
bbag094_zeisel_cell_00064,1,1,5,1,-2.5009422,4.5177875,63,1.7942893505096436
bbag094_zeisel_cell_00065,1,1,5,1,-2.5797806,4.4582424,64,1.0532138347625732
bbag094_zeisel_cell_00066,1,1,5,1,-2.5574489,4.485956,65,1.4354289770126345
bbag094_zeisel_cell_00067,1,1,5,1,-2.3813636,4.317727,66,0.8388391137123108
bbag094_zeisel_cell_00068,1,1,5,1,-2.4499316,4.4057317,67,1.2105427980422974
bbag094_zeisel_cell_00069,1,1,5,1,-1.9917881,3.8582613,68,1.0829142332077026
bbag094_zeisel_cell_00070,1,1,5,1,-1.6388525,3.489186,69,1.0156372785568235
bbag094_zeisel_cell_00071,1,1,5,1,-1.8448153,3.8355453,70,0.9592838287353516
bbag094_zeisel_cell_00072,1,1,5,1,-2.0972338,3.6145926,71,1.0455236434936523
bbag094_zeisel_cell_00073,1,1,5,1,-2.1447594,3.6771312,72,0.9871671795845032
bbag094_zeisel_cell_00074,1,1,5,1,-2.5980904,3.5581825,73,1.0910154581069946
bbag094_zeisel_cell_00075,1,1,5,1,-3.0004706,3.1723313,74,1.4673186540603638
bbag094_zeisel_cell_00076,1,1,5,1,-3.12332,3.3719323,75,0.8931676745414734
bbag094_zeisel_cell_00077,1,1,5,1,-3.0122652,3.3997293,76,0.896510660648346
bbag094_zeisel_cell_00078,1,1,5,1,-3.0762641,3.3999233,77,0.9135100841522216
bbag094_zeisel_cell_00079,1,1,5,1,-3.116913,3.3966155,78,0.8899993896484375
bbag094_zeisel_cell_00080,1,1,5,1,-3.1064086,3.39181,79,0.776783287525177
bbag094_zeisel_cell_00081,1,1,5,1,-2.853861,3.5113587,80,0.8320988416671753
bbag094_zeisel_cell_00082,1,1,5,1,-3.117716,3.4130337,81,0.8852041363716125
bbag094_zeisel_cell_00083,1,1,5,1,-3.143636,3.3947868,82,0.878177285194397
bbag094_zeisel_cell_00084,1,1,5,1,-3.1368985,3.4424493,83,0.9398356080055236
bbag094_zeisel_cell_00085,1,1,5,1,-3.1772273,3.3611736,84,1.0619893074035645
bbag094_zeisel_cell_00086,1,1,5,1,-3.1852703,3.3329504,85,0.9282947778701782
bbag094_zeisel_cell_00087,1,1,5,1,-3.1613386,3.325697,86,1.2358427047729492
bbag094_zeisel_cell_00088,1,1,5,1,-3.2205482,3.3093882,87,0.8670601844787598
bbag094_zeisel_cell_00089,1,1,5,1,-2.9988935,3.4541447,88,1.059356451034546
bbag094_zeisel_cell_00090,1,1,5,1,-3.1594992,3.424388,89,0.8711298108100891
bbag094_zeisel_cell_00091,1,1,5,1,-3.2586544,3.2337835,90,0.9198563098907472
bbag094_zeisel_cell_00092,1,1,5,1,-3.3483932,3.068936,91,0.8666840195655823
bbag094_zeisel_cell_00093,1,1,5,1,-3.298499,3.103147,92,1.3609613180160522
bbag094_zeisel_cell_00094,1,1,5,1,-3.123944,3.3903332,93,0.9641864895820618
bbag094_zeisel_cell_00095,1,1,5,1,-3.7587774,2.5665421,94,0.956897795200348
bbag094_zeisel_cell_00096,1,1,5,1,-3.6284468,2.987188,95,1.3936933279037476
