predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,0.87146103,-5.5946198,0,1.0715742111206057
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,0.110809654,-5.497951,1,0.9783008098602296
3,CD4 T cells,single_batch,CD4 T cells,-0.08588602,11.529112,2,1.375329852104187
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,-1.4379486,-5.6314225,3,1.0396560430526731
7,Dendritic cells,single_batch,B cells,-8.364599,-2.0906036,4,3.6591603755950928
3,CD4 T cells,single_batch,CD4 T cells,0.21253003,6.5049176,5,0.6633812189102173
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,1.7962595,-5.3238444,6,0.8272743821144104
3,CD4 T cells,single_batch,CD4 T cells,1.6194087,5.946868,7,0.9621878266334534
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,1.9951326,-5.083461,8,0.702738344669342
4,NK cells,single_batch,NK cells,-8.867964,7.6814322,9,0.914149522781372
3,CD4 T cells,single_batch,CD4 T cells,-1.003511,5.4813957,10,1.2731231451034546
3,CD4 T cells,single_batch,CD4 T cells,-0.8357748,5.1045747,11,1.3936996459960938
3,CD4 T cells,single_batch,CD4 T cells,-1.7547638,6.4220896,12,1.1129257678985596
3,CD4 T cells,single_batch,CD4 T cells,-1.0929699,4.5271363,13,0.9662685990333556
3,CD8 T cells,single_batch,CD4 T cells,1.2387024,9.462606,14,2.152241468429565
7,B cells,single_batch,B cells,-9.247879,-2.3661098,15,0.9271962642669678
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,-1.2964051,-5.873385,16,0.6423221230506897
4,CD8 T cells,single_batch,NK cells,-8.224551,8.153063,17,1.3527283668518066
3,CD4 T cells,single_batch,CD4 T cells,1.0616676,8.88479,18,1.1353349685668943
3,CD4 T cells,single_batch,CD4 T cells,2.547076,7.476271,19,0.7874258160591125
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,0.09607518,-5.7359996,20,1.5158008337020874
3,CD4 T cells,single_batch,CD4 T cells,-0.632901,6.1313705,21,0.941531777381897
7,B cells,single_batch,B cells,-7.4687967,-1.5669054,22,1.0194963216781616
4,NK cells,single_batch,NK cells,5.7902865,8.957206,23,0.8847737312316895
3,CD4 T cells,single_batch,CD4 T cells,0.35812154,11.3087,24,0.9396198987960817
3,CD8 T cells,single_batch,CD4 T cells,-0.6597472,7.1049867,25,0.9295334219932556
3,Megakaryocytes,single_batch,CD4 T cells,0.51174116,6.059299,26,1.0329818725585938
2,FCGR3A+ Monocytes,single_batch,CD14+ Monocytes,1.8375279,-6.17213,27,1.3475550413131714
3,CD4 T cells,single_batch,CD4 T cells,-1.1018045,9.57068,28,1.0073379278182983
7,B cells,single_batch,B cells,-8.289176,-2.7236834,29,0.7413454651832581
7,B cells,single_batch,B cells,8.8910885,-4.64821,30,2.4096508026123047
3,CD4 T cells,single_batch,CD4 T cells,-0.46726343,7.655177,31,1.321560025215149
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,0.52659804,-5.069295,32,0.9678373336791992
3,CD8 T cells,single_batch,CD4 T cells,-0.31063724,7.204965,33,1.2490792274475098
