cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
W31105,single_batch,7MEP,4,7MEP,-10.57656,-0.8556458,0,0.8805757761001587
W31106,single_batch,15Mo,5,13Baso,-6.861765,4.089349,1,0.8005107641220093
W31107,single_batch,3Ery,3,3Ery,-4.4497366,-6.1995735,2,0.9162594079971312
W31108,single_batch,15Mo,1,16Neu,-8.13411,5.476204,3,1.5644587278366089
W31109,single_batch,3Ery,3,3Ery,-4.198784,-5.844495,4,0.7156978845596313
W31110,single_batch,15Mo,8,12Baso,-8.172453,3.8379316,5,1.3745357990264893
W31111,single_batch,4Ery,0,5Ery,-6.3648543,-5.0446243,6,0.8800175786018372
W31113,single_batch,2Ery,4,7MEP,-11.179252,-1.0982031,7,1.6441582441329956
W31114,single_batch,3Ery,3,3Ery,-6.212844,-5.499857,8,1.6707574129104614
W31115,single_batch,2Ery,6,2Ery,-4.449482,-4.040023,9,0.7262600660324097
W31116,single_batch,2Ery,0,5Ery,-5.182063,-4.345526,10,0.711112380027771
W31117,single_batch,17Neu,8,12Baso,-10.080901,1.7116225,11,1.1597810983657837
W31118,single_batch,14Mo,5,13Baso,-7.717576,4.159495,12,0.717006504535675
W31119,single_batch,13Baso,8,12Baso,-8.638927,2.5634608,13,0.6713036894798279
W31120,single_batch,3Ery,6,2Ery,-4.4914446,-4.3568544,14,0.807770848274231
W31121,single_batch,7MEP,4,7MEP,-10.85037,-0.98494196,15,1.0759141445159912
W31122,single_batch,3Ery,3,3Ery,-5.3118443,-6.0216255,16,0.963287353515625
W31123,single_batch,3Ery,6,2Ery,-4.952835,-4.583644,17,0.7634353041648865
W31124,single_batch,2Ery,6,2Ery,-3.5833147,-4.5861173,18,1.126794695854187
W31125,single_batch,8Mk,10,8Mk,-10.710413,-2.3939059,19,1.9605720043182373
W31126,single_batch,3Ery,0,5Ery,-6.868813,-4.256958,20,1.008517146110535
W31127,single_batch,9GMP,8,12Baso,-8.265816,3.5061975,21,1.567166447639465
W31128,single_batch,8Mk,10,8Mk,-10.21766,-2.3019402,22,1.6114331483840942
W31129,single_batch,10GMP,9,10GMP,-9.260936,0.6726934,23,0.8577512502670288
W31130,single_batch,15Mo,2,14Mo,-7.983653,1.8742822,24,0.9068087339401244
W31131,single_batch,16Neu,1,16Neu,-8.848909,4.637122,25,0.95908385515213
W31132,single_batch,4Ery,6,2Ery,-5.0730796,-3.7622447,26,0.7272450923919678
W31133,single_batch,13Baso,8,12Baso,-9.008178,2.615082,27,0.8844754695892334
W31134,single_batch,17Neu,8,12Baso,-9.927956,1.4658719,28,1.4518486261367798
W31136,single_batch,3Ery,3,3Ery,-4.4398785,-5.749008,29,0.7977144122123718
W31137,single_batch,2Ery,3,3Ery,-5.310918,-4.9047403,30,0.6668222546577454
W31138,single_batch,3Ery,3,3Ery,-5.8815885,-5.4999495,31,1.1589863300323486
W31139,single_batch,5Ery,7,6Ery,-7.0587544,-3.155293,32,0.6649419665336609
W31140,single_batch,3Ery,0,5Ery,-5.9843564,-4.910693,33,1.131696701049805
W31141,single_batch,13Baso,2,14Mo,-7.728029,2.726734,34,0.7035702466964722
W31142,single_batch,1Ery,6,2Ery,-3.9060147,-3.2577527,35,1.9677064418792725
W31143,single_batch,3Ery,3,3Ery,-4.103042,-5.7976036,36,1.139961004257202
W31144,single_batch,6Ery,0,5Ery,-6.3666067,-5.0524683,37,0.9297738075256348
