cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
W31105,single_batch,7MEP,6,7MEP,-7.5256763,-0.03019201,0,0.8805757761001587
W31106,single_batch,15Mo,4,13Baso,-11.907796,2.7674792,1,0.8005107641220093
W31107,single_batch,3Ery,0,2Ery,-1.892208,-4.403288,2,0.9162594079971312
W31108,single_batch,15Mo,4,13Baso,-11.113309,4.4996514,3,1.5644587278366089
W31109,single_batch,3Ery,0,2Ery,-1.7986526,-4.079429,4,0.7156978845596313
W31110,single_batch,15Mo,1,10GMP,-10.60328,2.8875577,5,1.3745357990264893
W31111,single_batch,4Ery,3,5Ery,-4.0864863,-3.769515,6,0.8800175786018372
W31113,single_batch,2Ery,6,7MEP,-6.77214,0.38763756,7,1.6441582441329956
W31114,single_batch,3Ery,8,3Ery,-3.8992846,-4.1511626,8,1.6707574129104614
W31115,single_batch,2Ery,0,2Ery,-2.5417328,-2.3833942,9,0.7262600660324097
W31116,single_batch,2Ery,3,5Ery,-3.1650982,-2.8884406,10,0.711112380027771
W31117,single_batch,17Neu,1,10GMP,-8.549968,1.6255523,11,1.1597810983657837
W31118,single_batch,14Mo,4,13Baso,-11.120525,3.1907296,12,0.717006504535675
W31119,single_batch,13Baso,1,10GMP,-10.037358,1.6255732,13,0.6713036894798279
W31120,single_batch,3Ery,0,2Ery,-2.5097852,-2.6903057,14,0.807770848274231
W31121,single_batch,7MEP,6,7MEP,-6.9827976,0.21167511,15,1.0759141445159912
W31122,single_batch,3Ery,8,3Ery,-2.8337421,-4.4422975,16,0.963287353515625
W31123,single_batch,3Ery,0,2Ery,-2.8683212,-2.8817675,17,0.7634353041648865
W31124,single_batch,2Ery,0,2Ery,-1.5550984,-2.6219947,18,1.126794695854187
W31125,single_batch,8Mk,9,8Mk,-8.498289,-1.3778226,19,1.9605720043182373
W31126,single_batch,3Ery,3,5Ery,-4.8771214,-2.9850616,20,1.008517146110535
W31127,single_batch,9GMP,1,10GMP,-10.296416,2.4707313,21,1.567166447639465
W31128,single_batch,8Mk,9,8Mk,-8.058789,-1.364684,22,1.6114331483840942
W31129,single_batch,10GMP,1,10GMP,-8.96178,0.19133277,23,0.8577512502670288
W31130,single_batch,15Mo,5,14Mo,-10.479903,0.8585954,24,0.9068087339401244
W31131,single_batch,16Neu,2,16Neu,-10.083168,3.8905418,25,0.95908385515213
W31132,single_batch,4Ery,0,2Ery,-3.1673791,-2.2794948,26,0.7272450923919678
W31133,single_batch,13Baso,1,10GMP,-9.593523,2.0157142,27,0.8844754695892334
W31134,single_batch,17Neu,1,10GMP,-8.672351,1.2118963,28,1.4518486261367798
W31136,single_batch,3Ery,0,2Ery,-1.9576463,-4.0534472,29,0.7977144122123718
W31137,single_batch,2Ery,0,2Ery,-3.0138338,-3.4671102,30,0.6668222546577454
W31138,single_batch,3Ery,3,5Ery,-3.5065646,-4.158997,31,1.1589863300323486
W31139,single_batch,5Ery,7,6Ery,-4.992652,-1.940765,32,0.6649419665336609
W31140,single_batch,3Ery,3,5Ery,-3.7866662,-3.7179363,33,1.131696701049805
W31141,single_batch,13Baso,5,14Mo,-10.79828,1.6352578,34,0.7035702466964722
W31142,single_batch,1Ery,0,2Ery,-2.2068417,-1.4451363,35,1.9677064418792725
W31143,single_batch,3Ery,0,2Ery,-1.6901512,-3.8546517,36,1.139961004257202
W31144,single_batch,6Ery,3,5Ery,-4.077534,-3.7427714,37,0.9297738075256348
W31145,single_batch,15Mo,5,14Mo,-9.736806,3.26333,38,0.9748445749282836
W31146,single_batch,3Ery,3,5Ery,-4.383133,-2.5571826,39,0.6255022883415222
W31147,single_batch,3Ery,0,2Ery,-2.4574125,-2.6737304,40,0.8573838472366333
W31148,single_batch,14Mo,4,13Baso,-11.916184,3.159442,41,0.7460975646972656
W31149,single_batch,19Lymph,11,19Lymph,-10.623114,-4.022826,42,2.595523834228516
W31150,single_batch,12Baso,1,10GMP,-9.016371,1.5325246,43,0.9324617981910706
W31151,single_batch,3Ery,8,3Ery,-2.0340183,-4.494319,44,0.965106964111328
W31152,single_batch,14Mo,4,13Baso,-12.08715,2.9317663,45,0.8218165636062622
W31153,single_batch,6Ery,3,5Ery,-4.136397,-3.435265,46,1.0422184467315674
W31154,single_batch,4Ery,3,5Ery,-3.1912923,-3.4639745,47,0.7487584352493286
W31155,single_batch,7MEP,6,7MEP,-7.9410977,-0.22534256,48,2.1452016830444336
W31156,single_batch,2Ery,0,2Ery,-2.1803493,-2.4130802,49,0.8586075305938721
W31157,single_batch,13Baso,1,10GMP,-10.176799,1.3256254,50,1.0685791969299316
W31158,single_batch,14Mo,2,16Neu,-10.322542,4.4834757,51,0.8255376219749451
W31159,single_batch,6Ery,7,6Ery,-5.2139435,-2.6124113,52,1.2698137760162354
W31160,single_batch,18Eos,1,10GMP,-9.078245,1.571729,53,1.4315457344055176
W31161,single_batch,4Ery,3,5Ery,-3.2184246,-2.0569499,54,1.046425461769104
W31162,single_batch,3Ery,3,5Ery,-4.166302,-2.9663076,55,0.5994926691055298
W31163,single_batch,3Ery,3,5Ery,-4.0481577,-3.362078,56,0.6394763588905334
W31164,single_batch,14Mo,4,13Baso,-12.092934,3.0411959,57,0.5930439829826355
W31165,single_batch,2Ery,0,2Ery,-1.5660481,-2.8234694,58,0.862958550453186
W31166,single_batch,13Baso,5,14Mo,-11.31398,1.9105779,59,0.6298144459724426
W31167,single_batch,2Ery,0,2Ery,-1.7598906,-2.4491477,60,0.934917449951172
W31168,single_batch,13Baso,4,13Baso,-12.106061,3.9668145,61,1.566347360610962
W31169,single_batch,13Baso,5,14Mo,-11.230024,1.9167546,62,0.8329395651817322
W31170,single_batch,14Mo,4,13Baso,-11.928568,3.8619518,63,1.0044667720794678
W31171,single_batch,7MEP,6,7MEP,-7.243961,0.22938584,64,0.9454752206802368
W31172,single_batch,7MEP,8,3Ery,-3.1619525,-4.662085,65,2.4089062213897705
W31173,single_batch,7MEP,6,7MEP,-7.546042,-0.13288024,66,1.2213103771209717
W31174,single_batch,10GMP,1,10GMP,-10.409947,1.5582945,67,0.8355689644813538
W31175,single_batch,12Baso,1,10GMP,-9.495736,1.8000107,68,1.0220476388931274
W31176,single_batch,6Ery,7,6Ery,-5.5144486,-1.9072514,69,1.698859930038452
W31177,single_batch,5Ery,7,6Ery,-5.247689,-2.1686385,70,0.6151979565620422
W31178,single_batch,5Ery,7,6Ery,-5.003717,-1.9600477,71,0.6196181774139404
W31179,single_batch,14Mo,2,16Neu,-10.2275305,3.7509162,72,0.9435657262802124
W31180,single_batch,4Ery,0,2Ery,-2.897874,-3.0457726,73,0.6023454070091248
W31181,single_batch,16Neu,2,16Neu,-9.775451,4.3833675,74,0.6393954753875732
W31182,single_batch,16Neu,2,16Neu,-10.658286,4.6430616,75,0.820305347442627
W31183,single_batch,3Ery,0,2Ery,-2.7183437,-3.9363933,76,0.6048137545585632
W31184,single_batch,2Ery,0,2Ery,-2.489618,-2.6019783,77,0.821348249912262
