predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
8,7MEP,single_batch,7MEP,1.8928987,-7.0949244,0,0.8805757761001587
3,15Mo,single_batch,13Baso,8.600747,-3.8014104,1,0.8005107641220093
1,3Ery,single_batch,3Ery,-0.42233726,-0.6491601,2,0.9162594079971312
10,15Mo,single_batch,16Neu,10.658531,-7.3130226,3,1.5644587278366089
11,3Ery,single_batch,2Ery,-1.7705235,-0.2579831,4,0.7156978845596313
5,15Mo,single_batch,1Ery,7.6545386,-8.159983,5,1.3745357990264893
1,4Ery,single_batch,3Ery,1.2862078,-4.6278934,6,0.8800175786018372
11,2Ery,single_batch,2Ery,-2.8923655,-3.6543093,7,1.6441582441329956
4,3Ery,single_batch,6Ery,2.2191198,-5.6011305,8,1.6707574129104614
11,2Ery,single_batch,2Ery,-3.2101862,-0.57968867,9,0.7262600660324097
11,2Ery,single_batch,2Ery,-3.286379,-1.1391808,10,0.711112380027771
13,17Neu,single_batch,12Baso,5.9845753,-9.365659,11,1.1597810983657837
14,14Mo,single_batch,15Mo,8.876181,-6.4022627,12,0.717006504535675
16,13Baso,single_batch,10GMP,7.1636195,-6.7225666,13,0.6713036894798279
11,3Ery,single_batch,2Ery,-1.9759057,-0.5707424,14,0.807770848274231
8,7MEP,single_batch,7MEP,2.010072,-7.106461,15,1.0759141445159912
1,3Ery,single_batch,3Ery,-0.0096135475,-1.3896338,16,0.963287353515625
1,3Ery,single_batch,3Ery,-1.2949636,-1.362979,17,0.7634353041648865
11,2Ery,single_batch,2Ery,-3.7528374,-0.46087453,18,1.126794695854187
7,8Mk,single_batch,8Mk,3.0890257,-9.389276,19,1.9605720043182373
4,3Ery,single_batch,6Ery,1.3311253,-5.370373,20,1.008517146110535
5,9GMP,single_batch,1Ery,7.12828,-7.6657014,21,1.567166447639465
7,8Mk,single_batch,8Mk,3.164529,-8.576078,22,1.6114331483840942
2,10GMP,single_batch,9GMP,6.8501983,-7.3120704,23,0.8577512502670288
14,15Mo,single_batch,15Mo,9.364993,-5.245441,24,0.9068087339401244
10,16Neu,single_batch,16Neu,10.497638,-8.016984,25,0.95908385515213
11,4Ery,single_batch,2Ery,-2.706251,-2.332567,26,0.7272450923919678
5,13Baso,single_batch,1Ery,7.351999,-7.995018,27,0.8844754695892334
13,17Neu,single_batch,12Baso,5.859968,-8.93065,28,1.4518486261367798
11,3Ery,single_batch,2Ery,-1.6726872,-0.30313656,29,0.7977144122123718
1,2Ery,single_batch,3Ery,-1.6334109,-2.0050557,30,0.6668222546577454
1,3Ery,single_batch,3Ery,0.46278375,-1.9643697,31,1.1589863300323486
4,5Ery,single_batch,6Ery,0.31062335,-5.3477225,32,0.6649419665336609
1,3Ery,single_batch,3Ery,0.0901353,-2.7109287,33,1.131696701049805
16,13Baso,single_batch,10GMP,7.465292,-5.288162,34,0.7035702466964722
11,1Ery,single_batch,2Ery,-4.8376,-0.500575,35,1.9677064418792725
11,3Ery,single_batch,2Ery,-2.4246535,-0.055826858,36,1.139961004257202
1,6Ery,single_batch,3Ery,1.3901169,-4.5080338,37,0.9297738075256348
10,15Mo,single_batch,16Neu,10.737697,-9.029348,38,0.9748445749282836
1,3Ery,single_batch,3Ery,-0.1984065,-3.440581,39,0.6255022883415222
11,3Ery,single_batch,2Ery,-3.1707354,-0.3674798,40,0.8573838472366333
3,14Mo,single_batch,13Baso,8.066157,-3.7483754,41,0.7460975646972656
12,19Lymph,single_batch,19Lymph,4.1798224,-13.927326,42,2.595523834228516
13,12Baso,single_batch,12Baso,6.278697,-8.827971,43,0.9324617981910706
1,3Ery,single_batch,3Ery,-0.63622504,-0.5355315,44,0.965106964111328
3,14Mo,single_batch,13Baso,8.687129,-2.9690504,45,0.8218165636062622
1,6Ery,single_batch,3Ery,0.044020437,-2.5996954,46,1.0422184467315674
1,4Ery,single_batch,3Ery,-0.35636652,-1.6337343,47,0.7487584352493286
17,7MEP,single_batch,4Ery,6.400881,-7.0338306,48,2.1452016830444336
11,2Ery,single_batch,2Ery,-3.372085,-1.0520486,49,0.8586075305938721
16,13Baso,single_batch,10GMP,6.7359495,-6.541752,50,1.0685791969299316
10,14Mo,single_batch,16Neu,10.706734,-7.658601,51,0.8255376219749451
4,6Ery,single_batch,6Ery,0.9655412,-4.689503,52,1.2698137760162354
15,18Eos,single_batch,18Eos,8.286436,-8.631557,53,1.4315457344055176
11,4Ery,single_batch,2Ery,-2.3188581,-1.7408811,54,1.046425461769104
1,3Ery,single_batch,3Ery,-1.9806657,-2.3587098,55,0.5994926691055298
1,3Ery,single_batch,3Ery,-1.3874727,-2.4252326,56,0.6394763588905334
3,14Mo,single_batch,13Baso,8.238847,-3.8172035,57,0.5930439829826355
11,2Ery,single_batch,2Ery,-3.3707862,-0.41155145,58,0.862958550453186
3,13Baso,single_batch,13Baso,8.749815,-4.2165923,59,0.6298144459724426
11,2Ery,single_batch,2Ery,-3.5764523,-0.6685018,60,0.934917449951172
3,13Baso,single_batch,13Baso,7.883766,-3.167758,61,1.566347360610962
3,13Baso,single_batch,13Baso,7.948155,-4.171985,62,0.8329395651817322
3,14Mo,single_batch,13Baso,8.070162,-3.5565114,63,1.0044667720794678
8,7MEP,single_batch,7MEP,1.916785,-7.007555,64,0.9454752206802368
4,7MEP,single_batch,6Ery,2.2016733,-5.678374,65,2.4089062213897705
17,7MEP,single_batch,4Ery,1.8572823,-7.5312247,66,1.2213103771209717
16,10GMP,single_batch,10GMP,6.5763855,-6.142829,67,0.8355689644813538
13,12Baso,single_batch,12Baso,6.2363467,-9.037484,68,1.0220476388931274
4,6Ery,single_batch,6Ery,1.8856616,-5.830813,69,1.698859930038452
4,5Ery,single_batch,6Ery,0.6438802,-4.6609063,70,0.6151979565620422
1,5Ery,single_batch,3Ery,-0.52890503,-3.711352,71,0.6196181774139404
10,14Mo,single_batch,16Neu,10.403449,-7.9529138,72,0.9435657262802124
11,4Ery,single_batch,2Ery,-2.0609403,-1.285263,73,0.6023454070091248
10,16Neu,single_batch,16Neu,10.624072,-8.955299,74,0.6393954753875732
10,16Neu,single_batch,16Neu,10.864881,-7.72051,75,0.820305347442627
1,3Ery,single_batch,3Ery,-0.70741093,-1.0962913,76,0.6048137545585632
1,2Ery,single_batch,3Ery,-1.9028519,-2.326289,77,0.821348249912262
1,6Ery,single_batch,3Ery,-2.03785,-2.4633205,78,0.590248167514801
3,13Baso,single_batch,13Baso,7.7288604,-4.5405846,79,1.035654067993164
16,13Baso,single_batch,10GMP,7.0860767,-6.663723,80,0.6535032391548157
5,10GMP,single_batch,1Ery,6.787142,-7.5365095,81,0.7239184379577637
10,14Mo,single_batch,16Neu,10.096497,-8.036155,82,0.7995785474777222
1,5Ery,single_batch,3Ery,-1.1171267,-4.1098633,83,0.5738287568092346
17,7MEP,single_batch,4Ery,2.2237985,-6.52191,84,1.002310037612915
17,7MEP,single_batch,4Ery,1.9546021,-7.0888996,85,1.0300674438476562
1,5Ery,single_batch,3Ery,-2.0095997,-2.4468987,86,0.608435869216919
4,6Ery,single_batch,6Ery,1.3728888,-6.503325,87,1.3392736911773682
11,2Ery,single_batch,2Ery,-2.8031285,-0.17411795,88,0.817608118057251
4,10GMP,single_batch,6Ery,1.4945011,-6.068128,89,1.483912229537964
5,10GMP,single_batch,1Ery,6.6521525,-8.07837,90,1.0880248546600342
11,2Ery,single_batch,2Ery,-2.486096,-0.97190326,91,0.5718743801116943
13,7MEP,single_batch,12Baso,5.730081,-8.9067955,92,1.8390610218048096
4,6Ery,single_batch,6Ery,1.6847779,-5.7518005,93,1.0184879302978516
8,7MEP,single_batch,7MEP,1.6287766,-6.572213,94,0.8508400917053223
14,14Mo,single_batch,15Mo,8.058718,-6.3820586,95,0.7511257529258728
14,16Neu,single_batch,15Mo,9.321416,-5.886396,96,0.7391790151596069
16,10GMP,single_batch,10GMP,6.5681586,-6.02891,97,1.012600660324097
