family,method,ARI,ACC,RareACC,UltraRareACC,Batch correction,score_moyen,n_datasets,method_display
Generalistes + correction batch,scRAW (trial_0017),0.6579155994039932,0.740715105823325,0.6358607432585514,0.6408203282554717,0.6713977660348841,0.6693419085552451,8,scRAW (trial_0017)
Generalistes + correction batch,Harmony,0.6213070160342374,0.7267969368870886,0.590197089311001,0.5421129511924522,0.68968109354309,0.6340190173935738,8,Harmony
Generalistes + correction batch,ComBat-seq,0.5677298476306332,0.6818855127692988,0.643604624827644,0.40814867670224714,0.6031481765351852,0.5809033676930018,8,ComBat-seq
Generalistes + correction batch,scMAE+Harmony,0.63082556271408,0.7081628968947518,0.5561610279928739,0.28241166322084854,0.6494228238832939,0.5653967949411697,8,scMAE+Harmony
Generalistes + correction batch,ComBat,0.5516802034657113,0.6672527180989712,0.519383088983615,0.45029279012691853,0.6002236776691243,0.557766495668868,8,ComBat
Generalistes + correction batch,Scanorama,0.5213421556296265,0.6269176658813781,0.47348746031445516,0.5745519597932459,0.580233721691123,0.5553065926619658,8,Scanorama
Generalistes + correction batch,scNAME+Harmony,0.5645237482272303,0.6510820655753311,0.43470023172736977,0.360824775532266,0.39369648110232547,0.48096546043290456,8,scNAME+Harmony
Methodes generalistes,scvi,0.6090311196574908,0.7283974857748325,0.6371723222137279,0.2941237932566273,0.7343218110962381,0.6006093063997834,8,scVI
Methodes generalistes,scMAE,0.6860442994215712,0.7391630364808311,0.5798247808197858,0.2908107892047203,0.5909968856017066,0.5773679583057231,8,scMAE
Methodes generalistes,pca_leiden,0.5617810111730835,0.6671945862228253,0.6036654000316154,0.4178385438113906,0.6119255972754176,0.5724810277028665,8,PCA+Leiden
Methodes generalistes,DESC,0.6243141894160219,0.7084007751052701,0.5520560359921862,0.2702035274758964,0.61465439761204,0.5539257851202829,8,DESC
Methodes generalistes,scNAME,0.6160999425610424,0.7050519458860273,0.6080600206909406,0.28009745212186604,0.532788785069919,0.5484196292659591,8,scNAME
Methodes orientees cellules rares,scAIDE+Harmony,0.7012341887403133,0.7721183448541311,0.5991725224336341,0.4793632398909064,0.6253320989961842,0.6354440789830338,8,scAIDE+Harmony
Methodes orientees cellules rares,CellSIUS+Harmony,0.6111390451197767,0.6948371006958589,0.5791722103652067,0.5988830720087902,0.6761178548482432,0.632029856607575,8,CellSIUS+Harmony
Methodes orientees cellules rares,scAIDE,0.7092582319906123,0.7576656639911703,0.5765537122317717,0.3589511742427911,0.6147459476237647,0.603434946016022,8,scAIDE
Methodes orientees cellules rares,CellSIUS,0.5326782011454534,0.6206995812825142,0.5960987599245814,0.5760765486834154,0.5883032640048107,0.5827712710081551,8,CellSIUS
Methodes orientees cellules rares,scCAD+Harmony,0.4122108486312991,0.42603608175769636,0.34296834663212794,0.6710571263361624,0.6759366909318351,0.5056418188578242,8,scCAD+Harmony
Methodes orientees cellules rares,DeepScena+Harmony,0.4518161242534389,0.5620902538850375,0.46849432703852795,0.3519696145675734,0.6564450138347081,0.4981630667158572,8,DeepScena+Harmony
Methodes orientees cellules rares,scCAD,0.4122108486312991,0.42603608175769636,0.34296834663212794,0.6710571263361624,0.588408367234914,0.48813615411843997,8,scCAD
Methodes orientees cellules rares,DeepScena,0.47701536058891514,0.5871160045406383,0.38021767492594216,0.1819636456733231,0.6246760182335662,0.450197740792477,8,DeepScena
Methodes orientees cellules rares,GiniClust+Harmony,0.05702111556102145,0.33483888676679846,0.06540805572111512,0.09101682104103412,0.6767329753452601,0.24500357088704586,8,GiniClust+Harmony
Methodes orientees cellules rares,GiniClust,0.05702111556102145,0.33483888676679846,0.06540805572111512,0.09101682104103412,0.5881504688058063,0.22728706957915507,8,GiniClust
