family,dataset,method,source_method,metric,value
Méthodes généralistes + Harmony,BBAG094 Zeisel,Harmony,Harmony,ACC,0.6061210911510313
Méthodes généralistes + Harmony,BBAG094 Zeisel,Harmony,Harmony,ARI,0.3877432473485119
Méthodes généralistes + Harmony,BBAG094 Zeisel,Harmony,Harmony,Batch correction,0.2541259979715826
Méthodes généralistes + Harmony,BBAG094 Zeisel,Harmony,Harmony,RareACC,0.4
Méthodes généralistes + Harmony,BBAG094 Zeisel,Harmony,Harmony,UltraRareACC,0.5555555555555556
Méthodes généralistes + Harmony,BBAG094 Zeisel,scMAE+Harmony,scMAE+Harmony,ACC,0.3632734530938123
Méthodes généralistes + Harmony,BBAG094 Zeisel,scMAE+Harmony,scMAE+Harmony,ARI,0.1287886710829468
Méthodes généralistes + Harmony,BBAG094 Zeisel,scMAE+Harmony,scMAE+Harmony,Batch correction,0.3879210077438746
Méthodes généralistes + Harmony,BBAG094 Zeisel,scMAE+Harmony,scMAE+Harmony,RareACC,0.3189189189189189
Méthodes généralistes + Harmony,BBAG094 Zeisel,scMAE+Harmony,scMAE+Harmony,UltraRareACC,0.5185185185185185
Méthodes généralistes + Harmony,BBAG094 Zeisel,scNAME+Harmony,scNAME+Harmony,ACC,0.7425149700598802
Méthodes généralistes + Harmony,BBAG094 Zeisel,scNAME+Harmony,scNAME+Harmony,ARI,0.7223266237847019
Méthodes généralistes + Harmony,BBAG094 Zeisel,scNAME+Harmony,scNAME+Harmony,Batch correction,0.4018604065877763
Méthodes généralistes + Harmony,BBAG094 Zeisel,scNAME+Harmony,scNAME+Harmony,RareACC,0.0324324324324324
Méthodes généralistes + Harmony,BBAG094 Zeisel,scNAME+Harmony,scNAME+Harmony,UltraRareACC,0.1851851851851851
Méthodes généralistes + Harmony,BBAG094 Zeisel,scRAW,scRAW (trial_0017),ACC,0.6407185628742516
Méthodes généralistes + Harmony,BBAG094 Zeisel,scRAW,scRAW (trial_0017),ARI,0.4301883295024661
Méthodes généralistes + Harmony,BBAG094 Zeisel,scRAW,scRAW (trial_0017),Batch correction,0.4000360971162749
Méthodes généralistes + Harmony,BBAG094 Zeisel,scRAW,scRAW (trial_0017),RareACC,0.6108108108108108
Méthodes généralistes + Harmony,BBAG094 Zeisel,scRAW,scRAW (trial_0017),UltraRareACC,0.5555555555555556
Méthodes généralistes + Harmony,BBAG094 Zeisel,scVI,scvi,ACC,0.7162341982701265
Méthodes généralistes + Harmony,BBAG094 Zeisel,scVI,scvi,ARI,0.5133594314543674
Méthodes généralistes + Harmony,BBAG094 Zeisel,scVI,scvi,Batch correction,0.4423447401311677
Méthodes généralistes + Harmony,BBAG094 Zeisel,scVI,scvi,RareACC,0.6270270270270271
Méthodes généralistes + Harmony,BBAG094 Zeisel,scVI,scvi,UltraRareACC,0.5555555555555556
Méthodes généralistes + Harmony,BBAG094 spleen,Harmony,Harmony,ACC,0.6870812395309883
Méthodes généralistes + Harmony,BBAG094 spleen,Harmony,Harmony,ARI,0.5179008566834543
Méthodes généralistes + Harmony,BBAG094 spleen,Harmony,Harmony,Batch correction,0.8111773863951631
Méthodes généralistes + Harmony,BBAG094 spleen,Harmony,Harmony,RareACC,0.9904891304347826
Méthodes généralistes + Harmony,BBAG094 spleen,Harmony,Harmony,UltraRareACC,0.9761904761904762
Méthodes généralistes + Harmony,BBAG094 spleen,scMAE+Harmony,scMAE+Harmony,ACC,0.9547738693467336
Méthodes généralistes + Harmony,BBAG094 spleen,scMAE+Harmony,scMAE+Harmony,ARI,0.9110727210223653
Méthodes généralistes + Harmony,BBAG094 spleen,scMAE+Harmony,scMAE+Harmony,Batch correction,0.7667966416202827
Méthodes généralistes + Harmony,BBAG094 spleen,scMAE+Harmony,scMAE+Harmony,RareACC,0.7214673913043478
Méthodes généralistes + Harmony,BBAG094 spleen,scMAE+Harmony,scMAE+Harmony,UltraRareACC,0.0
Méthodes généralistes + Harmony,BBAG094 spleen,scNAME+Harmony,scNAME+Harmony,ACC,0.8223408710217756
Méthodes généralistes + Harmony,BBAG094 spleen,scNAME+Harmony,scNAME+Harmony,ARI,0.6206498848755925
Méthodes généralistes + Harmony,BBAG094 spleen,scNAME+Harmony,scNAME+Harmony,Batch correction,0.3099181470645217
Méthodes généralistes + Harmony,BBAG094 spleen,scNAME+Harmony,scNAME+Harmony,RareACC,0.9103260869565216
Méthodes généralistes + Harmony,BBAG094 spleen,scNAME+Harmony,scNAME+Harmony,UltraRareACC,0.8333333333333334
Méthodes généralistes + Harmony,BBAG094 spleen,scRAW,scRAW (trial_0017),ACC,0.8291457286432161
Méthodes généralistes + Harmony,BBAG094 spleen,scRAW,scRAW (trial_0017),ARI,0.8700744463231944
Méthodes généralistes + Harmony,BBAG094 spleen,scRAW,scRAW (trial_0017),Batch correction,0.7909291345199329
Méthodes généralistes + Harmony,BBAG094 spleen,scRAW,scRAW (trial_0017),RareACC,0.5285326086956522
Méthodes généralistes + Harmony,BBAG094 spleen,scRAW,scRAW (trial_0017),UltraRareACC,0.9761904761904762
Méthodes généralistes + Harmony,BBAG094 spleen,scVI,scvi,ACC,0.7958542713567839
Méthodes généralistes + Harmony,BBAG094 spleen,scVI,scvi,ARI,0.5720050774011771
Méthodes généralistes + Harmony,BBAG094 spleen,scVI,scvi,Batch correction,0.8365897766791757
Méthodes généralistes + Harmony,BBAG094 spleen,scVI,scvi,RareACC,0.9334239130434784
Méthodes généralistes + Harmony,BBAG094 spleen,scVI,scvi,UltraRareACC,1.0
Méthodes généralistes + Harmony,Baron human pancreas,Harmony,Harmony,ACC,0.8913525498891353
Méthodes généralistes + Harmony,Baron human pancreas,Harmony,Harmony,ARI,0.8506457118079013
Méthodes généralistes + Harmony,Baron human pancreas,Harmony,Harmony,Batch correction,0.7365166477963205
Méthodes généralistes + Harmony,Baron human pancreas,Harmony,Harmony,RareACC,0.8114602587800369
Méthodes généralistes + Harmony,Baron human pancreas,Harmony,Harmony,UltraRareACC,0.788135593220339
Méthodes généralistes + Harmony,Baron human pancreas,scMAE+Harmony,scMAE+Harmony,ACC,0.7884233866262108
Méthodes généralistes + Harmony,Baron human pancreas,scMAE+Harmony,scMAE+Harmony,ARI,0.7701536430949616
Méthodes généralistes + Harmony,Baron human pancreas,scMAE+Harmony,scMAE+Harmony,Batch correction,0.6040684940211346
Méthodes généralistes + Harmony,Baron human pancreas,scMAE+Harmony,scMAE+Harmony,RareACC,0.9279112754158964
Méthodes généralistes + Harmony,Baron human pancreas,scMAE+Harmony,scMAE+Harmony,UltraRareACC,0.6779661016949152
Méthodes généralistes + Harmony,Baron human pancreas,scNAME+Harmony,scNAME+Harmony,ACC,0.7375423036527016
Méthodes généralistes + Harmony,Baron human pancreas,scNAME+Harmony,scNAME+Harmony,ARI,0.7284015804157328
Méthodes généralistes + Harmony,Baron human pancreas,scNAME+Harmony,scNAME+Harmony,Batch correction,0.3087301055886641
Méthodes généralistes + Harmony,Baron human pancreas,scNAME+Harmony,scNAME+Harmony,RareACC,0.5609981515711645
Méthodes généralistes + Harmony,Baron human pancreas,scNAME+Harmony,scNAME+Harmony,UltraRareACC,0.4576271186440678
Méthodes généralistes + Harmony,Baron human pancreas,scRAW,scRAW (trial_0017),ACC,0.9337145524565292
Méthodes généralistes + Harmony,Baron human pancreas,scRAW,scRAW (trial_0017),ARI,0.9158965181979905
Méthodes généralistes + Harmony,Baron human pancreas,scRAW,scRAW (trial_0017),Batch correction,0.5749552605057935
Méthodes généralistes + Harmony,Baron human pancreas,scRAW,scRAW (trial_0017),RareACC,0.8955637707948244
Méthodes généralistes + Harmony,Baron human pancreas,scRAW,scRAW (trial_0017),UltraRareACC,0.8135593220338984
Méthodes généralistes + Harmony,Baron human pancreas,scVI,scvi,ACC,0.7116349632395845
Méthodes généralistes + Harmony,Baron human pancreas,scVI,scvi,ARI,0.6211343823250206
Méthodes généralistes + Harmony,Baron human pancreas,scVI,scvi,Batch correction,0.6295033373683816
Méthodes généralistes + Harmony,Baron human pancreas,scVI,scvi,RareACC,0.9177449168207024
Méthodes généralistes + Harmony,Baron human pancreas,scVI,scvi,UltraRareACC,0.4661016949152542
Méthodes généralistes + Harmony,Human testis GSE112013,Harmony,Harmony,ACC,0.7303543913713405
Méthodes généralistes + Harmony,Human testis GSE112013,Harmony,Harmony,ARI,0.6523338776655068
Méthodes généralistes + Harmony,Human testis GSE112013,Harmony,Harmony,Batch correction,0.7969653197013047
Méthodes généralistes + Harmony,Human testis GSE112013,Harmony,Harmony,RareACC,0.9063475546305932
Méthodes généralistes + Harmony,Human testis GSE112013,Harmony,Harmony,UltraRareACC,0.9285714285714286
Méthodes généralistes + Harmony,Human testis GSE112013,scMAE+Harmony,scMAE+Harmony,ACC,0.7240369799691834
Méthodes généralistes + Harmony,Human testis GSE112013,scMAE+Harmony,scMAE+Harmony,ARI,0.6505666399402998
Méthodes généralistes + Harmony,Human testis GSE112013,scMAE+Harmony,scMAE+Harmony,Batch correction,0.7517465783584988
Méthodes généralistes + Harmony,Human testis GSE112013,scMAE+Harmony,scMAE+Harmony,RareACC,0.8407908428720083
Méthodes généralistes + Harmony,Human testis GSE112013,scMAE+Harmony,scMAE+Harmony,UltraRareACC,0.0
Méthodes généralistes + Harmony,Human testis GSE112013,scNAME+Harmony,scNAME+Harmony,ACC,0.7959938366718028
Méthodes généralistes + Harmony,Human testis GSE112013,scNAME+Harmony,scNAME+Harmony,ARI,0.653132875702755
Méthodes généralistes + Harmony,Human testis GSE112013,scNAME+Harmony,scNAME+Harmony,Batch correction,0.4296710772303703
Méthodes généralistes + Harmony,Human testis GSE112013,scNAME+Harmony,scNAME+Harmony,RareACC,0.8272632674297606
Méthodes généralistes + Harmony,Human testis GSE112013,scNAME+Harmony,scNAME+Harmony,UltraRareACC,0.0
Méthodes généralistes + Harmony,Human testis GSE112013,scRAW,scRAW (trial_0017),ACC,0.7178736517719568
Méthodes généralistes + Harmony,Human testis GSE112013,scRAW,scRAW (trial_0017),ARI,0.6107002323051303
Méthodes généralistes + Harmony,Human testis GSE112013,scRAW,scRAW (trial_0017),Batch correction,0.7303536766041685
Méthodes généralistes + Harmony,Human testis GSE112013,scRAW,scRAW (trial_0017),RareACC,0.9667013527575442
Méthodes généralistes + Harmony,Human testis GSE112013,scRAW,scRAW (trial_0017),UltraRareACC,0.6428571428571429
Méthodes généralistes + Harmony,Human testis GSE112013,scVI,scvi,ACC,0.725115562403698
Méthodes généralistes + Harmony,Human testis GSE112013,scVI,scvi,ARI,0.5938167523297926
Méthodes généralistes + Harmony,Human testis GSE112013,scVI,scvi,Batch correction,0.7754604613797713
Méthodes généralistes + Harmony,Human testis GSE112013,scVI,scvi,RareACC,0.9146722164412072
Méthodes généralistes + Harmony,Human testis GSE112013,scVI,scvi,UltraRareACC,0.0
Méthodes généralistes + Harmony,Kang PBMC,Harmony,Harmony,ACC,0.7528483072916666
Méthodes généralistes + Harmony,Kang PBMC,Harmony,Harmony,ARI,0.773630664005735
Méthodes généralistes + Harmony,Kang PBMC,Harmony,Harmony,Batch correction,0.7261262096182571
Méthodes généralistes + Harmony,Kang PBMC,Harmony,Harmony,RareACC,0.3276661514683153
Méthodes généralistes + Harmony,Kang PBMC,Harmony,Harmony,UltraRareACC,0.5395348837209303
Méthodes généralistes + Harmony,Kang PBMC,scMAE+Harmony,scMAE+Harmony,ACC,0.7481068316912304
Méthodes généralistes + Harmony,Kang PBMC,scMAE+Harmony,scMAE+Harmony,ARI,0.7600300829494404
Méthodes généralistes + Harmony,Kang PBMC,scMAE+Harmony,scMAE+Harmony,Batch correction,0.5612853889732877
Méthodes généralistes + Harmony,Kang PBMC,scMAE+Harmony,scMAE+Harmony,RareACC,0.1640625
Méthodes généralistes + Harmony,Kang PBMC,scMAE+Harmony,scMAE+Harmony,UltraRareACC,0.0384615384615384
Méthodes généralistes + Harmony,Kang PBMC,scNAME+Harmony,scNAME+Harmony,ACC,0.490391661916782
Méthodes généralistes + Harmony,Kang PBMC,scNAME+Harmony,scNAME+Harmony,ARI,0.4920942892840363
Méthodes généralistes + Harmony,Kang PBMC,scNAME+Harmony,scNAME+Harmony,Batch correction,0.4232156825329959
Méthodes généralistes + Harmony,Kang PBMC,scNAME+Harmony,scNAME+Harmony,RareACC,0.246875
Méthodes généralistes + Harmony,Kang PBMC,scNAME+Harmony,scNAME+Harmony,UltraRareACC,0.3076923076923077
Méthodes généralistes + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),ACC,0.7057650028499308
Méthodes généralistes + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),ARI,0.5459843343891061
Méthodes généralistes + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),Batch correction,0.6843171205513716
Méthodes généralistes + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),RareACC,0.678125
Méthodes généralistes + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),UltraRareACC,0.8173076923076923
Méthodes généralistes + Harmony,Kang PBMC,scVI,scvi,ACC,0.8142903645833334
