family,method,ARI,ACC,BalancedACC,RareACC,UltraRareACC,Batch correction,score_moyen,n_datasets,method_display
Correction batch,scRAW (trial_0017),0.6579155994039932,0.740715105823325,0.6759937324899512,0.6358607432585514,0.6408203282554717,0.6363450654061681,0.6646084291062434,8,scRAW
Correction batch,Harmony,0.6213070160342374,0.7267969368870886,0.6718590674508937,0.590197089311001,0.5421129511924521,0.6669698277626862,0.6365404814397265,8,Harmony
Correction batch,scvi,0.6090311196574908,0.7283974857748325,0.6682506578464908,0.6371723222137278,0.2941237932566273,0.6714209823308718,0.6013993935133403,8,scVI
Correction batch,DESC,0.6243141894160218,0.7084007751052701,0.5909463897888452,0.5520560359921862,0.2702035274758964,0.6283601007628016,0.5623801697568368,8,DESC
Correction batch,ComBat,0.5516802034657113,0.6672527180989711,0.6064901197370972,0.519383088983615,0.45029279012691853,0.5476932732640653,0.5571320322793964,8,ComBat
Correction batch,Scanorama,0.5213421556296265,0.6269176658813781,0.5901531487703898,0.47348746031445516,0.5745519597932459,0.5210399986267301,0.5512487315026375,8,Scanorama
Methodes generalistes,scRAW (trial_0017),0.6579155994039932,0.740715105823325,0.6759937324899512,0.6358607432585514,0.6408203282554717,0.6363450654061681,0.6646084291062434,8,scRAW
Methodes generalistes,scvi,0.6090311196574908,0.7283974857748325,0.6682506578464908,0.6371723222137278,0.2941237932566273,0.6714209823308718,0.6013993935133403,8,scVI
Methodes generalistes,scMAE,0.6860442994215712,0.7391630364808313,0.647785415655679,0.5798247808197858,0.2908107892047203,0.5165457219818562,0.5766956739274074,8,scMAE
Methodes generalistes,pca_leiden,0.5617810111730835,0.6671945862228255,0.6409437003576616,0.6036654000316154,0.4178385438113906,0.563295832739123,0.5757865123892832,8,PCA+Leiden
Methodes generalistes,scNAME,0.6160999425610424,0.7050519458860273,0.6289199535419496,0.6080600206909406,0.28009745212186604,0.5233972371739987,0.5602710919959708,8,scNAME
Rare Specific,scRAW (trial_0017),0.6579155994039932,0.740715105823325,0.6759937324899512,0.6358607432585514,0.6408203282554717,0.6363450654061681,0.6646084291062434,8,scRAW
Rare Specific,scAIDE,0.7092582319906124,0.7576656639911703,0.6548061157036527,0.5765537122317717,0.3589511742427911,0.5656820398359288,0.6038194896659879,8,scAIDE
Rare Specific,CellSIUS,0.5326782011454534,0.6206995812825142,0.6281171290557612,0.5960987599245815,0.5760765486834154,0.5317993883783138,0.5809116014116733,8,CellSIUS
Rare Specific,scCAD,0.4122108486312991,0.42603608175769636,0.399986989591961,0.34296834663212794,0.6710571263361624,0.5319395260184513,0.4640331531612831,8,scCAD
Rare Specific,DeepScena,0.47701536058891514,0.5871160045406383,0.45484081533775,0.3802176749259422,0.1819636456733231,0.5819212764875005,0.4438457962590115,8,DeepScena
Rare Specific,GiniClust,0.05702111556102145,0.3348388867667984,0.15297002577922916,0.0654080557211151,0.09101682104103412,0.5315956614463079,0.20547509438591768,8,GiniClust
