family,dataset,method,source_method,metric,value
Correction batch,BBAG094 Zeisel,ComBat,ComBat,ACC,0.3153692614770459
Correction batch,BBAG094 Zeisel,ComBat,ComBat,ARI,0.0
Correction batch,BBAG094 Zeisel,ComBat,ComBat,Batch correction,0.0578811186339024
Correction batch,BBAG094 Zeisel,ComBat,ComBat,RareACC,0.0
Correction batch,BBAG094 Zeisel,ComBat,ComBat,UltraRareACC,0.0
Correction batch,BBAG094 Zeisel,DESC,DESC,ACC,0.8343313373253493
Correction batch,BBAG094 Zeisel,DESC,DESC,ARI,0.7522691340613057
Correction batch,BBAG094 Zeisel,DESC,DESC,Batch correction,0.2916884237332118
Correction batch,BBAG094 Zeisel,DESC,DESC,RareACC,0.4972972972972973
Correction batch,BBAG094 Zeisel,DESC,DESC,UltraRareACC,0.5555555555555556
Correction batch,BBAG094 Zeisel,Harmony,Harmony,ACC,0.6061210911510313
Correction batch,BBAG094 Zeisel,Harmony,Harmony,ARI,0.3877432473485119
Correction batch,BBAG094 Zeisel,Harmony,Harmony,Batch correction,0.2541259979715826
Correction batch,BBAG094 Zeisel,Harmony,Harmony,RareACC,0.4
Correction batch,BBAG094 Zeisel,Harmony,Harmony,UltraRareACC,0.5555555555555556
Correction batch,BBAG094 Zeisel,Scanorama,Scanorama,ACC,0.7904191616766467
Correction batch,BBAG094 Zeisel,Scanorama,Scanorama,ARI,0.6323066051146811
Correction batch,BBAG094 Zeisel,Scanorama,Scanorama,Batch correction,0.3780963795935355
Correction batch,BBAG094 Zeisel,Scanorama,Scanorama,RareACC,0.4864864864864865
Correction batch,BBAG094 Zeisel,Scanorama,Scanorama,UltraRareACC,0.5555555555555556
Correction batch,BBAG094 Zeisel,scRAW,scRAW (trial_0017),ACC,0.6407185628742516
Correction batch,BBAG094 Zeisel,scRAW,scRAW (trial_0017),ARI,0.4301883295024661
Correction batch,BBAG094 Zeisel,scRAW,scRAW (trial_0017),Batch correction,0.4000360971162749
Correction batch,BBAG094 Zeisel,scRAW,scRAW (trial_0017),RareACC,0.6108108108108108
Correction batch,BBAG094 Zeisel,scRAW,scRAW (trial_0017),UltraRareACC,0.5555555555555556
Correction batch,BBAG094 Zeisel,scVI,scvi,ACC,0.7162341982701265
Correction batch,BBAG094 Zeisel,scVI,scvi,ARI,0.5133594314543674
Correction batch,BBAG094 Zeisel,scVI,scvi,Batch correction,0.4423447401311677
Correction batch,BBAG094 Zeisel,scVI,scvi,RareACC,0.6270270270270271
Correction batch,BBAG094 Zeisel,scVI,scvi,UltraRareACC,0.5555555555555556
Correction batch,BBAG094 spleen,ComBat,ComBat,ACC,0.7329355108877722
Correction batch,BBAG094 spleen,ComBat,ComBat,ARI,0.5799446467814835
Correction batch,BBAG094 spleen,ComBat,ComBat,Batch correction,0.7778388996631098
Correction batch,BBAG094 spleen,ComBat,ComBat,RareACC,0.9782608695652174
Correction batch,BBAG094 spleen,ComBat,ComBat,UltraRareACC,0.9761904761904762
Correction batch,BBAG094 spleen,DESC,DESC,ACC,0.5180067001675042
Correction batch,BBAG094 spleen,DESC,DESC,ARI,0.3361022083228794
Correction batch,BBAG094 spleen,DESC,DESC,Batch correction,0.5420230178008654
Correction batch,BBAG094 spleen,DESC,DESC,RareACC,0.9334239130434784
Correction batch,BBAG094 spleen,DESC,DESC,UltraRareACC,0.0
Correction batch,BBAG094 spleen,Harmony,Harmony,ACC,0.6870812395309883
Correction batch,BBAG094 spleen,Harmony,Harmony,ARI,0.5179008566834543
Correction batch,BBAG094 spleen,Harmony,Harmony,Batch correction,0.8111773863951631
Correction batch,BBAG094 spleen,Harmony,Harmony,RareACC,0.9904891304347826
Correction batch,BBAG094 spleen,Harmony,Harmony,UltraRareACC,0.9761904761904762
Correction batch,BBAG094 spleen,Scanorama,Scanorama,ACC,0.6413316582914573
Correction batch,BBAG094 spleen,Scanorama,Scanorama,ARI,0.4483547162442923
Correction batch,BBAG094 spleen,Scanorama,Scanorama,Batch correction,0.5136106612659674
Correction batch,BBAG094 spleen,Scanorama,Scanorama,RareACC,0.7989130434782609
Correction batch,BBAG094 spleen,Scanorama,Scanorama,UltraRareACC,1.0
Correction batch,BBAG094 spleen,scRAW,scRAW (trial_0017),ACC,0.8291457286432161
Correction batch,BBAG094 spleen,scRAW,scRAW (trial_0017),ARI,0.8700744463231944
Correction batch,BBAG094 spleen,scRAW,scRAW (trial_0017),Batch correction,0.7909291345199329
Correction batch,BBAG094 spleen,scRAW,scRAW (trial_0017),RareACC,0.5285326086956522
Correction batch,BBAG094 spleen,scRAW,scRAW (trial_0017),UltraRareACC,0.9761904761904762
Correction batch,BBAG094 spleen,scVI,scvi,ACC,0.7958542713567839
Correction batch,BBAG094 spleen,scVI,scvi,ARI,0.5720050774011771
Correction batch,BBAG094 spleen,scVI,scvi,Batch correction,0.8365897766791757
Correction batch,BBAG094 spleen,scVI,scvi,RareACC,0.9334239130434784
Correction batch,BBAG094 spleen,scVI,scvi,UltraRareACC,1.0
Correction batch,Baron human pancreas,ComBat,ComBat,ACC,0.722488038277512
Correction batch,Baron human pancreas,ComBat,ComBat,ARI,0.6534719573482087
Correction batch,Baron human pancreas,ComBat,ComBat,Batch correction,0.565611491307011
Correction batch,Baron human pancreas,ComBat,ComBat,RareACC,0.8123844731977818
Correction batch,Baron human pancreas,ComBat,ComBat,UltraRareACC,0.788135593220339
Correction batch,Baron human pancreas,DESC,DESC,ACC,0.9290465631929048
Correction batch,Baron human pancreas,DESC,DESC,ARI,0.9182154796884484
Correction batch,Baron human pancreas,DESC,DESC,Batch correction,0.6966085416564778
Correction batch,Baron human pancreas,DESC,DESC,RareACC,0.7763401109057301
Correction batch,Baron human pancreas,DESC,DESC,UltraRareACC,0.4661016949152542
Correction batch,Baron human pancreas,Harmony,Harmony,ACC,0.8913525498891353
Correction batch,Baron human pancreas,Harmony,Harmony,ARI,0.8506457118079013
Correction batch,Baron human pancreas,Harmony,Harmony,Batch correction,0.7365166477963205
Correction batch,Baron human pancreas,Harmony,Harmony,RareACC,0.8114602587800369
Correction batch,Baron human pancreas,Harmony,Harmony,UltraRareACC,0.788135593220339
Correction batch,Baron human pancreas,Scanorama,Scanorama,ACC,0.6865445209476018
Correction batch,Baron human pancreas,Scanorama,Scanorama,ARI,0.620705451463
Correction batch,Baron human pancreas,Scanorama,Scanorama,Batch correction,0.53044876637796
Correction batch,Baron human pancreas,Scanorama,Scanorama,RareACC,0.7384473197781886
Correction batch,Baron human pancreas,Scanorama,Scanorama,UltraRareACC,0.7542372881355932
Correction batch,Baron human pancreas,scRAW,scRAW (trial_0017),ACC,0.9337145524565292
Correction batch,Baron human pancreas,scRAW,scRAW (trial_0017),ARI,0.9158965181979905
Correction batch,Baron human pancreas,scRAW,scRAW (trial_0017),Batch correction,0.5749552605057935
Correction batch,Baron human pancreas,scRAW,scRAW (trial_0017),RareACC,0.8955637707948244
Correction batch,Baron human pancreas,scRAW,scRAW (trial_0017),UltraRareACC,0.8135593220338984
Correction batch,Baron human pancreas,scVI,scvi,ACC,0.7116349632395845
Correction batch,Baron human pancreas,scVI,scvi,ARI,0.6211343823250206
Correction batch,Baron human pancreas,scVI,scvi,Batch correction,0.6295033373683816
Correction batch,Baron human pancreas,scVI,scvi,RareACC,0.9177449168207024
Correction batch,Baron human pancreas,scVI,scvi,UltraRareACC,0.4661016949152542
Correction batch,Human testis GSE112013,ComBat,ComBat,ACC,0.6419106317411403
Correction batch,Human testis GSE112013,ComBat,ComBat,ARI,0.5689312456945296
Correction batch,Human testis GSE112013,ComBat,ComBat,Batch correction,0.5622311952565553
Correction batch,Human testis GSE112013,ComBat,ComBat,RareACC,0.6129032258064516
Correction batch,Human testis GSE112013,ComBat,ComBat,UltraRareACC,0.0
Correction batch,Human testis GSE112013,DESC,DESC,ACC,0.8198767334360555
Correction batch,Human testis GSE112013,DESC,DESC,ARI,0.668399343098342
Correction batch,Human testis GSE112013,DESC,DESC,Batch correction,0.7784449378644452
Correction batch,Human testis GSE112013,DESC,DESC,RareACC,0.8647242455775234
Correction batch,Human testis GSE112013,DESC,DESC,UltraRareACC,0.0
Correction batch,Human testis GSE112013,Harmony,Harmony,ACC,0.7303543913713405
Correction batch,Human testis GSE112013,Harmony,Harmony,ARI,0.6523338776655068
Correction batch,Human testis GSE112013,Harmony,Harmony,Batch correction,0.7969653197013047
Correction batch,Human testis GSE112013,Harmony,Harmony,RareACC,0.9063475546305932
Correction batch,Human testis GSE112013,Harmony,Harmony,UltraRareACC,0.9285714285714286
Correction batch,Human testis GSE112013,Scanorama,Scanorama,ACC,0.5624036979969184
Correction batch,Human testis GSE112013,Scanorama,Scanorama,ARI,0.4705710682053854
Correction batch,Human testis GSE112013,Scanorama,Scanorama,Batch correction,0.6343596589136683
Correction batch,Human testis GSE112013,Scanorama,Scanorama,RareACC,0.5993756503642039
Correction batch,Human testis GSE112013,Scanorama,Scanorama,UltraRareACC,0.8571428571428571
Correction batch,Human testis GSE112013,scRAW,scRAW (trial_0017),ACC,0.7178736517719568
Correction batch,Human testis GSE112013,scRAW,scRAW (trial_0017),ARI,0.6107002323051303
Correction batch,Human testis GSE112013,scRAW,scRAW (trial_0017),Batch correction,0.7303536766041685
Correction batch,Human testis GSE112013,scRAW,scRAW (trial_0017),RareACC,0.9667013527575442
Correction batch,Human testis GSE112013,scRAW,scRAW (trial_0017),UltraRareACC,0.6428571428571429
Correction batch,Human testis GSE112013,scVI,scvi,ACC,0.725115562403698
Correction batch,Human testis GSE112013,scVI,scvi,ARI,0.5938167523297926
Correction batch,Human testis GSE112013,scVI,scvi,Batch correction,0.7754604613797713
Correction batch,Human testis GSE112013,scVI,scvi,RareACC,0.9146722164412072
Correction batch,Human testis GSE112013,scVI,scvi,UltraRareACC,0.0
Correction batch,Kang PBMC,ComBat,ComBat,ACC,0.7529703776041666
Correction batch,Kang PBMC,ComBat,ComBat,ARI,0.7726902977217358
Correction batch,Kang PBMC,ComBat,ComBat,Batch correction,0.7261262096182571
Correction batch,Kang PBMC,ComBat,ComBat,RareACC,0.3276661514683153
Correction batch,Kang PBMC,ComBat,ComBat,UltraRareACC,0.5441860465116279
Correction batch,Kang PBMC,DESC,DESC,ACC,0.643310546875
Correction batch,Kang PBMC,DESC,DESC,ARI,0.5329901729502926
Correction batch,Kang PBMC,DESC,DESC,Batch correction,0.7952525456720301
Correction batch,Kang PBMC,DESC,DESC,RareACC,0.2890262751159196
Correction batch,Kang PBMC,DESC,DESC,UltraRareACC,0.8697674418604651
Correction batch,Kang PBMC,Harmony,Harmony,ACC,0.7528483072916666
Correction batch,Kang PBMC,Harmony,Harmony,ARI,0.773630664005735
Correction batch,Kang PBMC,Harmony,Harmony,Batch correction,0.7261262096182571
Correction batch,Kang PBMC,Harmony,Harmony,RareACC,0.3276661514683153
Correction batch,Kang PBMC,Harmony,Harmony,UltraRareACC,0.5395348837209303
Correction batch,Kang PBMC,Scanorama,Scanorama,ACC,0.7442626953125
Correction batch,Kang PBMC,Scanorama,Scanorama,ARI,0.7821085126410068
Correction batch,Kang PBMC,Scanorama,Scanorama,Batch correction,0.7261262096182571
Correction batch,Kang PBMC,Scanorama,Scanorama,RareACC,0.1777434312210201
Correction batch,Kang PBMC,Scanorama,Scanorama,UltraRareACC,0.0930232558139534
Correction batch,Kang PBMC,scRAW,scRAW (trial_0017),ACC,0.7057650028499308
Correction batch,Kang PBMC,scRAW,scRAW (trial_0017),ARI,0.5459843343891061
Correction batch,Kang PBMC,scRAW,scRAW (trial_0017),Batch correction,0.6843171205513716
Correction batch,Kang PBMC,scRAW,scRAW (trial_0017),RareACC,0.678125
