family,metric,rank,method
Rare Specific,ARI,1,scRAW (stable_generalist)
Rare Specific,ARI,2,scAIDE
Rare Specific,ARI,3,CellSIUS
Rare Specific,ARI,4,DeepScena
Rare Specific,ACC,1,scRAW (stable_generalist)
Rare Specific,ACC,2,scAIDE
Rare Specific,ACC,3,CellSIUS
Rare Specific,ACC,4,DeepScena
Rare Specific,BalancedACC,1,scRAW (stable_generalist)
Rare Specific,BalancedACC,2,scAIDE
Rare Specific,BalancedACC,3,CellSIUS
Rare Specific,BalancedACC,4,DeepScena
Rare Specific,RareACC,1,scRAW (stable_generalist)
Rare Specific,RareACC,2,CellSIUS
Rare Specific,RareACC,3,scAIDE
Rare Specific,RareACC,4,DeepScena
Rare Specific,BalancedRareACC,1,scRAW (stable_generalist)
Rare Specific,BalancedRareACC,2,CellSIUS
Rare Specific,BalancedRareACC,3,scAIDE
Rare Specific,BalancedRareACC,4,scCAD
Rare Specific,UltraRareACC,1,scRAW (stable_generalist)
Rare Specific,UltraRareACC,2,scCAD
Rare Specific,UltraRareACC,3,CellSIUS
Rare Specific,UltraRareACC,4,scAIDE
Rare Specific,Batch correction,1,scRAW (stable_generalist)
Rare Specific,Batch correction,2,DeepScena
Rare Specific,Batch correction,3,scAIDE
Rare Specific,Batch correction,4,scCAD
Methodes generalistes,ARI,1,scRAW (stable_generalist)
Methodes generalistes,ARI,2,scMAE
Methodes generalistes,ARI,3,scNAME
Methodes generalistes,ARI,4,scvi
Methodes generalistes,ACC,1,scRAW (stable_generalist)
Methodes generalistes,ACC,2,scMAE
Methodes generalistes,ACC,3,scvi
Methodes generalistes,ACC,4,scNAME
Methodes generalistes,BalancedACC,1,scRAW (stable_generalist)
Methodes generalistes,BalancedACC,2,scvi
Methodes generalistes,BalancedACC,3,scMAE
Methodes generalistes,BalancedACC,4,pca_leiden
Methodes generalistes,RareACC,1,scRAW (stable_generalist)
Methodes generalistes,RareACC,2,scvi
Methodes generalistes,RareACC,3,scNAME
Methodes generalistes,RareACC,4,pca_leiden
Methodes generalistes,BalancedRareACC,1,scRAW (stable_generalist)
Methodes generalistes,BalancedRareACC,2,pca_leiden
Methodes generalistes,BalancedRareACC,3,scvi
Methodes generalistes,BalancedRareACC,4,scMAE
Methodes generalistes,UltraRareACC,1,scRAW (stable_generalist)
Methodes generalistes,UltraRareACC,2,pca_leiden
Methodes generalistes,UltraRareACC,3,scvi
Methodes generalistes,UltraRareACC,4,scMAE
Methodes generalistes,Batch correction,1,scRAW (stable_generalist)
Methodes generalistes,Batch correction,2,scvi
Methodes generalistes,Batch correction,3,pca_leiden
Methodes generalistes,Batch correction,4,scNAME
Correction batch,ARI,1,scRAW (stable_generalist)
Correction batch,ARI,2,DESC
Correction batch,ARI,3,Harmony
Correction batch,ARI,4,scvi
Correction batch,ACC,1,scRAW (stable_generalist)
Correction batch,ACC,2,scvi
Correction batch,ACC,3,Harmony
Correction batch,ACC,4,DESC
Correction batch,BalancedACC,1,scRAW (stable_generalist)
Correction batch,BalancedACC,2,Harmony
Correction batch,BalancedACC,3,scvi
Correction batch,BalancedACC,4,ComBat
Correction batch,RareACC,1,scRAW (stable_generalist)
Correction batch,RareACC,2,scvi
Correction batch,RareACC,3,Harmony
Correction batch,RareACC,4,DESC
Correction batch,BalancedRareACC,1,scRAW (stable_generalist)
Correction batch,BalancedRareACC,2,Harmony
Correction batch,BalancedRareACC,3,scvi
Correction batch,BalancedRareACC,4,ComBat
Correction batch,UltraRareACC,1,scRAW (stable_generalist)
Correction batch,UltraRareACC,2,Scanorama
Correction batch,UltraRareACC,3,Harmony
Correction batch,UltraRareACC,4,ComBat
Correction batch,Batch correction,1,scRAW (stable_generalist)
Correction batch,Batch correction,2,scvi
Correction batch,Batch correction,3,Harmony
Correction batch,Batch correction,4,DESC
