cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
A10_B000767_B009945_S10.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",-5.6032085,12.618078,0,1.1629490852355957
A10_D045313_B009942_S10.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-9.220932,9.035932,1,0.615229606628418
A11_B000767_B009945_S11.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-13.231602,13.840534,2,2.040419816970825
A11_B001247_B009941_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,hepatocyte,-13.187122,8.446016,3,0.8905880451202393
A11_B002688_B009944_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.691614,7.630203,4,0.546958863735199
A11_D045313_B009942_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.049892,5.544241,5,0.6503084897994995
A12_B000767_B009945_S12.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",-5.569582,12.583384,6,0.7714836597442627
A12_B002688_B009944_S12.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-9.476419,6.762477,7,0.9103731513023376
A12_D045313_B009942_S12.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.251194,7.116538,8,0.6386933922767639
A13_B002681_B009943_S13.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.469285,6.4039717,9,0.4190481901168823
A13_B002688_B009944_S13.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-11.383524,11.645033,10,0.9160423874855042
A13_D045313_B009942_S13.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.900138,7.4686246,11,0.6001989245414734
A14_B001247_B009941_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.453882,7.7127852,12,0.5294036865234375
A14_B002688_B009944_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-15.213749,7.381496,13,0.5810506343841553
A14_D045313_B009942_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.302776,7.0232096,14,0.8335148692131042
A15_B000767_B009945_S15.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",-5.589255,12.617459,15,0.8979852199554443
A15_B001247_B009941_S15.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.522306,7.331853,16,0.7438143491744995
A15_B002681_B009943_S15.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-9.595516,6.887075,17,0.3845422863960266
A15_D045313_B009942_S15.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-13.754043,14.157808,18,2.002776622772217
A16_B000767_B009945_S16.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,-9.158348,19.184462,19,1.7678337097167969
A16_B001247_B009941_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.706059,7.376031,20,1.507758855819702
A16_B002688_B009944_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.444712,6.09251,21,0.9387325644493104
A16_D045313_B009942_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-16.886086,7.0413914,22,0.6177024841308594
A17_B000767_B009945_S17.mm10-plus-4-0,single_batch,"CD4-positive, alpha-beta T cell",2,mature NK T cell,-8.070031,20.252672,23,1.846224665641785
A17_B001247_B009941_S17.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.589905,7.204593,24,1.6683146953582764
A17_B002688_B009944_S17.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-8.883711,6.5695157,25,0.3845422863960266
A17_D045313_B009942_S17.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.147371,6.1360726,26,0.5760840773582458
A18_B001247_B009941_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-17.718864,7.5702324,27,1.834643006324768
