cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,-4.25939416885376,9.784587860107422,6,A10_B000767_B009945_S10.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,1.1629490852355957
1,-6.5273118019104,9.039798736572266,6,A10_D045313_B009942_S10.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.615229606628418
2,-7.273003101348877,-7.9051690101623535,10,A11_B000767_B009945_S11.mm10-plus-4-0,myeloid leukocyte,Unmatched_10,single_batch,2.040419816970825
3,3.821097850799561,7.493246555328369,4,A11_B001247_B009941_S11.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.8905880451202393
4,1.9547758102416992,5.743720531463623,4,A11_B002688_B009944_S11.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.546958863735199
5,2.5928049087524414,3.57643723487854,4,A11_D045313_B009942_S11.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.6503084897994995
6,-4.94739294052124,9.58459758758545,6,A12_B000767_B009945_S12.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.7714836597442627
7,-9.037480354309082,10.587413787841797,6,A12_B002688_B009944_S12.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.9103731513023376
8,1.8952226638793943,4.9485392570495605,4,A12_D045313_B009942_S12.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.6386933922767639
9,-8.876568794250488,7.272422790527344,6,A13_B002681_B009943_S13.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.4190481901168823
10,-9.530022621154783,-4.633837699890137,12,A13_B002688_B009944_S13.mm10-plus-4-0,Kupffer cell,Kupffer cell,single_batch,0.9160423874855042
11,3.73525071144104,6.433551788330078,4,A13_D045313_B009942_S13.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.6001989245414734
12,2.446948766708374,6.612412452697754,4,A14_B001247_B009941_S14.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.5294036865234375
13,3.5569417476654053,5.3455891609191895,4,A14_B002688_B009944_S14.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.5810506343841553
14,2.58931303024292,4.57599401473999,4,A14_D045313_B009942_S14.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.8335148692131042
15,-4.388141632080078,9.918392181396484,6,A15_B000767_B009945_S15.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.8979852199554443
16,1.2055834531784058,4.856457710266113,4,A15_B001247_B009941_S15.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.7438143491744995
17,-8.903337478637695,8.35075855255127,6,A15_B002681_B009943_S15.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.3845422863960266
18,13.43019199371338,-0.5358593463897705,14,A15_D045313_B009942_S15.mm10-plus-4-0,myeloid leukocyte,myeloid leukocyte,single_batch,2.002776622772217
19,10.986810684204102,8.464432716369629,1,A16_B000767_B009945_S16.mm10-plus-4-0,mature NK T cell,mature NK T cell,single_batch,1.7678337097167969
