cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,19.58638381958008,7.872196197509766,1,human1_lib1.final_cell_0001-0,acinar,acinar,human1,0.9714178442955016
1,19.9750919342041,8.246888160705566,1,human1_lib1.final_cell_0002-0,acinar,acinar,human1,0.928289532661438
2,19.66788101196289,7.8798747062683105,1,human1_lib1.final_cell_0003-0,acinar,acinar,human1,0.8360571265220642
3,20.66586303710937,8.781064987182617,1,human1_lib1.final_cell_0004-0,acinar,acinar,human1,1.3489404916763306
4,19.990259170532227,8.297969818115234,1,human1_lib1.final_cell_0005-0,acinar,acinar,human1,1.027095079421997
5,19.57897186279297,8.136187553405762,1,human1_lib1.final_cell_0006-0,acinar,acinar,human1,0.9881423711776732
6,3.7006640434265137,14.099194526672363,12,human1_lib1.final_cell_0007-0,beta,beta,human1,0.4047490358352661
7,19.898326873779297,8.028609275817871,1,human1_lib1.final_cell_0008-0,acinar,acinar,human1,0.8613643050193787
8,20.050222396850582,8.365547180175781,1,human1_lib1.final_cell_0009-0,acinar,acinar,human1,1.0129859447479248
9,19.55359649658203,8.072823524475098,1,human1_lib1.final_cell_0010-0,acinar,acinar,human1,0.7983218431472778
10,19.938804626464844,8.253366470336914,1,human1_lib1.final_cell_0011-0,acinar,acinar,human1,0.9012791514396667
11,19.097373962402344,7.714553356170654,1,human1_lib1.final_cell_0012-0,acinar,acinar,human1,1.0999648571014404
12,11.798297882080078,16.230361938476562,8,human1_lib1.final_cell_0013-0,delta,delta,human1,0.3970616161823272
13,12.13211441040039,16.085216522216797,8,human1_lib1.final_cell_0014-0,delta,delta,human1,0.3845422863960266
14,4.577367305755615,10.512979507446287,12,human1_lib1.final_cell_0015-0,beta,beta,human1,0.7921956777572632
15,2.201854467391968,23.032007217407227,10,human1_lib1.final_cell_0016-0,activated_stellate,activated_stellate,human1,1.705127477645874
16,1.5671356916427612,14.513723373413086,12,human1_lib1.final_cell_0017-0,beta,beta,human1,0.4789070785045624
17,19.260486602783203,8.199588775634766,1,human1_lib1.final_cell_0018-0,acinar,acinar,human1,0.9628588557243348
18,16.908451080322266,-6.254752159118652,3,human1_lib1.final_cell_0019-0,ductal,ductal,human1,1.6165125370025637
19,2.176708221435547,7.388144493103027,12,human1_lib1.final_cell_0020-0,beta,beta,human1,0.9652663469314576
20,2.819730043411255,7.742410659790039,12,human1_lib1.final_cell_0021-0,beta,beta,human1,0.4429643750190735
21,5.574843883514404,-5.560548782348633,11,human1_lib1.final_cell_0022-0,alpha,alpha,human1,0.6101475954055786
22,17.428926467895508,-6.128758430480957,3,human1_lib1.final_cell_0023-0,ductal,ductal,human1,1.4703165292739868
23,3.7649788856506343,13.883270263671877,12,human1_lib1.final_cell_0024-0,beta,beta,human1,0.3858529031276703
24,11.645578384399414,16.852558135986328,8,human1_lib1.final_cell_0025-0,delta,delta,human1,0.4819028377532959
25,4.532904148101807,-7.606788158416748,11,human1_lib1.final_cell_0026-0,alpha,alpha,human1,0.6580755114555359
26,5.018486499786377,11.423192024230955,12,human1_lib1.final_cell_0027-0,beta,beta,human1,0.3845422863960266
27,18.29505157470703,8.620675086975098,1,human1_lib1.final_cell_0028-0,acinar,acinar,human1,0.9920681715011596
28,19.848552703857425,7.966692924499512,1,human1_lib1.final_cell_0029-0,acinar,acinar,human1,1.3900232315063477
29,3.8106706142425537,13.421642303466797,12,human1_lib1.final_cell_0030-0,beta,beta,human1,0.3845422863960266
30,13.246949195861816,16.41012954711914,8,human1_lib1.final_cell_0031-0,delta,delta,human1,0.7155451774597168
31,12.23723030090332,17.410659790039062,8,human1_lib1.final_cell_0032-0,delta,delta,human1,0.4858134686946869
32,11.759539604187012,17.05994987487793,8,human1_lib1.final_cell_0033-0,delta,delta,human1,0.3845422863960266
33,11.954277992248535,17.124340057373047,8,human1_lib1.final_cell_0034-0,delta,delta,human1,0.3990702331066131
34,3.271510601043701,8.704710960388184,12,human1_lib1.final_cell_0035-0,beta,beta,human1,0.4871121644973755
35,19.258827209472656,8.391690254211426,1,human1_lib1.final_cell_0036-0,acinar,acinar,human1,1.1412845849990845
36,4.303452968597412,12.658788681030272,12,human1_lib1.final_cell_0037-0,beta,beta,human1,0.3845422863960266
37,2.652935743331909,14.518271446228027,12,human1_lib1.final_cell_0038-0,beta,beta,human1,0.5771340131759644
38,4.546350002288818,10.54859447479248,12,human1_lib1.final_cell_0039-0,beta,beta,human1,0.8009699583053589
39,12.511999130249023,15.413904190063477,8,human1_lib1.final_cell_0040-0,delta,delta,human1,0.4980095326900482
40,3.2657244205474854,23.362342834472656,10,human1_lib1.final_cell_0041-0,activated_stellate,activated_stellate,human1,1.6621499061584473
41,4.569915294647217,12.386293411254885,12,human1_lib1.final_cell_0042-0,beta,beta,human1,0.3845422863960266
42,12.299978256225586,16.28498649597168,8,human1_lib1.final_cell_0043-0,delta,delta,human1,0.3845422863960266
43,2.722093105316162,23.16802978515625,10,human1_lib1.final_cell_0044-0,activated_stellate,activated_stellate,human1,1.4609625339508057
44,1.8969018459320068,22.824485778808597,10,human1_lib1.final_cell_0045-0,activated_stellate,activated_stellate,human1,1.8185222148895264
45,2.544885873794556,23.048688888549805,10,human1_lib1.final_cell_0046-0,activated_stellate,activated_stellate,human1,1.5784080028533936
46,19.39112091064453,8.056764602661133,1,human1_lib1.final_cell_0047-0,acinar,acinar,human1,0.8718141913414001
47,3.494648694992065,23.341567993164062,10,human1_lib1.final_cell_0048-0,activated_stellate,activated_stellate,human1,1.5304367542266846
48,12.09763526916504,16.223548889160156,8,human1_lib1.final_cell_0049-0,delta,delta,human1,0.3845422863960266
49,3.978696584701538,13.90879726409912,12,human1_lib1.final_cell_0050-0,beta,beta,human1,0.3845422863960266
50,12.593344688415527,16.98907470703125,8,human1_lib1.final_cell_0051-0,delta,delta,human1,0.5391892194747925
51,4.435567378997803,11.573610305786133,12,human1_lib1.final_cell_0052-0,beta,beta,human1,0.3845422863960266
52,19.824934005737305,8.268434524536133,1,human1_lib1.final_cell_0053-0,acinar,acinar,human1,1.1300190687179563
53,-1.5003690719604492,6.82226037979126,12,human1_lib1.final_cell_0054-0,beta,beta,human1,0.7863317728042603
54,3.5628137588500977,8.466522216796875,12,human1_lib1.final_cell_0055-0,beta,beta,human1,0.4426243901252746
55,3.1458370685577397,23.362207412719727,10,human1_lib1.final_cell_0056-0,activated_stellate,activated_stellate,human1,1.6052457094192505
