cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
bbag094_zeisel_cell_00001,unknown,unknown,0,3,3.9032404,9.587093,0,3.0590591430664062
bbag094_zeisel_cell_00002,1,1,0,3,3.9011157,9.589264,1,1.123892307281494
bbag094_zeisel_cell_00003,1,1,0,3,3.9049206,9.604258,2,0.9837443232536316
bbag094_zeisel_cell_00004,1,1,0,3,3.8987415,9.569666,3,1.643536925315857
bbag094_zeisel_cell_00005,1,1,0,3,3.8989995,9.55829,4,1.2413737773895264
bbag094_zeisel_cell_00006,1,1,0,3,3.9059837,9.584721,5,1.090116024017334
bbag094_zeisel_cell_00007,1,1,0,3,3.9070208,9.597563,6,1.541007161140442
bbag094_zeisel_cell_00008,1,1,0,3,3.902124,9.608913,7,1.045740008354187
bbag094_zeisel_cell_00009,1,1,0,3,3.9017558,9.558697,8,1.2213668823242188
bbag094_zeisel_cell_00010,1,1,0,3,3.9048495,9.629075,9,1.446796417236328
bbag094_zeisel_cell_00011,1,1,0,3,3.9085853,9.631044,10,1.0423201322555542
bbag094_zeisel_cell_00012,1,1,0,3,3.9049501,9.572746,11,1.2541903257369995
bbag094_zeisel_cell_00013,1,1,0,3,3.8975759,9.627049,12,1.5373095273971558
bbag094_zeisel_cell_00014,1,1,0,3,3.9002287,9.620834,13,1.4586032629013062
bbag094_zeisel_cell_00015,1,1,0,3,3.9012334,9.62908,14,2.079357624053955
bbag094_zeisel_cell_00016,1,1,0,3,2.0509558,9.3215,15,1.6551836729049685
bbag094_zeisel_cell_00017,1,1,0,3,11.337418,-6.091814,16,1.5489071607589722
bbag094_zeisel_cell_00018,1,1,0,3,10.300412,-5.410583,17,1.7758216857910156
bbag094_zeisel_cell_00019,1,1,0,3,12.841601,-7.877911,18,1.9509806632995603
bbag094_zeisel_cell_00020,1,1,0,3,10.71446,-4.8882003,19,2.0504612922668457
bbag094_zeisel_cell_00021,1,1,0,3,10.99517,-5.723331,20,1.0005872249603271
bbag094_zeisel_cell_00022,1,1,0,3,12.337359,-7.156078,21,1.003839373588562
bbag094_zeisel_cell_00023,1,1,0,3,10.289616,-6.500461,22,1.1438277959823608
bbag094_zeisel_cell_00024,1,1,0,3,10.629839,-6.266816,23,1.11873197555542
bbag094_zeisel_cell_00025,1,1,0,3,11.66448,-6.7919054,24,0.904599130153656
bbag094_zeisel_cell_00026,1,1,0,3,10.755411,-6.427462,25,1.186985731124878
bbag094_zeisel_cell_00027,1,1,0,3,12.33318,-6.759264,26,1.021336317062378
bbag094_zeisel_cell_00028,1,1,0,3,11.2977085,-5.3029046,27,1.2670129537582395
bbag094_zeisel_cell_00029,1,1,0,3,12.414889,-7.3914623,28,0.9508160352706908
bbag094_zeisel_cell_00030,1,1,0,3,11.678157,-6.06915,29,1.1257705688476562
bbag094_zeisel_cell_00031,1,1,0,3,11.179234,-6.845266,30,1.0400986671447754
bbag094_zeisel_cell_00032,1,1,0,3,11.675217,-6.7566576,31,0.9921159148216248
bbag094_zeisel_cell_00033,1,1,0,3,12.213049,-6.25887,32,0.9925581216812134
bbag094_zeisel_cell_00034,1,1,0,3,11.708063,-6.0987597,33,0.7808264493942261
bbag094_zeisel_cell_00035,1,1,0,3,12.216005,-6.610141,34,1.0169038772583008
bbag094_zeisel_cell_00036,1,1,0,3,12.380128,-5.5993857,35,0.902140736579895
bbag094_zeisel_cell_00037,1,1,0,3,13.150921,-5.660335,36,0.9595917463302612
bbag094_zeisel_cell_00038,1,1,0,3,12.936283,-5.285395,37,0.8719852566719055
bbag094_zeisel_cell_00039,1,1,0,3,12.552697,-6.428068,38,0.8662610650062561
bbag094_zeisel_cell_00040,1,1,0,3,12.0846615,-5.464967,39,1.188857078552246
