cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
A10_B000767_B009945_S10.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",2.1510243,-4.645302,0,1.1629490852355957
A10_D045313_B009942_S10.mm10-plus-4-0,single_batch,hepatocyte,2,hepatocyte,-1.7789989,1.8611025,1,0.615229606628418
A11_B000767_B009945_S11.mm10-plus-4-0,single_batch,myeloid leukocyte,4,B cell,6.4049115,6.4450135,2,2.040419816970825
A11_B001247_B009941_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,1.7715495,5.3082366,3,0.8905880451202393
A11_B002688_B009944_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,3.3667238,6.082081,4,0.546958863735199
A11_D045313_B009942_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,4.000902,7.530485,5,0.6503084897994995
A12_B000767_B009945_S12.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",2.252115,-5.075345,6,0.7714836597442627
A12_B002688_B009944_S12.mm10-plus-4-0,single_batch,hepatocyte,2,hepatocyte,-0.5288949,4.1596375,7,0.9103731513023376
A12_D045313_B009942_S12.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,4.256616,6.8087387,8,0.6386933922767639
A13_B002681_B009943_S13.mm10-plus-4-0,single_batch,hepatocyte,2,hepatocyte,-4.7143154,2.576824,9,0.4190481901168823
A13_B002688_B009944_S13.mm10-plus-4-0,single_batch,Kupffer cell,1,Kupffer cell,7.842861,4.176959,10,0.9160423874855042
A13_D045313_B009942_S13.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,2.2384632,5.831811,11,0.6001989245414734
A14_B001247_B009941_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,3.162616,5.842992,12,0.5294036865234375
A14_B002688_B009944_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,3.0811489,6.488141,13,0.5810506343841553
A14_D045313_B009942_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,3.7262247,6.5447,14,0.8335148692131042
A15_B000767_B009945_S15.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",2.478925,-5.3129106,15,0.8979852199554443
A15_B001247_B009941_S15.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,4.427107,6.574445,16,0.7438143491744995
A15_B002681_B009943_S15.mm10-plus-4-0,single_batch,hepatocyte,2,hepatocyte,-3.7368388,3.4275377,17,0.3845422863960266
A15_D045313_B009942_S15.mm10-plus-4-0,single_batch,myeloid leukocyte,1,Kupffer cell,6.9955792,7.199128,18,2.002776622772217
A16_B000767_B009945_S16.mm10-plus-4-0,single_batch,mature NK T cell,3,mature NK T cell,14.382566,-0.06317019,19,1.7678337097167969
A16_B001247_B009941_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,4.6384473,6.4852376,20,1.507758855819702
A16_B002688_B009944_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,4.2783227,7.1739407,21,0.9387325644493104
A16_D045313_B009942_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,3.3992836,6.9493384,22,0.6177024841308594
A17_B000767_B009945_S17.mm10-plus-4-0,single_batch,"CD4-positive, alpha-beta T cell",3,mature NK T cell,15.411708,-0.0072403545,23,1.846224665641785
A17_B001247_B009941_S17.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,4.887847,6.722315,24,1.6683146953582764
A17_B002688_B009944_S17.mm10-plus-4-0,single_batch,hepatocyte,2,hepatocyte,-4.265541,3.1895814,25,0.3845422863960266
A17_D045313_B009942_S17.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,4.0618725,6.7404313,26,0.5760840773582458
A18_B001247_B009941_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,3.638826,6.1325703,27,1.834643006324768
A18_B002681_B009943_S18.mm10-plus-4-0,single_batch,hepatocyte,2,hepatocyte,-4.3172555,3.1726358,28,0.3872880637645721
A18_B002688_B009944_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,3.2010431,6.523519,29,0.4518012702465057
A18_D045313_B009942_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,3.7874103,7.1438937,30,0.8019832968711853
A19_B000767_B009945_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,1.6595191,4.800035,31,2.068922758102417
A19_B001247_B009941_S19.mm10-plus-4-0,single_batch,myeloid leukocyte,1,Kupffer cell,5.9879856,6.500717,32,2.390716552734375
A19_B002688_B009944_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,4.282322,7.309312,33,0.5662937760353088
A19_D045313_B009942_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,4.0246315,6.696953,34,0.5065565705299377
A1_B000767_B009945_S1.mm10-plus-4-0,single_batch,NK cell,3,mature NK T cell,13.951136,-0.38349408,35,1.3212071657180786
A1_B001247_B009941_S1.mm10-plus-4-0,single_batch,Kupffer cell,1,Kupffer cell,5.8624763,6.509644,36,1.928677201271057
A1_D045313_B009942_S1.mm10-plus-4-0,single_batch,hepatocyte,2,hepatocyte,-4.4324017,2.634825,37,0.3954906761646271
A20_B000767_B009945_S20.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",2.3663344,-5.4403477,38,0.8858674764633179
A20_B001247_B009941_S20.mm10-plus-4-0,single_batch,myeloid leukocyte,1,Kupffer cell,5.9724255,6.6381645,39,2.271519660949707
A20_B002688_B009944_S20.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,7.349749,7.6187305,40,1.4255350828170776
A20_D045313_B009942_S20.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,3.8864486,6.492106,41,0.4866734445095062
A21_B000767_B009945_S21.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,3.5394907,5.9055376,42,0.6090636849403381
