cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
A10_B000767_B009945_S10.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",3.1186867,4.853202,0,1.1629490852355957
A10_D045313_B009942_S10.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-5.598037,12.930357,1,0.615229606628418
A11_B000767_B009945_S11.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-3.406717,16.129402,2,2.040419816970825
A11_B001247_B009941_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,hepatocyte,-8.9475,14.359461,3,0.8905880451202393
A11_B002688_B009944_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-13.335337,15.901254,4,0.546958863735199
A11_D045313_B009942_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.910226,14.305798,5,0.6503084897994995
A12_B000767_B009945_S12.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",3.0967746,4.8741727,6,0.7714836597442627
A12_B002688_B009944_S12.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.972398,11.123958,7,0.9103731513023376
A12_D045313_B009942_S12.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.115141,15.593168,8,0.6386933922767639
A13_B002681_B009943_S13.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.405114,10.261526,9,0.4190481901168823
A13_B002688_B009944_S13.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-6.2071323,16.331005,10,0.9160423874855042
A13_D045313_B009942_S13.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-12.446046,14.8928,11,0.6001989245414734
A14_B001247_B009941_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-13.256905,15.711176,12,0.5294036865234375
A14_B002688_B009944_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-12.582685,14.95699,13,0.5810506343841553
A14_D045313_B009942_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.314266,15.645334,14,0.8335148692131042
A15_B000767_B009945_S15.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",3.056928,4.924862,15,0.8979852199554443
A15_B001247_B009941_S15.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.285606,16.0313,16,0.7438143491744995
A15_B002681_B009943_S15.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-7.133363,11.277593,17,0.3845422863960266
A15_D045313_B009942_S15.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-2.8947587,16.65464,18,2.002776622772217
A16_B000767_B009945_S16.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,-9.269976,22.883757,19,1.7678337097167969
A16_B001247_B009941_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.366802,16.154627,20,1.507758855819702
A16_B002688_B009944_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.177913,14.388062,21,0.9387325644493104
A16_D045313_B009942_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-13.9010935,15.461726,22,0.6177024841308594
A17_B000767_B009945_S17.mm10-plus-4-0,single_batch,"CD4-positive, alpha-beta T cell",2,mature NK T cell,-7.770205,23.09814,23,1.846224665641785
A17_B001247_B009941_S17.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.363897,15.955571,24,1.6683146953582764
A17_B002688_B009944_S17.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.7055073,10.61204,25,0.3845422863960266
A17_D045313_B009942_S17.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.53675,14.913717,26,0.5760840773582458
A18_B001247_B009941_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.272559,16.33696,27,1.834643006324768
A18_B002681_B009943_S18.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-7.1627693,10.923608,28,0.3872880637645721
A18_B002688_B009944_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-13.580357,15.3609705,29,0.4518012702465057
A18_D045313_B009942_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.948065,14.275592,30,0.8019832968711853
A19_B000767_B009945_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,hepatocyte,-8.430963,14.756727,31,2.068922758102417
A19_B001247_B009941_S19.mm10-plus-4-0,single_batch,myeloid leukocyte,3,Kupffer cell,-5.44763,16.857521,32,2.390716552734375
A19_B002688_B009944_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.011168,14.925813,33,0.5662937760353088
A19_D045313_B009942_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.370091,14.880809,34,0.5065565705299377
A1_B000767_B009945_S1.mm10-plus-4-0,single_batch,NK cell,2,mature NK T cell,-10.583202,23.392534,35,1.3212071657180786
A1_B001247_B009941_S1.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-5.842171,16.47351,36,1.928677201271057
A1_D045313_B009942_S1.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-5.498019,11.995452,37,0.3954906761646271
A20_B000767_B009945_S20.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",3.117966,4.861337,38,0.8858674764633179
A20_B001247_B009941_S20.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-2.9685833,17.049807,39,2.271519660949707
A20_B002688_B009944_S20.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-2.5447803,17.003344,40,1.4255350828170776
A20_D045313_B009942_S20.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.268007,15.843134,41,0.4866734445095062
A21_B000767_B009945_S21.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-13.663671,16.050552,42,0.6090636849403381
A21_B001247_B009941_S21.mm10-plus-4-0,single_batch,B cell,4,B cell,5.1369443,-4.6575527,43,0.7637484073638916
A21_B002681_B009943_S21.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.3764296,10.414773,44,0.6135259866714478
A21_B002688_B009944_S21.mm10-plus-4-0,single_batch,NK cell,2,mature NK T cell,-9.838279,23.273643,45,2.1139512062072754
A21_D045313_B009942_S21.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-13.725753,16.14412,46,0.4760552942752838
A22_B000767_B009945_S22.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",3.0174665,4.9249153,47,0.8861294984817505
A22_B001247_B009941_S22.mm10-plus-4-0,single_batch,B cell,5,"CD8-positive, alpha-beta T cell",2.4465451,5.3418665,48,1.716149926185608
A22_B002681_B009943_S22.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-7.6646557,12.758632,49,0.4282796680927276
A2_B000767_B009945_S2.mm10-plus-4-0,single_batch,NK cell,2,mature NK T cell,-10.543557,23.352718,50,1.3564188480377195
A2_B001247_B009941_S2.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,-8.918545,23.39966,51,1.7786678075790403
A2_B002681_B009943_S2.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.97578,10.721507,52,0.4238642156124115
A2_D045313_B009942_S2.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-5.3967476,12.001226,53,0.3884667456150055
A3_B000767_B009945_S3.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,-9.022289,22.791328,54,1.6768673658370972
A3_B001247_B009941_S3.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-6.0486135,16.953604,55,1.0415245294570925
A3_B002681_B009943_S3.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,hepatocyte,-8.483411,13.863522,56,1.0173630714416504
A3_D045313_B009942_S3.mm10-plus-4-0,single_batch,B cell,4,B cell,5.1249223,-5.0441737,57,0.8882293701171875
A4_B000767_B009945_S4.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-3.099539,16.457672,58,1.5883989334106443
A5_B000767_B009945_S5.mm10-plus-4-0,single_batch,NK cell,2,mature NK T cell,-10.633069,23.41074,59,1.5229562520980835
A5_B001247_B009941_S5.mm10-plus-4-0,single_batch,T cell,2,mature NK T cell,-8.9005375,23.297714,60,1.5692609548568726
A5_D045313_B009942_S5.mm10-plus-4-0,single_batch,B cell,4,B cell,5.37352,-5.0048757,61,0.9301689267158508
A6_B000767_B009945_S6.mm10-plus-4-0,single_batch,B cell,4,B cell,4.565121,-5.0521774,62,0.9351544976234436
A6_B002681_B009943_S6.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-6.473807,15.714947,63,1.2529940605163574
A6_D045313_B009942_S6.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-5.2372475,12.270509,64,0.5258973240852356
A7_B001247_B009941_S7.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-6.4925585,15.920844,65,1.0248314142227173
A7_B002688_B009944_S7.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-4.8058786,16.788702,66,1.9085055589675903
A7_D045313_B009942_S7.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-5.19014,11.624648,67,0.5668253898620605
A8_D045313_B009942_S8.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-5.401848,12.810343,68,0.5519092679023743
A9_B000767_B009945_S9.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.133314,15.483531,69,0.7849423885345459
A9_D045313_B009942_S9.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-5.210492,11.600029,70,0.4073282480239868
B10_B000767_B009945_S34.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-12.537068,15.430451,71,0.8946101069450378
B10_B002681_B009943_S34.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-7.1852303,11.28603,72,0.3845422863960266
B10_B002688_B009944_S34.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.350057,14.373862,73,1.5898224115371704
B10_D045313_B009942_S34.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.0358415,11.685958,74,0.3845422863960266
B11_B000767_B009945_S35.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,-9.622289,23.051928,75,2.3670008182525635
B11_B002681_B009943_S35.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.3989053,11.223802,76,0.4905312061309814
B12_B000767_B009945_S36.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",3.0627756,4.901742,77,0.7872083783149719
B12_B002688_B009944_S36.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-13.11611,16.070934,78,0.5123811960220337
B12_D045313_B009942_S36.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-6.4348545,16.113592,79,1.2667124271392822
B13_B001247_B009941_S37.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.178094,16.317522,80,0.8872197270393372
B13_B002681_B009943_S37.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.333216,10.599969,81,0.3892927765846252
B13_D045313_B009942_S37.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.955004,14.20178,82,0.9038536548614502
B14_B001247_B009941_S38.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.04623,16.160988,83,0.5856702327728271
B14_B002681_B009943_S38.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.2242904,10.202489,84,0.5066863894462585
B14_B002688_B009944_S38.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.600198,14.35463,85,0.5915793180465698
B14_D045313_B009942_S38.mm10-plus-4-0,single_batch,myeloid leukocyte,6,myeloid leukocyte,-3.1760032,16.269194,86,2.530064821243286
B15_B000767_B009945_S39.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,-8.505538,22.827473,87,1.3416295051574707
B15_B001247_B009941_S39.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.297022,16.15493,88,0.7906022071838379
B15_B002688_B009944_S39.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.931069,14.152211,89,0.7259711623191833
B15_D045313_B009942_S39.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.741424,11.925939,90,0.53047114610672
B16_B001247_B009941_S40.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.562824,16.305147,91,2.271519660949707
B16_B002688_B009944_S40.mm10-plus-4-0,single_batch,neutrophil,9,neutrophil,-9.718045,4.9496303,92,3.917675495147705
B16_D045313_B009942_S40.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-13.537405,15.984936,93,0.5273413062095642
B17_B001247_B009941_S41.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.501163,16.153294,94,2.228041648864746
B17_B002681_B009943_S41.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.525482,10.39397,95,0.3881017565727234
B17_B002688_B009944_S41.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-7.61589,12.205262,96,0.4533765912055969
B17_D045313_B009942_S41.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-14.175529,15.603946,97,0.8624395728111267
B18_B000767_B009945_S42.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,-6.200365,16.606123,98,0.8987593054771423
B18_B001247_B009941_S42.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,hepatocyte,-9.011146,14.389469,99,1.046458721160889
B18_B002681_B009943_S42.mm10-plus-4-0,single_batch,hepatocyte,0,hepatocyte,-6.610544,10.488295,100,0.4112134873867035
B18_B002688_B009944_S42.mm10-plus-4-0,single_batch,neutrophil,9,neutrophil,-9.646312,5.02404,101,3.852586030960083
B18_D045313_B009942_S42.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-12.190518,15.290369,102,0.7321761250495911
B19_B000767_B009945_S43.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-13.502109,16.152369,103,0.7296211123466492
B19_B001247_B009941_S43.mm10-plus-4-0,single_batch,hepatocyte,5,"CD8-positive, alpha-beta T cell",2.7094939,5.1301775,104,1.0477855205535889
B19_D045313_B009942_S43.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,1,endothelial cell of hepatic sinusoid,-13.760749,15.862093,105,0.5533416867256165
