cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
A10_B000767_B009945_S10.mm10-plus-4-0,single_batch,hepatocyte,3,Kupffer cell,9.907826,-3.0057013,0,1.1629490852355957
A10_D045313_B009942_S10.mm10-plus-4-0,single_batch,hepatocyte,1,hepatocyte,8.337549,1.8572226,1,0.615229606628418
A11_B000767_B009945_S11.mm10-plus-4-0,single_batch,myeloid leukocyte,6,B cell,16.28154,12.220388,2,2.040419816970825
A11_B001247_B009941_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,12.845096,2.2513618,3,0.8905880451202393
A11_B002688_B009944_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,14.577476,2.905302,4,0.546958863735199
A11_D045313_B009942_S11.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,13.828876,1.6753066,5,0.6503084897994995
A12_B000767_B009945_S12.mm10-plus-4-0,single_batch,hepatocyte,3,Kupffer cell,9.978801,-2.951602,6,0.7714836597442627
A12_B002688_B009944_S12.mm10-plus-4-0,single_batch,hepatocyte,1,hepatocyte,11.211499,2.4393177,7,0.9103731513023376
A12_D045313_B009942_S12.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,14.734282,2.537845,8,0.6386933922767639
A13_B002681_B009943_S13.mm10-plus-4-0,single_batch,hepatocyte,1,hepatocyte,9.622872,1.1477536,9,0.4190481901168823
A13_B002688_B009944_S13.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,12.099564,5.7296915,10,0.9160423874855042
A13_D045313_B009942_S13.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,12.496939,2.4657257,11,0.6001989245414734
A14_B001247_B009941_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,15.474624,1.9340401,12,0.5294036865234375
A14_B002688_B009944_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,13.710581,3.064271,13,0.5810506343841553
A14_D045313_B009942_S14.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,14.137542,2.0114672,14,0.8335148692131042
A15_B000767_B009945_S15.mm10-plus-4-0,single_batch,hepatocyte,3,Kupffer cell,9.961789,-2.974849,15,0.8979852199554443
A15_B001247_B009941_S15.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,15.168552,3.3414524,16,0.7438143491744995
A15_B002681_B009943_S15.mm10-plus-4-0,single_batch,hepatocyte,1,hepatocyte,9.526833,1.5709867,17,0.3845422863960266
A15_D045313_B009942_S15.mm10-plus-4-0,single_batch,myeloid leukocyte,5,myeloid leukocyte,15.732213,7.857586,18,2.002776622772217
A16_B000767_B009945_S16.mm10-plus-4-0,single_batch,mature NK T cell,2,mature NK T cell,8.10582,13.722397,19,1.7678337097167969
A16_B001247_B009941_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,15.113384,3.2211242,20,1.507758855819702
A16_B002688_B009944_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,14.276951,3.2678185,21,0.9387325644493104
A16_D045313_B009942_S16.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,13.847287,1.4273101,22,0.6177024841308594
A17_B000767_B009945_S17.mm10-plus-4-0,single_batch,"CD4-positive, alpha-beta T cell",2,mature NK T cell,8.246941,14.133818,23,1.846224665641785
A17_B001247_B009941_S17.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,15.137817,3.246679,24,1.6683146953582764
A17_B002688_B009944_S17.mm10-plus-4-0,single_batch,hepatocyte,1,hepatocyte,10.790482,2.2191172,25,0.3845422863960266
A17_D045313_B009942_S17.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,13.879912,1.6956831,26,0.5760840773582458
A18_B001247_B009941_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,14.974623,3.286644,27,1.834643006324768
A18_B002681_B009943_S18.mm10-plus-4-0,single_batch,hepatocyte,1,hepatocyte,9.809007,1.432304,28,0.3872880637645721
A18_B002688_B009944_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,14.596063,2.872628,29,0.4518012702465057
A18_D045313_B009942_S18.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,13.904874,1.71793,30,0.8019832968711853
A19_B000767_B009945_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,12.059026,3.000089,31,2.068922758102417
A19_B001247_B009941_S19.mm10-plus-4-0,single_batch,myeloid leukocyte,5,myeloid leukocyte,15.011847,6.578883,32,2.390716552734375
A19_B002688_B009944_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,14.426028,2.9040735,33,0.5662937760353088
A19_D045313_B009942_S19.mm10-plus-4-0,single_batch,endothelial cell of hepatic sinusoid,0,endothelial cell of hepatic sinusoid,14.089898,1.6548363,34,0.5065565705299377
A1_B000767_B009945_S1.mm10-plus-4-0,single_batch,NK cell,2,mature NK T cell,8.262195,12.555138,35,1.3212071657180786
A1_B001247_B009941_S1.mm10-plus-4-0,single_batch,Kupffer cell,3,Kupffer cell,13.51638,6.1353316,36,1.928677201271057
A1_D045313_B009942_S1.mm10-plus-4-0,single_batch,hepatocyte,1,hepatocyte,8.5218,1.701131,37,0.3954906761646271
A20_B000767_B009945_S20.mm10-plus-4-0,single_batch,hepatocyte,3,Kupffer cell,9.877328,-3.0681179,38,0.8858674764633179
A20_B001247_B009941_S20.mm10-plus-4-0,single_batch,myeloid leukocyte,5,myeloid leukocyte,15.144845,7.2101946,39,2.271519660949707
A20_B002688_B009944_S20.mm10-plus-4-0,single_batch,myeloid leukocyte,5,myeloid leukocyte,15.952598,7.9839225,40,1.4255350828170776
