cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
human1_lib1.final_cell_0001-0,human1,acinar,2,acinar,-15.760498,18.189762,0,0.9714178442955016
human1_lib1.final_cell_0002-0,human1,acinar,2,acinar,-15.38399,18.170021,1,0.928289532661438
human1_lib1.final_cell_0003-0,human1,acinar,2,acinar,-15.979542,17.951988,2,0.8360571265220642
human1_lib1.final_cell_0004-0,human1,acinar,2,acinar,-15.522857,18.16868,3,1.3489404916763306
human1_lib1.final_cell_0005-0,human1,acinar,2,acinar,-15.29161,17.679758,4,1.027095079421997
human1_lib1.final_cell_0006-0,human1,acinar,2,acinar,-15.834689,17.980276,5,0.9881423711776732
human1_lib1.final_cell_0007-0,human1,beta,0,beta,15.356727,-0.4487865,6,0.4047490358352661
human1_lib1.final_cell_0008-0,human1,acinar,2,acinar,-15.901048,18.051115,7,0.8613643050193787
human1_lib1.final_cell_0009-0,human1,acinar,2,acinar,-15.32204,17.861862,8,1.0129859447479248
human1_lib1.final_cell_0010-0,human1,acinar,2,acinar,-15.710166,18.01052,9,0.7983218431472778
human1_lib1.final_cell_0011-0,human1,acinar,2,acinar,-15.572342,17.920504,10,0.9012791514396667
human1_lib1.final_cell_0012-0,human1,acinar,2,acinar,-16.009668,17.96359,11,1.0999648571014404
human1_lib1.final_cell_0013-0,human1,delta,6,delta,3.1630564,-1.7194608,12,0.3970616161823272
human1_lib1.final_cell_0014-0,human1,delta,6,delta,2.6987312,-1.1983918,13,0.3845422863960266
human1_lib1.final_cell_0015-0,human1,beta,10,epsilon,13.292556,-2.083532,14,0.7921956777572632
human1_lib1.final_cell_0016-0,human1,activated_stellate,7,activated_stellate,13.115901,-10.435172,15,1.705127477645874
human1_lib1.final_cell_0017-0,human1,beta,0,beta,15.640086,-1.0818849,16,0.4789070785045624
human1_lib1.final_cell_0018-0,human1,acinar,2,acinar,-15.788744,17.865494,17,0.9628588557243348
human1_lib1.final_cell_0019-0,human1,ductal,4,ductal,-7.24166,9.516951,18,1.6165125370025637
human1_lib1.final_cell_0020-0,human1,beta,0,beta,15.4713745,-0.674478,19,0.9652663469314576
human1_lib1.final_cell_0021-0,human1,beta,0,beta,15.617588,-0.6188263,20,0.4429643750190735
human1_lib1.final_cell_0022-0,human1,alpha,1,alpha,3.8240688,12.331181,21,0.6101475954055786
human1_lib1.final_cell_0023-0,human1,ductal,4,ductal,-7.824783,9.406451,22,1.4703165292739868
human1_lib1.final_cell_0024-0,human1,beta,0,beta,15.946208,-0.6263957,23,0.3858529031276703
human1_lib1.final_cell_0025-0,human1,delta,6,delta,3.0857418,-1.8343282,24,0.4819028377532959
human1_lib1.final_cell_0026-0,human1,alpha,1,alpha,3.7804344,12.440748,25,0.6580755114555359
