cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
human1_lib1.final_cell_0001-0,human1,acinar,2,acinar,32.038025,-2.0210447,0,0.9714178442955016
human1_lib1.final_cell_0002-0,human1,acinar,2,acinar,32.203987,-1.6207386,1,0.928289532661438
human1_lib1.final_cell_0003-0,human1,acinar,2,acinar,31.902988,-2.203408,2,0.8360571265220642
human1_lib1.final_cell_0004-0,human1,acinar,2,acinar,32.107372,-1.7807256,3,1.3489404916763306
human1_lib1.final_cell_0005-0,human1,acinar,2,acinar,32.068417,-1.6958649,4,1.027095079421997
human1_lib1.final_cell_0006-0,human1,acinar,2,acinar,31.927567,-2.197719,5,0.9881423711776732
human1_lib1.final_cell_0007-0,human1,beta,0,beta,1.0797505,8.344332,6,0.4047490358352661
human1_lib1.final_cell_0008-0,human1,acinar,2,acinar,31.978952,-2.1290636,7,0.8613643050193787
human1_lib1.final_cell_0009-0,human1,acinar,2,acinar,32.22105,-1.6643523,8,1.0129859447479248
human1_lib1.final_cell_0010-0,human1,acinar,2,acinar,32.17109,-1.847255,9,0.7983218431472778
human1_lib1.final_cell_0011-0,human1,acinar,2,acinar,32.17916,-1.8022834,10,0.9012791514396667
human1_lib1.final_cell_0012-0,human1,acinar,2,acinar,31.919378,-2.2653928,11,1.0999648571014404
human1_lib1.final_cell_0013-0,human1,delta,5,delta,3.900942,1.6334163,12,0.3970616161823272
human1_lib1.final_cell_0014-0,human1,delta,5,delta,2.9362774,1.8107938,13,0.3845422863960266
human1_lib1.final_cell_0015-0,human1,beta,0,beta,2.299003,6.834554,14,0.7921956777572632
human1_lib1.final_cell_0016-0,human1,activated_stellate,6,activated_stellate,-0.12817205,-11.546849,15,1.705127477645874
human1_lib1.final_cell_0017-0,human1,beta,0,beta,1.186484,9.074398,16,0.4789070785045624
human1_lib1.final_cell_0018-0,human1,acinar,2,acinar,32.00935,-1.7964907,17,0.9628588557243348
human1_lib1.final_cell_0019-0,human1,ductal,4,ductal,28.814692,3.955554,18,1.6165125370025637
human1_lib1.final_cell_0020-0,human1,beta,0,beta,1.1584728,8.293018,19,0.9652663469314576
human1_lib1.final_cell_0021-0,human1,beta,0,beta,1.0817465,8.6544895,20,0.4429643750190735
human1_lib1.final_cell_0022-0,human1,alpha,1,alpha,12.620254,6.697657,21,0.6101475954055786
human1_lib1.final_cell_0023-0,human1,ductal,4,ductal,29.323832,3.4851906,22,1.4703165292739868
human1_lib1.final_cell_0024-0,human1,beta,0,beta,0.7143756,8.888772,23,0.3858529031276703
human1_lib1.final_cell_0025-0,human1,delta,5,delta,3.7851775,1.5910518,24,0.4819028377532959
human1_lib1.final_cell_0026-0,human1,alpha,1,alpha,12.742849,7.19684,25,0.6580755114555359
human1_lib1.final_cell_0027-0,human1,beta,0,beta,1.2813419,8.939575,26,0.3845422863960266
human1_lib1.final_cell_0028-0,human1,acinar,2,acinar,31.479088,-0.5798741,27,0.9920681715011596
human1_lib1.final_cell_0029-0,human1,acinar,2,acinar,31.995064,-2.1673906,28,1.3900232315063477
human1_lib1.final_cell_0030-0,human1,beta,0,beta,0.9229912,9.240272,29,0.3845422863960266
human1_lib1.final_cell_0031-0,human1,delta,5,delta,3.9340672,2.1196804,30,0.7155451774597168
human1_lib1.final_cell_0032-0,human1,delta,5,delta,3.3681169,2.27098,31,0.4858134686946869
human1_lib1.final_cell_0033-0,human1,delta,5,delta,3.4526875,2.0866778,32,0.3845422863960266
human1_lib1.final_cell_0034-0,human1,delta,5,delta,3.3506734,1.9721612,33,0.3990702331066131
human1_lib1.final_cell_0035-0,human1,beta,0,beta,1.4361085,8.51679,34,0.4871121644973755
human1_lib1.final_cell_0036-0,human1,acinar,2,acinar,32.071144,-1.7187445,35,1.1412845849990845
human1_lib1.final_cell_0037-0,human1,beta,0,beta,0.7234937,8.4092245,36,0.3845422863960266
human1_lib1.final_cell_0038-0,human1,beta,0,beta,1.6345694,10.411554,37,0.5771340131759644
human1_lib1.final_cell_0039-0,human1,beta,0,beta,2.5390916,7.0973516,38,0.8009699583053589
human1_lib1.final_cell_0040-0,human1,delta,5,delta,3.826023,1.8588545,39,0.4980095326900482
human1_lib1.final_cell_0041-0,human1,activated_stellate,6,activated_stellate,-0.06460392,-11.626742,40,1.6621499061584473
human1_lib1.final_cell_0042-0,human1,beta,0,beta,0.81290936,9.312693,41,0.3845422863960266
human1_lib1.final_cell_0043-0,human1,delta,5,delta,3.39862,2.1928308,42,0.3845422863960266
human1_lib1.final_cell_0044-0,human1,activated_stellate,6,activated_stellate,-0.15707695,-11.540376,43,1.4609625339508057
human1_lib1.final_cell_0045-0,human1,activated_stellate,6,activated_stellate,-0.052525178,-11.266524,44,1.8185222148895264
human1_lib1.final_cell_0046-0,human1,activated_stellate,6,activated_stellate,-0.17627583,-11.408455,45,1.5784080028533936
human1_lib1.final_cell_0047-0,human1,acinar,2,acinar,32.155643,-1.8909916,46,0.8718141913414001
human1_lib1.final_cell_0048-0,human1,activated_stellate,6,activated_stellate,-0.13336283,-11.60325,47,1.5304367542266846
human1_lib1.final_cell_0049-0,human1,delta,5,delta,3.9481983,1.9688919,48,0.3845422863960266
human1_lib1.final_cell_0050-0,human1,beta,0,beta,1.5775065,9.739108,49,0.3845422863960266
human1_lib1.final_cell_0051-0,human1,delta,5,delta,3.08252,2.264309,50,0.5391892194747925
human1_lib1.final_cell_0052-0,human1,beta,0,beta,0.807905,9.323225,51,0.3845422863960266
human1_lib1.final_cell_0053-0,human1,acinar,2,acinar,32.158173,-1.8593024,52,1.1300190687179563
human1_lib1.final_cell_0054-0,human1,beta,0,beta,1.0299015,8.251319,53,0.7863317728042603
human1_lib1.final_cell_0055-0,human1,beta,0,beta,1.8378747,8.253578,54,0.4426243901252746
human1_lib1.final_cell_0056-0,human1,activated_stellate,6,activated_stellate,-0.140449,-11.581424,55,1.6052457094192505
human1_lib1.final_cell_0057-0,human1,beta,0,beta,0.8365312,8.239738,56,0.5069729685783386
human1_lib1.final_cell_0058-0,human1,beta,0,beta,1.144734,8.463845,57,0.5321881175041199
human1_lib1.final_cell_0059-0,human1,beta,0,beta,1.8980349,8.396754,58,0.5167956352233887
human1_lib1.final_cell_0060-0,human1,beta,0,beta,2.4474227,6.640849,59,0.7202191948890686
human1_lib1.final_cell_0061-0,human1,ductal,4,ductal,29.698257,4.080985,60,1.5663597583770752
human1_lib1.final_cell_0062-0,human1,alpha,1,alpha,12.737246,7.4082074,61,0.5789958238601685
