predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
1,B cell,3-M-8,B cell,14.914691,4.6792045,0,1.023486852645874
3,natural killer cell,3-M-8,natural killer cell,-4.572373,5.994593,1,1.941217422485352
1,B cell,3-M-8,B cell,15.934328,4.489019,2,0.6963678598403931
1,B cell,3-M-8,B cell,14.835452,5.0617294,3,0.559109091758728
1,B cell,3-M-8,B cell,12.642851,5.225696,4,0.7347347736358643
1,B cell,3-M-8,B cell,13.241295,4.962161,5,0.7711923122406006
1,B cell,3-M-8,B cell,11.671983,-0.82005745,6,1.4854729175567627
0,T cell,3-M-8,T cell,-1.1977829,0.7357987,7,1.158543825149536
0,T cell,3-M-8,T cell,-6.204871,1.5690135,8,1.0289366245269775
1,B cell,3-M-8,B cell,11.009166,5.784875,9,1.1613606214523315
1,B cell,3-M-8,B cell,14.44536,3.9061887,10,0.7755292057991028
1,B cell,3-M-8,B cell,16.086187,4.2013555,11,0.7411834001541138
4,macrophage,3-M-8,dendritic cell,7.158006,-8.023587,12,1.7016618251800537
1,B cell,3-M-8,B cell,15.092871,4.840236,13,0.4868114292621612
1,B cell,3-M-8,B cell,16.65049,4.9096036,14,0.8893125653266907
1,B cell,3-M-8,B cell,15.246141,5.3832135,15,1.289604902267456
1,B cell,3-M-8,B cell,16.561935,4.881786,16,0.5059396028518677
1,B cell,3-M-8,B cell,9.903998,6.166736,17,0.4574189782142639
0,B cell,3-M-8,T cell,-6.1251535,1.1663822,18,2.426625490188598
0,T cell,3-M-8,T cell,-6.6899805,0.8638901,19,0.5909874439239502
0,T cell,3-M-8,T cell,-2.9425507,4.4118786,20,1.7145047187805176
0,T cell,3-M-8,T cell,-5.0215325,3.0765028,21,1.9283562898635864
1,B cell,3-M-8,B cell,14.194075,2.5960455,22,0.8992120027542114
0,dendritic cell,3-M-8,T cell,2.47287,-11.082621,23,3.600733757019043
1,B cell,3-M-8,B cell,16.667198,4.157112,24,0.5513540506362915
1,B cell,3-M-8,B cell,11.015888,5.8715453,25,0.788469672203064
1,B cell,3-M-8,B cell,14.785042,3.6472118,26,1.5043046474456787
1,B cell,3-M-8,B cell,14.614872,4.2909265,27,0.5155666470527649
1,B cell,3-M-8,B cell,14.350803,3.9970493,28,1.0563884973526
1,B cell,3-M-8,B cell,15.575733,4.3037567,29,0.5660615563392639
1,B cell,3-M-8,B cell,15.395804,3.7793508,30,0.7105804085731506
1,B cell,3-M-8,B cell,15.792547,3.9434993,31,1.123249053955078
0,T cell,3-M-8,T cell,-6.677507,0.95250726,32,0.6608986258506775
1,B cell,3-M-8,B cell,9.124877,2.0388718,33,1.284856200218201
1,B cell,3-M-8,B cell,15.244254,4.4981537,34,0.536487340927124
1,B cell,3-M-8,B cell,15.549426,4.2930856,35,0.4137983024120331
1,B cell,3-M-8,B cell,11.261296,5.536985,36,1.0140122175216677
1,B cell,3-M-8,B cell,16.600687,4.4300504,37,0.6823657751083374
0,T cell,3-M-8,T cell,-1.2076588,0.72008836,38,1.3245763778686523
1,B cell,3-M-8,B cell,10.488367,6.1202064,39,0.8295219540596008
1,B cell,3-M-8,B cell,15.12726,3.7976642,40,0.4659456014633178
1,B cell,3-M-8,B cell,13.567156,4.427014,41,0.6010291576385498
1,B cell,3-M-8,B cell,14.83507,4.8781214,42,0.7269875407218933
1,B cell,3-M-8,B cell,14.609849,5.1488285,43,0.4380486905574798
0,T cell,3-M-8,T cell,-5.517292,2.5866203,44,1.142742156982422
1,B cell,3-M-8,B cell,10.926823,5.967249,45,0.4896415174007416
1,B cell,3-M-8,B cell,14.498215,3.7138007,46,0.8424424529075623
3,natural killer cell,3-M-8,natural killer cell,-4.581065,6.2200656,47,2.187960147857666
0,T cell,3-M-8,T cell,-5.98468,1.9015144,48,0.7219793796539307
0,T cell,3-M-8,T cell,-6.53019,-0.32417747,49,0.923196017742157
1,B cell,3-M-8,B cell,15.497114,4.2973943,50,0.8699737191200256
1,B cell,3-M-8,B cell,14.978024,3.5610669,51,0.7653475999832153
1,B cell,3-M-8,B cell,13.253659,4.6169877,52,0.4836409389972687
1,B cell,3-M-8,B cell,16.209538,3.6865206,53,0.4486856758594513
0,T cell,3-M-8,T cell,-0.64371705,1.5213245,54,1.6043522357940674
1,B cell,3-M-8,B cell,11.506187,5.7044506,55,0.5797828435897827
1,B cell,3-M-8,B cell,11.004881,5.7534385,56,0.5620082020759583
1,B cell,3-M-8,B cell,16.030846,4.4218025,57,0.4897491633892059
0,T cell,3-M-8,T cell,-1.3319051,0.44371572,58,1.2835488319396973
0,T cell,3-M-8,T cell,-6.700994,0.8874726,59,0.6186610460281372
1,B cell,3-M-8,B cell,8.707832,2.6970809,60,1.0730457305908203
0,B cell,3-M-8,T cell,-0.9718278,-0.435896,61,2.179008960723877
1,B cell,3-M-8,B cell,14.600512,5.095594,62,0.8807392120361328
1,B cell,3-M-8,B cell,16.331614,4.44426,63,1.176284670829773
1,B cell,3-M-8,B cell,15.730611,4.9805894,64,1.266863465309143
2,macrophage,3-M-8,macrophage,8.011679,-11.019465,65,2.9366698265075684
1,B cell,3-M-8,B cell,17.077164,4.3799515,66,0.7596927881240845
1,B cell,3-M-8,B cell,15.469068,4.6772623,67,0.4944579005241394
0,T cell,3-M-8,T cell,-0.7395727,1.4178139,68,1.9664891958236692
1,B cell,3-M-8,B cell,11.372798,5.7198234,69,1.263230800628662
1,B cell,3-M-8,B cell,6.767651,-10.425277,70,1.771750807762146
0,T cell,3-M-8,T cell,-1.7511421,-0.5117211,71,1.1912775039672852
1,B cell,3-M-8,B cell,10.101803,5.846161,72,0.4666350483894348
1,B cell,3-M-8,B cell,14.54793,5.4739823,73,0.7308927178382874
1,B cell,3-M-8,B cell,11.410088,-0.7098961,74,1.5513226985931396
1,B cell,3-M-8,B cell,15.707791,4.3135195,75,0.6553718447685242
0,T cell,3-M-8,T cell,-6.607001,1.085617,76,0.6396356821060181
1,B cell,3-M-8,B cell,16.781921,3.8496976,77,0.4795887768268585
1,B cell,3-M-8,B cell,10.030669,6.112356,78,0.4769122898578644
1,B cell,3-M-8,B cell,12.306599,5.108461,79,1.05878746509552
1,B cell,3-M-8,B cell,10.33831,5.8932586,80,0.4990973472595215
1,B cell,3-M-8,B cell,14.832695,4.0812,81,1.2730443477630615
0,T cell,3-M-8,T cell,-1.2413237,-1.4102714,82,0.8807824850082397
1,B cell,3-M-8,B cell,13.554195,4.7041435,83,0.8386660814285278
1,B cell,3-M-8,B cell,12.3299675,4.241361,84,0.8303236365318298
1,B cell,3-M-8,B cell,15.761493,4.508934,85,0.6976000666618347
0,T cell,3-M-8,T cell,-6.4902906,0.9301381,86,0.6730039119720459
0,T cell,3-M-8,T cell,-1.1224569,-2.0822675,87,0.6228113174438477
1,B cell,3-M-8,B cell,16.57724,3.8347573,88,0.5113652348518372
1,B cell,3-M-8,B cell,15.816492,5.070476,89,1.8065109252929688
2,macrophage,3-M-8,macrophage,8.23987,-9.562913,90,2.3030147552490234
1,B cell,3-M-8,B cell,15.49053,3.7035458,91,0.449844628572464
1,B cell,3-M-8,B cell,16.288387,3.5964844,92,0.7662659883499146
1,B cell,3-M-8,B cell,15.045507,3.7004762,93,0.5871680974960327
1,B cell,3-M-8,B cell,11.999939,2.0301342,94,0.4067049622535705
1,B cell,3-M-8,B cell,16.13368,4.5317917,95,1.165610432624817
1,B cell,3-M-8,B cell,14.634236,4.6137915,96,1.148526310920715
1,macrophage,3-M-8,B cell,8.784254,-9.400862,97,2.458485841751098
0,T cell,3-M-8,T cell,-1.1325891,-2.1008954,98,0.7513654828071594
2,macrophage,3-M-8,macrophage,7.7721105,-11.022451,99,3.578447103500366
1,B cell,3-M-8,B cell,14.770948,2.9062684,100,0.8738128542900085
1,B cell,3-M-8,B cell,10.240048,5.9988575,101,0.5334782600402832
0,T cell,3-M-8,T cell,-1.0035704,-2.0635936,102,0.8046874403953552
1,B cell,3-M-8,B cell,9.72657,5.9943,103,0.7327973246574402
