cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,-2.092520236968994,7.813160896301269,6,bbag094_zeisel_cell_00001,unknown,9,unknown,3.0590591430664062
1,-5.906299114227295,-3.992089748382568,3,bbag094_zeisel_cell_00002,1,1,1,1.123892307281494
2,-5.8515496253967285,-4.028581142425537,3,bbag094_zeisel_cell_00003,1,1,1,0.9837443232536316
3,-5.878382682800293,-4.057466506958008,3,bbag094_zeisel_cell_00004,1,1,1,1.643536925315857
4,-5.844442844390869,-4.076357841491699,3,bbag094_zeisel_cell_00005,1,1,1,1.2413737773895264
5,-5.832585334777832,-4.073456287384033,3,bbag094_zeisel_cell_00006,1,1,1,1.090116024017334
6,-5.841720581054688,-4.085476875305176,3,bbag094_zeisel_cell_00007,1,1,1,1.541007161140442
7,-5.848720550537109,-4.052402019500732,3,bbag094_zeisel_cell_00008,1,1,1,1.045740008354187
8,-6.258871555328369,-4.350008487701416,3,bbag094_zeisel_cell_00009,1,1,1,1.2213668823242188
9,-5.838042736053467,-4.064638614654541,3,bbag094_zeisel_cell_00010,1,1,1,1.446796417236328
10,-5.868528366088867,-4.09904670715332,3,bbag094_zeisel_cell_00011,1,1,1,1.0423201322555542
11,-5.873151779174805,-4.008091449737549,3,bbag094_zeisel_cell_00012,1,1,1,1.2541903257369995
12,-7.903110980987549,-1.7261168956756592,2,bbag094_zeisel_cell_00013,1,unknown,1,1.5373095273971558
13,-7.910982608795166,-1.7260544300079346,2,bbag094_zeisel_cell_00014,1,unknown,1,1.4586032629013062
14,-7.905928611755371,-1.7153003215789795,2,bbag094_zeisel_cell_00015,1,unknown,1,2.079357624053955
15,-7.895301818847656,-1.7141913175582886,2,bbag094_zeisel_cell_00016,1,unknown,1,1.6551836729049685
16,-7.934280872344971,-1.6749211549758911,2,bbag094_zeisel_cell_00017,1,unknown,1,1.5489071607589722
17,-7.947093963623047,-1.661183476448059,2,bbag094_zeisel_cell_00018,1,unknown,1,1.7758216857910156
18,-7.935234546661377,-1.6702189445495603,2,bbag094_zeisel_cell_00019,1,unknown,1,1.9509806632995603
19,-7.080588340759277,-2.477304697036743,9,bbag094_zeisel_cell_00020,1,2,1,2.0504612922668457
20,-7.955888748168945,-3.313113212585449,3,bbag094_zeisel_cell_00021,1,1,1,1.0005872249603271
21,-8.205506324768066,-3.5396082401275635,3,bbag094_zeisel_cell_00022,1,1,1,1.003839373588562
22,-8.202376365661621,-3.5647389888763428,3,bbag094_zeisel_cell_00023,1,1,1,1.1438277959823608
23,-8.067703247070312,-3.942221164703369,3,bbag094_zeisel_cell_00024,1,1,1,1.11873197555542
24,-8.221356391906738,-3.660550117492676,3,bbag094_zeisel_cell_00025,1,1,1,0.904599130153656
25,-8.30844783782959,-3.67476224899292,3,bbag094_zeisel_cell_00026,1,1,1,1.186985731124878
26,-8.063899040222168,-4.005951881408691,3,bbag094_zeisel_cell_00027,1,1,1,1.021336317062378
27,-8.311511039733887,-3.853171586990357,3,bbag094_zeisel_cell_00028,1,1,1,1.2670129537582395
28,-8.386639595031738,-3.810245275497437,3,bbag094_zeisel_cell_00029,1,1,1,0.9508160352706908
29,-8.381272315979004,-3.734524965286255,3,bbag094_zeisel_cell_00030,1,1,1,1.1257705688476562
30,-8.408605575561523,-3.7580103874206543,3,bbag094_zeisel_cell_00031,1,1,1,1.0400986671447754
31,-8.020469665527344,-3.44219183921814,3,bbag094_zeisel_cell_00032,1,1,1,0.9921159148216248
32,-8.355443954467773,-3.730990171432495,3,bbag094_zeisel_cell_00033,1,1,1,0.9925581216812134
33,-8.406598091125488,-3.8247110843658447,3,bbag094_zeisel_cell_00034,1,1,1,0.7808264493942261
34,-8.334307670593262,-3.697653770446777,3,bbag094_zeisel_cell_00035,1,1,1,1.0169038772583008
35,-8.368877410888672,-3.7808756828308105,3,bbag094_zeisel_cell_00036,1,1,1,0.902140736579895
36,-8.38364315032959,-3.715400218963623,3,bbag094_zeisel_cell_00037,1,1,1,0.9595917463302612
37,-8.33199691772461,-3.681722640991211,3,bbag094_zeisel_cell_00038,1,1,1,0.8719852566719055
38,-8.40516471862793,-3.780262708663941,3,bbag094_zeisel_cell_00039,1,1,1,0.8662610650062561
39,-8.048506736755371,-3.8865559101104736,3,bbag094_zeisel_cell_00040,1,1,1,1.188857078552246
40,-8.021957397460938,-3.5408167839050293,3,bbag094_zeisel_cell_00041,1,1,1,1.0159817934036257
41,-7.859987735748291,-3.902321338653565,3,bbag094_zeisel_cell_00042,1,1,1,0.9322909116744996
42,-7.821462154388428,-3.5779614448547363,3,bbag094_zeisel_cell_00043,1,1,1,0.986664652824402
43,-7.797210216522217,-3.935022354125977,3,bbag094_zeisel_cell_00044,1,1,1,0.9549872279167176
44,-7.725092887878418,-3.413868904113769,3,bbag094_zeisel_cell_00045,1,1,1,0.9067134261131288
45,-7.900688171386719,-3.94494104385376,3,bbag094_zeisel_cell_00046,1,1,1,0.9316190481185912
