predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,-0.8236726,3.09464,0,1.0715742111206057
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,-3.5963721,3.2317986,1,0.9783008098602296
0,CD4 T cells,single_batch,CD4 T cells,8.757085,6.762169,2,1.375329852104187
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,-1.3084825,3.0079734,3,1.0396560430526731
6,Dendritic cells,single_batch,CD8 T cells,1.6364673,-3.051139,4,3.6591603755950928
0,CD4 T cells,single_batch,CD4 T cells,10.212997,11.7428875,5,0.6633812189102173
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,-0.9871797,3.8842711,6,0.8272743821144104
0,CD4 T cells,single_batch,CD4 T cells,9.622736,11.442547,7,0.9621878266334534
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,-1.7451339,3.7107272,8,0.702738344669342
1,NK cells,single_batch,NK cells,14.616879,15.29966,9,0.914149522781372
0,CD4 T cells,single_batch,CD4 T cells,11.126794,10.974677,10,1.2731231451034546
0,CD4 T cells,single_batch,CD4 T cells,9.245366,8.408474,11,1.3936996459960938
0,CD4 T cells,single_batch,CD4 T cells,8.709911,11.95855,12,1.1129257678985596
0,CD4 T cells,single_batch,CD4 T cells,10.554185,11.323841,13,0.9662685990333556
1,CD8 T cells,single_batch,NK cells,14.176796,13.199413,14,2.152241468429565
4,B cells,single_batch,B cells,10.898021,-2.8239968,15,0.9271962642669678
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,-2.3839126,3.2510464,16,0.6423221230506897
1,CD8 T cells,single_batch,NK cells,14.334113,13.001311,17,1.3527283668518066
0,CD4 T cells,single_batch,CD4 T cells,8.62988,12.213696,18,1.1353349685668943
0,CD4 T cells,single_batch,CD4 T cells,9.928747,11.69197,19,0.7874258160591125
5,CD14+ Monocytes,single_batch,FCGR3A+ Monocytes,-3.2066233,5.6174965,20,1.5158008337020874
0,CD4 T cells,single_batch,CD4 T cells,10.646875,11.531913,21,0.941531777381897
4,B cells,single_batch,B cells,10.583901,-3.6727903,22,1.0194963216781616
1,NK cells,single_batch,NK cells,14.472374,13.068626,23,0.8847737312316895
0,CD4 T cells,single_batch,CD4 T cells,8.482542,11.4516945,24,0.9396198987960817
1,CD8 T cells,single_batch,NK cells,12.154583,12.003952,25,0.9295334219932556
0,Megakaryocytes,single_batch,CD4 T cells,10.66637,8.837291,26,1.0329818725585938
2,FCGR3A+ Monocytes,single_batch,CD14+ Monocytes,-0.4923714,3.4991927,27,1.3475550413131714
0,CD4 T cells,single_batch,CD4 T cells,9.715241,11.058928,28,1.0073379278182983
4,B cells,single_batch,B cells,11.623284,-3.1617742,29,0.7413454651832581
4,B cells,single_batch,B cells,11.032133,-0.73297775,30,2.4096508026123047
0,CD4 T cells,single_batch,CD4 T cells,8.565866,12.440006,31,1.321560025215149
2,CD14+ Monocytes,single_batch,CD14+ Monocytes,-2.4207337,3.0671246,32,0.9678373336791992
