predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
6,DB3b,M1Fovea1,DB3b,-1.1859976,-6.693248,0,1.4766569137573242
2,FMB,M1Fovea1,FMB,9.002618,4.21346,1,0.6714979410171509
10,IMB,M1Fovea1,DB6,14.075288,10.892595,2,0.8220933079719543
4,DB5*,M1Fovea1,DB5*,8.627653,-3.3978777,3,0.9915083646774292
9,DB4,M1Fovea1,DB4,-0.2392817,16.39266,4,1.0385915040969849
10,IMB,M1Fovea1,DB6,11.471842,11.639585,5,0.7389467358589172
10,IMB,M1Fovea1,DB6,12.991587,10.653742,6,0.512382447719574
2,FMB,M1Fovea1,FMB,11.515239,4.200857,7,0.7700017094612122
2,FMB,M1Fovea1,FMB,10.263494,2.6570868,8,0.7094637155532837
9,DB4,M1Fovea1,DB4,0.13481005,17.779402,9,1.4608087539672852
10,IMB,M1Fovea1,DB6,13.143239,11.200803,10,0.6248489618301392
10,IMB,M1Fovea1,DB6,12.966265,11.060861,11,0.4198250472545624
10,IMB,M1Fovea1,DB6,11.925614,11.135022,12,0.4061691164970398
2,FMB,M1Fovea1,FMB,10.97367,4.7660837,13,0.5438662767410278
2,FMB,M1Fovea1,FMB,9.676599,3.7796636,14,0.7274380922317505
2,FMB,M1Fovea1,FMB,11.316719,4.553261,15,1.3448362350463867
9,DB4,M1Fovea1,DB4,-0.11149046,16.744244,16,1.12060546875
6,DB4,M1Fovea1,DB3b,0.4788687,-6.2618523,17,1.0638079643249512
6,DB2,M1Fovea1,DB3b,-0.40184665,-5.84591,18,1.859645247459412
10,IMB,M1Fovea1,DB6,12.795923,11.458484,19,0.385497897863388
2,FMB,M1Fovea1,FMB,10.437081,3.4878514,20,0.6303620338439941
0,DB1,M1Fovea1,DB1,6.5734477,16.098768,21,0.8652696013450623
4,DB5*,M1Fovea1,DB5*,9.772245,-4.5680833,22,0.7427141666412354
9,DB4,M1Fovea1,DB4,0.23057501,16.902925,23,0.882059633731842
10,BB/GB*,M1Fovea1,DB6,12.443456,11.197314,24,1.9999327659606931
10,IMB,M1Fovea1,DB6,12.298742,11.173908,25,0.4662714302539825
10,IMB,M1Fovea1,DB6,12.357517,11.557286,26,0.5931205749511719
6,DB2,M1Fovea1,DB3b,0.5184232,-6.125374,27,0.6695963144302368
2,FMB,M1Fovea1,FMB,10.425146,3.2681725,28,0.8869666457176208
2,FMB,M1Fovea1,FMB,11.494787,3.4535162,29,0.7949179410934448
10,IMB,M1Fovea1,DB6,12.933996,11.317802,30,0.8379029035568237
2,FMB,M1Fovea1,FMB,10.3598175,3.3562913,31,0.9480822086334229
2,FMB,M1Fovea1,FMB,11.033722,3.2685843,32,1.0674490928649902
5,RB,M1Fovea1,OFFx,17.31806,2.8412733,33,1.3432353734970093
10,IMB,M1Fovea1,DB6,12.628085,11.124764,34,0.7104496359825134
6,DB2,M1Fovea1,DB3b,0.12947443,-6.689789,35,0.7869571447372437
2,FMB,M1Fovea1,FMB,11.365994,4.0984206,36,1.243027687072754
2,FMB,M1Fovea1,FMB,10.121026,3.8656735,37,0.8781816959381104
6,DB3b,M1Fovea1,DB3b,-0.82888186,-5.6755857,38,0.7644933462142944
10,IMB,M1Fovea1,DB6,12.584121,11.36296,39,0.6256677508354187
6,DB3b,M1Fovea1,DB3b,-1.7794036,-5.8857174,40,1.31805419921875
10,IMB,M1Fovea1,DB6,12.6315,10.820964,41,0.4119552373886108
2,FMB,M1Fovea1,FMB,11.905269,3.7061603,42,0.5063872933387756
10,BB/GB*,M1Fovea1,DB6,11.08243,11.767535,43,0.7125977277755737
10,IMB,M1Fovea1,DB6,13.318024,10.311935,44,0.3862845301628113
9,DB4,M1Fovea1,DB4,0.48881206,17.42992,45,0.9882742166519164
10,IMB,M1Fovea1,DB6,13.553495,11.114858,46,0.3858073949813843
6,DB3b,M1Fovea1,DB3b,-0.39084935,-5.6879654,47,0.6095057129859924
2,FMB,M1Fovea1,FMB,11.130508,3.698777,48,0.844541609287262
10,IMB,M1Fovea1,DB6,11.961698,11.450265,49,0.4005234241485595
0,DB1,M1Fovea1,DB1,7.35867,16.79546,50,1.0486736297607422
2,FMB,M1Fovea1,FMB,10.300643,2.9762433,51,0.933107614517212
10,IMB,M1Fovea1,DB6,12.635201,11.009939,52,0.423325777053833
2,FMB,M1Fovea1,FMB,10.864905,4.251935,53,0.7302212715148926
6,DB2,M1Fovea1,DB3b,-0.66127115,-6.463864,54,1.2656646966934204
2,FMB,M1Fovea1,FMB,11.447842,3.7618542,55,0.9066269993782043
2,FMB,M1Fovea1,FMB,10.94883,4.7792115,56,0.8286394476890564
6,DB2,M1Fovea1,DB3b,-0.8780363,-5.4918575,57,0.6929479241371155
6,DB3b,M1Fovea1,DB3b,-1.3120794,-6.9465575,58,0.7385058999061584
9,DB4,M1Fovea1,DB4,0.27071214,16.799397,59,1.683344841003418
0,DB1,M1Fovea1,DB1,7.3690505,16.827505,60,1.1048433780670166
6,DB2,M1Fovea1,DB3b,-1.7161695,-5.861865,61,0.9108701944351196
4,DB5*,M1Fovea1,DB5*,9.755153,-4.61947,62,0.7421878576278687
10,IMB,M1Fovea1,DB6,12.961491,11.758222,63,0.4025826454162597
0,DB6,M1Fovea1,DB1,7.194027,16.319407,64,1.8159183263778689
5,RB,M1Fovea1,OFFx,17.751135,2.8584778,65,0.8738083243370056
