predicted_label,true_label,batch,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
17,7MEP,single_batch,7MEP,14.3416,-1.1534922,0,0.8805757761001587
9,15Mo,single_batch,14Mo,8.326054,-1.8585013,1,0.8005107641220093
0,3Ery,single_batch,2Ery,4.370475,7.597868,2,0.9162594079971312
1,15Mo,single_batch,15Mo,-2.9290924,4.771965,3,1.5644587278366089
0,3Ery,single_batch,2Ery,6.2340283,10.143915,4,0.7156978845596313
1,15Mo,single_batch,15Mo,-5.197217,3.5135627,5,1.3745357990264893
11,4Ery,single_batch,5Ery,-4.0426006,12.508801,6,0.8800175786018372
2,2Ery,single_batch,6Ery,-7.038302,-5.809678,7,1.6441582441329956
11,3Ery,single_batch,5Ery,-4.6342106,12.326898,8,1.6707574129104614
0,2Ery,single_batch,2Ery,6.524438,7.8770113,9,0.7262600660324097
0,2Ery,single_batch,2Ery,5.9032187,6.260993,10,0.711112380027771
7,17Neu,single_batch,12Baso,18.378828,6.969818,11,1.1597810983657837
3,14Mo,single_batch,13Baso,2.5705793,-11.007956,12,0.717006504535675
18,13Baso,single_batch,10GMP,-12.635244,2.0487118,13,0.6713036894798279
0,3Ery,single_batch,2Ery,6.19683,8.5712,14,0.807770848274231
17,7MEP,single_batch,7MEP,15.75554,-2.2949913,15,1.0759141445159912
0,3Ery,single_batch,2Ery,6.4266977,10.596102,16,0.963287353515625
0,3Ery,single_batch,2Ery,4.3865504,8.014357,17,0.7634353041648865
0,2Ery,single_batch,2Ery,4.5287867,8.058727,18,1.126794695854187
13,8Mk,single_batch,8Mk,-15.743498,14.983537,19,1.9605720043182373
11,3Ery,single_batch,5Ery,-3.8737323,12.1509905,20,1.008517146110535
16,9GMP,single_batch,17Neu,-16.128437,9.663285,21,1.567166447639465
13,8Mk,single_batch,8Mk,-15.609427,15.087924,22,1.6114331483840942
8,10GMP,single_batch,9GMP,1.4385126,19.487034,23,0.8577512502670288
9,15Mo,single_batch,14Mo,8.5565815,-3.0908296,24,0.9068087339401244
1,16Neu,single_batch,15Mo,-3.5864687,4.4780374,25,0.95908385515213
0,4Ery,single_batch,2Ery,6.195928,10.865213,26,0.7272450923919678
16,13Baso,single_batch,17Neu,-15.571537,8.599099,27,0.8844754695892334
7,17Neu,single_batch,12Baso,18.275675,7.0457263,28,1.4518486261367798
0,3Ery,single_batch,2Ery,4.7526674,8.734887,29,0.7977144122123718
0,2Ery,single_batch,2Ery,6.4945264,8.425387,30,0.6668222546577454
11,3Ery,single_batch,5Ery,-5.241081,11.968112,31,1.1589863300323486
11,5Ery,single_batch,5Ery,-3.1362245,12.243614,32,0.6649419665336609
0,3Ery,single_batch,2Ery,6.460916,7.099642,33,1.131696701049805
18,13Baso,single_batch,10GMP,-12.797654,2.3473642,34,0.7035702466964722
0,1Ery,single_batch,2Ery,4.574426,8.015794,35,1.9677064418792725
0,3Ery,single_batch,2Ery,6.235914,7.046488,36,1.139961004257202
11,6Ery,single_batch,5Ery,-3.2009807,12.267444,37,0.9297738075256348
1,15Mo,single_batch,15Mo,-4.685877,4.002828,38,0.9748445749282836
11,3Ery,single_batch,5Ery,-3.1625273,12.233428,39,0.6255022883415222
0,3Ery,single_batch,2Ery,5.994122,9.036837,40,0.8573838472366333
3,14Mo,single_batch,13Baso,4.4400554,-10.510269,41,0.7460975646972656
4,19Lymph,single_batch,19Lymph,-15.07941,-4.0659113,42,2.595523834228516
16,12Baso,single_batch,17Neu,-15.838896,9.296525,43,0.9324617981910706
0,3Ery,single_batch,2Ery,6.8158545,8.82847,44,0.965106964111328
5,14Mo,single_batch,1Ery,-8.23191,18.424349,45,0.8218165636062622
11,6Ery,single_batch,5Ery,-4.425596,11.951743,46,1.0422184467315674
0,4Ery,single_batch,2Ery,6.138022,6.6307783,47,0.7487584352493286
8,7MEP,single_batch,9GMP,1.1707921,19.933544,48,2.1452016830444336
0,2Ery,single_batch,2Ery,6.9700065,10.4723625,49,0.8586075305938721
18,13Baso,single_batch,10GMP,-13.576285,2.0729845,50,1.0685791969299316
1,14Mo,single_batch,15Mo,-4.260158,3.9621503,51,0.8255376219749451
11,6Ery,single_batch,5Ery,-3.493185,12.357885,52,1.2698137760162354
7,18Eos,single_batch,12Baso,17.553183,7.3020763,53,1.4315457344055176
0,4Ery,single_batch,2Ery,5.574003,6.435876,54,1.046425461769104
0,3Ery,single_batch,2Ery,6.3271756,8.2577,55,0.5994926691055298
0,3Ery,single_batch,2Ery,5.9498215,10.483432,56,0.6394763588905334
9,14Mo,single_batch,14Mo,8.721445,-2.7366786,57,0.5930439829826355
0,2Ery,single_batch,2Ery,6.403659,9.448295,58,0.862958550453186
3,13Baso,single_batch,13Baso,3.9432752,-10.629497,59,0.6298144459724426
0,2Ery,single_batch,2Ery,6.3023396,7.2662606,60,0.934917449951172
3,13Baso,single_batch,13Baso,2.6348362,-10.935901,61,1.566347360610962
3,13Baso,single_batch,13Baso,4.483183,-10.511044,62,0.8329395651817322
3,14Mo,single_batch,13Baso,3.4039311,-11.052393,63,1.0044667720794678
17,7MEP,single_batch,7MEP,15.536023,-2.124096,64,0.9454752206802368
11,7MEP,single_batch,5Ery,-4.1178646,12.362749,65,2.4089062213897705
17,7MEP,single_batch,7MEP,15.317379,-1.9426553,66,1.2213103771209717
18,10GMP,single_batch,10GMP,-12.130544,2.575654,67,0.8355689644813538
7,12Baso,single_batch,12Baso,18.502445,7.0113096,68,1.0220476388931274
11,6Ery,single_batch,5Ery,-5.187435,12.556381,69,1.698859930038452
11,5Ery,single_batch,5Ery,-4.1131687,12.271717,70,0.6151979565620422
11,5Ery,single_batch,5Ery,-3.4548352,11.820007,71,0.6196181774139404
1,14Mo,single_batch,15Mo,-3.655879,4.205358,72,0.9435657262802124
0,4Ery,single_batch,2Ery,7.027894,10.635236,73,0.6023454070091248
12,16Neu,single_batch,16Neu,-0.68022066,-2.6335952,74,0.6393954753875732
12,16Neu,single_batch,16Neu,-0.37219194,-1.95959,75,0.820305347442627
0,3Ery,single_batch,2Ery,6.2218513,9.3161,76,0.6048137545585632
0,2Ery,single_batch,2Ery,4.909908,8.4099865,77,0.821348249912262
0,6Ery,single_batch,2Ery,5.8134346,5.786755,78,0.590248167514801
3,13Baso,single_batch,13Baso,4.3434386,-10.533958,79,1.035654067993164
16,13Baso,single_batch,17Neu,-15.704254,8.850501,80,0.6535032391548157
16,10GMP,single_batch,17Neu,-15.888672,9.274844,81,0.7239184379577637
1,14Mo,single_batch,15Mo,-3.8105521,4.106357,82,0.7995785474777222
0,5Ery,single_batch,2Ery,6.195204,8.46981,83,0.5738287568092346
17,7MEP,single_batch,7MEP,15.343532,-1.9684312,84,1.002310037612915
17,7MEP,single_batch,7MEP,13.983683,-0.74519044,85,1.0300674438476562
0,5Ery,single_batch,2Ery,6.0601416,8.494639,86,0.608435869216919
11,6Ery,single_batch,5Ery,-3.642613,11.802108,87,1.3392736911773682
0,2Ery,single_batch,2Ery,7.126122,10.313157,88,0.817608118057251
2,10GMP,single_batch,6Ery,-6.817451,-5.214884,89,1.483912229537964
16,10GMP,single_batch,17Neu,-16.061817,9.572008,90,1.0880248546600342
0,2Ery,single_batch,2Ery,6.868345,9.11327,91,0.5718743801116943
7,7MEP,single_batch,12Baso,17.626999,7.241223,92,1.8390610218048096
11,6Ery,single_batch,5Ery,-5.2004724,12.506377,93,1.0184879302978516
2,7MEP,single_batch,6Ery,-6.7930284,-4.2411942,94,0.8508400917053223
9,14Mo,single_batch,14Mo,8.24908,-2.638727,95,0.7511257529258728
9,16Neu,single_batch,14Mo,8.36209,-2.7586908,96,0.7391790151596069
18,10GMP,single_batch,10GMP,-12.022381,2.6274765,97,1.012600660324097
0,3Ery,single_batch,2Ery,6.5999556,8.26345,98,0.6533200740814209
0,3Ery,single_batch,2Ery,5.977708,8.913427,99,0.7401643991470337
3,13Baso,single_batch,13Baso,2.8680546,-11.091307,100,0.6926850080490112
