cell_id,batch,true_label,predicted_label,aligned_predicted_label,umap_1,umap_2,cell_index,scraw_reconstruction_weight
W31105,single_batch,7MEP,1,7MEP,3.7181692,1.7316366,0,0.8805757761001587
W31106,single_batch,15Mo,10,9GMP,8.85199,-0.26858377,1,0.8005107641220093
W31107,single_batch,3Ery,3,3Ery,-1.4396517,4.547296,2,0.9162594079971312
W31108,single_batch,15Mo,0,16Neu,9.912658,-1.5152671,3,1.5644587278366089
W31109,single_batch,3Ery,3,3Ery,-1.446123,4.3260255,4,0.7156978845596313
W31110,single_batch,15Mo,0,16Neu,8.806792,-1.0450097,5,1.3745357990264893
W31111,single_batch,4Ery,2,4Ery,0.21877874,2.8904603,6,0.8800175786018372
W31113,single_batch,2Ery,8,2Ery,-1.3986773,2.0837007,7,1.6441582441329956
W31114,single_batch,3Ery,9,5Ery,1.3736722,2.7990048,8,1.6707574129104614
W31115,single_batch,2Ery,2,4Ery,-0.51872116,2.1023996,9,0.7262600660324097
W31116,single_batch,2Ery,8,2Ery,-0.91113245,2.7220216,10,0.711112380027771
W31117,single_batch,17Neu,11,12Baso,3.832859,0.20141575,11,1.1597810983657837
W31118,single_batch,14Mo,5,13Baso,9.629116,-0.16014327,12,0.717006504535675
W31119,single_batch,13Baso,10,9GMP,7.8024273,1.1199216,13,0.6713036894798279
W31120,single_batch,3Ery,2,4Ery,0.026049457,3.605278,14,0.807770848274231
W31121,single_batch,7MEP,1,7MEP,3.4568667,1.3619556,15,1.0759141445159912
W31122,single_batch,3Ery,2,4Ery,-0.281802,2.8573794,16,0.963287353515625
W31123,single_batch,3Ery,2,4Ery,-0.46477962,2.6772625,17,0.7634353041648865
W31124,single_batch,2Ery,3,3Ery,-1.997006,3.301174,18,1.126794695854187
W31125,single_batch,8Mk,14,8Mk,5.5271883,1.8348666,19,1.9605720043182373
W31126,single_batch,3Ery,9,5Ery,0.33445975,2.9079776,20,1.008517146110535
W31127,single_batch,9GMP,1,7MEP,4.662529,1.456182,21,1.567166447639465
W31128,single_batch,8Mk,14,8Mk,4.889718,1.5988612,22,1.6114331483840942
W31129,single_batch,10GMP,4,10GMP,7.2595453,1.33779,23,0.8577512502670288
W31130,single_batch,15Mo,5,13Baso,10.659986,0.45619908,24,0.9068087339401244
W31131,single_batch,16Neu,0,16Neu,9.599662,-1.4727342,25,0.95908385515213
W31132,single_batch,4Ery,2,4Ery,-0.2207929,2.1277506,26,0.7272450923919678
W31133,single_batch,13Baso,4,10GMP,6.632592,1.6550733,27,0.8844754695892334
W31134,single_batch,17Neu,11,12Baso,3.7428968,0.53515524,28,1.4518486261367798
W31136,single_batch,3Ery,2,4Ery,-0.32520258,2.8641648,29,0.7977144122123718
W31137,single_batch,2Ery,3,3Ery,-1.4323361,3.7176244,30,0.6668222546577454
W31138,single_batch,3Ery,2,4Ery,0.5972957,3.7841337,31,1.1589863300323486
W31139,single_batch,5Ery,7,6Ery,1.1810485,3.563025,32,0.6649419665336609
W31140,single_batch,3Ery,7,6Ery,1.0887796,3.7573807,33,1.131696701049805
W31141,single_batch,13Baso,6,14Mo,8.813178,1.2294976,34,0.7035702466964722
W31142,single_batch,1Ery,3,3Ery,-2.3856695,2.961732,35,1.9677064418792725
W31143,single_batch,3Ery,3,3Ery,-1.8513501,4.348431,36,1.139961004257202
W31144,single_batch,6Ery,14,8Mk,1.1548598,3.7923605,37,0.9297738075256348
W31145,single_batch,15Mo,0,16Neu,9.196291,-1.6461271,38,0.9748445749282836
W31146,single_batch,3Ery,2,4Ery,-0.11974271,2.4577358,39,0.6255022883415222
W31147,single_batch,3Ery,2,4Ery,-0.609243,2.8831506,40,0.8573838472366333
W31148,single_batch,14Mo,5,13Baso,10.754855,0.6112385,41,0.7460975646972656
W31149,single_batch,19Lymph,16,19Lymph,4.5107636,4.4598794,42,2.595523834228516
W31150,single_batch,12Baso,14,8Mk,6.841483,0.042305518,43,0.9324617981910706
W31151,single_batch,3Ery,3,3Ery,-1.7117196,4.2346015,44,0.965106964111328
W31152,single_batch,14Mo,5,13Baso,10.503007,0.9132599,45,0.8218165636062622
W31153,single_batch,6Ery,2,4Ery,0.7688343,2.554977,46,1.0422184467315674
W31154,single_batch,4Ery,3,3Ery,-1.1337308,3.8837626,47,0.7487584352493286
W31155,single_batch,7MEP,1,7MEP,3.92773,2.231362,48,2.1452016830444336
W31156,single_batch,2Ery,3,3Ery,-1.2775637,3.8481426,49,0.8586075305938721
