phase,dataset,algorithm,variant,seed,metric,variant_value,baseline_value,delta_vs_baseline
smoke,paul15_bone_marrow,scMAE,density_only,42,NMI,0.6032524729304467,0.6307063911488362,-0.027453918218389495
smoke,paul15_bone_marrow,scMAE,density_only,42,ARI,0.3609306148336024,0.404513623294461,-0.04358300846085861
smoke,paul15_bone_marrow,scMAE,density_only,42,ACC,0.4307692307692308,0.4915750915750915,-0.0608058608058607
smoke,paul15_bone_marrow,scMAE,density_only,42,F1_Macro,0.3150106752303149,0.4159577230446047,-0.10094704781428981
smoke,paul15_bone_marrow,scMAE,density_only,42,BalancedACC,0.3984188281934798,0.4930925376121112,-0.0946737094186314
smoke,paul15_bone_marrow,scMAE,density_only,42,RareACC,0.3376906318082788,0.355119825708061,-0.017429193899782203
smoke,paul15_bone_marrow,scMAE,density_only,42,Silhouette,0.1766045093536377,0.0852846354246139,0.0913198739290238
smoke,paul15_bone_marrow,scMAE,density_only,42,runtime,14.477195978164673,11.843692779541016,2.6335031986236572
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,NMI,0.5358701121487549,0.5287425335672497,0.007127578581505256
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,ARI,0.2988609041221051,0.2811568461961214,0.017704057925983674
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,ACC,0.3772893772893773,0.4168498168498168,-0.03956043956043953
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,F1_Macro,0.3285127074489596,0.3691721336151861,-0.040659426166226476
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,BalancedACC,0.3612095793603914,0.3996199980006636,-0.038410418640272226
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,RareACC,0.2701525054466231,0.2875816993464052,-0.01742919389978209
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,Silhouette,0.289361109591533,0.2761974042488919,0.013163705342641108
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,runtime,174.91162395477295,155.61972784996033,19.291896104812622
smoke,paul15_bone_marrow,DESC,density_only,42,NMI,0.537045782434222,0.5343086180283043,0.002737164405917647
smoke,paul15_bone_marrow,DESC,density_only,42,ARI,0.2949109668096266,0.2891666483257258,0.005744318483900779
smoke,paul15_bone_marrow,DESC,density_only,42,ACC,0.3684981684981685,0.3626373626373626,0.0058608058608058955
smoke,paul15_bone_marrow,DESC,density_only,42,F1_Macro,0.2089725938396854,0.2051227935153836,0.003849800324301794
smoke,paul15_bone_marrow,DESC,density_only,42,BalancedACC,0.2948795848852283,0.2932857238921653,0.0015938609930630232
